entry,at,order
"The player ""Peen @ 4r9IVB_lo6"" quits the game with a stack of 29960.",2024-05-03T21:13:58.806Z,171477083880600
"-- ending hand #1116 --",2024-05-03T21:13:52.883Z,171477083288302
"""boxo @ UtGUxnTvMN"" collected 80 from pot",2024-05-03T21:13:52.883Z,171477083288301
"Uncalled bet of 80 returned to ""boxo @ UtGUxnTvMN""",2024-05-03T21:13:52.883Z,171477083288300
"""Peen @ 4r9IVB_lo6"" folds",2024-05-03T21:13:52.007Z,171477083200700
"""boxo @ UtGUxnTvMN"" raises to 120",2024-05-03T21:13:31.164Z,171477081116400
"""Peen @ 4r9IVB_lo6"" posts a straddle of 40",2024-05-03T21:13:29.490Z,171477080949008
"""boxo @ UtGUxnTvMN"" posts a big blind of 20",2024-05-03T21:13:29.490Z,171477080949007
"""Peen @ 4r9IVB_lo6"" posts a small blind of 10",2024-05-03T21:13:29.490Z,171477080949006
"Player stacks: #1 ""boxo @ UtGUxnTvMN"" (5000) | #6 ""Peen @ 4r9IVB_lo6"" (30000)",2024-05-03T21:13:29.490Z,171477080949003
"The player ""Peen @ 4r9IVB_lo6"" joined the game with a stack of 30000.",2024-05-03T21:13:29.490Z,171477080949002
"The player ""boxo @ UtGUxnTvMN"" joined the game with a stack of 5000.",2024-05-03T21:13:29.490Z,171477080949001
"-- starting hand #1116 (id: wazibmlttx3z)  (No Limit Texas Hold'em) (dealer: ""Peen @ 4r9IVB_lo6"") --",2024-05-03T21:13:29.490Z,171477080949000
"The admin approved the player ""boxo @ UtGUxnTvMN"" participation with a stack of 5000.",2024-05-03T21:13:28.579Z,171477080857901
"The player ""boxo @ UtGUxnTvMN"" requested a seat.",2024-05-03T21:13:28.579Z,171477080857900
"The player ""boxo @ UtGUxnTvMN"" quits the game with a stack of 0.",2024-05-03T21:13:25.864Z,171477080586400
"-- ending hand #1115 --",2024-05-03T21:13:17.847Z,171477079784702
"""Peen @ 4r9IVB_lo6"" collected 3170 from pot with Straight, 10 High on the second run  (combination: 10♠, 9♦, 8♥, 7♥, 6♦)",2024-05-03T21:13:17.847Z,171477079784701
"""Peen @ 4r9IVB_lo6"" collected 3170 from pot with Pair, 9's (combination: 9♦, 9♠, 10♠, 8♥, 7♥)",2024-05-03T21:13:17.847Z,171477079784700
"River (second run): 4♠, 7♥, 8♥, 9♠ [6♦]",2024-05-03T21:13:13.843Z,171477079384300
"River: 4♠, 7♥, 8♥, 9♠ [5♠]",2024-05-03T21:13:09.799Z,171477078979900
"""Peen @ 4r9IVB_lo6"" shows a 10♠, 9♦.",2024-05-03T21:13:05.795Z,171477078579501
"""boxo @ UtGUxnTvMN"" shows a 8♣, A♣.",2024-05-03T21:13:05.795Z,171477078579500
"All players in hand choose to run it twice.",2024-05-03T21:13:04.958Z,171477078495801
"""Peen @ 4r9IVB_lo6"" chooses to  run it twice.",2024-05-03T21:13:04.958Z,171477078495800
"""boxo @ UtGUxnTvMN"" chooses to  run it twice.",2024-05-03T21:13:02.475Z,171477078247500
"Remaining players decide whether to run it twice.",2024-05-03T21:13:01.248Z,171477078124801
"""Peen @ 4r9IVB_lo6"" calls 2270",2024-05-03T21:13:01.248Z,171477078124800
"""boxo @ UtGUxnTvMN"" bets 2270 and go all in",2024-05-03T21:12:59.750Z,171477077975000
"Turn: 4♠, 7♥, 8♥ [9♠]",2024-05-03T21:12:55.140Z,171477077514000
