entry,at,order
"The player ""Sai @ 0Y4I9d7s02"" stand up with the stack of 1429.",2024-12-29T11:33:54.602Z,173547203460200
"-- ending hand #624 --",2024-12-29T11:33:51.684Z,173547203168402
"""reilly @ FkycgsPCCs"" collected 82 from pot",2024-12-29T11:33:51.684Z,173547203168401
"Uncalled bet of 82 returned to ""reilly @ FkycgsPCCs""",2024-12-29T11:33:51.684Z,173547203168400
"""Sai @ 0Y4I9d7s02"" folds",2024-12-29T11:33:50.862Z,173547203086200
"""reilly @ FkycgsPCCs"" bets 82",2024-12-29T11:33:41.054Z,173547202105400
"Turn: A♥, K♣, 3♥ [6♠]",2024-12-29T11:33:22.729Z,173547200272900
"""Sai @ 0Y4I9d7s02"" calls 14",2024-12-29T11:33:21.866Z,173547200186600
"""reilly @ FkycgsPCCs"" bets 14",2024-12-29T11:33:19.741Z,173547199974100
"Flop:  [A♥, K♣, 3♥]",2024-12-29T11:33:05.519Z,173547198551900
"""Sai @ 0Y4I9d7s02"" calls 27",2024-12-29T11:33:04.712Z,173547198471200
"""reilly @ FkycgsPCCs"" raises to 27",2024-12-29T11:32:55.387Z,173547197538700
"""Sai @ 0Y4I9d7s02"" raises to 9",2024-12-29T11:32:50.789Z,173547197078900
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-12-29T11:32:48.301Z,173547196830105
"""Sai @ 0Y4I9d7s02"" posts a small blind of 1",2024-12-29T11:32:48.301Z,173547196830104
"Player stacks: #1 ""reilly @ FkycgsPCCs"" (830) | #9 ""Sai @ 0Y4I9d7s02"" (1470)",2024-12-29T11:32:48.301Z,173547196830101
"-- starting hand #624 (id: agt5jokzbiiv)  (Pot Limit Omaha Hi) (dealer: ""Sai @ 0Y4I9d7s02"") --",2024-12-29T11:32:48.301Z,173547196830100
"-- ending hand #623 --",2024-12-29T11:32:45.297Z,173547196529703
"""Sai @ 0Y4I9d7s02"" shows a 10♥, 4♦, 6♥, 7♣.",2024-12-29T11:32:45.297Z,173547196529702
"""reilly @ FkycgsPCCs"" collected 70 from pot with Two Pair (combination: 9♥, 9♦, 5♥, 5♠, K♦)",2024-12-29T11:32:45.297Z,173547196529701
"""reilly @ FkycgsPCCs"" shows a 10♦, K♦, 8♥, 9♥.",2024-12-29T11:32:45.297Z,173547196529700
"""reilly @ FkycgsPCCs"" checks",2024-12-29T11:32:44.446Z,173547196444600
"""Sai @ 0Y4I9d7s02"" checks",2024-12-29T11:32:39.161Z,173547195916100
"River: 3♠, 5♥, 5♠, 9♦ [A♦]",2024-12-29T11:32:35.519Z,173547195551900
"""Sai @ 0Y4I9d7s02"" calls 20",2024-12-29T11:32:34.697Z,173547195469700
"""reilly @ FkycgsPCCs"" bets 20",2024-12-29T11:32:30.656Z,173547195065600
"""Sai @ 0Y4I9d7s02"" checks",2024-12-29T11:32:14.212Z,173547193421200
"Turn: 3♠, 5♥, 5♠ [9♦]",2024-12-29T11:32:13.194Z,173547193319400
"""Sai @ 0Y4I9d7s02"" calls 6",2024-12-29T11:32:12.370Z,173547193237000
"""reilly @ FkycgsPCCs"" bets 6",2024-12-29T11:32:10.744Z,173547193074400
"""Sai @ 0Y4I9d7s02"" checks",2024-12-29T11:32:07.916Z,173547192791600
"Flop:  [3♠, 5♥, 5♠]",2024-12-29T11:32:06.247Z,173547192624700
"""Sai @ 0Y4I9d7s02"" calls 9",2024-12-29T11:32:05.383Z,173547192538300
"""reilly @ FkycgsPCCs"" raises to 9",2024-12-29T11:32:03.308Z,173547192330800
"""Sai @ 0Y4I9d7s02"" posts a big blind of 3",2024-12-29T11:32:01.362Z,173547192136205
"""reilly @ FkycgsPCCs"" posts a small blind of 1",2024-12-29T11:32:01.362Z,173547192136204
"Player stacks: #1 ""reilly @ FkycgsPCCs"" (795) | #9 ""Sai @ 0Y4I9d7s02"" (1505)",2024-12-29T11:32:01.362Z,173547192136201
"-- starting hand #623 (id: wzwsxfphly7z)  (Pot Limit Omaha Hi) (dealer: ""reilly @ FkycgsPCCs"") --",2024-12-29T11:32:01.362Z,173547192136200
"-- ending hand #622 --",2024-12-29T11:31:58.441Z,173547191844102
"""Sai @ 0Y4I9d7s02"" collected 18 from pot",2024-12-29T11:31:58.441Z,173547191844101
"Uncalled bet of 13 returned to ""Sai @ 0Y4I9d7s02""",2024-12-29T11:31:58.441Z,173547191844100
"""reilly @ FkycgsPCCs"" folds",2024-12-29T11:31:57.599Z,173547191759900
"""Sai @ 0Y4I9d7s02"" bets 13",2024-12-29T11:31:56.620Z,173547191662000
"""reilly @ FkycgsPCCs"" checks",2024-12-29T11:31:53.625Z,173547191362500
"Flop:  [6♦, 4♥, 7♥]",2024-12-29T11:31:52.342Z,173547191234200
"""reilly @ FkycgsPCCs"" calls 9",2024-12-29T11:31:51.534Z,173547191153400
"""Sai @ 0Y4I9d7s02"" raises to 9",2024-12-29T11:31:48.652Z,173547190865200
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-12-29T11:31:45.596Z,173547190559605
"""Sai @ 0Y4I9d7s02"" posts a small blind of 1",2024-12-29T11:31:45.596Z,173547190559604
"Player stacks: #1 ""reilly @ FkycgsPCCs"" (804) | #9 ""Sai @ 0Y4I9d7s02"" (1496)",2024-12-29T11:31:45.596Z,173547190559601
"-- starting hand #622 (id: qaotjzfongi1)  (Pot Limit Omaha Hi) (dealer: ""Sai @ 0Y4I9d7s02"") --",2024-12-29T11:31:45.596Z,173547190559600
"-- ending hand #621 --",2024-12-29T11:31:42.586Z,173547190258603
"""Sai @ 0Y4I9d7s02"" shows a K♣, 5♠, K♠, K♥.",2024-12-29T11:31:42.586Z,173547190258602
"""reilly @ FkycgsPCCs"" collected 44 from pot with Flush (combination: K♦, 10♦, 8♦, 7♦, 6♦)",2024-12-29T11:31:42.586Z,173547190258601
"""reilly @ FkycgsPCCs"" shows a 10♣, 6♣, 7♦, 8♦.",2024-12-29T11:31:42.586Z,173547190258600
"""reilly @ FkycgsPCCs"" calls 13",2024-12-29T11:31:41.741Z,173547190174100
"""Sai @ 0Y4I9d7s02"" bets 13",2024-12-29T11:31:40.602Z,173547190060200
"River: J♠, K♦, 10♦, 6♦ [3♠]",2024-12-29T11:31:34.658Z,173547189465800
"""reilly @ FkycgsPCCs"" checks",2024-12-29T11:31:33.824Z,173547189382400
"""Sai @ 0Y4I9d7s02"" checks",2024-12-29T11:31:30.309Z,173547189030900
"Turn: J♠, K♦, 10♦ [6♦]",2024-12-29T11:31:28.761Z,173547188876100
"""reilly @ FkycgsPCCs"" checks",2024-12-29T11:31:27.942Z,173547188794200
"""Sai @ 0Y4I9d7s02"" checks",2024-12-29T11:31:22.788Z,173547188278800
"Flop:  [J♠, K♦, 10♦]",2024-12-29T11:31:21.171Z,173547188117100
"""Sai @ 0Y4I9d7s02"" calls 9",2024-12-29T11:31:20.354Z,173547188035400
"""reilly @ FkycgsPCCs"" raises to 9",2024-12-29T11:31:19.050Z,173547187905000
"""Sai @ 0Y4I9d7s02"" posts a big blind of 3",2024-12-29T11:31:17.089Z,173547187708905
"""reilly @ FkycgsPCCs"" posts a small blind of 1",2024-12-29T11:31:17.089Z,173547187708904
"Player stacks: #1 ""reilly @ FkycgsPCCs"" (782) | #9 ""Sai @ 0Y4I9d7s02"" (1518)",2024-12-29T11:31:17.089Z,173547187708901
"-- starting hand #621 (id: twvtp80ytbcf)  (Pot Limit Omaha Hi) (dealer: ""reilly @ FkycgsPCCs"") --",2024-12-29T11:31:17.089Z,173547187708900
"-- ending hand #620 --",2024-12-29T11:31:14.020Z,173547187402002
"""reilly @ FkycgsPCCs"" collected 30 from pot with Two Pair (combination: Q♦, Q♠, J♣, J♠, 8♦)",2024-12-29T11:31:14.020Z,173547187402001
"""reilly @ FkycgsPCCs"" shows a Q♦, A♥, Q♠, 3♣.",2024-12-29T11:31:14.020Z,173547187402000
"""Sai @ 0Y4I9d7s02"" checks",2024-12-29T11:31:13.202Z,173547187320200
"""reilly @ FkycgsPCCs"" checks",2024-12-29T11:31:12.170Z,173547187217000
"River: 4♦, J♣, 6♣, J♠ [8♦]",2024-12-29T11:31:10.949Z,173547187094900
"""reilly @ FkycgsPCCs"" calls 9",2024-12-29T11:31:10.117Z,173547187011700
"""Sai @ 0Y4I9d7s02"" bets 9",2024-12-29T11:31:05.483Z,173547186548300
"""reilly @ FkycgsPCCs"" checks",2024-12-29T11:31:02.368Z,173547186236800
"Turn: 4♦, J♣, 6♣ [J♠]",2024-12-29T11:30:58.605Z,173547185860500
"""Sai @ 0Y4I9d7s02"" calls 3",2024-12-29T11:30:57.788Z,173547185778800
"""reilly @ FkycgsPCCs"" bets 3",2024-12-29T11:30:55.643Z,173547185564300
"Flop:  [4♦, J♣, 6♣]",2024-12-29T11:30:51.732Z,173547185173200
"""reilly @ FkycgsPCCs"" checks",2024-12-29T11:30:50.919Z,173547185091900
"""Sai @ 0Y4I9d7s02"" calls 3",2024-12-29T11:30:47.504Z,173547184750400
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-12-29T11:30:45.441Z,173547184544105
"""Sai @ 0Y4I9d7s02"" posts a small blind of 1",2024-12-29T11:30:45.441Z,173547184544104
"Player stacks: #1 ""reilly @ FkycgsPCCs"" (767) | #9 ""Sai @ 0Y4I9d7s02"" (1533)",2024-12-29T11:30:45.441Z,173547184544101
"-- starting hand #620 (id: agjxd4kethgo)  (Pot Limit Omaha Hi) (dealer: ""Sai @ 0Y4I9d7s02"") --",2024-12-29T11:30:45.441Z,173547184544100
"-- ending hand #619 --",2024-12-29T11:30:42.526Z,173547184252602
"""Sai @ 0Y4I9d7s02"" collected 18 from pot",2024-12-29T11:30:42.526Z,173547184252601
"Uncalled bet of 13 returned to ""Sai @ 0Y4I9d7s02""",2024-12-29T11:30:42.526Z,173547184252600
"""reilly @ FkycgsPCCs"" folds",2024-12-29T11:30:41.705Z,173547184170500
"""Sai @ 0Y4I9d7s02"" bets 13",2024-12-29T11:30:30.316Z,173547183031600
"River: 8♥, 8♦, 10♥, 2♠ [10♣]",2024-12-29T11:30:26.709Z,173547182670900
"""reilly @ FkycgsPCCs"" checks",2024-12-29T11:30:25.864Z,173547182586400
"""Sai @ 0Y4I9d7s02"" checks",2024-12-29T11:30:20.949Z,173547182094900
"Turn: 8♥, 8♦, 10♥ [2♠]",2024-12-29T11:30:18.733Z,173547181873300
"""reilly @ FkycgsPCCs"" checks",2024-12-29T11:30:17.927Z,173547181792700
