entry,at,order
"The player ""bigslickenergy @ Jh1XF6aI_W"" quits the game with a stack of 341.12.",2025-01-03T07:22:45.606Z,173588896560600
"The player ""Ayush @ FZR64VyIfx"" quits the game with a stack of 569.16.",2025-01-03T07:22:41.178Z,173588896117800
"The player ""AHH @ BBhPdfgXPT"" stand up with the stack of 466.25.",2025-01-03T07:22:40.521Z,173588896052100
"The player ""PaulB @ DemOWvLIyz"" quits the game with a stack of 890.04.",2025-01-03T07:22:36.924Z,173588895692400
"-- ending hand #417 --",2025-01-03T07:22:33.903Z,173588895390303
"""Ayush @ FZR64VyIfx"" shows a 7♥, 5♦, 4♦, A♥.",2025-01-03T07:22:33.903Z,173588895390302
"""bigslickenergy @ Jh1XF6aI_W"" collected 31.50 from pot with Two Pair (combination: J♣, J♥, 7♠, 7♦, 10♥)",2025-01-03T07:22:33.903Z,173588895390301
"""bigslickenergy @ Jh1XF6aI_W"" shows a 7♠, 6♥, J♣, 9♥.",2025-01-03T07:22:33.903Z,173588895390300
"""bigslickenergy @ Jh1XF6aI_W"" checks",2025-01-03T07:22:33.058Z,173588895305800
"""Ayush @ FZR64VyIfx"" checks",2025-01-03T07:22:31.746Z,173588895174600
"River: 7♦, J♥, 4♣, 6♠ [10♥]",2025-01-03T07:22:28.798Z,173588894879800
"""bigslickenergy @ Jh1XF6aI_W"" checks",2025-01-03T07:22:27.966Z,173588894796600
"""Ayush @ FZR64VyIfx"" checks",2025-01-03T07:22:26.119Z,173588894611900
"Turn: 7♦, J♥, 4♣ [6♠]",2025-01-03T07:22:24.096Z,173588894409600
"""Ayush @ FZR64VyIfx"" calls 10.50",2025-01-03T07:22:23.267Z,173588894326700
"""AHH @ BBhPdfgXPT"" folds",2025-01-03T07:22:21.754Z,173588894175400
"""bigslickenergy @ Jh1XF6aI_W"" bets 10.50",2025-01-03T07:22:17.995Z,173588893799500
"""Ayush @ FZR64VyIfx"" checks",2025-01-03T07:22:15.112Z,173588893511200
"Flop:  [7♦, J♥, 4♣]",2025-01-03T07:22:12.975Z,173588893297500
"""bigslickenergy @ Jh1XF6aI_W"" calls 3.50",2025-01-03T07:22:12.090Z,173588893209000
"""Ayush @ FZR64VyIfx"" calls 3.50",2025-01-03T07:22:08.617Z,173588892861700
"""AHH @ BBhPdfgXPT"" raises to 3.50",2025-01-03T07:22:07.183Z,173588892718300
"""PaulB @ DemOWvLIyz"" folds",2025-01-03T07:22:00.133Z,173588892013300
"The admin ""HY @ RzZqRjTje6"" enqueued the game stop on next hand.",2025-01-03T07:21:55.040Z,173588891504000
"""bigslickenergy @ Jh1XF6aI_W"" posts a big blind of 1.00",2025-01-03T07:21:51.793Z,173588891179308
"""Ayush @ FZR64VyIfx"" posts a small blind of 0.50",2025-01-03T07:21:51.793Z,173588891179307
"Your hand is A♦, 8♣, 2♠, 4♠",2025-01-03T07:21:51.793Z,173588891179303
"Player stacks: #3 ""AHH @ BBhPdfgXPT"" (469.75) | #4 ""Ayush @ FZR64VyIfx"" (583.16) | #5 ""bigslickenergy @ Jh1XF6aI_W"" (323.62) | #10 ""PaulB @ DemOWvLIyz"" (890.04)",2025-01-03T07:21:51.793Z,173588891179302
"-- starting hand #417 (id: 5elihb85lfgc)  (Pot Limit Omaha Hi) (dealer: ""AHH @ BBhPdfgXPT"") --",2025-01-03T07:21:51.793Z,173588891179301
"The player ""HY @ RzZqRjTje6"" stand up with the stack of 256.54.",2025-01-03T07:21:51.793Z,173588891179300
"""PaulB @ DemOWvLIyz"" shows a 6♠.",2025-01-03T07:21:51.076Z,173588891107600
"""PaulB @ DemOWvLIyz"" shows a J♣.",2025-01-03T07:21:50.325Z,173588891032500
"-- ending hand #416 --",2025-01-03T07:21:48.188Z,173588890818802
"""Ayush @ FZR64VyIfx"" collected 24.00 from pot",2025-01-03T07:21:48.188Z,173588890818801
"Uncalled bet of 12.00 returned to ""Ayush @ FZR64VyIfx""",2025-01-03T07:21:48.188Z,173588890818800
"""HY @ RzZqRjTje6"" folds",2025-01-03T07:21:47.324Z,173588890732400
"""Ayush @ FZR64VyIfx"" bets 12.00",2025-01-03T07:21:30.823Z,173588889082300
"River: 6♣, 4♣, K♥, 2♥ [J♦]",2025-01-03T07:21:27.802Z,173588888780200
"""AHH @ BBhPdfgXPT"" folds",2025-01-03T07:21:26.983Z,173588888698300
"""HY @ RzZqRjTje6"" calls 6.00",2025-01-03T07:21:25.442Z,173588888544200
"""Ayush @ FZR64VyIfx"" bets 6.00",2025-01-03T07:21:23.729Z,173588888372900
"""AHH @ BBhPdfgXPT"" checks",2025-01-03T07:21:21.483Z,173588888148300
"Turn: 6♣, 4♣, K♥ [2♥]",2025-01-03T07:21:18.048Z,173588887804800
"""HY @ RzZqRjTje6"" checks",2025-01-03T07:21:17.197Z,173588887719700
"""Ayush @ FZR64VyIfx"" checks",2025-01-03T07:21:14.404Z,173588887440400
"""AHH @ BBhPdfgXPT"" checks",2025-01-03T07:21:13.566Z,173588887356600
"Flop:  [6♣, 4♣, K♥]",2025-01-03T07:21:09.104Z,173588886910400
"""HY @ RzZqRjTje6"" calls 4.00",2025-01-03T07:21:08.229Z,173588886822900
"""Ayush @ FZR64VyIfx"" calls 4.00",2025-01-03T07:21:06.112Z,173588886611200
"""AHH @ BBhPdfgXPT"" raises to 4.00",2025-01-03T07:21:04.188Z,173588886418800
"""HY @ RzZqRjTje6"" calls 1.00",2025-01-03T07:21:00.550Z,173588886055000
"""PaulB @ DemOWvLIyz"" folds",2025-01-03T07:20:58.611Z,173588885861100
"""bigslickenergy @ Jh1XF6aI_W"" folds",2025-01-03T07:20:57.640Z,173588885764000
"""Ayush @ FZR64VyIfx"" posts a big blind of 1.00",2025-01-03T07:20:54.683Z,173588885468308
"""AHH @ BBhPdfgXPT"" posts a small blind of 0.50",2025-01-03T07:20:54.683Z,173588885468307
"Your hand is Q♠, Q♦, 3♥, 8♣",2025-01-03T07:20:54.683Z,173588885468303
"Player stacks: #1 ""HY @ RzZqRjTje6"" (266.54) | #3 ""AHH @ BBhPdfgXPT"" (473.75) | #4 ""Ayush @ FZR64VyIfx"" (569.16) | #5 ""bigslickenergy @ Jh1XF6aI_W"" (323.62) | #10 ""PaulB @ DemOWvLIyz"" (890.04)",2025-01-03T07:20:54.683Z,173588885468301
"-- starting hand #416 (id: cz3qherwv2jw)  (Pot Limit Omaha Hi) (dealer: ""HY @ RzZqRjTje6"") --",2025-01-03T07:20:54.683Z,173588885468300
"""bigslickenergy @ Jh1XF6aI_W"" shows a Q♦.",2025-01-03T07:20:51.668Z,173588885166800
"""Ayush @ FZR64VyIfx"" shows a 10♥, 4♦, A♥, K♣.",2025-01-03T07:20:48.004Z,173588884800400
"-- ending hand #415 --",2025-01-03T07:20:47.317Z,173588884731702
"""AHH @ BBhPdfgXPT"" collected 5.00 from pot",2025-01-03T07:20:47.317Z,173588884731701
"Uncalled bet of 5.00 returned to ""AHH @ BBhPdfgXPT""",2025-01-03T07:20:47.317Z,173588884731700
"""Ayush @ FZR64VyIfx"" folds",2025-01-03T07:20:46.509Z,173588884650900
"""AHH @ BBhPdfgXPT"" bets 5.00",2025-01-03T07:20:45.330Z,173588884533000
"Flop:  [3♣, Q♠, Q♥]",2025-01-03T07:20:40.863Z,173588884086300
"""AHH @ BBhPdfgXPT"" calls 2.25",2025-01-03T07:20:39.981Z,173588883998100
"""HY @ RzZqRjTje6"" folds",2025-01-03T07:20:27.690Z,173588882769000
"""PaulB @ DemOWvLIyz"" folds",2025-01-03T07:20:26.766Z,173588882676600
"""bigslickenergy @ Jh1XF6aI_W"" folds",2025-01-03T07:20:25.788Z,173588882578800
"""Ayush @ FZR64VyIfx"" raises to 2.25",2025-01-03T07:20:23.787Z,173588882378700
"""AHH @ BBhPdfgXPT"" posts a big blind of 1.00",2025-01-03T07:20:18.723Z,173588881872308
"""HY @ RzZqRjTje6"" posts a small blind of 0.50",2025-01-03T07:20:18.723Z,173588881872307
"Your hand is 2♠, 9♥, Q♣, A♣",2025-01-03T07:20:18.723Z,173588881872303
"Player stacks: #1 ""HY @ RzZqRjTje6"" (267.04) | #3 ""AHH @ BBhPdfgXPT"" (471.00) | #4 ""Ayush @ FZR64VyIfx"" (571.41) | #5 ""bigslickenergy @ Jh1XF6aI_W"" (323.62) | #10 ""PaulB @ DemOWvLIyz"" (890.04)",2025-01-03T07:20:18.723Z,173588881872301
"-- starting hand #415 (id: azbamzujy2iu)  (Pot Limit Omaha Hi) (dealer: ""PaulB @ DemOWvLIyz"") --",2025-01-03T07:20:18.723Z,173588881872300
"-- ending hand #414 --",2025-01-03T07:20:15.703Z,173588881570302
"""AHH @ BBhPdfgXPT"" collected 33.00 from pot with Straight (combination: J♠, 10♣, 9♦, 8♦, 7♣)",2025-01-03T07:20:15.703Z,173588881570301
"""AHH @ BBhPdfgXPT"" shows a J♠, J♣, 5♥, 10♣.",2025-01-03T07:20:15.703Z,173588881570300
"""HY @ RzZqRjTje6"" folds",2025-01-03T07:20:14.878Z,173588881487800
"""bigslickenergy @ Jh1XF6aI_W"" calls 11.00",2025-01-03T07:20:13.811Z,173588881381100
"""AHH @ BBhPdfgXPT"" bets 11.00",2025-01-03T07:19:56.367Z,173588879636700
"""HY @ RzZqRjTje6"" checks",2025-01-03T07:19:53.489Z,173588879348900
"River: 6♠, K♥, 7♣, 9♦ [8♦]",2025-01-03T07:19:49.361Z,173588878936100
"""bigslickenergy @ Jh1XF6aI_W"" checks",2025-01-03T07:19:48.513Z,173588878851300
"""AHH @ BBhPdfgXPT"" checks",2025-01-03T07:19:45.909Z,173588878590900
"""HY @ RzZqRjTje6"" checks",2025-01-03T07:19:42.392Z,173588878239200
"Turn: 6♠, K♥, 7♣ [9♦]",2025-01-03T07:19:39.958Z,173588877995800
"""bigslickenergy @ Jh1XF6aI_W"" checks",2025-01-03T07:19:39.047Z,173588877904700
"""AHH @ BBhPdfgXPT"" checks",2025-01-03T07:19:35.513Z,173588877551300
"""HY @ RzZqRjTje6"" checks",2025-01-03T07:19:21.396Z,173588876139600
"Flop:  [6♠, K♥, 7♣]",2025-01-03T07:19:19.121Z,173588875912100
"""HY @ RzZqRjTje6"" calls 3.50",2025-01-03T07:19:18.308Z,173588875830800
"""PaulB @ DemOWvLIyz"" folds",2025-01-03T07:19:17.134Z,173588875713400
"""bigslickenergy @ Jh1XF6aI_W"" calls 3.50",2025-01-03T07:19:16.194Z,173588875619400
"""Ayush @ FZR64VyIfx"" folds",2025-01-03T07:19:14.537Z,173588875453700
"""AHH @ BBhPdfgXPT"" raises to 3.50",2025-01-03T07:19:13.660Z,173588875366000
"""HY @ RzZqRjTje6"" posts a big blind of 1.00",2025-01-03T07:19:09.112Z,173588874911208
"""PaulB @ DemOWvLIyz"" posts a small blind of 0.50",2025-01-03T07:19:09.112Z,173588874911207
"Your hand is J♠, J♣, 5♥, 10♣",2025-01-03T07:19:09.112Z,173588874911203
"Player stacks: #1 ""HY @ RzZqRjTje6"" (270.54) | #3 ""AHH @ BBhPdfgXPT"" (452.50) | #4 ""Ayush @ FZR64VyIfx"" (571.41) | #5 ""bigslickenergy @ Jh1XF6aI_W"" (338.12) | #10 ""PaulB @ DemOWvLIyz"" (890.54)",2025-01-03T07:19:09.112Z,173588874911201
"-- starting hand #414 (id: zxrqpleepho3)  (Pot Limit Omaha Hi) (dealer: ""bigslickenergy @ Jh1XF6aI_W"") --",2025-01-03T07:19:09.112Z,173588874911200
"""bigslickenergy @ Jh1XF6aI_W"" shows a Q♦.",2025-01-03T07:19:06.619Z,173588874661900
"""Ayush @ FZR64VyIfx"" shows a Q♠.",2025-01-03T07:19:03.598Z,173588874359800
"-- ending hand #413 --",2025-01-03T07:19:01.728Z,173588874172802
"""bigslickenergy @ Jh1XF6aI_W"" collected 58.74 from pot",2025-01-03T07:19:01.728Z,173588874172801
"Uncalled bet of 44.05 returned to ""bigslickenergy @ Jh1XF6aI_W""",2025-01-03T07:19:01.728Z,173588874172800
"""Ayush @ FZR64VyIfx"" folds",2025-01-03T07:19:00.916Z,173588874091600
"""bigslickenergy @ Jh1XF6aI_W"" bets 44.05",2025-01-03T07:18:57.390Z,173588873739000
"Turn: 4♥, 3♦, Q♣ [6♦]",2025-01-03T07:18:52.296Z,173588873229600
"""Ayush @ FZR64VyIfx"" calls 17.62",2025-01-03T07:18:51.457Z,173588873145700
"""HY @ RzZqRjTje6"" folds",2025-01-03T07:18:48.597Z,173588872859700
"""bigslickenergy @ Jh1XF6aI_W"" bets 17.62",2025-01-03T07:18:47.641Z,173588872764100
"Flop:  [4♥, 3♦, Q♣]",2025-01-03T07:18:41.100Z,173588872110000
"""HY @ RzZqRjTje6"" calls 7.50",2025-01-03T07:18:40.287Z,173588872028700
"""PaulB @ DemOWvLIyz"" folds",2025-01-03T07:18:39.303Z,173588871930300
"""bigslickenergy @ Jh1XF6aI_W"" calls 7.50",2025-01-03T07:18:38.286Z,173588871828600
"""Ayush @ FZR64VyIfx"" raises to 7.50",2025-01-03T07:18:36.557Z,173588871655700
"""AHH @ BBhPdfgXPT"" folds",2025-01-03T07:18:33.808Z,173588871380800
"""HY @ RzZqRjTje6"" posts a straddle of 2.00",2025-01-03T07:18:23.585Z,173588870358509
"""PaulB @ DemOWvLIyz"" posts a big blind of 1.00",2025-01-03T07:18:23.585Z,173588870358508
"""bigslickenergy @ Jh1XF6aI_W"" posts a small blind of 0.50",2025-01-03T07:18:23.585Z,173588870358507
"Your hand is 2♥, 9♥, 5♦, 3♠",2025-01-03T07:18:23.585Z,173588870358503
"Player stacks: #1 ""HY @ RzZqRjTje6"" (278.04) | #3 ""AHH @ BBhPdfgXPT"" (452.50) | #4 ""Ayush @ FZR64VyIfx"" (596.53) | #5 ""bigslickenergy @ Jh1XF6aI_W"" (304.50) | #10 ""PaulB @ DemOWvLIyz"" (891.54)",2025-01-03T07:18:23.585Z,173588870358501
"-- starting hand #413 (id: 1jlq75p91oan)  (Pot Limit Omaha Hi) (dealer: ""Ayush @ FZR64VyIfx"") --",2025-01-03T07:18:23.585Z,173588870358500
"-- ending hand #412 --",2025-01-03T07:18:20.578Z,173588870057802
