entry,at,order
"""HY @ RzZqRjTje6"" shows a A♦.",2024-12-22T08:03:38.125Z,173485461812500
"""HY @ RzZqRjTje6"" shows a J♦.",2024-12-22T08:03:37.281Z,173485461728100
"-- ending hand #367 --",2024-12-22T08:03:37.095Z,173485461709502
"""SamD @ Dm4TwhYnFw"" collected 152.13 from pot with Two Pair, Q's & 10's on the second run  (combination: Q♠, Q♥, 10♣, 10♦, 7♥)",2024-12-22T08:03:37.095Z,173485461709501
"""SamD @ Dm4TwhYnFw"" collected 152.13 from pot with Two Pair, 10's & 5's (combination: 10♣, 10♦, 5♦, 5♥, K♠)",2024-12-22T08:03:37.095Z,173485461709500
"River (second run): Q♠, Q♥, 7♥, 7♣ [4♠]",2024-12-22T08:03:33.091Z,173485461309100
"Turn (second run): Q♠, Q♥, 7♥ [7♣]",2024-12-22T08:03:29.085Z,173485460908500
"Flop (second run):  [Q♠, Q♥, 7♥]",2024-12-22T08:03:25.057Z,173485460505700
"River: 8♥, 5♦, K♠, 4♦ [5♥]",2024-12-22T08:03:21.051Z,173485460105100
"Turn: 8♥, 5♦, K♠ [4♦]",2024-12-22T08:03:17.020Z,173485459702000
"Flop:  [8♥, 5♦, K♠]",2024-12-22T08:03:12.993Z,173485459299300
"""PaulB @ DemOWvLIyz"" shows a 9♠, 9♥.",2024-12-22T08:03:08.980Z,173485458898002
"""SamD @ Dm4TwhYnFw"" shows a 10♣, 10♦.",2024-12-22T08:03:08.980Z,173485458898001
"Uncalled bet of 307.07 returned to ""PaulB @ DemOWvLIyz""",2024-12-22T08:03:08.980Z,173485458898000
"All players in hand choose to run it twice.",2024-12-22T08:03:08.150Z,173485458815001
"""SamD @ Dm4TwhYnFw"" chooses to  run it twice.",2024-12-22T08:03:08.150Z,173485458815000
"""PaulB @ DemOWvLIyz"" chooses to  run it twice.",2024-12-22T08:03:04.368Z,173485458436800
"Remaining players decide whether to run it twice.",2024-12-22T08:03:02.710Z,173485458271001
"""HY @ RzZqRjTje6"" folds",2024-12-22T08:03:02.710Z,173485458271000
"""PaulB @ DemOWvLIyz"" raises to 440.20 and go all in",2024-12-22T08:02:59.641Z,173485457964100
"""SamD @ Dm4TwhYnFw"" raises to 133.13 and go all in",2024-12-22T08:02:41.327Z,173485456132700
"""HY @ RzZqRjTje6"" raises to 38.00",2024-12-22T08:02:34.914Z,173485455491400
"""PaulB @ DemOWvLIyz"" raises to 12.00",2024-12-22T08:02:29.939Z,173485454993900
"""SamD @ Dm4TwhYnFw"" calls 2.00",2024-12-22T08:02:25.644Z,173485454564400
"The admin ""SamD @ Dm4TwhYnFw"" enqueued the game stop on next hand.",2024-12-22T08:02:23.877Z,173485454387700
"""HY @ RzZqRjTje6"" posts a big blind of 2.00",2024-12-22T08:02:08.041Z,173485452804106
"""PaulB @ DemOWvLIyz"" posts a small blind of 1.00",2024-12-22T08:02:08.041Z,173485452804105
"Player stacks: #1 ""SamD @ Dm4TwhYnFw"" (133.13) | #4 ""PaulB @ DemOWvLIyz"" (440.20) | #9 ""HY @ RzZqRjTje6"" (984.13)",2024-12-22T08:02:08.041Z,173485452804101
"-- starting hand #367 (id: 1ggszmoijr8r)  (No Limit Texas Hold'em) (dealer: ""SamD @ Dm4TwhYnFw"") --",2024-12-22T08:02:08.041Z,173485452804100
"-- ending hand #366 --",2024-12-22T08:02:02.134Z,173485452213402
"""SamD @ Dm4TwhYnFw"" collected 4.00 from pot",2024-12-22T08:02:02.134Z,173485452213401
"Uncalled bet of 5.00 returned to ""SamD @ Dm4TwhYnFw""",2024-12-22T08:02:02.134Z,173485452213400
"""PaulB @ DemOWvLIyz"" folds",2024-12-22T08:02:01.278Z,173485452127800
"""SamD @ Dm4TwhYnFw"" raises to 7.00",2024-12-22T08:01:57.951Z,173485451795100
"""HY @ RzZqRjTje6"" folds",2024-12-22T08:01:54.404Z,173485451440400
"""PaulB @ DemOWvLIyz"" posts a big blind of 2.00",2024-12-22T08:01:53.183Z,173485451318306
"""SamD @ Dm4TwhYnFw"" posts a small blind of 1.00",2024-12-22T08:01:53.183Z,173485451318305
