entry,at,order
"The player ""PaulB @ DemOWvLIyz"" quits the game with a stack of 868.00.",2024-12-28T10:34:54.064Z,173538209406400
"The player ""bigslickenergy @ Jh1XF6aI_W"" quits the game with a stack of 483.30.",2024-12-28T10:34:26.770Z,173538206677000
"The admin ""HY @ RzZqRjTje6"" enqueued the game stop on next hand.",2024-12-28T10:33:47.362Z,173538202736200
"-- ending hand #214 --",2024-12-28T10:33:09.573Z,173538198957304
"""AHH @ k0nv5Q3DCM"" shows a 7♣, 3♠, Q♠, 10♦.",2024-12-28T10:33:09.573Z,173538198957303
"""PaulB @ DemOWvLIyz"" collected 434.00 from pot with Flush on the second board  (combination: Q♣, J♣, 10♣, 8♣, 5♣)",2024-12-28T10:33:09.573Z,173538198957302
"""PaulB @ DemOWvLIyz"" collected 434.00 from pot with Full House (combination: Q♣, Q♥, Q♦, 8♣, 8♦)",2024-12-28T10:33:09.573Z,173538198957301
"""PaulB @ DemOWvLIyz"" shows a 8♣, 5♠, Q♣, A♥.",2024-12-28T10:33:09.573Z,173538198957300
"""AHH @ k0nv5Q3DCM"" calls 374.00",2024-12-28T10:33:08.764Z,173538198876400
"""PaulB @ DemOWvLIyz"" raises to 374.00 and go all in",2024-12-28T10:32:57.515Z,173538197751500
"""AHH @ k0nv5Q3DCM"" bets 120.00",2024-12-28T10:32:50.582Z,173538197058200
"River (second board): 10♣, 9♠, J♣, 5♣ [K♦]",2024-12-28T10:32:43.509Z,173538196350901
"River: 8♦, 3♣, Q♥, Q♦ [7♠]",2024-12-28T10:32:43.509Z,173538196350900
"""PaulB @ DemOWvLIyz"" calls 40.00",2024-12-28T10:32:42.648Z,173538196264800
"""Ahmed @ 7a1arINwD3"" folds",2024-12-28T10:32:27.381Z,173538194738100
"""AHH @ k0nv5Q3DCM"" bets 40.00",2024-12-28T10:32:14.163Z,173538193416300
"Turn (second board): 10♣, 9♠, J♣ [5♣]",2024-12-28T10:31:49.237Z,173538190923701
"Turn: 8♦, 3♣, Q♥ [Q♦]",2024-12-28T10:31:49.237Z,173538190923700
"""bigslickenergy @ Jh1XF6aI_W"" folds",2024-12-28T10:31:48.421Z,173538190842100
"""HY @ RzZqRjTje6"" folds",2024-12-28T10:31:45.040Z,173538190504000
"""PaulB @ DemOWvLIyz"" calls 10.00",2024-12-28T10:31:44.026Z,173538190402600
"""Ahmed @ 7a1arINwD3"" calls 10.00",2024-12-28T10:31:33.336Z,173538189333600
"""AHH @ k0nv5Q3DCM"" bets 10.00",2024-12-28T10:31:30.723Z,173538189072300
"""bigslickenergy @ Jh1XF6aI_W"" checks",2024-12-28T10:31:20.217Z,173538188021700
"""HY @ RzZqRjTje6"" checks",2024-12-28T10:31:18.109Z,173538187810900
"Flop (second board):  [10♣, 9♠, J♣]",2024-12-28T10:31:05.808Z,173538186580801
"Flop:  [8♦, 3♣, Q♥]",2024-12-28T10:31:05.808Z,173538186580800
"""bigslickenergy @ Jh1XF6aI_W"" calls 2.00 (bomb pot bet)",2024-12-28T10:31:04.909Z,173538186490900
"""HY @ RzZqRjTje6"" calls 2.00 (bomb pot bet)",2024-12-28T10:31:04.097Z,173538186409700
"""PaulB @ DemOWvLIyz"" calls 2.00 (bomb pot bet)",2024-12-28T10:31:03.259Z,173538186325900
"""Ahmed @ 7a1arINwD3"" calls 2.00 (bomb pot bet)",2024-12-28T10:31:02.410Z,173538186241000
"""AHH @ k0nv5Q3DCM"" posts a bet of 2.00 (bomb pot bet)",2024-12-28T10:31:01.509Z,173538186150900
"Your hand is 7♣, 3♠, Q♠, 10♦",2024-12-28T10:30:59.493Z,173538185949304
"Player stacks: #1 ""HY @ RzZqRjTje6"" (904.73) | #2 ""bigslickenergy @ Jh1XF6aI_W"" (485.30) | #4 ""AHH @ k0nv5Q3DCM"" (1123.34) | #7 ""Ahmed @ 7a1arINwD3"" (840.63) | #8 ""PaulB @ DemOWvLIyz"" (426.00)",2024-12-28T10:30:59.493Z,173538185949301
"-- starting hand #214 (id: 1pwjubmb4tjt)  (Pot Limit Omaha Hi) (dealer: ""PaulB @ DemOWvLIyz"") --",2024-12-28T10:30:59.493Z,173538185949300
"-- ending hand #213 --",2024-12-28T10:30:56.589Z,173538185658902
"""HY @ RzZqRjTje6"" collected 100.00 from pot",2024-12-28T10:30:56.589Z,173538185658901
"Uncalled bet of 100.00 returned to ""HY @ RzZqRjTje6""",2024-12-28T10:30:56.589Z,173538185658900
"""PaulB @ DemOWvLIyz"" folds",2024-12-28T10:30:55.708Z,173538185570800
"""bigslickenergy @ Jh1XF6aI_W"" folds",2024-12-28T10:30:29.755Z,173538182975500
"""HY @ RzZqRjTje6"" bets 100.00",2024-12-28T10:30:28.185Z,173538182818500
"""PaulB @ DemOWvLIyz"" checks",2024-12-28T10:30:24.876Z,173538182487600
"River (second board): 8♦, 4♣, 5♦, 6♠ [A♥]",2024-12-28T10:30:23.187Z,173538182318701
"River: K♦, 5♠, 5♥, 3♦ [Q♥]",2024-12-28T10:30:23.187Z,173538182318700
"""PaulB @ DemOWvLIyz"" calls 20.00",2024-12-28T10:30:22.343Z,173538182234300
"""bigslickenergy @ Jh1XF6aI_W"" calls 20.00",2024-12-28T10:30:20.430Z,173538182043000
"""HY @ RzZqRjTje6"" bets 20.00",2024-12-28T10:30:16.280Z,173538181628000
"""PaulB @ DemOWvLIyz"" checks",2024-12-28T10:30:10.756Z,173538181075600
"Turn (second board): 8♦, 4♣, 5♦ [6♠]",2024-12-28T10:30:06.235Z,173538180623501
"Turn: K♦, 5♠, 5♥ [3♦]",2024-12-28T10:30:06.235Z,173538180623500
"""Ahmed @ 7a1arINwD3"" folds",2024-12-28T10:30:05.383Z,173538180538300
"""AHH @ k0nv5Q3DCM"" folds",2024-12-28T10:30:04.386Z,173538180438600
"""bigslickenergy @ Jh1XF6aI_W"" calls 10.00",2024-12-28T10:29:24.324Z,173538176432400
"""HY @ RzZqRjTje6"" calls 10.00",2024-12-28T10:29:14.306Z,173538175430600
"""PaulB @ DemOWvLIyz"" bets 10.00",2024-12-28T10:29:04.442Z,173538174444200
"Flop (second board):  [8♦, 4♣, 5♦]",2024-12-28T10:28:57.078Z,173538173707801
"Flop:  [K♦, 5♠, 5♥]",2024-12-28T10:28:57.078Z,173538173707800
"""HY @ RzZqRjTje6"" calls 2.00 (bomb pot bet)",2024-12-28T10:28:56.245Z,173538173624500
"""PaulB @ DemOWvLIyz"" calls 2.00 (bomb pot bet)",2024-12-28T10:28:55.403Z,173538173540300
"""Ahmed @ 7a1arINwD3"" calls 2.00 (bomb pot bet)",2024-12-28T10:28:54.559Z,173538173455900
"""AHH @ k0nv5Q3DCM"" calls 2.00 (bomb pot bet)",2024-12-28T10:28:53.678Z,173538173367800
"""bigslickenergy @ Jh1XF6aI_W"" posts a bet of 2.00 (bomb pot bet)",2024-12-28T10:28:52.841Z,173538173284100
"Your hand is 9♥, J♠, 7♥, 3♠",2024-12-28T10:28:50.802Z,173538173080204
"Player stacks: #1 ""HY @ RzZqRjTje6"" (836.73) | #2 ""bigslickenergy @ Jh1XF6aI_W"" (517.30) | #4 ""AHH @ k0nv5Q3DCM"" (1125.34) | #7 ""Ahmed @ 7a1arINwD3"" (842.63) | #8 ""PaulB @ DemOWvLIyz"" (458.00)",2024-12-28T10:28:50.802Z,173538173080201
"-- starting hand #213 (id: 6ssdl2xnxwvf)  (Pot Limit Omaha Hi) (dealer: ""Ahmed @ 7a1arINwD3"") --",2024-12-28T10:28:50.802Z,173538173080200
"-- ending hand #212 --",2024-12-28T10:28:45.788Z,173538172578802
"""bigslickenergy @ Jh1XF6aI_W"" collected 258.65 from pot with Straight on the second board  (combination: 7♥, 6♥, 5♠, 4♠, 3♦)",2024-12-28T10:28:45.788Z,173538172578801
"""bigslickenergy @ Jh1XF6aI_W"" collected 258.65 from pot with Three of a Kind (combination: A♣, A♦, A♥, Q♦, 8♦)",2024-12-28T10:28:45.788Z,173538172578800
"River (second board): 5♠, 3♦, 6♣, 7♥ [2♦]",2024-12-28T10:28:41.750Z,173538172175001
"River: 3♣, 8♦, A♥, 5♦ [Q♦]",2024-12-28T10:28:41.750Z,173538172175000
"""AHH @ k0nv5Q3DCM"" shows a 5♥, 8♣, 8♠, 7♣.",2024-12-28T10:28:37.747Z,173538171774701
"""bigslickenergy @ Jh1XF6aI_W"" shows a A♣, 4♠, A♦, 6♥.",2024-12-28T10:28:37.747Z,173538171774700
"""AHH @ k0nv5Q3DCM"" calls 123.65",2024-12-28T10:28:36.876Z,173538171687600
"""bigslickenergy @ Jh1XF6aI_W"" bets 123.65 and go all in",2024-12-28T10:28:20.843Z,173538170084300
"Turn (second board): 5♠, 3♦, 6♣ [7♥]",2024-12-28T10:28:13.125Z,173538169312501
"Turn: 3♣, 8♦, A♥ [5♦]",2024-12-28T10:28:13.125Z,173538169312500
