entry,at,order
"The player ""A H H @ KKDJ1brgcv"" stand up with the stack of 642.10.",2024-12-29T09:02:19.610Z,173546293961000
"The admin ""HY @ RzZqRjTje6"" enqueued the game stop on next hand.",2024-12-29T09:02:05.029Z,173546292502900
"-- ending hand #399 --",2024-12-29T09:01:55.766Z,173546291576604
"""Ahmed @ 7a1arINwD3"" collected 56.25 from pot with Straight on the second board  (combination: 9♦, 8♣, 7♠, 6♣, 5♥)",2024-12-29T09:01:55.766Z,173546291576603
"""Ahmed @ 7a1arINwD3"" shows a 7♠, 5♥, 6♦, A♠.",2024-12-29T09:01:55.766Z,173546291576602
"""A H H @ KKDJ1brgcv"" collected 56.25 from pot with Straight (combination: 6♠, 5♠, 4♦, 3♠, 2♦)",2024-12-29T09:01:55.766Z,173546291576601
"""A H H @ KKDJ1brgcv"" shows a 6♠, 3♠, 2♥, 10♠.",2024-12-29T09:01:55.766Z,173546291576600
"""A H H @ KKDJ1brgcv"" calls 37.50",2024-12-29T09:01:54.912Z,173546291491200
"""Ahmed @ 7a1arINwD3"" bets 37.50",2024-12-29T09:01:52.460Z,173546291246000
"River (second board): 3♥, 9♦, 6♣, 8♣ [A♥]",2024-12-29T09:01:47.558Z,173546290755801
"River: 9♣, 5♠, 4♦, 4♣ [2♦]",2024-12-29T09:01:47.558Z,173546290755800
"""A H H @ KKDJ1brgcv"" calls 11.25",2024-12-29T09:01:46.721Z,173546290672100
"""Ahmed @ 7a1arINwD3"" bets 11.25",2024-12-29T09:01:44.299Z,173546290429900
"Turn (second board): 3♥, 9♦, 6♣ [8♣]",2024-12-29T09:01:38.456Z,173546289845601
"Turn: 9♣, 5♠, 4♦ [4♣]",2024-12-29T09:01:38.456Z,173546289845600
"""HY @ RzZqRjTje6"" folds",2024-12-29T09:01:37.596Z,173546289759600
"""A H H @ KKDJ1brgcv"" calls 4.50",2024-12-29T09:01:36.155Z,173546289615500
"""Ahmed @ 7a1arINwD3"" bets 4.50",2024-12-29T09:01:32.301Z,173546289230100
"Flop (second board):  [3♥, 9♦, 6♣]",2024-12-29T09:01:20.245Z,173546288024501
"Flop:  [9♣, 5♠, 4♦]",2024-12-29T09:01:20.245Z,173546288024500
"""HY @ RzZqRjTje6"" calls 2.00 (bomb pot bet)",2024-12-29T09:01:19.415Z,173546287941500
"""A H H @ KKDJ1brgcv"" calls 2.00 (bomb pot bet)",2024-12-29T09:01:18.553Z,173546287855300
"""Ahmed @ 7a1arINwD3"" posts a bet of 2.00 (bomb pot bet)",2024-12-29T09:01:17.726Z,173546287772600
"Your hand is 6♠, 3♠, 2♥, 10♠",2024-12-29T09:01:15.641Z,173546287564104
"Player stacks: #1 ""HY @ RzZqRjTje6"" (655.83) | #2 ""Ahmed @ 7a1arINwD3"" (192.54) | #4 ""A H H @ KKDJ1brgcv"" (641.10)",2024-12-29T09:01:15.641Z,173546287564101
"-- starting hand #399 (id: rkcffmk4nczu)  (Pot Limit Omaha Hi) (dealer: ""HY @ RzZqRjTje6"") --",2024-12-29T09:01:15.641Z,173546287564100
"-- ending hand #398 --",2024-12-29T09:01:09.716Z,173546286971602
"""A H H @ KKDJ1brgcv"" collected 18.00 from pot",2024-12-29T09:01:09.716Z,173546286971601
"Uncalled bet of 18.00 returned to ""A H H @ KKDJ1brgcv""",2024-12-29T09:01:09.716Z,173546286971600
"""HY @ RzZqRjTje6"" folds",2024-12-29T09:01:08.889Z,173546286888900
"""A H H @ KKDJ1brgcv"" bets 18.00",2024-12-29T09:01:07.174Z,173546286717400
"""HY @ RzZqRjTje6"" checks",2024-12-29T09:00:54.639Z,173546285463900
"Turn (second board): Q♣, 6♦, 2♠ [7♣]",2024-12-29T09:00:52.656Z,173546285265601
"Turn: 5♥, 2♦, 9♦ [6♠]",2024-12-29T09:00:52.656Z,173546285265600
"""Ahmed @ 7a1arINwD3"" folds",2024-12-29T09:00:51.837Z,173546285183700
"""HY @ RzZqRjTje6"" calls 6.00",2024-12-29T09:00:45.384Z,173546284538400
"""A H H @ KKDJ1brgcv"" bets 6.00",2024-12-29T09:00:43.347Z,173546284334700
"""Ahmed @ 7a1arINwD3"" checks",2024-12-29T09:00:14.940Z,173546281494000
"""HY @ RzZqRjTje6"" checks",2024-12-29T09:00:08.739Z,173546280873900
"Flop (second board):  [Q♣, 6♦, 2♠]",2024-12-29T09:00:02.965Z,173546280296501
"Flop:  [5♥, 2♦, 9♦]",2024-12-29T09:00:02.965Z,173546280296500
"""A H H @ KKDJ1brgcv"" calls 2.00 (bomb pot bet)",2024-12-29T09:00:02.135Z,173546280213500
"""Ahmed @ 7a1arINwD3"" calls 2.00 (bomb pot bet)",2024-12-29T09:00:01.325Z,173546280132500
"""HY @ RzZqRjTje6"" posts a bet of 2.00 (bomb pot bet)",2024-12-29T09:00:00.446Z,173546280044600
"Your hand is 8♦, 9♥, Q♦, A♣",2024-12-29T08:59:58.350Z,173546279835004
"Player stacks: #1 ""HY @ RzZqRjTje6"" (663.83) | #2 ""Ahmed @ 7a1arINwD3"" (194.54) | #4 ""A H H @ KKDJ1brgcv"" (631.10)",2024-12-29T08:59:58.350Z,173546279835001
"-- starting hand #398 (id: jgwoafqyyxd9)  (Pot Limit Omaha Hi) (dealer: ""A H H @ KKDJ1brgcv"") --",2024-12-29T08:59:58.350Z,173546279835000
"-- ending hand #397 --",2024-12-29T08:59:52.433Z,173546279243302
"""A H H @ KKDJ1brgcv"" collected 6.00 from pot",2024-12-29T08:59:52.433Z,173546279243301
"Uncalled bet of 6.00 returned to ""A H H @ KKDJ1brgcv""",2024-12-29T08:59:52.433Z,173546279243300
"""Ahmed @ 7a1arINwD3"" folds",2024-12-29T08:59:51.608Z,173546279160800
"""HY @ RzZqRjTje6"" folds",2024-12-29T08:59:50.287Z,173546279028700
"""A H H @ KKDJ1brgcv"" bets 6.00",2024-12-29T08:59:48.018Z,173546278801800
"Flop (second board):  [7♦, 2♥, 3♠]",2024-12-29T08:59:41.672Z,173546278167201
"Flop:  [4♥, 10♣, 10♥]",2024-12-29T08:59:41.672Z,173546278167200
"""HY @ RzZqRjTje6"" calls 2.00 (bomb pot bet)",2024-12-29T08:59:40.825Z,173546278082500
"""A H H @ KKDJ1brgcv"" calls 2.00 (bomb pot bet)",2024-12-29T08:59:39.907Z,173546277990700
"""Ahmed @ 7a1arINwD3"" posts a bet of 2.00 (bomb pot bet)",2024-12-29T08:59:39.069Z,173546277906900
"Your hand is 7♥, 10♦, 3♣, 2♦",2024-12-29T08:59:37.021Z,173546277702104
