entry,at,order
"The player ""AHH @ BBhPdfgXPT"" stand up with the stack of 637.18.",2025-01-02T07:46:03.728Z,173580396372800
"The player ""PaulB @ DemOWvLIyz"" quits the game with a stack of 512.48.",2025-01-02T07:45:57.770Z,173580395777001
"The player ""Dode @ cAPB5rnx1I"" stand up with the stack of 166.48.",2025-01-02T07:45:57.770Z,173580395777000
"The admin ""HY @ RzZqRjTje6"" enqueued the game stop on next hand.",2025-01-02T07:45:54.966Z,173580395496600
"-- ending hand #481 --",2025-01-02T07:45:48.346Z,173580394834603
"""AHH @ BBhPdfgXPT"" shows a 7♦, A♦.",2025-01-02T07:45:48.346Z,173580394834602
"""HY @ RzZqRjTje6"" collected 20.00 from pot with Pair, 9's (combination: 9♠, 9♣, 10♦, 8♥, 7♠)",2025-01-02T07:45:48.346Z,173580394834601
"""HY @ RzZqRjTje6"" shows a 9♠, 7♠.",2025-01-02T07:45:48.346Z,173580394834600
"""HY @ RzZqRjTje6"" checks",2025-01-02T07:45:47.542Z,173580394754200
"""AHH @ BBhPdfgXPT"" checks",2025-01-02T07:45:44.934Z,173580394493400
"River: 9♣, 5♥, 2♦, 10♦ [8♥]",2025-01-02T07:45:41.008Z,173580394100800
"""HY @ RzZqRjTje6"" checks",2025-01-02T07:45:40.163Z,173580394016300
"""AHH @ BBhPdfgXPT"" checks",2025-01-02T07:45:37.909Z,173580393790900
"Turn: 9♣, 5♥, 2♦ [10♦]",2025-01-02T07:45:35.842Z,173580393584200
"""Dode @ cAPB5rnx1I"" folds",2025-01-02T07:45:34.998Z,173580393499800
"""AHH @ BBhPdfgXPT"" calls 5.00",2025-01-02T07:45:34.147Z,173580393414700
"""HY @ RzZqRjTje6"" bets 5.00",2025-01-02T07:45:27.828Z,173580392782800
"""Dode @ cAPB5rnx1I"" checks",2025-01-02T07:45:25.470Z,173580392547000
"""AHH @ BBhPdfgXPT"" checks",2025-01-02T07:45:20.459Z,173580392045900
"Flop:  [9♣, 5♥, 2♦]",2025-01-02T07:45:18.061Z,173580391806100
"""PaulB @ DemOWvLIyz"" folds",2025-01-02T07:45:17.206Z,173580391720600
"""AHH @ BBhPdfgXPT"" calls 3.00",2025-01-02T07:45:14.895Z,173580391489500
"""HY @ RzZqRjTje6"" calls 3.00",2025-01-02T07:45:11.851Z,173580391185100
"""Dode @ cAPB5rnx1I"" raises to 3.00",2025-01-02T07:45:09.553Z,173580390955300
"""PaulB @ DemOWvLIyz"" posts a big blind of 1.00",2025-01-02T07:44:53.439Z,173580389343907
"""AHH @ BBhPdfgXPT"" posts a small blind of 0.50",2025-01-02T07:44:53.439Z,173580389343906
"Your hand is 7♦, A♦",2025-01-02T07:44:53.439Z,173580389343903
"Player stacks: #1 ""HY @ RzZqRjTje6"" (1069.00) | #4 ""AHH @ BBhPdfgXPT"" (645.18) | #8 ""PaulB @ DemOWvLIyz"" (513.48) | #9 ""Dode @ cAPB5rnx1I"" (169.48)",2025-01-02T07:44:53.439Z,173580389343901
"-- starting hand #481 (id: 3ccjorr24xco)  (No Limit Texas Hold'em) (dealer: ""HY @ RzZqRjTje6"") --",2025-01-02T07:44:53.439Z,173580389343900
"""Dode @ cAPB5rnx1I"" shows a 9♣, J♣.",2025-01-02T07:44:47.721Z,173580388772100
"-- ending hand #480 --",2025-01-02T07:44:46.827Z,173580388682702
"""HY @ RzZqRjTje6"" collected 7.00 from pot",2025-01-02T07:44:46.827Z,173580388682701
