entry,at,order
"The player ""BP @ 3nEm3CsHfN"" quits the game with a stack of 1672.",2025-01-04T10:33:19.134Z,173598679913400
"The player ""reilly @ FkycgsPCCs"" stand up with the stack of 1056.",2025-01-04T10:33:17.126Z,173598679712600
"The player ""BP @ 3nEm3CsHfN"" stand up with the stack of 1672.",2025-01-04T10:33:14.070Z,173598679407000
"-- ending hand #510 --",2025-01-04T10:33:08.060Z,173598678806003
"""reilly @ FkycgsPCCs"" shows a 9♦, 9♠, 7♠, 10♥.",2025-01-04T10:33:08.060Z,173598678806002
"""BP @ 3nEm3CsHfN"" collected 42 from pot with Two Pair (combination: A♦, A♣, 2♦, 2♠, 9♥)",2025-01-04T10:33:08.060Z,173598678806001
"""BP @ 3nEm3CsHfN"" shows a 7♥, 9♥, A♦, 8♥.",2025-01-04T10:33:08.060Z,173598678806000
"""reilly @ FkycgsPCCs"" checks",2025-01-04T10:33:07.234Z,173598678723400
"""BP @ 3nEm3CsHfN"" checks",2025-01-04T10:32:53.362Z,173598677336200
"River: 2♦, 4♠, A♣, 6♣ [2♠]",2025-01-04T10:32:50.505Z,173598677050500
"""reilly @ FkycgsPCCs"" checks",2025-01-04T10:32:49.666Z,173598676966600
"""BP @ 3nEm3CsHfN"" checks",2025-01-04T10:32:39.502Z,173598675950200
"Turn: 2♦, 4♠, A♣ [6♣]",2025-01-04T10:32:38.636Z,173598675863600
"""BP @ 3nEm3CsHfN"" calls 12",2025-01-04T10:32:37.832Z,173598675783200
"""reilly @ FkycgsPCCs"" bets 12",2025-01-04T10:32:35.593Z,173598675559300
"""BP @ 3nEm3CsHfN"" checks",2025-01-04T10:32:20.479Z,173598674047900
"Flop:  [2♦, 4♠, A♣]",2025-01-04T10:32:19.557Z,173598673955700
"""BP @ 3nEm3CsHfN"" calls 9",2025-01-04T10:32:18.707Z,173598673870700
"""reilly @ FkycgsPCCs"" raises to 9",2025-01-04T10:32:17.746Z,173598673774600
"""BP @ 3nEm3CsHfN"" posts a big blind of 3",2025-01-04T10:32:15.250Z,173598673525005
"""reilly @ FkycgsPCCs"" posts a small blind of 1",2025-01-04T10:32:15.250Z,173598673525004
"Player stacks: #2 ""BP @ 3nEm3CsHfN"" (1651) | #9 ""reilly @ FkycgsPCCs"" (1077)",2025-01-04T10:32:15.250Z,173598673525001
"-- starting hand #510 (id: unkwgk6kzhwj)  (Pot Limit Omaha Hi) (dealer: ""reilly @ FkycgsPCCs"") --",2025-01-04T10:32:15.250Z,173598673525000
"-- ending hand #509 --",2025-01-04T10:32:09.239Z,173598672923902
"""BP @ 3nEm3CsHfN"" collected 18 from pot with Two Pair (combination: 9♠, 9♥, 4♣, 4♥, Q♣)",2025-01-04T10:32:09.239Z,173598672923901
"""BP @ 3nEm3CsHfN"" shows a Q♣, 6♥, 9♠, 3♣.",2025-01-04T10:32:09.239Z,173598672923900
"""BP @ 3nEm3CsHfN"" checks",2025-01-04T10:32:08.423Z,173598672842300
"""reilly @ FkycgsPCCs"" checks",2025-01-04T10:32:07.185Z,173598672718500
"River: 7♥, 4♣, 4♥, 3♠ [9♥]",2025-01-04T10:31:54.550Z,173598671455000
"""BP @ 3nEm3CsHfN"" checks",2025-01-04T10:31:53.732Z,173598671373200
