entry,at,order
"The player ""andrew @ M-txUWRuoU"" stand up with the stack of 473.",2024-03-13T04:33:04.353Z,171030438435300
"-- ending hand #322 --",2024-03-13T04:32:58.292Z,171030437829203
"""dan @ rwms3LQdtc"" shows a 7♣, A♥.",2024-03-13T04:32:58.292Z,171030437829202
"""BiggieBlinds @ VjX0IWpUJc"" collected 84 from pot with Pair, 4's (combination: 4♠, 4♥, Q♣, J♥, 6♠)",2024-03-13T04:32:58.292Z,171030437829201
"""BiggieBlinds @ VjX0IWpUJc"" shows a 4♠, 3♥.",2024-03-13T04:32:58.292Z,171030437829200
"""dan @ rwms3LQdtc"" checks",2024-03-13T04:32:57.453Z,171030437745300
"""BiggieBlinds @ VjX0IWpUJc"" checks",2024-03-13T04:32:51.234Z,171030437123400
"River: J♥, 6♠, 5♥, Q♣ [4♥]",2024-03-13T04:32:49.688Z,171030436968800
"""BiggieBlinds @ VjX0IWpUJc"" calls 26",2024-03-13T04:32:48.866Z,171030436886600
"""dan @ rwms3LQdtc"" bets 26",2024-03-13T04:32:47.861Z,171030436786100
"""BiggieBlinds @ VjX0IWpUJc"" checks",2024-03-13T04:32:41.268Z,171030436126800
"Turn: J♥, 6♠, 5♥ [Q♣]",2024-03-13T04:32:39.623Z,171030435962300
"""Tydy SPEEEED @ Uahb_ZRP0g"" folds",2024-03-13T04:32:38.802Z,171030435880200
"""dan @ rwms3LQdtc"" calls 13",2024-03-13T04:32:34.239Z,171030435423900
"""BiggieBlinds @ VjX0IWpUJc"" bets 13",2024-03-13T04:32:32.353Z,171030435235300
"Flop:  [J♥, 6♠, 5♥]",2024-03-13T04:32:26.777Z,171030434677700
"""BiggieBlinds @ VjX0IWpUJc"" checks",2024-03-13T04:32:25.909Z,171030434590900
"The admin ""murph poor @ TxgfNQXNxo"" enqueued the game stop on next hand.",2024-03-13T04:32:20.212Z,171030434021200
"""Tydy SPEEEED @ Uahb_ZRP0g"" calls 2",2024-03-13T04:32:14.200Z,171030433420000
"""dan @ rwms3LQdtc"" calls 2",2024-03-13T04:32:06.184Z,171030432618400
"""mol @ omhreDE5sa"" folds",2024-03-13T04:32:05.297Z,171030432529700
"""andrew @ M-txUWRuoU"" folds",2024-03-13T04:32:04.380Z,171030432438000
"""BiggieBlinds @ VjX0IWpUJc"" posts a big blind of 2",2024-03-13T04:32:02.244Z,171030432224410
"Dead Small Blind",2024-03-13T04:32:02.244Z,171030432224409
"Player stacks: #3 ""mol @ omhreDE5sa"" (914) | #4 ""dan @ rwms3LQdtc"" (268) | #5 ""Tydy SPEEEED @ Uahb_ZRP0g"" (1260) | #7 ""BiggieBlinds @ VjX0IWpUJc"" (612) | #10 ""andrew @ M-txUWRuoU"" (473)",2024-03-13T04:32:02.244Z,171030432224403
"-- starting hand #322 (id: 9d06l3hzx9ew)  (No Limit Texas Hold'em) (dealer: ""Tydy SPEEEED @ Uahb_ZRP0g"") --",2024-03-13T04:32:02.244Z,171030432224402
"The player ""Eli17 @ dqHJWRCDNB"" quits the game with a stack of 418.",2024-03-13T04:32:02.244Z,171030432224401
"The player ""NurseWhale @ D4LDhczIoW"" quits the game with a stack of 0.",2024-03-13T04:32:02.244Z,171030432224400
"-- ending hand #321 --",2024-03-13T04:31:56.184Z,171030431618401
"""Tydy SPEEEED @ Uahb_ZRP0g"" collected 1040 from pot with Two Pair, A's & 6's (combination: A♣, A♦, 6♠, 6♥, K♦)",2024-03-13T04:31:56.184Z,171030431618400
"River: 6♠, K♦, 10♦, 9♦ [6♥]",2024-03-13T04:31:52.176Z,171030431217600
"Turn: 6♠, K♦, 10♦ [9♦]",2024-03-13T04:31:48.147Z,171030430814700
"Flop:  [6♠, K♦, 10♦]",2024-03-13T04:31:44.139Z,171030430413900
"""NurseWhale @ D4LDhczIoW"" shows a 4♥, A♥.",2024-03-13T04:31:40.132Z,171030430013201
"""Tydy SPEEEED @ Uahb_ZRP0g"" shows a A♣, A♦.",2024-03-13T04:31:40.132Z,171030430013200
"Some players choose to not run it twice.",2024-03-13T04:31:39.314Z,171030429931401
"""Tydy SPEEEED @ Uahb_ZRP0g"" chooses to not run it twice.",2024-03-13T04:31:39.314Z,171030429931400
"Remaining players decide whether to run it twice.",2024-03-13T04:31:38.323Z,171030429832301
"""Tydy SPEEEED @ Uahb_ZRP0g"" calls 517",2024-03-13T04:31:38.323Z,171030429832300
"""NurseWhale @ D4LDhczIoW"" raises to 517 and go all in",2024-03-13T04:31:36.759Z,171030429675900
"""Tydy SPEEEED @ Uahb_ZRP0g"" raises to 115",2024-03-13T04:31:29.880Z,171030428988000
"""dan @ rwms3LQdtc"" folds",2024-03-13T04:31:22.474Z,171030428247400
"""mol @ omhreDE5sa"" folds",2024-03-13T04:31:21.635Z,171030428163500
"""BiggieBlinds @ VjX0IWpUJc"" folds",2024-03-13T04:31:20.561Z,171030428056100
"""NurseWhale @ D4LDhczIoW"" raises to 42",2024-03-13T04:31:14.282Z,171030427428200
"""Tydy SPEEEED @ Uahb_ZRP0g"" raises to 14",2024-03-13T04:31:11.073Z,171030427107300
"""dan @ rwms3LQdtc"" calls 2",2024-03-13T04:31:06.871Z,171030426687100
"""mol @ omhreDE5sa"" calls 2",2024-03-13T04:31:05.903Z,171030426590300
"""andrew @ M-txUWRuoU"" folds",2024-03-13T04:31:04.555Z,171030426455500
"""Eli17 @ dqHJWRCDNB"" folds",2024-03-13T04:31:03.645Z,171030426364500
"""BiggieBlinds @ VjX0IWpUJc"" calls 2",2024-03-13T04:31:02.766Z,171030426276600
"""NurseWhale @ D4LDhczIoW"" posts a big blind of 2",2024-03-13T04:30:59.655Z,171030425965510
"""Tydy SPEEEED @ Uahb_ZRP0g"" posts a small blind of 1",2024-03-13T04:30:59.655Z,171030425965509
"Your hand is 4♥, A♥",2024-03-13T04:30:59.655Z,171030425965505
