entry,at,order
"The player ""Ben @ Vu6AMdjLi7"" canceled the seat request.",2024-10-19T22:53:07.125Z,172937838712500
"The player ""Ben @ Vu6AMdjLi7"" requested a seat.",2024-10-19T22:48:59.896Z,172937813989600
"The player ""Taiyo @ oRLZGd29jc"" quits the game with a stack of 639.",2024-10-19T22:45:23.862Z,172937792386201
"The player ""Zach Z @ DpZUpuFL0s"" stand up with the stack of 935.",2024-10-19T22:45:23.862Z,172937792386200
"-- ending hand #172 --",2024-10-19T22:45:17.857Z,172937791785704
"""Zach Z @ DpZUpuFL0s"" collected 3 from pot with Flush, Ks High (combination: K♠, 8♠, 6♠, 5♠, 3♠)",2024-10-19T22:45:17.857Z,172937791785703
"""Zach Z @ DpZUpuFL0s"" shows a 6♥, 2♥.",2024-10-19T22:45:17.857Z,172937791785702
"""Taiyo @ oRLZGd29jc"" collected 3 from pot with Flush, Ks High (combination: K♠, 8♠, 6♠, 5♠, 3♠)",2024-10-19T22:45:17.857Z,172937791785701
"""Taiyo @ oRLZGd29jc"" shows a 8♦, 3♥.",2024-10-19T22:45:17.857Z,172937791785700
"""Zach Z @ DpZUpuFL0s"" checks",2024-10-19T22:45:17.017Z,172937791701700
"""Taiyo @ oRLZGd29jc"" checks",2024-10-19T22:45:16.060Z,172937791606000
"River: K♠, 6♠, 5♠, 3♠ [8♠]",2024-10-19T22:45:14.445Z,172937791444500
"""Zach Z @ DpZUpuFL0s"" checks",2024-10-19T22:45:13.631Z,172937791363100
"""Taiyo @ oRLZGd29jc"" checks",2024-10-19T22:45:12.654Z,172937791265400
"Turn: K♠, 6♠, 5♠ [3♠]",2024-10-19T22:45:11.737Z,172937791173700
"""Zach Z @ DpZUpuFL0s"" checks",2024-10-19T22:45:10.929Z,172937791092900
"""Taiyo @ oRLZGd29jc"" checks",2024-10-19T22:45:06.330Z,172937790633000
"Flop:  [K♠, 6♠, 5♠]",2024-10-19T22:45:04.893Z,172937790489300
"""Taiyo @ oRLZGd29jc"" checks",2024-10-19T22:45:04.055Z,172937790405500
"""Zach Z @ DpZUpuFL0s"" calls 3",2024-10-19T22:45:03.184Z,172937790318400
"""Taiyo @ oRLZGd29jc"" posts a big blind of 3",2024-10-19T22:45:01.626Z,172937790162605
"""Zach Z @ DpZUpuFL0s"" posts a small blind of 1",2024-10-19T22:45:01.626Z,172937790162604
"Player stacks: #4 ""Taiyo @ oRLZGd29jc"" (639) | #9 ""Zach Z @ DpZUpuFL0s"" (935)",2024-10-19T22:45:01.626Z,172937790162601
"-- starting hand #172 (id: uafqmffr112a)  (No Limit Texas Hold'em) (dealer: ""Zach Z @ DpZUpuFL0s"") --",2024-10-19T22:45:01.626Z,172937790162600
"-- ending hand #171 --",2024-10-19T22:44:58.676Z,172937789867602
"""Taiyo @ oRLZGd29jc"" collected 30 from pot",2024-10-19T22:44:58.676Z,172937789867601
"Uncalled bet of 20 returned to ""Taiyo @ oRLZGd29jc""",2024-10-19T22:44:58.676Z,172937789867600
"""Zach Z @ DpZUpuFL0s"" folds",2024-10-19T22:44:57.840Z,172937789784000
"""Taiyo @ oRLZGd29jc"" bets 20",2024-10-19T22:44:55.992Z,172937789599200
