entry,at,order
"The player ""BP @ u8ZkobHQbm"" quits the game with a stack of 1024.",2025-01-05T09:55:25.366Z,173607092536600
"The player ""Arvind @ eP5JvHDh7G"" quits the game with a stack of 627.",2025-01-05T09:32:49.073Z,173606956907300
"The player ""Arvind @ eP5JvHDh7G"" stand up with the stack of 627.",2025-01-05T09:29:54.834Z,173606939483400
"The player ""reilly @ FkycgsPCCs"" quits the game with a stack of 644.",2025-01-05T09:29:45.113Z,173606938511301
"The player ""Sai @ 0Y4I9d7s02"" stand up with the stack of 851.",2025-01-05T09:29:45.113Z,173606938511300
"-- ending hand #397 --",2025-01-05T09:29:42.210Z,173606938221002
"""Sai @ 0Y4I9d7s02"" collected 110 from pot",2025-01-05T09:29:42.210Z,173606938221001
"Uncalled bet of 110 returned to ""Sai @ 0Y4I9d7s02""",2025-01-05T09:29:42.210Z,173606938221000
"""Arvind @ eP5JvHDh7G"" folds",2025-01-05T09:29:41.373Z,173606938137300
"""Sai @ 0Y4I9d7s02"" raises to 143",2025-01-05T09:29:38.726Z,173606937872600
"""Arvind @ eP5JvHDh7G"" bets 33",2025-01-05T09:29:32.193Z,173606937219300
"""Sai @ 0Y4I9d7s02"" checks",2025-01-05T09:29:28.663Z,173606936866300
"Turn: 4♠, J♥, A♥ [Q♦]",2025-01-05T09:29:24.676Z,173606936467600
"""Sai @ 0Y4I9d7s02"" calls 13",2025-01-05T09:29:23.802Z,173606936380200
"""Arvind @ eP5JvHDh7G"" bets 13",2025-01-05T09:29:21.758Z,173606936175800
"""Sai @ 0Y4I9d7s02"" checks",2025-01-05T09:29:18.643Z,173606935864300
"Flop:  [4♠, J♥, A♥]",2025-01-05T09:29:15.386Z,173606935538600
"""Sai @ 0Y4I9d7s02"" calls 9",2025-01-05T09:29:14.563Z,173606935456300
"""Arvind @ eP5JvHDh7G"" raises to 9",2025-01-05T09:29:12.923Z,173606935292300
"The player ""reilly @ FkycgsPCCs"" passed the room ownership to ""Sai @ 0Y4I9d7s02"".",2025-01-05T09:29:12.462Z,173606935246200
"""Sai @ 0Y4I9d7s02"" posts a big blind of 3",2025-01-05T09:29:09.529Z,173606934952906
"""Arvind @ eP5JvHDh7G"" posts a small blind of 1",2025-01-05T09:29:09.529Z,173606934952905
"Player stacks: #2 ""Arvind @ eP5JvHDh7G"" (682) | #5 ""Sai @ 0Y4I9d7s02"" (796)",2025-01-05T09:29:09.529Z,173606934952902
"-- starting hand #397 (id: ogbgypisxjin)  (Pot Limit Omaha Hi) (dealer: ""Arvind @ eP5JvHDh7G"") --",2025-01-05T09:29:09.529Z,173606934952901
"The player ""reilly @ FkycgsPCCs"" stand up with the stack of 644.",2025-01-05T09:29:09.529Z,173606934952900
"-- ending hand #396 --",2025-01-05T09:29:06.574Z,173606934657402
"""Sai @ 0Y4I9d7s02"" collected 40 from pot",2025-01-05T09:29:06.574Z,173606934657401
"Uncalled bet of 40 returned to ""Sai @ 0Y4I9d7s02""",2025-01-05T09:29:06.574Z,173606934657400
"""Arvind @ eP5JvHDh7G"" folds",2025-01-05T09:29:05.762Z,173606934576200
"""reilly @ FkycgsPCCs"" folds",2025-01-05T09:29:04.645Z,173606934464500
"""Sai @ 0Y4I9d7s02"" bets 40",2025-01-05T09:28:49.063Z,173606932906300
