entry,at,order
"The player ""reilly @ FkycgsPCCs"" stand up with the stack of 1338.",2024-04-30T07:59:51.175Z,171446399117500
"The player ""scott s @ FhatGh_xn0"" quits the game with a stack of 647.",2024-04-30T07:59:32.895Z,171446397289500
"-- ending hand #1248 --",2024-04-30T07:59:29.963Z,171446396996302
"""reilly @ FkycgsPCCs"" collected 2 from pot",2024-04-30T07:59:29.963Z,171446396996301
"Uncalled bet of 2 returned to ""reilly @ FkycgsPCCs""",2024-04-30T07:59:29.963Z,171446396996300
"""scott s @ FhatGh_xn0"" folds",2024-04-30T07:59:29.097Z,171446396909700
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-04-30T07:59:26.841Z,171446396684105
"""scott s @ FhatGh_xn0"" posts a small blind of 1",2024-04-30T07:59:26.841Z,171446396684104
"Player stacks: #1 ""scott s @ FhatGh_xn0"" (648) | #10 ""reilly @ FkycgsPCCs"" (1337)",2024-04-30T07:59:26.841Z,171446396684101
"-- starting hand #1248 (id: oaxdescwdyvj)  (No Limit Texas Hold'em) (dealer: ""scott s @ FhatGh_xn0"") --",2024-04-30T07:59:26.841Z,171446396684100
"-- ending hand #1247 --",2024-04-30T07:59:23.814Z,171446396381402
"""reilly @ FkycgsPCCs"" collected 12 from pot with Pair, 2's (combination: 2♦, 2♠, A♥, Q♦, 8♦)",2024-04-30T07:59:23.814Z,171446396381401
"""reilly @ FkycgsPCCs"" shows a A♥, Q♦.",2024-04-30T07:59:23.814Z,171446396381400
"""reilly @ FkycgsPCCs"" checks",2024-04-30T07:59:22.989Z,171446396298900
"""scott s @ FhatGh_xn0"" checks",2024-04-30T07:59:22.146Z,171446396214600
"River: 8♦, 2♦, 2♠, 3♥ [4♥]",2024-04-30T07:59:21.674Z,171446396167400
"""reilly @ FkycgsPCCs"" checks",2024-04-30T07:59:20.861Z,171446396086100
"""scott s @ FhatGh_xn0"" checks",2024-04-30T07:59:12.637Z,171446395263700
"Turn: 8♦, 2♦, 2♠ [3♥]",2024-04-30T07:59:10.657Z,171446395065700
"""reilly @ FkycgsPCCs"" checks",2024-04-30T07:59:09.822Z,171446394982200
"""scott s @ FhatGh_xn0"" checks",2024-04-30T07:58:44.006Z,171446392400600
