entry,at,order
"The player ""BP @ 3nEm3CsHfN"" quits the game with a stack of 0.",2024-04-25T09:16:09.865Z,171403656986500
"-- ending hand #1002 --",2024-04-25T09:16:03.859Z,171403656385903
"""BP @ 3nEm3CsHfN"" shows a Q♣, 8♥.",2024-04-25T09:16:03.859Z,171403656385902
"""Zach Z @ VHwatE4yBu"" collected 140 from pot with Straight, Q High (combination: Q♥, J♦, 10♦, 9♥, 8♦)",2024-04-25T09:16:03.859Z,171403656385901
"""Zach Z @ VHwatE4yBu"" shows a 10♦, 8♦.",2024-04-25T09:16:03.859Z,171403656385900
"""BP @ 3nEm3CsHfN"" calls 48 and go all in",2024-04-25T09:16:03.036Z,171403656303600
"""Zach Z @ VHwatE4yBu"" bets 48",2024-04-25T09:16:00.995Z,171403656099500
"""BP @ 3nEm3CsHfN"" checks",2024-04-25T09:15:56.492Z,171403655649200
"River: J♦, Q♥, 3♣, 2♦ [9♥]",2024-04-25T09:15:55.579Z,171403655557900
"""BP @ 3nEm3CsHfN"" calls 11",2024-04-25T09:15:54.769Z,171403655476900
"""Zach Z @ VHwatE4yBu"" bets 11",2024-04-25T09:15:52.714Z,171403655271400
"""BP @ 3nEm3CsHfN"" checks",2024-04-25T09:15:50.251Z,171403655025100
"Turn: J♦, Q♥, 3♣ [2♦]",2024-04-25T09:15:49.480Z,171403654948000
"""BP @ 3nEm3CsHfN"" calls 4",2024-04-25T09:15:48.674Z,171403654867400
"""Zach Z @ VHwatE4yBu"" bets 4",2024-04-25T09:15:47.363Z,171403654736300
"""BP @ 3nEm3CsHfN"" checks",2024-04-25T09:15:45.400Z,171403654540000
"Flop:  [J♦, Q♥, 3♣]",2024-04-25T09:15:44.554Z,171403654455400
"""BP @ 3nEm3CsHfN"" calls 7",2024-04-25T09:15:43.749Z,171403654374900
"""Zach Z @ VHwatE4yBu"" raises to 7",2024-04-25T09:15:42.720Z,171403654272000
"""BP @ 3nEm3CsHfN"" posts a big blind of 3",2024-04-25T09:15:41.472Z,171403654147205
"""Zach Z @ VHwatE4yBu"" posts a small blind of 1",2024-04-25T09:15:41.472Z,171403654147204
"Player stacks: #3 ""Zach Z @ VHwatE4yBu"" (2058) | #6 ""BP @ 3nEm3CsHfN"" (70)",2024-04-25T09:15:41.472Z,171403654147201
"-- starting hand #1002 (id: uxobaafqevdi)  (No Limit Texas Hold'em) (dealer: ""Zach Z @ VHwatE4yBu"") --",2024-04-25T09:15:41.472Z,171403654147200
"-- ending hand #1001 --",2024-04-25T09:15:38.528Z,171403653852802
"""BP @ 3nEm3CsHfN"" collected 16 from pot",2024-04-25T09:15:38.528Z,171403653852801
"Uncalled bet of 8 returned to ""BP @ 3nEm3CsHfN""",2024-04-25T09:15:38.528Z,171403653852800
"""Zach Z @ VHwatE4yBu"" folds",2024-04-25T09:15:37.689Z,171403653768900
"""BP @ 3nEm3CsHfN"" bets 8",2024-04-25T09:15:36.734Z,171403653673400
"""Zach Z @ VHwatE4yBu"" checks",2024-04-25T09:15:34.554Z,171403653455400
"Flop:  [10♦, 6♠, Q♣]",2024-04-25T09:15:33.393Z,171403653339300
"""Zach Z @ VHwatE4yBu"" calls 8",2024-04-25T09:15:32.566Z,171403653256600
"""BP @ 3nEm3CsHfN"" raises to 8",2024-04-25T09:15:31.635Z,171403653163500
"""Zach Z @ VHwatE4yBu"" posts a big blind of 3",2024-04-25T09:15:30.205Z,171403653020505
"""BP @ 3nEm3CsHfN"" posts a small blind of 1",2024-04-25T09:15:30.205Z,171403653020504
"Player stacks: #3 ""Zach Z @ VHwatE4yBu"" (2066) | #6 ""BP @ 3nEm3CsHfN"" (62)",2024-04-25T09:15:30.205Z,171403653020501
"-- starting hand #1001 (id: gygfqtkntfy4)  (No Limit Texas Hold'em) (dealer: ""BP @ 3nEm3CsHfN"") --",2024-04-25T09:15:30.205Z,171403653020500
"-- ending hand #1000 --",2024-04-25T09:15:27.303Z,171403652730302
"""Zach Z @ VHwatE4yBu"" collected 22 from pot",2024-04-25T09:15:27.303Z,171403652730301
"Uncalled bet of 11 returned to ""Zach Z @ VHwatE4yBu""",2024-04-25T09:15:27.303Z,171403652730300
"""BP @ 3nEm3CsHfN"" folds",2024-04-25T09:15:26.474Z,171403652647400
"""Zach Z @ VHwatE4yBu"" bets 11",2024-04-25T09:15:25.471Z,171403652547100
"""BP @ 3nEm3CsHfN"" checks",2024-04-25T09:15:23.555Z,171403652355500
"Turn: 4♥, 2♦, K♠ [Q♦]",2024-04-25T09:15:22.300Z,171403652230000
"""BP @ 3nEm3CsHfN"" calls 4",2024-04-25T09:15:21.494Z,171403652149400
"""Zach Z @ VHwatE4yBu"" bets 4",2024-04-25T09:15:20.528Z,171403652052800
"""BP @ 3nEm3CsHfN"" checks",2024-04-25T09:15:18.269Z,171403651826900
"Flop:  [4♥, 2♦, K♠]",2024-04-25T09:15:17.294Z,171403651729400
"""BP @ 3nEm3CsHfN"" calls 7",2024-04-25T09:15:16.434Z,171403651643400
"""Zach Z @ VHwatE4yBu"" raises to 7",2024-04-25T09:15:15.392Z,171403651539200
"""BP @ 3nEm3CsHfN"" posts a big blind of 3",2024-04-25T09:15:14.151Z,171403651415105
"""Zach Z @ VHwatE4yBu"" posts a small blind of 1",2024-04-25T09:15:14.151Z,171403651415104
"Player stacks: #3 ""Zach Z @ VHwatE4yBu"" (2055) | #6 ""BP @ 3nEm3CsHfN"" (73)",2024-04-25T09:15:14.151Z,171403651415101
"-- starting hand #1000 (id: iguwu6lpdlir)  (No Limit Texas Hold'em) (dealer: ""Zach Z @ VHwatE4yBu"") --",2024-04-25T09:15:14.151Z,171403651415100
"-- ending hand #999 --",2024-04-25T09:15:11.220Z,171403651122002
"""BP @ 3nEm3CsHfN"" collected 32 from pot",2024-04-25T09:15:11.220Z,171403651122001
"Uncalled bet of 41 returned to ""BP @ 3nEm3CsHfN""",2024-04-25T09:15:11.220Z,171403651122000
"""Zach Z @ VHwatE4yBu"" folds",2024-04-25T09:15:10.374Z,171403651037400
"""BP @ 3nEm3CsHfN"" bets 41 and go all in",2024-04-25T09:15:09.419Z,171403650941900
"""Zach Z @ VHwatE4yBu"" checks",2024-04-25T09:15:06.095Z,171403650609500
"Turn: 2♣, 6♦, 10♠ [9♣]",2024-04-25T09:15:05.280Z,171403650528000
"""Zach Z @ VHwatE4yBu"" calls 8",2024-04-25T09:15:04.465Z,171403650446500
"""BP @ 3nEm3CsHfN"" bets 8",2024-04-25T09:15:03.489Z,171403650348900
"""Zach Z @ VHwatE4yBu"" checks",2024-04-25T09:15:01.470Z,171403650147000
"Flop:  [2♣, 6♦, 10♠]",2024-04-25T09:15:00.535Z,171403650053500
"""Zach Z @ VHwatE4yBu"" calls 8",2024-04-25T09:14:59.672Z,171403649967200
"""BP @ 3nEm3CsHfN"" raises to 8",2024-04-25T09:14:58.730Z,171403649873000
"""Zach Z @ VHwatE4yBu"" posts a big blind of 3",2024-04-25T09:14:57.064Z,171403649706405
"""BP @ 3nEm3CsHfN"" posts a small blind of 1",2024-04-25T09:14:57.064Z,171403649706404
"Player stacks: #3 ""Zach Z @ VHwatE4yBu"" (2071) | #6 ""BP @ 3nEm3CsHfN"" (57)",2024-04-25T09:14:57.064Z,171403649706401
"-- starting hand #999 (id: ht76obcpei6r)  (No Limit Texas Hold'em) (dealer: ""BP @ 3nEm3CsHfN"") --",2024-04-25T09:14:57.064Z,171403649706400
"-- ending hand #998 --",2024-04-25T09:14:54.126Z,171403649412602
"""Zach Z @ VHwatE4yBu"" collected 6 from pot",2024-04-25T09:14:54.126Z,171403649412601
"Uncalled bet of 4 returned to ""Zach Z @ VHwatE4yBu""",2024-04-25T09:14:54.126Z,171403649412600
"""BP @ 3nEm3CsHfN"" folds",2024-04-25T09:14:53.294Z,171403649329400
"""Zach Z @ VHwatE4yBu"" raises to 7",2024-04-25T09:14:52.298Z,171403649229800
"""BP @ 3nEm3CsHfN"" posts a big blind of 3",2024-04-25T09:14:50.943Z,171403649094305
"""Zach Z @ VHwatE4yBu"" posts a small blind of 1",2024-04-25T09:14:50.943Z,171403649094304
"Player stacks: #3 ""Zach Z @ VHwatE4yBu"" (2068) | #6 ""BP @ 3nEm3CsHfN"" (60)",2024-04-25T09:14:50.943Z,171403649094301
"-- starting hand #998 (id: qcvd1kdkektq)  (No Limit Texas Hold'em) (dealer: ""Zach Z @ VHwatE4yBu"") --",2024-04-25T09:14:50.943Z,171403649094300
"-- ending hand #997 --",2024-04-25T09:14:44.916Z,171403648491603
"""Zach Z @ VHwatE4yBu"" shows a A♠, 2♦.",2024-04-25T09:14:44.916Z,171403648491602
"""BP @ 3nEm3CsHfN"" collected 16 from pot with Pair, 7's (combination: 7♥, 7♦, K♠, J♦, 9♣)",2024-04-25T09:14:44.916Z,171403648491601
