entry,at,order
"The player ""reilly @ FkycgsPCCs"" stand up with the stack of 1093.",2025-01-04T11:19:55.117Z,173598959511700
"The player ""Mike C @ 7uy4019y8p"" stand up with the stack of 601.",2025-01-04T11:19:43.280Z,173598958328000
"-- ending hand #827 --",2025-01-04T11:19:40.362Z,173598958036202
"""reilly @ FkycgsPCCs"" collected 2 from pot",2025-01-04T11:19:40.362Z,173598958036201
"Uncalled bet of 2 returned to ""reilly @ FkycgsPCCs""",2025-01-04T11:19:40.362Z,173598958036200
"""Mike C @ 7uy4019y8p"" folds",2025-01-04T11:19:39.499Z,173598957949900
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2025-01-04T11:19:37.065Z,173598957706505
"""Mike C @ 7uy4019y8p"" posts a small blind of 1",2025-01-04T11:19:37.065Z,173598957706504
"Player stacks: #5 ""Mike C @ 7uy4019y8p"" (602) | #8 ""reilly @ FkycgsPCCs"" (1092)",2025-01-04T11:19:37.065Z,173598957706501
"-- starting hand #827 (id: weh9vg6wjlsz)  (No Limit Texas Hold'em) (dealer: ""Mike C @ 7uy4019y8p"") --",2025-01-04T11:19:37.065Z,173598957706500
"-- ending hand #826 --",2025-01-04T11:19:34.143Z,173598957414302
"""reilly @ FkycgsPCCs"" collected 6 from pot",2025-01-04T11:19:34.143Z,173598957414301
"Uncalled bet of 4 returned to ""reilly @ FkycgsPCCs""",2025-01-04T11:19:34.143Z,173598957414300
"""Mike C @ 7uy4019y8p"" folds",2025-01-04T11:19:33.287Z,173598957328700
"""reilly @ FkycgsPCCs"" raises to 7",2025-01-04T11:19:31.163Z,173598957116300
"""Mike C @ 7uy4019y8p"" posts a big blind of 3",2025-01-04T11:19:28.338Z,173598956833805
"""reilly @ FkycgsPCCs"" posts a small blind of 1",2025-01-04T11:19:28.338Z,173598956833804
"Player stacks: #5 ""Mike C @ 7uy4019y8p"" (605) | #8 ""reilly @ FkycgsPCCs"" (1089)",2025-01-04T11:19:28.338Z,173598956833801
"-- starting hand #826 (id: pyovxvbdgsk4)  (No Limit Texas Hold'em) (dealer: ""reilly @ FkycgsPCCs"") --",2025-01-04T11:19:28.338Z,173598956833800
"-- ending hand #825 --",2025-01-04T11:19:25.399Z,173598956539902
"""Mike C @ 7uy4019y8p"" collected 18 from pot",2025-01-04T11:19:25.399Z,173598956539901
"Uncalled bet of 9 returned to ""Mike C @ 7uy4019y8p""",2025-01-04T11:19:25.399Z,173598956539900
"""reilly @ FkycgsPCCs"" folds",2025-01-04T11:19:24.544Z,173598956454400
"""Mike C @ 7uy4019y8p"" bets 9",2025-01-04T11:19:22.422Z,173598956242200
"""reilly @ FkycgsPCCs"" checks",2025-01-04T11:19:17.490Z,173598955749000
"Turn: 10♠, 6♦, 9♦ [K♥]",2025-01-04T11:19:09.402Z,173598954940200
"""Mike C @ 7uy4019y8p"" checks",2025-01-04T11:19:08.586Z,173598954858600
"""reilly @ FkycgsPCCs"" checks",2025-01-04T11:19:05.463Z,173598954546300
"Flop:  [10♠, 6♦, 9♦]",2025-01-04T11:19:04.030Z,173598954403000
"""reilly @ FkycgsPCCs"" calls 9",2025-01-04T11:19:03.225Z,173598954322500
"""Mike C @ 7uy4019y8p"" raises to 9",2025-01-04T11:18:58.406Z,173598953840600
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2025-01-04T11:18:55.357Z,173598953535705
"""Mike C @ 7uy4019y8p"" posts a small blind of 1",2025-01-04T11:18:55.357Z,173598953535704
"Player stacks: #5 ""Mike C @ 7uy4019y8p"" (596) | #8 ""reilly @ FkycgsPCCs"" (1098)",2025-01-04T11:18:55.357Z,173598953535701
"-- starting hand #825 (id: zuceirwsf1cs)  (No Limit Texas Hold'em) (dealer: ""Mike C @ 7uy4019y8p"") --",2025-01-04T11:18:55.357Z,173598953535700
"-- ending hand #824 --",2025-01-04T11:18:52.352Z,173598953235203
"""reilly @ FkycgsPCCs"" shows a Q♦, 7♥.",2025-01-04T11:18:52.352Z,173598953235202
"""Mike C @ 7uy4019y8p"" collected 14 from pot with Pair, A's (combination: A♥, A♠, Q♠, J♣, 10♣)",2025-01-04T11:18:52.352Z,173598953235201
"""Mike C @ 7uy4019y8p"" shows a Q♠, 10♣.",2025-01-04T11:18:52.352Z,173598953235200
"""reilly @ FkycgsPCCs"" checks",2025-01-04T11:18:51.502Z,173598953150200
"""Mike C @ 7uy4019y8p"" checks",2025-01-04T11:18:44.908Z,173598952490800
"River: 9♠, A♥, A♠, 5♠ [J♣]",2025-01-04T11:18:41.580Z,173598952158000
"""reilly @ FkycgsPCCs"" checks",2025-01-04T11:18:40.747Z,173598952074700
