entry,at,order
"-- ending hand #555 --",2025-01-04T09:28:31.969Z,173598291196902
"""HY @ RzZqRjTje6"" collected 1.00 from pot",2025-01-04T09:28:31.969Z,173598291196901
"Uncalled bet of 0.50 returned to ""HY @ RzZqRjTje6""",2025-01-04T09:28:31.969Z,173598291196900
"""Ahmed @ 7a1arINwD3"" folds",2025-01-04T09:28:31.141Z,173598291114100
"The admin ""HY @ RzZqRjTje6"" enqueued the game stop on next hand.",2025-01-04T09:28:25.484Z,173598290548400
"""PaulB @ DemOWvLIyz"" folds",2025-01-04T09:28:10.260Z,173598289026000
"""AHH @ WXCnFl5Ej4"" folds",2025-01-04T09:28:08.467Z,173598288846700
"""HY @ RzZqRjTje6"" posts a big blind of 1.00",2025-01-04T09:28:06.715Z,173598288671507
"""Ahmed @ 7a1arINwD3"" posts a small blind of 0.50",2025-01-04T09:28:06.715Z,173598288671506
"Your hand is 6♣, 10♠",2025-01-04T09:28:06.715Z,173598288671503
"Player stacks: #1 ""HY @ RzZqRjTje6"" (442.70) | #4 ""AHH @ WXCnFl5Ej4"" (649.15) | #7 ""PaulB @ DemOWvLIyz"" (527.10) | #9 ""Ahmed @ 7a1arINwD3"" (265.50)",2025-01-04T09:28:06.715Z,173598288671501
"-- starting hand #555 (id: x6ifxnzcbxft)  (No Limit Texas Hold'em) (dealer: ""PaulB @ DemOWvLIyz"") --",2025-01-04T09:28:06.715Z,173598288671500
"-- ending hand #554 --",2025-01-04T09:28:00.731Z,173598288073102
"""HY @ RzZqRjTje6"" collected 2.50 from pot",2025-01-04T09:28:00.731Z,173598288073101
"Uncalled bet of 1.00 returned to ""HY @ RzZqRjTje6""",2025-01-04T09:28:00.731Z,173598288073100
"""Ahmed @ 7a1arINwD3"" folds",2025-01-04T09:27:59.909Z,173598287990900
"""PaulB @ DemOWvLIyz"" folds",2025-01-04T09:27:39.061Z,173598285906100
"""AHH @ WXCnFl5Ej4"" folds",2025-01-04T09:27:36.706Z,173598285670600
"""HY @ RzZqRjTje6"" posts a straddle of 2.00",2025-01-04T09:27:35.359Z,173598285535908
"""Ahmed @ 7a1arINwD3"" posts a big blind of 1.00",2025-01-04T09:27:35.359Z,173598285535907
"""PaulB @ DemOWvLIyz"" posts a small blind of 0.50",2025-01-04T09:27:35.359Z,173598285535906
"Your hand is 8♣, 10♥",2025-01-04T09:27:35.359Z,173598285535903
