entry,at,order
"The player ""bigslickenergy @ Jh1XF6aI_W"" passed the room ownership to ""SamD @ Dm4TwhYnFw"".",2024-12-21T07:40:51.317Z,173476685131700
"The player ""bigslickenergy @ Jh1XF6aI_W"" quits the game with a stack of 230.18.",2024-12-21T07:09:39.979Z,173476497997900
"The player ""Isaac @ 3as4ktNjHT"" canceled the seat request.",2024-12-21T07:06:23.551Z,173476478355100
"The player ""Isaac @ 3as4ktNjHT"" requested a seat.",2024-12-21T07:06:11.611Z,173476477161100
"The player ""Isaac @ 3as4ktNjHT"" quits the game with a stack of 43.19.",2024-12-21T07:03:39.265Z,173476461926500
"-- ending hand #136 --",2024-12-21T07:03:33.245Z,173476461324502
"""SamD @ Dm4TwhYnFw"" collected 66.21 from pot with Full House (combination: 3♥, 3♠, 3♣, 7♥, 7♦)",2024-12-21T07:03:33.245Z,173476461324501
"""SamD @ Dm4TwhYnFw"" shows a 6♦, 7♥, 3♥, 4♥.",2024-12-21T07:03:33.245Z,173476461324500
"""Crazy Mike @ WoOX8qwr89"" calls 16.55",2024-12-21T07:03:32.422Z,173476461242200
"""SamD @ Dm4TwhYnFw"" bets 16.55",2024-12-21T07:03:31.221Z,173476461122100
"River: 8♣, 3♠, 9♦, 7♦ [3♣]",2024-12-21T07:03:21.723Z,173476460172300
"""SamD @ Dm4TwhYnFw"" calls 9.93",2024-12-21T07:03:20.876Z,173476460087600
"""bigslickenergy @ Jh1XF6aI_W"" folds",2024-12-21T07:03:15.967Z,173476459596700
"""Crazy Mike @ WoOX8qwr89"" bets 9.93",2024-12-21T07:03:14.492Z,173476459449200
"""SamD @ Dm4TwhYnFw"" checks",2024-12-21T07:03:10.811Z,173476459081100
"Turn: 8♣, 3♠, 9♦ [7♦]",2024-12-21T07:03:08.110Z,173476458811000
"""SamD @ Dm4TwhYnFw"" calls 2.65",2024-12-21T07:03:07.225Z,173476458722500
"""bigslickenergy @ Jh1XF6aI_W"" calls 2.65",2024-12-21T07:03:06.194Z,173476458619400
"""Crazy Mike @ WoOX8qwr89"" bets 2.65",2024-12-21T07:03:04.691Z,173476458469100
"""SamD @ Dm4TwhYnFw"" checks",2024-12-21T07:03:00.410Z,173476458041000
"Flop:  [8♣, 3♠, 9♦]",2024-12-21T07:02:55.877Z,173476457587700
"""SamD @ Dm4TwhYnFw"" calls 1.70",2024-12-21T07:02:55.037Z,173476457503700
"""Isaac @ 3as4ktNjHT"" folds",2024-12-21T07:02:54.126Z,173476457412600
"""bigslickenergy @ Jh1XF6aI_W"" calls 1.70",2024-12-21T07:02:52.106Z,173476457210600
"""Crazy Mike @ WoOX8qwr89"" raises to 1.70",2024-12-21T07:02:50.618Z,173476457061800
"The admin ""bigslickenergy @ Jh1XF6aI_W"" enqueued the game stop on next hand.",2024-12-21T07:02:43.455Z,173476456345500
"""SamD @ Dm4TwhYnFw"" posts a big blind of 0.50",2024-12-21T07:02:41.553Z,173476456155307
"""Isaac @ 3as4ktNjHT"" posts a small blind of 0.20",2024-12-21T07:02:41.553Z,173476456155306
"Player stacks: #1 ""bigslickenergy @ Jh1XF6aI_W"" (234.53) | #4 ""Isaac @ 3as4ktNjHT"" (43.39) | #8 ""SamD @ Dm4TwhYnFw"" (221.03) | #10 ""Crazy Mike @ WoOX8qwr89"" (66.75)",2024-12-21T07:02:41.553Z,173476456155301
"-- starting hand #136 (id: dxvlczbcgfwn)  (Pot Limit Omaha Hi) (dealer: ""bigslickenergy @ Jh1XF6aI_W"") --",2024-12-21T07:02:41.553Z,173476456155300
"""Crazy Mike @ WoOX8qwr89"" shows a 7♦, J♥, J♠, J♦.",2024-12-21T07:02:37.410Z,173476455741000
"-- ending hand #135 --",2024-12-21T07:02:34.945Z,173476455494502
"""Crazy Mike @ WoOX8qwr89"" collected 1.20 from pot",2024-12-21T07:02:34.945Z,173476455494501
"Uncalled bet of 1.20 returned to ""Crazy Mike @ WoOX8qwr89""",2024-12-21T07:02:34.945Z,173476455494500
"""Isaac @ 3as4ktNjHT"" folds",2024-12-21T07:02:34.130Z,173476455413000
"""bigslickenergy @ Jh1XF6aI_W"" folds",2024-12-21T07:02:33.226Z,173476455322600
"""Crazy Mike @ WoOX8qwr89"" raises to 1.70",2024-12-21T07:02:30.683Z,173476455068300
"""SamD @ Dm4TwhYnFw"" folds",2024-12-21T07:02:27.084Z,173476454708400
"""Isaac @ 3as4ktNjHT"" posts a big blind of 0.50",2024-12-21T07:02:15.614Z,173476453561407
"""bigslickenergy @ Jh1XF6aI_W"" posts a small blind of 0.20",2024-12-21T07:02:15.614Z,173476453561406
"Player stacks: #1 ""bigslickenergy @ Jh1XF6aI_W"" (234.73) | #4 ""Isaac @ 3as4ktNjHT"" (43.89) | #8 ""SamD @ Dm4TwhYnFw"" (221.03) | #10 ""Crazy Mike @ WoOX8qwr89"" (66.05)",2024-12-21T07:02:15.614Z,173476453561401
"-- starting hand #135 (id: hypo3tflrwll)  (Pot Limit Omaha Hi) (dealer: ""Crazy Mike @ WoOX8qwr89"") --",2024-12-21T07:02:15.614Z,173476453561400
"-- ending hand #134 --",2024-12-21T07:02:09.703Z,173476452970302
"""SamD @ Dm4TwhYnFw"" collected 13.50 from pot",2024-12-21T07:02:09.703Z,173476452970301
"Uncalled bet of 10.12 returned to ""SamD @ Dm4TwhYnFw""",2024-12-21T07:02:09.703Z,173476452970300
"""Crazy Mike @ WoOX8qwr89"" folds",2024-12-21T07:02:08.842Z,173476452884200
"""SamD @ Dm4TwhYnFw"" bets 10.12",2024-12-21T07:02:07.604Z,173476452760400
"""Crazy Mike @ WoOX8qwr89"" checks",2024-12-21T07:02:01.735Z,173476452173500
"Turn: J♣, A♣, K♣ [8♥]",2024-12-21T07:01:58.416Z,173476451841600
"""Crazy Mike @ WoOX8qwr89"" calls 4.05",2024-12-21T07:01:57.574Z,173476451757400
"""SamD @ Dm4TwhYnFw"" bets 4.05",2024-12-21T07:01:51.822Z,173476451182200
"""Crazy Mike @ WoOX8qwr89"" checks",2024-12-21T07:01:47.551Z,173476450755100
"Flop:  [J♣, A♣, K♣]",2024-12-21T07:01:42.068Z,173476450206800
"""Isaac @ 3as4ktNjHT"" folds",2024-12-21T07:01:41.238Z,173476450123800
"""bigslickenergy @ Jh1XF6aI_W"" folds",2024-12-21T07:01:39.645Z,173476449964500
"""Crazy Mike @ WoOX8qwr89"" calls 2.20",2024-12-21T07:01:38.637Z,173476449863700
"""SamD @ Dm4TwhYnFw"" raises to 2.20",2024-12-21T07:01:37.408Z,173476449740800
"""Isaac @ 3as4ktNjHT"" calls 0.50",2024-12-21T07:01:28.722Z,173476448872200
"""bigslickenergy @ Jh1XF6aI_W"" posts a big blind of 0.50",2024-12-21T07:01:22.642Z,173476448264207
"""Crazy Mike @ WoOX8qwr89"" posts a small blind of 0.20",2024-12-21T07:01:22.642Z,173476448264206
"Player stacks: #1 ""bigslickenergy @ Jh1XF6aI_W"" (235.23) | #4 ""Isaac @ 3as4ktNjHT"" (44.39) | #8 ""SamD @ Dm4TwhYnFw"" (213.78) | #10 ""Crazy Mike @ WoOX8qwr89"" (72.30)",2024-12-21T07:01:22.642Z,173476448264201
"-- starting hand #134 (id: crv4o2ibmalr)  (Pot Limit Omaha Hi) (dealer: ""SamD @ Dm4TwhYnFw"") --",2024-12-21T07:01:22.642Z,173476448264200
"""Isaac @ 3as4ktNjHT"" shows a 4♥.",2024-12-21T07:01:20.978Z,173476448097800
"""Isaac @ 3as4ktNjHT"" shows a 4♦.",2024-12-21T07:01:20.652Z,173476448065200
"""bigslickenergy @ Jh1XF6aI_W"" shows a 4♣, 5♣, Q♣, 8♣.",2024-12-21T07:01:19.253Z,173476447925300
"-- ending hand #133 --",2024-12-21T07:01:18.303Z,173476447830302
"""SamD @ Dm4TwhYnFw"" collected 6.00 from pot",2024-12-21T07:01:18.303Z,173476447830301
"Uncalled bet of 4.50 returned to ""SamD @ Dm4TwhYnFw""",2024-12-21T07:01:18.303Z,173476447830300
"""Crazy Mike @ WoOX8qwr89"" folds",2024-12-21T07:01:17.447Z,173476447744700
"""SamD @ Dm4TwhYnFw"" bets 4.50",2024-12-21T07:01:13.082Z,173476447308200
