entry,at,order
"The player ""BP @ 3nEm3CsHfN"" quits the game with a stack of 521.",2024-03-25T03:46:41.794Z,171133840179400
"The player ""BP @ 3nEm3CsHfN"" stand up with the stack of 521.",2024-03-25T03:46:34.623Z,171133839462300
"-- ending hand #238 --",2024-03-25T03:46:31.701Z,171133839170102
"""BP @ 3nEm3CsHfN"" collected 6 from pot",2024-03-25T03:46:31.701Z,171133839170101
"Uncalled bet of 7 returned to ""BP @ 3nEm3CsHfN""",2024-03-25T03:46:31.701Z,171133839170100
"""scott s @ FhatGh_xn0"" folds",2024-03-25T03:46:30.832Z,171133839083200
"""BP @ 3nEm3CsHfN"" raises to 10",2024-03-25T03:46:30.014Z,171133839001400
"""scott s @ FhatGh_xn0"" posts a big blind of 3",2024-03-25T03:46:28.414Z,171133838841405
"""BP @ 3nEm3CsHfN"" posts a small blind of 1",2024-03-25T03:46:28.414Z,171133838841404
"Player stacks: #1 ""scott s @ FhatGh_xn0"" (382) | #2 ""BP @ 3nEm3CsHfN"" (518)",2024-03-25T03:46:28.414Z,171133838841401
"-- starting hand #238 (id: svnjys2haxg6)  (No Limit Texas Hold'em) (dealer: ""BP @ 3nEm3CsHfN"") --",2024-03-25T03:46:28.414Z,171133838841400
"-- ending hand #237 --",2024-03-25T03:46:25.494Z,171133838549402
"""BP @ 3nEm3CsHfN"" collected 2 from pot",2024-03-25T03:46:25.494Z,171133838549401
"Uncalled bet of 2 returned to ""BP @ 3nEm3CsHfN""",2024-03-25T03:46:25.494Z,171133838549400
"""scott s @ FhatGh_xn0"" folds",2024-03-25T03:46:24.655Z,171133838465500
"""BP @ 3nEm3CsHfN"" posts a big blind of 3",2024-03-25T03:46:21.686Z,171133838168605
"""scott s @ FhatGh_xn0"" posts a small blind of 1",2024-03-25T03:46:21.686Z,171133838168604
"Player stacks: #1 ""scott s @ FhatGh_xn0"" (383) | #2 ""BP @ 3nEm3CsHfN"" (517)",2024-03-25T03:46:21.686Z,171133838168601
"-- starting hand #237 (id: kcmtlcbkujxp)  (No Limit Texas Hold'em) (dealer: ""scott s @ FhatGh_xn0"") --",2024-03-25T03:46:21.686Z,171133838168600
"-- ending hand #236 --",2024-03-25T03:46:18.776Z,171133837877602
"""scott s @ FhatGh_xn0"" collected 20 from pot",2024-03-25T03:46:18.776Z,171133837877601
"Uncalled bet of 8 returned to ""scott s @ FhatGh_xn0""",2024-03-25T03:46:18.776Z,171133837877600
"""BP @ 3nEm3CsHfN"" folds",2024-03-25T03:46:17.964Z,171133837796400
"""scott s @ FhatGh_xn0"" bets 8",2024-03-25T03:46:16.090Z,171133837609000
"River: 6♣, 5♠, 9♥, 3♠ [2♠]",2024-03-25T03:46:03.677Z,171133836367700
"""BP @ 3nEm3CsHfN"" checks",2024-03-25T03:46:02.794Z,171133836279400
"""scott s @ FhatGh_xn0"" checks",2024-03-25T03:46:00.552Z,171133836055200
"Turn: 6♣, 5♠, 9♥ [3♠]",2024-03-25T03:45:52.899Z,171133835289900
"""BP @ 3nEm3CsHfN"" checks",2024-03-25T03:45:52.088Z,171133835208800
"""scott s @ FhatGh_xn0"" checks",2024-03-25T03:45:50.568Z,171133835056800
"Flop:  [6♣, 5♠, 9♥]",2024-03-25T03:45:44.494Z,171133834449400
"""scott s @ FhatGh_xn0"" calls 10",2024-03-25T03:45:43.652Z,171133834365200
"""BP @ 3nEm3CsHfN"" raises to 10",2024-03-25T03:45:42.780Z,171133834278000
"""scott s @ FhatGh_xn0"" posts a big blind of 3",2024-03-25T03:45:41.230Z,171133834123005
"""BP @ 3nEm3CsHfN"" posts a small blind of 1",2024-03-25T03:45:41.230Z,171133834123004
"Player stacks: #1 ""scott s @ FhatGh_xn0"" (373) | #2 ""BP @ 3nEm3CsHfN"" (527)",2024-03-25T03:45:41.230Z,171133834123001
"-- starting hand #236 (id: fjxztgizanxo)  (No Limit Texas Hold'em) (dealer: ""BP @ 3nEm3CsHfN"") --",2024-03-25T03:45:41.230Z,171133834123000
"-- ending hand #235 --",2024-03-25T03:45:35.219Z,171133833521902
"""BP @ 3nEm3CsHfN"" collected 14 from pot with Two Pair, A's & Q's (combination: A♠, A♣, Q♦, Q♥, J♠)",2024-03-25T03:45:35.219Z,171133833521901
"""BP @ 3nEm3CsHfN"" shows a 5♠, Q♦.",2024-03-25T03:45:35.219Z,171133833521900
