entry,at,order
"The player ""ahh @ WXCnFl5Ej4"" stand up with the stack of 1581.76.",2025-01-06T08:14:52.515Z,173615129251500
"""bigslickenergy @ Jh1XF6aI_W"" shows a 7♥.",2025-01-06T08:13:18.309Z,173615119830900
"""bigslickenergy @ Jh1XF6aI_W"" shows a 5♥.",2025-01-06T08:13:17.698Z,173615119769800
"-- ending hand #522 --",2025-01-06T08:13:16.865Z,173615119686502
"""bigslickenergy @ Jh1XF6aI_W"" collected 25.00 from pot",2025-01-06T08:13:16.865Z,173615119686501
"Uncalled bet of 25.00 returned to ""bigslickenergy @ Jh1XF6aI_W""",2025-01-06T08:13:16.865Z,173615119686500
"""Isaac @ 3as4ktNjHT"" folds",2025-01-06T08:13:16.055Z,173615119605500
"""Ahmed @ 7a1arINwD3"" folds",2025-01-06T08:12:57.408Z,173615117740800
"""bigslickenergy @ Jh1XF6aI_W"" bets 25.00",2025-01-06T08:12:53.339Z,173615117333900
"""Isaac @ 3as4ktNjHT"" checks",2025-01-06T08:12:50.450Z,173615117045000
"""Ahmed @ 7a1arINwD3"" checks",2025-01-06T08:12:43.250Z,173615116325000
"River (second board): J♦, 4♠, 2♥, 8♥ [6♠]",2025-01-06T08:12:40.622Z,173615116062201
"River: 8♦, 3♠, J♠, 9♦ [Q♦]",2025-01-06T08:12:40.622Z,173615116062200
"""bigslickenergy @ Jh1XF6aI_W"" calls 5.00",2025-01-06T08:12:39.742Z,173615115974200
"""HY @ RzZqRjTje6"" folds",2025-01-06T08:12:38.532Z,173615115853200
"""Isaac @ 3as4ktNjHT"" calls 5.00",2025-01-06T08:12:37.517Z,173615115751700
"""ahh @ WXCnFl5Ej4"" folds",2025-01-06T08:12:34.616Z,173615115461600
"The admin ""HY @ RzZqRjTje6"" enqueued the game stop on next hand.",2025-01-06T08:12:20.720Z,173615114072000
"""Ahmed @ 7a1arINwD3"" bets 5.00",2025-01-06T08:12:16.770Z,173615113677000
"Turn (second board): J♦, 4♠, 2♥ [8♥]",2025-01-06T08:12:11.199Z,173615113119901
"Turn: 8♦, 3♠, J♠ [9♦]",2025-01-06T08:12:11.199Z,173615113119900
"""bigslickenergy @ Jh1XF6aI_W"" checks",2025-01-06T08:12:10.384Z,173615113038400
"""HY @ RzZqRjTje6"" checks",2025-01-06T08:12:08.543Z,173615112854300
"""Isaac @ 3as4ktNjHT"" checks",2025-01-06T08:12:04.627Z,173615112462700
"""ahh @ WXCnFl5Ej4"" checks",2025-01-06T08:12:01.962Z,173615112196200
"""Ahmed @ 7a1arINwD3"" checks",2025-01-06T08:11:59.689Z,173615111968900
"Flop (second board):  [J♦, 4♠, 2♥]",2025-01-06T08:11:50.980Z,173615111098001
"Flop:  [8♦, 3♠, J♠]",2025-01-06T08:11:50.980Z,173615111098000
"""ahh @ WXCnFl5Ej4"" calls 2.00 (bomb pot bet)",2025-01-06T08:11:50.166Z,173615111016600
"""Ahmed @ 7a1arINwD3"" calls 2.00 (bomb pot bet)",2025-01-06T08:11:49.350Z,173615110935000
"""bigslickenergy @ Jh1XF6aI_W"" calls 2.00 (bomb pot bet)",2025-01-06T08:11:48.470Z,173615110847000
"""HY @ RzZqRjTje6"" calls 2.00 (bomb pot bet)",2025-01-06T08:11:47.560Z,173615110756000
"""Isaac @ 3as4ktNjHT"" posts a bet of 2.00 (bomb pot bet)",2025-01-06T08:11:46.739Z,173615110673900
"Your hand is 9♥, 3♦, 2♣, 7♦",2025-01-06T08:11:44.665Z,173615110466503
"Player stacks: #2 ""Ahmed @ 7a1arINwD3"" (477.71) | #3 ""ahh @ WXCnFl5Ej4"" (1583.76) | #5 ""Isaac @ 3as4ktNjHT"" (210.05) | #7 ""HY @ RzZqRjTje6"" (330.91) | #10 ""bigslickenergy @ Jh1XF6aI_W"" (353.28)",2025-01-06T08:11:44.665Z,173615110466501
"-- starting hand #522 (id: czkchytlcvdz)  (Pot Limit Omaha Hi) (dealer: ""bigslickenergy @ Jh1XF6aI_W"") --",2025-01-06T08:11:44.665Z,173615110466500
"""bigslickenergy @ Jh1XF6aI_W"" shows a Q♠.",2025-01-06T08:11:42.318Z,173615110231800
"""bigslickenergy @ Jh1XF6aI_W"" shows a Q♣.",2025-01-06T08:11:41.687Z,173615110168700
