entry,at,order
"The player ""Zach Z @ N9QyNYTHHP"" quits the game with a stack of 0.",2024-06-10T04:07:08.237Z,171799242823700
"-- ending hand #213 --",2024-06-10T04:07:05.188Z,171799242518803
"""Zach Z @ N9QyNYTHHP"" shows a 5♦, 4♦.",2024-06-10T04:07:05.188Z,171799242518802
"""reilly @ FkycgsPCCs"" collected 614 from pot with Three of a Kind, 7's (combination: 7♠, 7♥, 7♣, K♣, Q♠)",2024-06-10T04:07:05.188Z,171799242518801
"""reilly @ FkycgsPCCs"" shows a 7♠, 7♥.",2024-06-10T04:07:05.188Z,171799242518800
"""Zach Z @ N9QyNYTHHP"" calls 202 and go all in",2024-06-10T04:07:04.371Z,171799242437100
"""reilly @ FkycgsPCCs"" bets 202",2024-06-10T04:06:27.891Z,171799238789100
"""Zach Z @ N9QyNYTHHP"" checks",2024-06-10T04:05:54.961Z,171799235496100
"River: 7♣, 5♥, 2♦, K♣ [Q♠]",2024-06-10T04:05:50.471Z,171799235047100
"""Zach Z @ N9QyNYTHHP"" calls 60",2024-06-10T04:05:49.583Z,171799234958300
"""reilly @ FkycgsPCCs"" bets 60",2024-06-10T04:05:44.714Z,171799234471400
"""Zach Z @ N9QyNYTHHP"" checks",2024-06-10T04:05:23.107Z,171799232310700
"Turn: 7♣, 5♥, 2♦ [K♣]",2024-06-10T04:05:19.298Z,171799231929800
"""reilly @ FkycgsPCCs"" calls 21",2024-06-10T04:05:18.449Z,171799231844900
"""Zach Z @ N9QyNYTHHP"" bets 21",2024-06-10T04:04:47.579Z,171799228757900
"Flop:  [7♣, 5♥, 2♦]",2024-06-10T04:04:42.290Z,171799228229000
"""reilly @ FkycgsPCCs"" calls 24",2024-06-10T04:04:41.464Z,171799228146400
"""Zach Z @ N9QyNYTHHP"" raises to 24",2024-06-10T04:04:27.199Z,171799226719900
"""reilly @ FkycgsPCCs"" raises to 7",2024-06-10T04:04:22.778Z,171799226277800
"""Zach Z @ N9QyNYTHHP"" posts a big blind of 3",2024-06-10T04:04:19.939Z,171799225993905
"""reilly @ FkycgsPCCs"" posts a small blind of 1",2024-06-10T04:04:19.939Z,171799225993904
"Player stacks: #6 ""reilly @ FkycgsPCCs"" (1137) | #10 ""Zach Z @ N9QyNYTHHP"" (307)",2024-06-10T04:04:19.939Z,171799225993901
"-- starting hand #213 (id: k8fg2cibtmmn)  (No Limit Texas Hold'em) (dealer: ""reilly @ FkycgsPCCs"") --",2024-06-10T04:04:19.939Z,171799225993900
"-- ending hand #212 --",2024-06-10T04:04:16.979Z,171799225697902
"""Zach Z @ N9QyNYTHHP"" collected 6 from pot",2024-06-10T04:04:16.979Z,171799225697901
"Uncalled bet of 4 returned to ""Zach Z @ N9QyNYTHHP""",2024-06-10T04:04:16.979Z,171799225697900
"""reilly @ FkycgsPCCs"" folds",2024-06-10T04:04:16.158Z,171799225615800
"""Zach Z @ N9QyNYTHHP"" raises to 7",2024-06-10T04:04:14.069Z,171799225406900
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-06-10T04:04:11.524Z,171799225152405
"""Zach Z @ N9QyNYTHHP"" posts a small blind of 1",2024-06-10T04:04:11.524Z,171799225152404
"Player stacks: #6 ""reilly @ FkycgsPCCs"" (1140) | #10 ""Zach Z @ N9QyNYTHHP"" (304)",2024-06-10T04:04:11.524Z,171799225152401
"-- starting hand #212 (id: 9nrxevmved0d)  (No Limit Texas Hold'em) (dealer: ""Zach Z @ N9QyNYTHHP"") --",2024-06-10T04:04:11.524Z,171799225152400
"-- ending hand #211 --",2024-06-10T04:04:08.567Z,171799224856702
"""Zach Z @ N9QyNYTHHP"" collected 2 from pot",2024-06-10T04:04:08.567Z,171799224856701
"Uncalled bet of 2 returned to ""Zach Z @ N9QyNYTHHP""",2024-06-10T04:04:08.567Z,171799224856700
"""reilly @ FkycgsPCCs"" folds",2024-06-10T04:04:07.740Z,171799224774000
"""Zach Z @ N9QyNYTHHP"" posts a big blind of 3",2024-06-10T04:04:06.969Z,171799224696905
"""reilly @ FkycgsPCCs"" posts a small blind of 1",2024-06-10T04:04:06.969Z,171799224696904
"Player stacks: #6 ""reilly @ FkycgsPCCs"" (1141) | #10 ""Zach Z @ N9QyNYTHHP"" (303)",2024-06-10T04:04:06.969Z,171799224696901
"-- starting hand #211 (id: jgbw0j3zqecw)  (No Limit Texas Hold'em) (dealer: ""reilly @ FkycgsPCCs"") --",2024-06-10T04:04:06.969Z,171799224696900
"-- ending hand #210 --",2024-06-10T04:04:04.060Z,171799224406002
"""reilly @ FkycgsPCCs"" collected 2 from pot",2024-06-10T04:04:04.060Z,171799224406001
"Uncalled bet of 2 returned to ""reilly @ FkycgsPCCs""",2024-06-10T04:04:04.060Z,171799224406000
"""Zach Z @ N9QyNYTHHP"" folds",2024-06-10T04:04:03.186Z,171799224318600
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-06-10T04:04:01.658Z,171799224165805
"""Zach Z @ N9QyNYTHHP"" posts a small blind of 1",2024-06-10T04:04:01.658Z,171799224165804
"Player stacks: #6 ""reilly @ FkycgsPCCs"" (1140) | #10 ""Zach Z @ N9QyNYTHHP"" (304)",2024-06-10T04:04:01.658Z,171799224165801
"-- starting hand #210 (id: z6rhyztudj2t)  (No Limit Texas Hold'em) (dealer: ""Zach Z @ N9QyNYTHHP"") --",2024-06-10T04:04:01.658Z,171799224165800
"-- ending hand #209 --",2024-06-10T04:03:58.586Z,171799223858602
"""reilly @ FkycgsPCCs"" collected 112 from pot with Pair, K's (combination: K♦, K♥, A♦, 8♠, 5♦)",2024-06-10T04:03:58.586Z,171799223858601
"""reilly @ FkycgsPCCs"" shows a 5♦, K♦.",2024-06-10T04:03:58.586Z,171799223858600
"""reilly @ FkycgsPCCs"" checks",2024-06-10T04:03:57.742Z,171799223774200
"""Zach Z @ N9QyNYTHHP"" checks",2024-06-10T04:03:51.676Z,171799223167600
"River: 3♦, 8♠, K♥, 2♣ [A♦]",2024-06-10T04:03:41.457Z,171799222145700
"""reilly @ FkycgsPCCs"" calls 32",2024-06-10T04:03:40.644Z,171799222064400
"""Zach Z @ N9QyNYTHHP"" bets 32",2024-06-10T04:03:26.024Z,171799220602400
"Turn: 3♦, 8♠, K♥ [2♣]",2024-06-10T04:03:17.943Z,171799219794300
"""reilly @ FkycgsPCCs"" checks",2024-06-10T04:03:17.138Z,171799219713800
"""Zach Z @ N9QyNYTHHP"" checks",2024-06-10T04:03:10.694Z,171799219069400
"Flop:  [3♦, 8♠, K♥]",2024-06-10T04:03:07.226Z,171799218722600
"""reilly @ FkycgsPCCs"" calls 24",2024-06-10T04:03:06.391Z,171799218639100
"""Zach Z @ N9QyNYTHHP"" raises to 24",2024-06-10T04:02:55.156Z,171799217515600
"""reilly @ FkycgsPCCs"" raises to 7",2024-06-10T04:02:51.395Z,171799217139500
"""Zach Z @ N9QyNYTHHP"" posts a big blind of 3",2024-06-10T04:02:49.052Z,171799216905205
"""reilly @ FkycgsPCCs"" posts a small blind of 1",2024-06-10T04:02:49.052Z,171799216905204
"Player stacks: #6 ""reilly @ FkycgsPCCs"" (1084) | #10 ""Zach Z @ N9QyNYTHHP"" (360)",2024-06-10T04:02:49.052Z,171799216905201
"-- starting hand #209 (id: rlgpmq3ksa03)  (No Limit Texas Hold'em) (dealer: ""reilly @ FkycgsPCCs"") --",2024-06-10T04:02:49.052Z,171799216905200
"-- ending hand #208 --",2024-06-10T04:02:46.123Z,171799216612302
"""Zach Z @ N9QyNYTHHP"" collected 6 from pot",2024-06-10T04:02:46.123Z,171799216612301
"Uncalled bet of 4 returned to ""Zach Z @ N9QyNYTHHP""",2024-06-10T04:02:46.123Z,171799216612300
"""reilly @ FkycgsPCCs"" folds",2024-06-10T04:02:45.274Z,171799216527400
"""Zach Z @ N9QyNYTHHP"" raises to 7",2024-06-10T04:02:38.896Z,171799215889600
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-06-10T04:02:36.432Z,171799215643205
"""Zach Z @ N9QyNYTHHP"" posts a small blind of 1",2024-06-10T04:02:36.432Z,171799215643204
"Player stacks: #6 ""reilly @ FkycgsPCCs"" (1087) | #10 ""Zach Z @ N9QyNYTHHP"" (357)",2024-06-10T04:02:36.432Z,171799215643201
"-- starting hand #208 (id: ztewyaypcfsb)  (No Limit Texas Hold'em) (dealer: ""Zach Z @ N9QyNYTHHP"") --",2024-06-10T04:02:36.432Z,171799215643200
"-- ending hand #207 --",2024-06-10T04:02:33.513Z,171799215351302
