entry,at,order
"The player ""reilly @ FkycgsPCCs"" quits the game with a stack of 661.",2024-05-02T06:52:32.492Z,171463275249200
"The player ""reilly @ FkycgsPCCs"" passed the room ownership to ""scott s @ FhatGh_xn0"".",2024-05-02T06:52:25.138Z,171463274513800
"The player ""reilly @ FkycgsPCCs"" stand up with the stack of 661.",2024-05-02T06:52:18.755Z,171463273875500
"-- ending hand #707 --",2024-05-02T06:52:15.836Z,171463273583602
"""scott s @ FhatGh_xn0"" collected 44 from pot",2024-05-02T06:52:15.836Z,171463273583601
"Uncalled bet of 45 returned to ""scott s @ FhatGh_xn0""",2024-05-02T06:52:15.836Z,171463273583600
"""reilly @ FkycgsPCCs"" folds",2024-05-02T06:52:14.980Z,171463273498000
"""scott s @ FhatGh_xn0"" bets 45",2024-05-02T06:51:56.142Z,171463271614200
"River: 10♦, A♣, 6♣, 4♥ [A♥]",2024-05-02T06:51:42.495Z,171463270249500
"""reilly @ FkycgsPCCs"" checks",2024-05-02T06:51:41.667Z,171463270166700
"""scott s @ FhatGh_xn0"" checks",2024-05-02T06:51:21.159Z,171463268115900
"Turn: 10♦, A♣, 6♣ [4♥]",2024-05-02T06:51:11.854Z,171463267185400
"""reilly @ FkycgsPCCs"" calls 16",2024-05-02T06:51:11.042Z,171463267104200
"""scott s @ FhatGh_xn0"" bets 16",2024-05-02T06:51:02.248Z,171463266224800
"Flop:  [10♦, A♣, 6♣]",2024-05-02T06:50:49.435Z,171463264943500
"""scott s @ FhatGh_xn0"" calls 6",2024-05-02T06:50:48.575Z,171463264857500
"""reilly @ FkycgsPCCs"" raises to 6",2024-05-02T06:50:47.754Z,171463264775400
"""scott s @ FhatGh_xn0"" posts a big blind of 3",2024-05-02T06:50:42.751Z,171463264275105
"""reilly @ FkycgsPCCs"" posts a small blind of 1",2024-05-02T06:50:42.751Z,171463264275104
"Player stacks: #1 ""reilly @ FkycgsPCCs"" (683) | #6 ""scott s @ FhatGh_xn0"" (517)",2024-05-02T06:50:42.751Z,171463264275101
"-- starting hand #707 (id: cfd8ook9oyuj)  (No Limit Texas Hold'em) (dealer: ""reilly @ FkycgsPCCs"") --",2024-05-02T06:50:42.751Z,171463264275100
"-- ending hand #706 --",2024-05-02T06:50:39.832Z,171463263983202
"""reilly @ FkycgsPCCs"" collected 2 from pot",2024-05-02T06:50:39.832Z,171463263983201
"Uncalled bet of 2 returned to ""reilly @ FkycgsPCCs""",2024-05-02T06:50:39.832Z,171463263983200
"""scott s @ FhatGh_xn0"" folds",2024-05-02T06:50:38.991Z,171463263899100
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-05-02T06:50:38.341Z,171463263834105
"""scott s @ FhatGh_xn0"" posts a small blind of 1",2024-05-02T06:50:38.341Z,171463263834104
"Player stacks: #1 ""reilly @ FkycgsPCCs"" (682) | #6 ""scott s @ FhatGh_xn0"" (518)",2024-05-02T06:50:38.341Z,171463263834101
"-- starting hand #706 (id: 6mitfmrwtnif)  (No Limit Texas Hold'em) (dealer: ""scott s @ FhatGh_xn0"") --",2024-05-02T06:50:38.341Z,171463263834100
"-- ending hand #705 --",2024-05-02T06:50:35.428Z,171463263542802
"""scott s @ FhatGh_xn0"" collected 12 from pot",2024-05-02T06:50:35.428Z,171463263542801
"Uncalled bet of 26 returned to ""scott s @ FhatGh_xn0""",2024-05-02T06:50:35.428Z,171463263542800
"""reilly @ FkycgsPCCs"" folds",2024-05-02T06:50:34.563Z,171463263456300
"""scott s @ FhatGh_xn0"" raises to 32",2024-05-02T06:50:26.709Z,171463262670900
"""reilly @ FkycgsPCCs"" raises to 6",2024-05-02T06:50:20.824Z,171463262082400
"""scott s @ FhatGh_xn0"" posts a big blind of 3",2024-05-02T06:50:19.591Z,171463261959105
"""reilly @ FkycgsPCCs"" posts a small blind of 1",2024-05-02T06:50:19.591Z,171463261959104
"Player stacks: #1 ""reilly @ FkycgsPCCs"" (688) | #6 ""scott s @ FhatGh_xn0"" (512)",2024-05-02T06:50:19.591Z,171463261959101
"-- starting hand #705 (id: rtgho252969q)  (No Limit Texas Hold'em) (dealer: ""reilly @ FkycgsPCCs"") --",2024-05-02T06:50:19.591Z,171463261959100
"-- ending hand #704 --",2024-05-02T06:50:16.682Z,171463261668202
"""reilly @ FkycgsPCCs"" collected 2 from pot",2024-05-02T06:50:16.682Z,171463261668201
"Uncalled bet of 2 returned to ""reilly @ FkycgsPCCs""",2024-05-02T06:50:16.682Z,171463261668200
"""scott s @ FhatGh_xn0"" folds",2024-05-02T06:50:15.804Z,171463261580400
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-05-02T06:50:13.879Z,171463261387905
"""scott s @ FhatGh_xn0"" posts a small blind of 1",2024-05-02T06:50:13.879Z,171463261387904
"Player stacks: #1 ""reilly @ FkycgsPCCs"" (687) | #6 ""scott s @ FhatGh_xn0"" (513)",2024-05-02T06:50:13.879Z,171463261387901
"-- starting hand #704 (id: xfc1g6vo1jjf)  (No Limit Texas Hold'em) (dealer: ""scott s @ FhatGh_xn0"") --",2024-05-02T06:50:13.879Z,171463261387900
"-- ending hand #703 --",2024-05-02T06:50:10.909Z,171463261090902
"""reilly @ FkycgsPCCs"" collected 6 from pot",2024-05-02T06:50:10.909Z,171463261090901
"Uncalled bet of 3 returned to ""reilly @ FkycgsPCCs""",2024-05-02T06:50:10.909Z,171463261090900
"""scott s @ FhatGh_xn0"" folds",2024-05-02T06:50:10.101Z,171463261010100
"""reilly @ FkycgsPCCs"" raises to 6",2024-05-02T06:50:09.234Z,171463260923400
"""scott s @ FhatGh_xn0"" posts a big blind of 3",2024-05-02T06:50:05.079Z,171463260507905
"""reilly @ FkycgsPCCs"" posts a small blind of 1",2024-05-02T06:50:05.079Z,171463260507904
"Player stacks: #1 ""reilly @ FkycgsPCCs"" (684) | #6 ""scott s @ FhatGh_xn0"" (516)",2024-05-02T06:50:05.079Z,171463260507901
"-- starting hand #703 (id: 37fahm3yiia6)  (No Limit Texas Hold'em) (dealer: ""reilly @ FkycgsPCCs"") --",2024-05-02T06:50:05.079Z,171463260507900
"-- ending hand #702 --",2024-05-02T06:50:02.164Z,171463260216402
"""reilly @ FkycgsPCCs"" collected 2 from pot",2024-05-02T06:50:02.164Z,171463260216401
"Uncalled bet of 2 returned to ""reilly @ FkycgsPCCs""",2024-05-02T06:50:02.164Z,171463260216400
"""scott s @ FhatGh_xn0"" folds",2024-05-02T06:50:01.325Z,171463260132500
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-05-02T06:49:59.895Z,171463259989505
"""scott s @ FhatGh_xn0"" posts a small blind of 1",2024-05-02T06:49:59.895Z,171463259989504
"Player stacks: #1 ""reilly @ FkycgsPCCs"" (683) | #6 ""scott s @ FhatGh_xn0"" (517)",2024-05-02T06:49:59.895Z,171463259989501
"-- starting hand #702 (id: jzap0dia8tqc)  (No Limit Texas Hold'em) (dealer: ""scott s @ FhatGh_xn0"") --",2024-05-02T06:49:59.895Z,171463259989500
"-- ending hand #701 --",2024-05-02T06:49:56.865Z,171463259686504
"""scott s @ FhatGh_xn0"" collected 517 from pot with Straight, A High (combination: A♣, K♠, Q♥, J♣, 10♠)",2024-05-02T06:49:56.865Z,171463259686503
"""scott s @ FhatGh_xn0"" shows a 10♠, Q♥.",2024-05-02T06:49:56.865Z,171463259686502
"""reilly @ FkycgsPCCs"" collected 517 from pot with Straight, A High (combination: A♣, K♠, Q♣, J♣, 10♦)",2024-05-02T06:49:56.865Z,171463259686501
"""reilly @ FkycgsPCCs"" shows a Q♣, 10♦.",2024-05-02T06:49:56.865Z,171463259686500
"""scott s @ FhatGh_xn0"" calls 499 and go all in",2024-05-02T06:49:56.049Z,171463259604900
"""reilly @ FkycgsPCCs"" raises to 499",2024-05-02T06:49:51.698Z,171463259169800
"""scott s @ FhatGh_xn0"" raises to 109",2024-05-02T06:49:36.351Z,171463257635100
"""reilly @ FkycgsPCCs"" raises to 45",2024-05-02T06:49:11.633Z,171463255163300
"""scott s @ FhatGh_xn0"" bets 14",2024-05-02T06:48:38.064Z,171463251806400
"River: K♠, Q♦, 4♥, J♣ [A♣]",2024-05-02T06:48:16.571Z,171463249657100
"""reilly @ FkycgsPCCs"" calls 12",2024-05-02T06:48:15.746Z,171463249574600
"""scott s @ FhatGh_xn0"" bets 12",2024-05-02T06:47:58.914Z,171463247891400
"Turn: K♠, Q♦, 4♥ [J♣]",2024-05-02T06:47:43.595Z,171463246359500
"""reilly @ FkycgsPCCs"" checks",2024-05-02T06:47:42.778Z,171463246277800
"""scott s @ FhatGh_xn0"" checks",2024-05-02T06:47:37.346Z,171463245734600
"Flop:  [K♠, Q♦, 4♥]",2024-05-02T06:47:29.967Z,171463244996700
"""scott s @ FhatGh_xn0"" calls 6",2024-05-02T06:47:29.131Z,171463244913100
"""reilly @ FkycgsPCCs"" raises to 6",2024-05-02T06:47:28.218Z,171463244821800
"""scott s @ FhatGh_xn0"" posts a big blind of 3",2024-05-02T06:47:27.515Z,171463244751505
"""reilly @ FkycgsPCCs"" posts a small blind of 1",2024-05-02T06:47:27.515Z,171463244751504
"Player stacks: #1 ""reilly @ FkycgsPCCs"" (683) | #6 ""scott s @ FhatGh_xn0"" (517)",2024-05-02T06:47:27.515Z,171463244751501
"-- starting hand #701 (id: xemcpkolrzvk)  (No Limit Texas Hold'em) (dealer: ""reilly @ FkycgsPCCs"") --",2024-05-02T06:47:27.515Z,171463244751500
"-- ending hand #700 --",2024-05-02T06:47:24.593Z,171463244459302
"""reilly @ FkycgsPCCs"" collected 2 from pot",2024-05-02T06:47:24.593Z,171463244459301
"Uncalled bet of 2 returned to ""reilly @ FkycgsPCCs""",2024-05-02T06:47:24.593Z,171463244459300
"""scott s @ FhatGh_xn0"" folds",2024-05-02T06:47:23.761Z,171463244376100
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-05-02T06:47:22.911Z,171463244291105
"""scott s @ FhatGh_xn0"" posts a small blind of 1",2024-05-02T06:47:22.911Z,171463244291104
"Player stacks: #1 ""reilly @ FkycgsPCCs"" (682) | #6 ""scott s @ FhatGh_xn0"" (518)",2024-05-02T06:47:22.911Z,171463244291101
"-- starting hand #700 (id: mucgc2g91r38)  (No Limit Texas Hold'em) (dealer: ""scott s @ FhatGh_xn0"") --",2024-05-02T06:47:22.911Z,171463244291100
"-- ending hand #699 --",2024-05-02T06:47:19.992Z,171463243999202
"""reilly @ FkycgsPCCs"" collected 6 from pot",2024-05-02T06:47:19.992Z,171463243999201
"Uncalled bet of 3 returned to ""reilly @ FkycgsPCCs""",2024-05-02T06:47:19.992Z,171463243999200
"""scott s @ FhatGh_xn0"" folds",2024-05-02T06:47:19.177Z,171463243917700
"""reilly @ FkycgsPCCs"" raises to 6",2024-05-02T06:47:18.333Z,171463243833300
"""scott s @ FhatGh_xn0"" posts a big blind of 3",2024-05-02T06:47:16.307Z,171463243630705
"""reilly @ FkycgsPCCs"" posts a small blind of 1",2024-05-02T06:47:16.307Z,171463243630704
"Player stacks: #1 ""reilly @ FkycgsPCCs"" (679) | #6 ""scott s @ FhatGh_xn0"" (521)",2024-05-02T06:47:16.307Z,171463243630701
"-- starting hand #699 (id: lmnushiiaset)  (No Limit Texas Hold'em) (dealer: ""reilly @ FkycgsPCCs"") --",2024-05-02T06:47:16.307Z,171463243630700
"-- ending hand #698 --",2024-05-02T06:47:13.351Z,171463243335102
"""scott s @ FhatGh_xn0"" collected 6 from pot",2024-05-02T06:47:13.351Z,171463243335101
"Uncalled bet of 6 returned to ""scott s @ FhatGh_xn0""",2024-05-02T06:47:13.351Z,171463243335100
"""reilly @ FkycgsPCCs"" folds",2024-05-02T06:47:12.490Z,171463243249000
"""scott s @ FhatGh_xn0"" bets 6",2024-05-02T06:46:59.414Z,171463241941400
"""reilly @ FkycgsPCCs"" checks",2024-05-02T06:46:54.248Z,171463241424800
"Flop:  [5♠, K♠, A♦]",2024-05-02T06:46:50.344Z,171463241034400
"""reilly @ FkycgsPCCs"" checks",2024-05-02T06:46:49.536Z,171463240953600
"""scott s @ FhatGh_xn0"" calls 3",2024-05-02T06:46:45.682Z,171463240568200
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-05-02T06:46:44.573Z,171463240457305
"""scott s @ FhatGh_xn0"" posts a small blind of 1",2024-05-02T06:46:44.573Z,171463240457304
"Player stacks: #1 ""reilly @ FkycgsPCCs"" (682) | #6 ""scott s @ FhatGh_xn0"" (518)",2024-05-02T06:46:44.573Z,171463240457301
"-- starting hand #698 (id: zwesnetszkre)  (No Limit Texas Hold'em) (dealer: ""scott s @ FhatGh_xn0"") --",2024-05-02T06:46:44.573Z,171463240457300
"-- ending hand #697 --",2024-05-02T06:46:41.658Z,171463240165802
