entry,at,order
"The player ""Taiyo @ KrYzwr7CwQ"" stand up with the stack of 1038.",2024-03-29T09:33:29.842Z,171170480984200
"-- ending hand #1308 --",2024-03-29T09:33:26.916Z,171170480691602
"""Taiyo @ KrYzwr7CwQ"" collected 2 from pot",2024-03-29T09:33:26.916Z,171170480691601
"Uncalled bet of 2 returned to ""Taiyo @ KrYzwr7CwQ""",2024-03-29T09:33:26.916Z,171170480691600
"""Alwïn @ -xq7igfXAd"" folds",2024-03-29T09:33:26.083Z,171170480608300
"""Taiyo @ KrYzwr7CwQ"" posts a big blind of 3",2024-03-29T09:33:23.635Z,171170480363505
"""Alwïn @ -xq7igfXAd"" posts a small blind of 1",2024-03-29T09:33:23.635Z,171170480363504
"Your hand is 2♠, 7♦",2024-03-29T09:33:23.635Z,171170480363502
"Player stacks: #2 ""Alwïn @ -xq7igfXAd"" (905) | #10 ""Taiyo @ KrYzwr7CwQ"" (1037)",2024-03-29T09:33:23.635Z,171170480363501
"-- starting hand #1308 (id: ubl30jdbhre0)  (No Limit Texas Hold'em) (dealer: ""Alwïn @ -xq7igfXAd"") --",2024-03-29T09:33:23.635Z,171170480363500
"-- ending hand #1307 --",2024-03-29T09:33:20.682Z,171170480068202
"""Alwïn @ -xq7igfXAd"" collected 2 from pot",2024-03-29T09:33:20.682Z,171170480068201
"Uncalled bet of 2 returned to ""Alwïn @ -xq7igfXAd""",2024-03-29T09:33:20.682Z,171170480068200
"""Taiyo @ KrYzwr7CwQ"" folds",2024-03-29T09:33:19.859Z,171170479985900
"""Alwïn @ -xq7igfXAd"" posts a big blind of 3",2024-03-29T09:33:18.077Z,171170479807705
"""Taiyo @ KrYzwr7CwQ"" posts a small blind of 1",2024-03-29T09:33:18.077Z,171170479807704
"Your hand is 7♠, 3♥",2024-03-29T09:33:18.077Z,171170479807702
"Player stacks: #2 ""Alwïn @ -xq7igfXAd"" (904) | #10 ""Taiyo @ KrYzwr7CwQ"" (1038)",2024-03-29T09:33:18.077Z,171170479807701
"-- starting hand #1307 (id: ztw5hnehdexm)  (No Limit Texas Hold'em) (dealer: ""Taiyo @ KrYzwr7CwQ"") --",2024-03-29T09:33:18.077Z,171170479807700
"-- ending hand #1306 --",2024-03-29T09:33:15.157Z,171170479515702
"""Taiyo @ KrYzwr7CwQ"" collected 2 from pot",2024-03-29T09:33:15.157Z,171170479515701
"Uncalled bet of 2 returned to ""Taiyo @ KrYzwr7CwQ""",2024-03-29T09:33:15.157Z,171170479515700
"""Alwïn @ -xq7igfXAd"" folds",2024-03-29T09:33:14.331Z,171170479433100
"""Taiyo @ KrYzwr7CwQ"" posts a big blind of 3",2024-03-29T09:33:07.755Z,171170478775505
"""Alwïn @ -xq7igfXAd"" posts a small blind of 1",2024-03-29T09:33:07.755Z,171170478775504
"Your hand is 2♣, 10♠",2024-03-29T09:33:07.755Z,171170478775502
"Player stacks: #2 ""Alwïn @ -xq7igfXAd"" (905) | #10 ""Taiyo @ KrYzwr7CwQ"" (1037)",2024-03-29T09:33:07.755Z,171170478775501
