entry,at,order
"The player ""scott s @ FhatGh_xn0"" passed the room ownership to ""reilly @ FkycgsPCCs"".",2024-04-26T03:26:58.506Z,171410201850600
"The player ""reilly @ FkycgsPCCs"" stand up with the stack of 487.",2024-04-26T03:21:54.603Z,171410171460300
"The player ""scott s @ FhatGh_xn0"" quits the game with a stack of 1110.",2024-04-26T03:20:58.016Z,171410165801600
"-- ending hand #596 --",2024-04-26T03:20:55.075Z,171410165507502
"""reilly @ FkycgsPCCs"" collected 40 from pot",2024-04-26T03:20:55.075Z,171410165507501
"Uncalled bet of 28 returned to ""reilly @ FkycgsPCCs""",2024-04-26T03:20:55.075Z,171410165507500
"""scott s @ FhatGh_xn0"" folds",2024-04-26T03:20:54.261Z,171410165426100
"""reilly @ FkycgsPCCs"" raises to 34",2024-04-26T03:20:51.255Z,171410165125500
"""scott s @ FhatGh_xn0"" bets 6",2024-04-26T03:20:25.996Z,171410162599600
"River: 2♣, K♦, Q♣, 9♠ [J♥]",2024-04-26T03:20:10.154Z,171410161015400
"""reilly @ FkycgsPCCs"" checks",2024-04-26T03:20:09.325Z,171410160932500
"""scott s @ FhatGh_xn0"" checks",2024-04-26T03:19:48.990Z,171410158899000
"Turn: 2♣, K♦, Q♣ [9♠]",2024-04-26T03:19:34.808Z,171410157480800
"""scott s @ FhatGh_xn0"" calls 8",2024-04-26T03:19:33.930Z,171410157393000
"""reilly @ FkycgsPCCs"" bets 8",2024-04-26T03:19:30.641Z,171410157064100
"""scott s @ FhatGh_xn0"" checks",2024-04-26T03:19:15.147Z,171410155514700
"Flop:  [2♣, K♦, Q♣]",2024-04-26T03:19:11.432Z,171410155143200
"""scott s @ FhatGh_xn0"" calls 6",2024-04-26T03:19:10.591Z,171410155059100
"""reilly @ FkycgsPCCs"" raises to 6",2024-04-26T03:19:09.746Z,171410154974600
"""scott s @ FhatGh_xn0"" posts a big blind of 3",2024-04-26T03:19:07.972Z,171410154797205
"""reilly @ FkycgsPCCs"" posts a small blind of 1",2024-04-26T03:19:07.972Z,171410154797204
"Player stacks: #1 ""scott s @ FhatGh_xn0"" (1130) | #10 ""reilly @ FkycgsPCCs"" (467)",2024-04-26T03:19:07.972Z,171410154797201
"-- starting hand #596 (id: ffbnr6ggbo24)  (No Limit Texas Hold'em) (dealer: ""reilly @ FkycgsPCCs"") --",2024-04-26T03:19:07.972Z,171410154797200
"-- ending hand #595 --",2024-04-26T03:19:04.975Z,171410154497502
"""reilly @ FkycgsPCCs"" collected 2 from pot",2024-04-26T03:19:04.975Z,171410154497501
"Uncalled bet of 2 returned to ""reilly @ FkycgsPCCs""",2024-04-26T03:19:04.975Z,171410154497500
"""scott s @ FhatGh_xn0"" folds",2024-04-26T03:19:04.157Z,171410154415700
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-04-26T03:19:03.369Z,171410154336905
"""scott s @ FhatGh_xn0"" posts a small blind of 1",2024-04-26T03:19:03.369Z,171410154336904
"Player stacks: #1 ""scott s @ FhatGh_xn0"" (1131) | #10 ""reilly @ FkycgsPCCs"" (466)",2024-04-26T03:19:03.369Z,171410154336901
"-- starting hand #595 (id: w7wxzymdjubi)  (No Limit Texas Hold'em) (dealer: ""scott s @ FhatGh_xn0"") --",2024-04-26T03:19:03.369Z,171410154336900
"-- ending hand #594 --",2024-04-26T03:19:00.395Z,171410154039502
"""reilly @ FkycgsPCCs"" collected 6 from pot",2024-04-26T03:19:00.395Z,171410154039501
"Uncalled bet of 3 returned to ""reilly @ FkycgsPCCs""",2024-04-26T03:19:00.395Z,171410154039500
"""scott s @ FhatGh_xn0"" folds",2024-04-26T03:18:59.576Z,171410153957600
"""reilly @ FkycgsPCCs"" raises to 6",2024-04-26T03:18:58.693Z,171410153869300
"""scott s @ FhatGh_xn0"" posts a big blind of 3",2024-04-26T03:18:56.153Z,171410153615305
"""reilly @ FkycgsPCCs"" posts a small blind of 1",2024-04-26T03:18:56.153Z,171410153615304
"Player stacks: #1 ""scott s @ FhatGh_xn0"" (1134) | #10 ""reilly @ FkycgsPCCs"" (463)",2024-04-26T03:18:56.153Z,171410153615301
"-- starting hand #594 (id: beyvyha2gecx)  (No Limit Texas Hold'em) (dealer: ""reilly @ FkycgsPCCs"") --",2024-04-26T03:18:56.153Z,171410153615300
"-- ending hand #593 --",2024-04-26T03:18:53.160Z,171410153316002
