entry,at,order
"Flop:  [6♠, 2♥, 3♠]",2024-07-04T06:37:13.874Z,172007503387400
"""Justin L @ iAQ8-a-ouy"" calls 48",2024-07-04T06:37:13.055Z,172007503305500
"""bbb @ ioR0essz1L"" folds",2024-07-04T06:36:33.682Z,172007499368200
"""reilly @ FkycgsPCCs"" raises to 48",2024-07-04T06:36:30.688Z,172007499068800
"""Taiyo @ oRLZGd29jc"" folds",2024-07-04T06:36:18.913Z,172007497891300
"""Justin L @ iAQ8-a-ouy"" calls 8",2024-07-04T06:36:18.020Z,172007497802000
"""bbb @ ioR0essz1L"" raises to 8",2024-07-04T06:36:16.258Z,172007497625800
"""BP @ 3nEm3CsHfN"" folds",2024-07-04T06:36:06.280Z,172007496628000
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-07-04T06:36:04.886Z,172007496488608
"""Taiyo @ oRLZGd29jc"" posts a small blind of 1",2024-07-04T06:36:04.886Z,172007496488607
"Player stacks: #1 ""Justin L @ iAQ8-a-ouy"" (2509) | #2 ""Taiyo @ oRLZGd29jc"" (519) | #4 ""reilly @ FkycgsPCCs"" (269) | #7 ""BP @ 3nEm3CsHfN"" (974) | #10 ""bbb @ ioR0essz1L"" (431)",2024-07-04T06:36:04.886Z,172007496488601
"-- starting hand #400 (id: wfpsodyh69ib)  (No Limit Texas Hold'em) (dealer: ""Justin L @ iAQ8-a-ouy"") --",2024-07-04T06:36:04.886Z,172007496488600
"-- ending hand #399 --",2024-07-04T06:36:01.926Z,172007496192602
"""BP @ 3nEm3CsHfN"" collected 17 from pot",2024-07-04T06:36:01.926Z,172007496192601
"Uncalled bet of 8 returned to ""BP @ 3nEm3CsHfN""",2024-07-04T06:36:01.926Z,172007496192600
"""Taiyo @ oRLZGd29jc"" folds",2024-07-04T06:36:01.094Z,172007496109400
"""BP @ 3nEm3CsHfN"" bets 8",2024-07-04T06:35:30.244Z,172007493024400
"""Taiyo @ oRLZGd29jc"" checks",2024-07-04T06:35:26.657Z,172007492665700
"Flop:  [J♣, 7♥, 2♥]",2024-07-04T06:35:24.744Z,172007492474400
"""Taiyo @ oRLZGd29jc"" calls 8",2024-07-04T06:35:23.892Z,172007492389200
"""Justin L @ iAQ8-a-ouy"" folds",2024-07-04T06:35:19.775Z,172007491977500
"""bbb @ ioR0essz1L"" folds",2024-07-04T06:35:16.719Z,172007491671900
"""BP @ 3nEm3CsHfN"" raises to 8",2024-07-04T06:35:14.109Z,172007491410900
"""reilly @ FkycgsPCCs"" folds",2024-07-04T06:35:11.910Z,172007491191000
"""Taiyo @ oRLZGd29jc"" posts a big blind of 3",2024-07-04T06:35:10.932Z,172007491093208
"""Justin L @ iAQ8-a-ouy"" posts a small blind of 1",2024-07-04T06:35:10.932Z,172007491093207
"Player stacks: #1 ""Justin L @ iAQ8-a-ouy"" (2510) | #2 ""Taiyo @ oRLZGd29jc"" (527) | #4 ""reilly @ FkycgsPCCs"" (269) | #7 ""BP @ 3nEm3CsHfN"" (965) | #10 ""bbb @ ioR0essz1L"" (431)",2024-07-04T06:35:10.932Z,172007491093201
"-- starting hand #399 (id: 74miujxzrxc5)  (No Limit Texas Hold'em) (dealer: ""bbb @ ioR0essz1L"") --",2024-07-04T06:35:10.932Z,172007491093200
"-- ending hand #398 --",2024-07-04T06:35:04.917Z,172007490491702
"""BP @ 3nEm3CsHfN"" collected 84 from pot with Three of a Kind, 10's (combination: 10♦, 10♠, 10♣, K♣, J♥)",2024-07-04T06:35:04.917Z,172007490491701
"""BP @ 3nEm3CsHfN"" shows a 10♦, 5♦.",2024-07-04T06:35:04.917Z,172007490491700
"""reilly @ FkycgsPCCs"" calls 22",2024-07-04T06:35:04.090Z,172007490409000
"""BP @ 3nEm3CsHfN"" bets 22",2024-07-04T06:34:32.080Z,172007487208000
"""reilly @ FkycgsPCCs"" checks",2024-07-04T06:34:23.893Z,172007486389300
"River: 10♠, J♥, 3♠, 10♣ [K♣]",2024-07-04T06:34:21.505Z,172007486150500
"""reilly @ FkycgsPCCs"" calls 10",2024-07-04T06:34:20.644Z,172007486064400
"""BP @ 3nEm3CsHfN"" bets 10",2024-07-04T06:34:11.830Z,172007485183000
"""reilly @ FkycgsPCCs"" checks",2024-07-04T06:34:08.018Z,172007484801800
"Turn: 10♠, J♥, 3♠ [10♣]",2024-07-04T06:33:57.375Z,172007483737500
"""BP @ 3nEm3CsHfN"" checks",2024-07-04T06:33:56.504Z,172007483650400
"""reilly @ FkycgsPCCs"" checks",2024-07-04T06:33:54.084Z,172007483408400
"Flop:  [10♠, J♥, 3♠]",2024-07-04T06:33:37.725Z,172007481772500
"""Justin L @ iAQ8-a-ouy"" folds",2024-07-04T06:33:36.878Z,172007481687800
"""bbb @ ioR0essz1L"" folds",2024-07-04T06:33:35.938Z,172007481593800
"""BP @ 3nEm3CsHfN"" calls 8",2024-07-04T06:33:16.781Z,172007479678100
"""reilly @ FkycgsPCCs"" raises to 8",2024-07-04T06:33:15.294Z,172007479529400
"""Taiyo @ oRLZGd29jc"" folds",2024-07-04T06:33:10.110Z,172007479011000
"""Justin L @ iAQ8-a-ouy"" posts a big blind of 3",2024-07-04T06:33:01.318Z,172007478131808
