entry,at,order
"The player ""SD @ nRcaG0oHRD"" quits the game with a stack of 587.29.",2025-01-05T10:01:31.419Z,173607129141900
"The admin ""HY @ RzZqRjTje6"" enqueued the game stop on next hand.",2025-01-05T10:00:56.704Z,173607125670400
"-- ending hand #635 --",2025-01-05T10:00:56.401Z,173607125640104
"""Ahmed @ 7a1arINwD3"" collected 36.00 from pot with Straight on the second board  (combination: 6♥, 5♠, 4♣, 3♦, 2♣)",2025-01-05T10:00:56.401Z,173607125640103
"""Ahmed @ 7a1arINwD3"" shows a J♣, 2♣, 2♥, 6♥.",2025-01-05T10:00:56.401Z,173607125640102
"""SD @ nRcaG0oHRD"" collected 36.00 from pot with Full House (combination: K♣, K♦, K♠, Q♥, Q♣)",2025-01-05T10:00:56.401Z,173607125640101
"""SD @ nRcaG0oHRD"" shows a K♣, 5♦, K♦, J♠.",2025-01-05T10:00:56.401Z,173607125640100
"""SD @ nRcaG0oHRD"" calls 32.00",2025-01-05T10:00:55.581Z,173607125558100
"""AHH @ WXCnFl5Ej4"" folds",2025-01-05T10:00:52.623Z,173607125262300
"""HY @ RzZqRjTje6"" folds",2025-01-05T10:00:51.673Z,173607125167300
"""Ahmed @ 7a1arINwD3"" raises to 32.00",2025-01-05T10:00:23.069Z,173607122306900
"""SD @ nRcaG0oHRD"" bets 8.00",2025-01-05T10:00:19.497Z,173607121949700
"""AHH @ WXCnFl5Ej4"" checks",2025-01-05T10:00:15.281Z,173607121528100
"The admin ""HY @ RzZqRjTje6"" canceled the game stop on next hand.",2025-01-05T10:00:08.002Z,173607120800200
"The admin ""HY @ RzZqRjTje6"" enqueued the game stop on next hand.",2025-01-05T10:00:02.027Z,173607120202700
"River (second board): A♥, 9♣, 5♠, 4♣ [3♦]",2025-01-05T10:00:01.742Z,173607120174201
"River: Q♥, 7♦, 6♣, Q♣ [K♠]",2025-01-05T10:00:01.742Z,173607120174200
"""HY @ RzZqRjTje6"" checks",2025-01-05T10:00:00.930Z,173607120093000
"""Ahmed @ 7a1arINwD3"" checks",2025-01-05T09:59:59.960Z,173607119996000
"""SD @ nRcaG0oHRD"" checks",2025-01-05T09:59:58.676Z,173607119867600
"""AHH @ WXCnFl5Ej4"" checks",2025-01-05T09:59:56.675Z,173607119667500
"Turn (second board): A♥, 9♣, 5♠ [4♣]",2025-01-05T09:59:51.257Z,173607119125701
"Turn: Q♥, 7♦, 6♣ [Q♣]",2025-01-05T09:59:51.257Z,173607119125700
"""HY @ RzZqRjTje6"" checks",2025-01-05T09:59:50.447Z,173607119044700
"""Ahmed @ 7a1arINwD3"" checks",2025-01-05T09:59:43.939Z,173607118393900
"""SD @ nRcaG0oHRD"" checks",2025-01-05T09:59:42.456Z,173607118245600
"""AHH @ WXCnFl5Ej4"" checks",2025-01-05T09:59:40.089Z,173607118008900
"Flop (second board):  [A♥, 9♣, 5♠]",2025-01-05T09:59:35.634Z,173607117563401
"Flop:  [Q♥, 7♦, 6♣]",2025-01-05T09:59:35.634Z,173607117563400
"""SD @ nRcaG0oHRD"" calls 2.00 (bomb pot bet)",2025-01-05T09:59:34.728Z,173607117472800
"""AHH @ WXCnFl5Ej4"" calls 2.00 (bomb pot bet)",2025-01-05T09:59:33.915Z,173607117391500
"""HY @ RzZqRjTje6"" calls 2.00 (bomb pot bet)",2025-01-05T09:59:33.081Z,173607117308100
"""Ahmed @ 7a1arINwD3"" posts a bet of 2.00 (bomb pot bet)",2025-01-05T09:59:32.234Z,173607117223400
"Your hand is 4♦, 5♣, A♣, 5♥",2025-01-05T09:59:30.229Z,173607117022904
