entry,at,order
"The player ""Mike C @ 7uy4019y8p"" stand up with the stack of 502.",2024-05-12T04:01:12.902Z,171548647290200
"-- ending hand #329 --",2024-05-12T04:01:09.989Z,171548646998902
"""scott s @ vNAV_AAv9J"" collected 68 from pot",2024-05-12T04:01:09.989Z,171548646998901
"Uncalled bet of 40 returned to ""scott s @ vNAV_AAv9J""",2024-05-12T04:01:09.989Z,171548646998900
"""Mike C @ 7uy4019y8p"" folds",2024-05-12T04:01:09.136Z,171548646913600
"""scott s @ vNAV_AAv9J"" bets 40",2024-05-12T04:00:46.267Z,171548644626700
"River: J♦, J♥, K♦, 9♣ [6♠]",2024-05-12T04:00:21.184Z,171548642118400
"""Mike C @ 7uy4019y8p"" calls 16",2024-05-12T04:00:20.349Z,171548642034900
"""scott s @ vNAV_AAv9J"" bets 16",2024-05-12T04:00:05.962Z,171548640596200
"Turn: J♦, J♥, K♦ [9♣]",2024-05-12T03:59:47.309Z,171548638730900
"""scott s @ vNAV_AAv9J"" calls 9",2024-05-12T03:59:46.498Z,171548638649800
"""Mike C @ 7uy4019y8p"" bets 9",2024-05-12T03:59:35.847Z,171548637584700
"""scott s @ vNAV_AAv9J"" checks",2024-05-12T03:59:29.447Z,171548636944700
"Flop:  [J♦, J♥, K♦]",2024-05-12T03:59:22.811Z,171548636281100
"""scott s @ vNAV_AAv9J"" calls 9",2024-05-12T03:59:21.985Z,171548636198500
"""Mike C @ 7uy4019y8p"" raises to 9",2024-05-12T03:59:19.698Z,171548635969800
"""scott s @ vNAV_AAv9J"" posts a big blind of 3",2024-05-12T03:59:15.564Z,171548635556405
"""Mike C @ 7uy4019y8p"" posts a small blind of 1",2024-05-12T03:59:15.564Z,171548635556404
"Player stacks: #1 ""scott s @ vNAV_AAv9J"" (664) | #5 ""Mike C @ 7uy4019y8p"" (536)",2024-05-12T03:59:15.564Z,171548635556401
"-- starting hand #329 (id: tpy1rkgqiwio)  (No Limit Texas Hold'em) (dealer: ""Mike C @ 7uy4019y8p"") --",2024-05-12T03:59:15.564Z,171548635556400
"-- ending hand #328 --",2024-05-12T03:59:12.486Z,171548635248602
"""scott s @ vNAV_AAv9J"" collected 254 from pot with Full House, 6's over 5's (combination: 6♥, 6♣, 6♦, 5♠, 5♥)",2024-05-12T03:59:12.486Z,171548635248601
"""scott s @ vNAV_AAv9J"" shows a 6♥, 5♠.",2024-05-12T03:59:12.486Z,171548635248600
"""Mike C @ 7uy4019y8p"" calls 95",2024-05-12T03:59:11.671Z,171548635167100
"""scott s @ vNAV_AAv9J"" raises to 95",2024-05-12T03:58:53.662Z,171548633366200
"""Mike C @ 7uy4019y8p"" bets 35",2024-05-12T03:58:28.940Z,171548630894000
"River: 6♣, J♠, K♦, 6♦ [5♥]",2024-05-12T03:58:13.391Z,171548629339100
"""Mike C @ 7uy4019y8p"" calls 14",2024-05-12T03:58:12.588Z,171548629258800
"""scott s @ vNAV_AAv9J"" bets 14",2024-05-12T03:57:56.113Z,171548627611300
"""Mike C @ 7uy4019y8p"" checks",2024-05-12T03:57:45.830Z,171548626583000
"Turn: 6♣, J♠, K♦ [6♦]",2024-05-12T03:57:37.615Z,171548625761500
"""scott s @ vNAV_AAv9J"" calls 9",2024-05-12T03:57:36.776Z,171548625677600
"""Mike C @ 7uy4019y8p"" bets 9",2024-05-12T03:57:32.911Z,171548625291100
"Flop:  [6♣, J♠, K♦]",2024-05-12T03:57:27.471Z,171548624747100
"""scott s @ vNAV_AAv9J"" calls 9",2024-05-12T03:57:26.624Z,171548624662400
"""Mike C @ 7uy4019y8p"" raises to 9",2024-05-12T03:57:25.031Z,171548624503100
"""scott s @ vNAV_AAv9J"" calls 3",2024-05-12T03:57:21.377Z,171548624137700
"""Mike C @ 7uy4019y8p"" posts a big blind of 3",2024-05-12T03:57:19.382Z,171548623938205
"""scott s @ vNAV_AAv9J"" posts a small blind of 1",2024-05-12T03:57:19.382Z,171548623938204
"Player stacks: #1 ""scott s @ vNAV_AAv9J"" (537) | #5 ""Mike C @ 7uy4019y8p"" (663)",2024-05-12T03:57:19.382Z,171548623938201
"-- starting hand #328 (id: xo642rvtcadf)  (No Limit Texas Hold'em) (dealer: ""scott s @ vNAV_AAv9J"") --",2024-05-12T03:57:19.382Z,171548623938200
"-- ending hand #327 --",2024-05-12T03:57:16.378Z,171548623637802
"""scott s @ vNAV_AAv9J"" collected 18 from pot with Pair, A's (combination: A♦, A♥, Q♥, J♥, 9♥)",2024-05-12T03:57:16.378Z,171548623637801
"""scott s @ vNAV_AAv9J"" shows a A♦, J♥.",2024-05-12T03:57:16.378Z,171548623637800
"""Mike C @ 7uy4019y8p"" checks",2024-05-12T03:57:15.520Z,171548623552000
"""scott s @ vNAV_AAv9J"" checks",2024-05-12T03:57:13.799Z,171548623379900
"River: A♥, 6♦, 9♥, 4♣ [Q♥]",2024-05-12T03:57:10.269Z,171548623026900
"""Mike C @ 7uy4019y8p"" checks",2024-05-12T03:57:09.461Z,171548622946100
"""scott s @ vNAV_AAv9J"" checks",2024-05-12T03:57:04.056Z,171548622405600
"Turn: A♥, 6♦, 9♥ [4♣]",2024-05-12T03:57:01.574Z,171548622157400
"""Mike C @ 7uy4019y8p"" checks",2024-05-12T03:57:00.731Z,171548622073100
"""scott s @ vNAV_AAv9J"" checks",2024-05-12T03:56:55.876Z,171548621587600
"Flop:  [A♥, 6♦, 9♥]",2024-05-12T03:56:51.380Z,171548621138000
"""scott s @ vNAV_AAv9J"" calls 9",2024-05-12T03:56:50.536Z,171548621053600
"""Mike C @ 7uy4019y8p"" raises to 9",2024-05-12T03:56:45.851Z,171548620585100
"""scott s @ vNAV_AAv9J"" posts a big blind of 3",2024-05-12T03:56:42.020Z,171548620202005
"""Mike C @ 7uy4019y8p"" posts a small blind of 1",2024-05-12T03:56:42.020Z,171548620202004
"Player stacks: #1 ""scott s @ vNAV_AAv9J"" (528) | #5 ""Mike C @ 7uy4019y8p"" (672)",2024-05-12T03:56:42.020Z,171548620202001
"-- starting hand #327 (id: 1bj3dr0msely)  (No Limit Texas Hold'em) (dealer: ""Mike C @ 7uy4019y8p"") --",2024-05-12T03:56:42.020Z,171548620202000
"-- ending hand #326 --",2024-05-12T03:56:39.113Z,171548619911302
"""Mike C @ 7uy4019y8p"" collected 2 from pot",2024-05-12T03:56:39.113Z,171548619911301
"Uncalled bet of 2 returned to ""Mike C @ 7uy4019y8p""",2024-05-12T03:56:39.113Z,171548619911300
"""scott s @ vNAV_AAv9J"" folds",2024-05-12T03:56:38.231Z,171548619823100
"""Mike C @ 7uy4019y8p"" posts a big blind of 3",2024-05-12T03:56:36.512Z,171548619651205
"""scott s @ vNAV_AAv9J"" posts a small blind of 1",2024-05-12T03:56:36.512Z,171548619651204
"Player stacks: #1 ""scott s @ vNAV_AAv9J"" (529) | #5 ""Mike C @ 7uy4019y8p"" (671)",2024-05-12T03:56:36.512Z,171548619651201
"-- starting hand #326 (id: 2ph1qnkdcspi)  (No Limit Texas Hold'em) (dealer: ""scott s @ vNAV_AAv9J"") --",2024-05-12T03:56:36.512Z,171548619651200
"-- ending hand #325 --",2024-05-12T03:56:33.510Z,171548619351002
"""scott s @ vNAV_AAv9J"" collected 2 from pot",2024-05-12T03:56:33.510Z,171548619351001
"Uncalled bet of 2 returned to ""scott s @ vNAV_AAv9J""",2024-05-12T03:56:33.510Z,171548619351000
"""Mike C @ 7uy4019y8p"" folds",2024-05-12T03:56:32.670Z,171548619267000
"""scott s @ vNAV_AAv9J"" posts a big blind of 3",2024-05-12T03:56:30.107Z,171548619010705
"""Mike C @ 7uy4019y8p"" posts a small blind of 1",2024-05-12T03:56:30.107Z,171548619010704
"Player stacks: #1 ""scott s @ vNAV_AAv9J"" (528) | #5 ""Mike C @ 7uy4019y8p"" (672)",2024-05-12T03:56:30.107Z,171548619010701
"-- starting hand #325 (id: f4tojjiboos9)  (No Limit Texas Hold'em) (dealer: ""Mike C @ 7uy4019y8p"") --",2024-05-12T03:56:30.107Z,171548619010700
"-- ending hand #324 --",2024-05-12T03:56:27.102Z,171548618710202
"""Mike C @ 7uy4019y8p"" collected 2 from pot",2024-05-12T03:56:27.102Z,171548618710201
"Uncalled bet of 2 returned to ""Mike C @ 7uy4019y8p""",2024-05-12T03:56:27.102Z,171548618710200
"""scott s @ vNAV_AAv9J"" folds",2024-05-12T03:56:26.261Z,171548618626100
