entry,at,order
"The player ""reilly2 @ FkycgsPCCs"" passed the room ownership to ""Mike C @ 7uy4019y8p"".",2024-04-20T06:13:22.954Z,171359360295400
"The player ""reilly2 @ FkycgsPCCs"" quits the game with a stack of 761.",2024-04-20T06:09:03.297Z,171359334329700
"The player ""Zach Z @ VHwatE4yBu"" quits the game with a stack of 0.",2024-04-20T06:02:55.221Z,171359297522100
"-- ending hand #464 --",2024-04-20T06:02:49.216Z,171359296921601
"""reilly2 @ FkycgsPCCs"" collected 484 from pot with Pair, K's (combination: K♦, K♠, J♦, 6♥, 4♦)",2024-04-20T06:02:49.216Z,171359296921600
"River: J♦, 3♦, 2♥, 4♦ [6♥]",2024-04-20T06:02:45.191Z,171359296519100
"""reilly2 @ FkycgsPCCs"" shows a K♦, K♠.",2024-04-20T06:02:41.184Z,171359296118401
"""Zach Z @ VHwatE4yBu"" shows a 7♠, 7♦.",2024-04-20T06:02:41.184Z,171359296118400
"Some players choose to not run it twice.",2024-04-20T06:02:40.355Z,171359296035501
"""Zach Z @ VHwatE4yBu"" chooses to not run it twice.",2024-04-20T06:02:40.355Z,171359296035500
"""reilly2 @ FkycgsPCCs"" chooses to  run it twice.",2024-04-20T06:02:38.813Z,171359295881300
"Remaining players decide whether to run it twice.",2024-04-20T06:02:38.769Z,171359295876901
"""Zach Z @ VHwatE4yBu"" calls 142 and go all in",2024-04-20T06:02:38.769Z,171359295876900
"""reilly2 @ FkycgsPCCs"" bets 142",2024-04-20T06:02:30.654Z,171359295065400
"""Zach Z @ VHwatE4yBu"" checks",2024-04-20T06:02:10.143Z,171359293014300
"Turn: J♦, 3♦, 2♥ [4♦]",2024-04-20T06:02:05.129Z,171359292512900
"""Zach Z @ VHwatE4yBu"" calls 30",2024-04-20T06:02:04.227Z,171359292422700
"""reilly2 @ FkycgsPCCs"" bets 30",2024-04-20T06:02:00.091Z,171359292009100
"""Zach Z @ VHwatE4yBu"" checks",2024-04-20T06:01:41.968Z,171359290196800
"Flop:  [J♦, 3♦, 2♥]",2024-04-20T06:01:38.085Z,171359289808500
"""Zach Z @ VHwatE4yBu"" calls 70",2024-04-20T06:01:37.282Z,171359289728200
"""reilly2 @ FkycgsPCCs"" raises to 70",2024-04-20T06:01:30.284Z,171359289028400
"""Zach Z @ VHwatE4yBu"" raises to 28",2024-04-20T06:01:11.747Z,171359287174700
"""reilly2 @ FkycgsPCCs"" raises to 7",2024-04-20T06:01:08.449Z,171359286844900
"""Zach Z @ VHwatE4yBu"" posts a big blind of 3",2024-04-20T06:01:05.538Z,171359286553805
"""reilly2 @ FkycgsPCCs"" posts a small blind of 1",2024-04-20T06:01:05.538Z,171359286553804
"Player stacks: #6 ""Zach Z @ VHwatE4yBu"" (242) | #7 ""reilly2 @ FkycgsPCCs"" (519)",2024-04-20T06:01:05.538Z,171359286553801
"-- starting hand #464 (id: doq4mlx68xbm)  (No Limit Texas Hold'em) (dealer: ""reilly2 @ FkycgsPCCs"") --",2024-04-20T06:01:05.538Z,171359286553800
"-- ending hand #463 --",2024-04-20T06:00:59.523Z,171359285952303
"""Zach Z @ VHwatE4yBu"" shows a 3♣, A♦.",2024-04-20T06:00:59.523Z,171359285952302
"""reilly2 @ FkycgsPCCs"" collected 22 from pot with Two Pair, 6's & 2's (combination: 6♠, 6♣, 2♣, 2♠, K♥)",2024-04-20T06:00:59.523Z,171359285952301
"""reilly2 @ FkycgsPCCs"" shows a 7♦, 6♠.",2024-04-20T06:00:59.523Z,171359285952300
"""Zach Z @ VHwatE4yBu"" checks",2024-04-20T06:00:58.687Z,171359285868700
"""reilly2 @ FkycgsPCCs"" checks",2024-04-20T06:00:57.826Z,171359285782600
"River: K♥, J♣, 6♣, 2♣ [2♠]",2024-04-20T06:00:50.662Z,171359285066200
"""Zach Z @ VHwatE4yBu"" checks",2024-04-20T06:00:49.837Z,171359284983700
"""reilly2 @ FkycgsPCCs"" checks",2024-04-20T06:00:48.623Z,171359284862300
"Turn: K♥, J♣, 6♣ [2♣]",2024-04-20T06:00:47.059Z,171359284705900
"""reilly2 @ FkycgsPCCs"" calls 4",2024-04-20T06:00:46.217Z,171359284621700
"""Zach Z @ VHwatE4yBu"" bets 4",2024-04-20T06:00:41.955Z,171359284195500
"""reilly2 @ FkycgsPCCs"" checks",2024-04-20T06:00:39.777Z,171359283977700
"Flop:  [K♥, J♣, 6♣]",2024-04-20T06:00:38.205Z,171359283820500
"""reilly2 @ FkycgsPCCs"" calls 7",2024-04-20T06:00:37.393Z,171359283739300
"""Zach Z @ VHwatE4yBu"" raises to 7",2024-04-20T06:00:34.444Z,171359283444400
"""reilly2 @ FkycgsPCCs"" posts a big blind of 3",2024-04-20T06:00:33.079Z,171359283307905
"""Zach Z @ VHwatE4yBu"" posts a small blind of 1",2024-04-20T06:00:33.079Z,171359283307904
"Player stacks: #6 ""Zach Z @ VHwatE4yBu"" (253) | #7 ""reilly2 @ FkycgsPCCs"" (508)",2024-04-20T06:00:33.079Z,171359283307901
"-- starting hand #463 (id: ocmvo7x8hebs)  (No Limit Texas Hold'em) (dealer: ""Zach Z @ VHwatE4yBu"") --",2024-04-20T06:00:33.079Z,171359283307900
"-- ending hand #462 --",2024-04-20T06:00:30.161Z,171359283016102
"""reilly2 @ FkycgsPCCs"" collected 26 from pot",2024-04-20T06:00:30.161Z,171359283016101
"Uncalled bet of 18 returned to ""reilly2 @ FkycgsPCCs""",2024-04-20T06:00:30.161Z,171359283016100
"""Zach Z @ VHwatE4yBu"" folds",2024-04-20T06:00:29.299Z,171359282929900
"""reilly2 @ FkycgsPCCs"" raises to 21",2024-04-20T06:00:27.335Z,171359282733500
"""Zach Z @ VHwatE4yBu"" bets 3",2024-04-20T06:00:14.786Z,171359281478600
"River: Q♠, 9♦, A♠, 7♣ [2♣]",2024-04-20T06:00:13.861Z,171359281386100
"""reilly2 @ FkycgsPCCs"" calls 3",2024-04-20T06:00:13.035Z,171359281303500
"""Zach Z @ VHwatE4yBu"" bets 3",2024-04-20T06:00:07.133Z,171359280713300
"Turn: Q♠, 9♦, A♠ [7♣]",2024-04-20T06:00:05.910Z,171359280591000
"""reilly2 @ FkycgsPCCs"" checks",2024-04-20T06:00:05.080Z,171359280508000
"""Zach Z @ VHwatE4yBu"" checks",2024-04-20T06:00:00.607Z,171359280060700
"Flop:  [Q♠, 9♦, A♠]",2024-04-20T05:59:59.486Z,171359279948600
"""Zach Z @ VHwatE4yBu"" calls 7",2024-04-20T05:59:58.659Z,171359279865900
"""reilly2 @ FkycgsPCCs"" raises to 7",2024-04-20T05:59:57.766Z,171359279776600
"""Zach Z @ VHwatE4yBu"" posts a big blind of 3",2024-04-20T05:59:55.087Z,171359279508705
"""reilly2 @ FkycgsPCCs"" posts a small blind of 1",2024-04-20T05:59:55.087Z,171359279508704
"Player stacks: #6 ""Zach Z @ VHwatE4yBu"" (266) | #7 ""reilly2 @ FkycgsPCCs"" (495)",2024-04-20T05:59:55.087Z,171359279508701
"-- starting hand #462 (id: ov5nadenypzb)  (No Limit Texas Hold'em) (dealer: ""reilly2 @ FkycgsPCCs"") --",2024-04-20T05:59:55.087Z,171359279508700
"-- ending hand #461 --",2024-04-20T05:59:52.122Z,171359279212202
"""Zach Z @ VHwatE4yBu"" collected 6 from pot",2024-04-20T05:59:52.122Z,171359279212201
"Uncalled bet of 4 returned to ""Zach Z @ VHwatE4yBu""",2024-04-20T05:59:52.122Z,171359279212200
"""reilly2 @ FkycgsPCCs"" folds",2024-04-20T05:59:51.297Z,171359279129700
"""Zach Z @ VHwatE4yBu"" raises to 7",2024-04-20T05:59:49.572Z,171359278957200
"""reilly2 @ FkycgsPCCs"" posts a big blind of 3",2024-04-20T05:59:48.320Z,171359278832005
"""Zach Z @ VHwatE4yBu"" posts a small blind of 1",2024-04-20T05:59:48.320Z,171359278832004
"Player stacks: #6 ""Zach Z @ VHwatE4yBu"" (263) | #7 ""reilly2 @ FkycgsPCCs"" (498)",2024-04-20T05:59:48.320Z,171359278832001
"-- starting hand #461 (id: tu3mxicyuu2a)  (No Limit Texas Hold'em) (dealer: ""Zach Z @ VHwatE4yBu"") --",2024-04-20T05:59:48.320Z,171359278832000
"-- ending hand #460 --",2024-04-20T05:59:45.410Z,171359278541002
"""Zach Z @ VHwatE4yBu"" collected 14 from pot",2024-04-20T05:59:45.410Z,171359278541001
"Uncalled bet of 21 returned to ""Zach Z @ VHwatE4yBu""",2024-04-20T05:59:45.410Z,171359278541000
"""reilly2 @ FkycgsPCCs"" folds",2024-04-20T05:59:44.540Z,171359278454000
"""Zach Z @ VHwatE4yBu"" raises to 28",2024-04-20T05:59:41.792Z,171359278179200
