entry,at,order
"-- ending hand #283 --",2025-01-07T06:05:07.368Z,173622990736807
"""ahh @ 0HRdM4iQ51"" collected 0.74 from pot with Two Pair on the second board  (combination: K♦, K♣, Q♣, Q♦, 10♥)",2025-01-07T06:05:07.368Z,173622990736806
"""Isaac @ gg0idmEBjn"" collected 0.74 from pot with Full House (combination: 7♦, 7♠, 7♥, J♥, J♣)",2025-01-07T06:05:07.368Z,173622990736805
"""ahh @ 0HRdM4iQ51"" shows a Q♣, K♦, 3♥, 4♦.",2025-01-07T06:05:07.368Z,173622990736804
"""Ahmed @ 7a1arINwD3"" collected 123.39 from pot with Three of a Kind on the second board  (combination: 5♣, 5♥, 5♦, K♣, Q♦)",2025-01-07T06:05:07.368Z,173622990736803
"""Ahmed @ 7a1arINwD3"" shows a Q♠, 5♣, 3♣, 5♥.",2025-01-07T06:05:07.368Z,173622990736802
"""Isaac @ gg0idmEBjn"" collected 123.39 from pot with Full House (combination: 7♦, 7♠, 7♥, J♥, J♣)",2025-01-07T06:05:07.368Z,173622990736801
"""Isaac @ gg0idmEBjn"" shows a 6♠, 7♦, 7♠, 2♠.",2025-01-07T06:05:07.368Z,173622990736800
"""Ahmed @ 7a1arINwD3"" calls 2.26 and go all in",2025-01-07T06:05:06.539Z,173622990653900
"""ahh @ 0HRdM4iQ51"" calls 3.00",2025-01-07T06:05:05.063Z,173622990506300
"""Isaac @ gg0idmEBjn"" bets 3.00",2025-01-07T06:05:02.661Z,173622990266100
"""Ahmed @ 7a1arINwD3"" checks",2025-01-07T06:04:57.711Z,173622989771100
"""ahh @ 0HRdM4iQ51"" checks",2025-01-07T06:04:54.683Z,173622989468300
"River (second board): Q♦, 5♦, K♣, 10♥ [6♣]",2025-01-07T06:04:50.977Z,173622989097701
"River: 7♥, 4♠, J♥, K♠ [J♣]",2025-01-07T06:04:50.977Z,173622989097700
"""PaulB @ DemOWvLIyz"" folds",2025-01-07T06:04:50.154Z,173622989015400
"""ahh @ 0HRdM4iQ51"" calls 60.00",2025-01-07T06:04:48.383Z,173622988838300
"""Isaac @ gg0idmEBjn"" calls 60.00",2025-01-07T06:04:45.206Z,173622988520600
"""Ahmed @ 7a1arINwD3"" bets 60.00",2025-01-07T06:04:36.607Z,173622987660700
"""PaulB @ DemOWvLIyz"" checks",2025-01-07T06:04:30.706Z,173622987070600
"""ahh @ 0HRdM4iQ51"" checks",2025-01-07T06:04:28.759Z,173622986875900
"Turn (second board): Q♦, 5♦, K♣ [10♥]",2025-01-07T06:04:24.858Z,173622986485801
"Turn: 7♥, 4♠, J♥ [K♠]",2025-01-07T06:04:24.858Z,173622986485800
"""PaulB @ DemOWvLIyz"" calls 12.00",2025-01-07T06:04:24.017Z,173622986401700
"""Ayush @ FZR64VyIfx"" folds",2025-01-07T06:04:14.643Z,173622985464300
"""ahh @ 0HRdM4iQ51"" calls 12.00",2025-01-07T06:04:13.587Z,173622985358700
"""HY @ RzZqRjTje6"" folds",2025-01-07T06:03:54.094Z,173622983409400
"""Isaac @ gg0idmEBjn"" calls 12.00",2025-01-07T06:03:53.199Z,173622983319900
"""Ahmed @ 7a1arINwD3"" bets 12.00",2025-01-07T06:03:50.567Z,173622983056700
"""PaulB @ DemOWvLIyz"" checks",2025-01-07T06:03:46.634Z,173622982663400
"The admin ""HY @ RzZqRjTje6"" enqueued the game stop on next hand.",2025-01-07T06:03:41.623Z,173622982162300
"""Ayush @ FZR64VyIfx"" checks",2025-01-07T06:03:36.973Z,173622981697300
"""ahh @ 0HRdM4iQ51"" checks",2025-01-07T06:03:34.858Z,173622981485800
"""HY @ RzZqRjTje6"" checks",2025-01-07T06:03:28.516Z,173622980851600
"Flop (second board):  [Q♦, 5♦, K♣]",2025-01-07T06:03:26.764Z,173622980676401
