entry,at,order
"The player ""Zach Z @ VHwatE4yBu"" quits the game with a stack of 515.",2024-04-08T05:03:44.661Z,171255262466100
"The player ""Zach Z @ VHwatE4yBu"" passed the room ownership to ""Sen @ 1_LfOUDns1"".",2024-04-08T05:03:24.137Z,171255260413700
"The player ""Sen @ 1_LfOUDns1"" stand up with the stack of 369.",2024-04-08T05:03:21.157Z,171255260115700
"The player ""Taiyo @ oRLZGd29jc"" quits the game with a stack of 701.",2024-04-08T05:02:57.643Z,171255257764301
"The player ""Zach Z @ VHwatE4yBu"" stand up with the stack of 515.",2024-04-08T05:02:57.643Z,171255257764300
"-- ending hand #191 --",2024-04-08T05:02:54.692Z,171255257469202
"""Zach Z @ VHwatE4yBu"" collected 18 from pot",2024-04-08T05:02:54.692Z,171255257469201
"Uncalled bet of 9 returned to ""Zach Z @ VHwatE4yBu""",2024-04-08T05:02:54.692Z,171255257469200
"""Sen @ 1_LfOUDns1"" folds",2024-04-08T05:02:53.844Z,171255257384400
"""Zach Z @ VHwatE4yBu"" bets 9",2024-04-08T05:02:51.820Z,171255257182000
"""Sen @ 1_LfOUDns1"" checks",2024-04-08T05:02:48.452Z,171255256845200
"Flop:  [6♥, 6♦, 9♣]",2024-04-08T05:02:47.033Z,171255256703300
"""Zach Z @ VHwatE4yBu"" calls 9",2024-04-08T05:02:46.156Z,171255256615600
"""Sen @ 1_LfOUDns1"" raises to 9",2024-04-08T05:02:44.351Z,171255256435100
"""Taiyo @ oRLZGd29jc"" folds",2024-04-08T05:02:42.257Z,171255256225700
"""Zach Z @ VHwatE4yBu"" posts a big blind of 3",2024-04-08T05:02:41.222Z,171255256122206
"""Sen @ 1_LfOUDns1"" posts a small blind of 1",2024-04-08T05:02:41.222Z,171255256122205
"Player stacks: #2 ""Zach Z @ VHwatE4yBu"" (506) | #6 ""Taiyo @ oRLZGd29jc"" (701) | #7 ""Sen @ 1_LfOUDns1"" (378)",2024-04-08T05:02:41.222Z,171255256122201
"-- starting hand #191 (id: qn9lvunwjvjh)  (No Limit Texas Hold'em) (dealer: ""Taiyo @ oRLZGd29jc"") --",2024-04-08T05:02:41.222Z,171255256122200
"-- ending hand #190 --",2024-04-08T05:02:38.284Z,171255255828402
"""Zach Z @ VHwatE4yBu"" collected 7 from pot",2024-04-08T05:02:38.284Z,171255255828401
"Uncalled bet of 5 returned to ""Zach Z @ VHwatE4yBu""",2024-04-08T05:02:38.284Z,171255255828400
"""Sen @ 1_LfOUDns1"" folds",2024-04-08T05:02:37.427Z,171255255742700
"""Taiyo @ oRLZGd29jc"" folds",2024-04-08T05:02:36.318Z,171255255631800
"""Zach Z @ VHwatE4yBu"" raises to 8",2024-04-08T05:02:35.431Z,171255255543100
"""Sen @ 1_LfOUDns1"" posts a big blind of 3",2024-04-08T05:02:33.996Z,171255255399606
