entry,at,order
"The player ""reilly @ FkycgsPCCs"" passed the room ownership to ""Alwin @ D4LDhczIoW"".",2024-03-20T06:32:11.375Z,171091633137500
"The player ""Alwin @ D4LDhczIoW"" stand up with the stack of 1312.",2024-03-20T06:19:06.271Z,171091554627100
"The player ""reilly @ FkycgsPCCs"" quits the game with a stack of 0.",2024-03-20T06:19:02.501Z,171091554250100
"-- ending hand #437 --",2024-03-20T06:18:57.491Z,171091553749102
"""Alwin @ D4LDhczIoW"" collected 337 from pot with Full House, A's over 5's on the second run  (combination: A♦, A♥, A♠, 5♦, 5♥)",2024-03-20T06:18:57.491Z,171091553749101
"""Alwin @ D4LDhczIoW"" collected 337 from pot with Full House, A's over 5's (combination: A♦, A♥, A♣, 5♦, 5♥)",2024-03-20T06:18:57.491Z,171091553749100
"River (second run): 5♥, 3♦, A♥, K♠ [A♠]",2024-03-20T06:18:53.480Z,171091553348000
"Turn (second run): 5♥, 3♦, A♥ [K♠]",2024-03-20T06:18:49.473Z,171091552947300
"River: 5♥, 3♦, A♥, J♠ [A♣]",2024-03-20T06:18:45.406Z,171091552540600
"Turn: 5♥, 3♦, A♥ [J♠]",2024-03-20T06:18:41.402Z,171091552140200
"""reilly @ FkycgsPCCs"" shows a 4♥, 10♥.",2024-03-20T06:18:37.396Z,171091551739601
"""Alwin @ D4LDhczIoW"" shows a A♦, 5♦.",2024-03-20T06:18:37.396Z,171091551739600
"All players in hand choose to run it twice.",2024-03-20T06:18:36.573Z,171091551657301
"""Alwin @ D4LDhczIoW"" chooses to  run it twice.",2024-03-20T06:18:36.573Z,171091551657300
"""reilly @ FkycgsPCCs"" chooses to  run it twice.",2024-03-20T06:18:32.946Z,171091551294600
"Remaining players decide whether to run it twice.",2024-03-20T06:18:32.909Z,171091551290901
"""Alwin @ D4LDhczIoW"" calls 305",2024-03-20T06:18:32.909Z,171091551290900
"""reilly @ FkycgsPCCs"" raises to 305 and go all in",2024-03-20T06:18:30.631Z,171091551063100
"""Alwin @ D4LDhczIoW"" raises to 54",2024-03-20T06:17:59.680Z,171091547968000
"""reilly @ FkycgsPCCs"" bets 18",2024-03-20T06:17:47.589Z,171091546758900
"Flop:  [5♥, 3♦, A♥]",2024-03-20T06:17:38.941Z,171091545894100
"""Alwin @ D4LDhczIoW"" calls 32",2024-03-20T06:17:38.126Z,171091545812600
"""reilly @ FkycgsPCCs"" raises to 32",2024-03-20T06:17:32.754Z,171091545275400
"""Alwin @ D4LDhczIoW"" raises to 8",2024-03-20T06:17:24.686Z,171091544468600
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-03-20T06:17:18.923Z,171091543892305
"""Alwin @ D4LDhczIoW"" posts a small blind of 1",2024-03-20T06:17:18.923Z,171091543892304
"Your hand is A♦, 5♦",2024-03-20T06:17:18.923Z,171091543892302
