entry,at,order
"The player ""Zach Z @ N9QyNYTHHP"" stand up with the stack of 734.",2024-05-05T05:04:58.223Z,171488549822300
"The player ""reilly @ FkycgsPCCs"" passed the room ownership to ""Zach Z @ N9QyNYTHHP"".",2024-05-05T05:04:20.600Z,171488546060000
"The player ""reilly @ FkycgsPCCs"" stand up with the stack of 514.",2024-05-05T05:04:17.294Z,171488545729400
"-- ending hand #187 --",2024-05-05T05:04:14.306Z,171488545430602
"""Zach Z @ N9QyNYTHHP"" collected 78 from pot",2024-05-05T05:04:14.306Z,171488545430601
"Uncalled bet of 61 returned to ""Zach Z @ N9QyNYTHHP""",2024-05-05T05:04:14.306Z,171488545430600
"""reilly @ FkycgsPCCs"" folds",2024-05-05T05:04:13.500Z,171488545350000
"""Zach Z @ N9QyNYTHHP"" bets 61",2024-05-05T05:03:42.677Z,171488542267700
"Turn: 5♦, 8♣, 5♥ [10♠]",2024-05-05T05:03:33.573Z,171488541357300
"""reilly @ FkycgsPCCs"" calls 15",2024-05-05T05:03:32.717Z,171488541271700
"""Zach Z @ N9QyNYTHHP"" bets 15",2024-05-05T05:03:12.597Z,171488539259700
"Flop:  [5♦, 8♣, 5♥]",2024-05-05T05:03:06.426Z,171488538642600
"""reilly @ FkycgsPCCs"" calls 24",2024-05-05T05:03:05.593Z,171488538559300
"""Zach Z @ N9QyNYTHHP"" raises to 24",2024-05-05T05:02:59.386Z,171488537938600
"""reilly @ FkycgsPCCs"" raises to 7",2024-05-05T05:02:56.635Z,171488537663500
"""Zach Z @ N9QyNYTHHP"" posts a big blind of 3",2024-05-05T05:02:47.761Z,171488536776105
"""reilly @ FkycgsPCCs"" posts a small blind of 1",2024-05-05T05:02:47.761Z,171488536776104
"Player stacks: #2 ""Zach Z @ N9QyNYTHHP"" (695) | #8 ""reilly @ FkycgsPCCs"" (553)",2024-05-05T05:02:47.761Z,171488536776101
"-- starting hand #187 (id: 4i8d6nmysq97)  (No Limit Texas Hold'em) (dealer: ""reilly @ FkycgsPCCs"") --",2024-05-05T05:02:47.761Z,171488536776100
"-- ending hand #186 --",2024-05-05T05:02:44.837Z,171488536483702
"""reilly @ FkycgsPCCs"" collected 2 from pot",2024-05-05T05:02:44.837Z,171488536483701
"Uncalled bet of 2 returned to ""reilly @ FkycgsPCCs""",2024-05-05T05:02:44.837Z,171488536483700
"""Zach Z @ N9QyNYTHHP"" folds",2024-05-05T05:02:44.021Z,171488536402100
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-05-05T05:02:42.998Z,171488536299805
"""Zach Z @ N9QyNYTHHP"" posts a small blind of 1",2024-05-05T05:02:42.998Z,171488536299804
"Player stacks: #2 ""Zach Z @ N9QyNYTHHP"" (696) | #8 ""reilly @ FkycgsPCCs"" (552)",2024-05-05T05:02:42.998Z,171488536299801
"-- starting hand #186 (id: zk6rp8wv3kbs)  (No Limit Texas Hold'em) (dealer: ""Zach Z @ N9QyNYTHHP"") --",2024-05-05T05:02:42.998Z,171488536299800
"-- ending hand #185 --",2024-05-05T05:02:40.034Z,171488536003402
"""Zach Z @ N9QyNYTHHP"" collected 2 from pot",2024-05-05T05:02:40.034Z,171488536003401
"Uncalled bet of 2 returned to ""Zach Z @ N9QyNYTHHP""",2024-05-05T05:02:40.034Z,171488536003400
"""reilly @ FkycgsPCCs"" folds",2024-05-05T05:02:39.223Z,171488535922300
"""Zach Z @ N9QyNYTHHP"" posts a big blind of 3",2024-05-05T05:02:33.782Z,171488535378205
"""reilly @ FkycgsPCCs"" posts a small blind of 1",2024-05-05T05:02:33.782Z,171488535378204
"Player stacks: #2 ""Zach Z @ N9QyNYTHHP"" (695) | #8 ""reilly @ FkycgsPCCs"" (553)",2024-05-05T05:02:33.782Z,171488535378201
