entry,at,order
"The player ""reilly @ FkycgsPCCs"" passed the room ownership to ""Taiyo @ KrYzwr7CwQ"".",2024-12-30T08:01:51.321Z,173554571132100
"The player ""reilly @ FkycgsPCCs"" quits the game with a stack of 1077.",2024-12-30T07:23:40.839Z,173554342083900
"The player ""BP @ 3nEm3CsHfN"" quits the game with a stack of 1200.",2024-12-30T07:21:47.761Z,173554330776100
"The player ""BP @ 3nEm3CsHfN"" stand up with the stack of 1200.",2024-12-30T07:21:44.621Z,173554330462100
"-- ending hand #280 --",2024-12-30T07:21:41.618Z,173554330161802
"""reilly @ FkycgsPCCs"" collected 42 from pot",2024-12-30T07:21:41.618Z,173554330161801
"Uncalled bet of 28 returned to ""reilly @ FkycgsPCCs""",2024-12-30T07:21:41.618Z,173554330161800
"""BP @ 3nEm3CsHfN"" folds",2024-12-30T07:21:40.742Z,173554330074200
"""reilly @ FkycgsPCCs"" bets 28",2024-12-30T07:21:38.791Z,173554329879100
"""BP @ 3nEm3CsHfN"" checks",2024-12-30T07:21:29.873Z,173554328987300
"Turn: 2♣, 3♠, 9♦ [Q♦]",2024-12-30T07:21:28.901Z,173554328890100
"""BP @ 3nEm3CsHfN"" calls 12",2024-12-30T07:21:28.086Z,173554328808600
"""reilly @ FkycgsPCCs"" bets 12",2024-12-30T07:21:26.620Z,173554328662000
"""BP @ 3nEm3CsHfN"" checks",2024-12-30T07:21:22.196Z,173554328219600
"Flop:  [2♣, 3♠, 9♦]",2024-12-30T07:21:21.379Z,173554328137900
"""BP @ 3nEm3CsHfN"" calls 9",2024-12-30T07:21:20.557Z,173554328055700
"""reilly @ FkycgsPCCs"" raises to 9",2024-12-30T07:21:19.624Z,173554327962400
"""BP @ 3nEm3CsHfN"" posts a big blind of 3",2024-12-30T07:21:17.424Z,173554327742405
"""reilly @ FkycgsPCCs"" posts a small blind of 1",2024-12-30T07:21:17.424Z,173554327742404
"Player stacks: #2 ""BP @ 3nEm3CsHfN"" (1221) | #5 ""reilly @ FkycgsPCCs"" (1056)",2024-12-30T07:21:17.424Z,173554327742401
"-- starting hand #280 (id: epqviti4bbq1)  (Pot Limit Omaha Hi) (dealer: ""reilly @ FkycgsPCCs"") --",2024-12-30T07:21:17.424Z,173554327742400
"-- ending hand #279 --",2024-12-30T07:21:14.374Z,173554327437403
"""BP @ 3nEm3CsHfN"" shows a 2♠, A♦, 7♠, 5♣.",2024-12-30T07:21:14.374Z,173554327437402
"""reilly @ FkycgsPCCs"" collected 18 from pot with Two Pair (combination: K♣, K♥, 5♦, 5♥, J♠)",2024-12-30T07:21:14.374Z,173554327437401
"""reilly @ FkycgsPCCs"" shows a 4♦, 5♦, K♣, 9♦.",2024-12-30T07:21:14.374Z,173554327437400
"""BP @ 3nEm3CsHfN"" checks",2024-12-30T07:21:13.559Z,173554327355900
"""reilly @ FkycgsPCCs"" checks",2024-12-30T07:21:12.565Z,173554327256500
"River: 3♦, 7♥, K♥, 5♥ [J♠]",2024-12-30T07:21:09.418Z,173554326941800
"""BP @ 3nEm3CsHfN"" checks",2024-12-30T07:21:08.559Z,173554326855900
"""reilly @ FkycgsPCCs"" checks",2024-12-30T07:21:07.251Z,173554326725100
"Turn: 3♦, 7♥, K♥ [5♥]",2024-12-30T07:21:03.745Z,173554326374500
"""BP @ 3nEm3CsHfN"" checks",2024-12-30T07:21:02.923Z,173554326292300
"""reilly @ FkycgsPCCs"" checks",2024-12-30T07:21:01.831Z,173554326183100
"Flop:  [3♦, 7♥, K♥]",2024-12-30T07:20:59.419Z,173554325941900
"""reilly @ FkycgsPCCs"" calls 9",2024-12-30T07:20:58.573Z,173554325857300
"""BP @ 3nEm3CsHfN"" raises to 9",2024-12-30T07:20:56.834Z,173554325683400
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-12-30T07:20:54.529Z,173554325452906
"""BP @ 3nEm3CsHfN"" posts a small blind of 1",2024-12-30T07:20:54.529Z,173554325452905
"Player stacks: #2 ""BP @ 3nEm3CsHfN"" (1230) | #5 ""reilly @ FkycgsPCCs"" (1047)",2024-12-30T07:20:54.529Z,173554325452902
"-- starting hand #279 (id: uxhpamxw45x3)  (Pot Limit Omaha Hi) (dealer: ""BP @ 3nEm3CsHfN"") --",2024-12-30T07:20:54.529Z,173554325452901
"The player ""Taiyo @ KrYzwr7CwQ"" stand up with the stack of 1061.",2024-12-30T07:20:54.529Z,173554325452900
"-- ending hand #278 --",2024-12-30T07:20:51.566Z,173554325156602
"""BP @ 3nEm3CsHfN"" collected 23 from pot",2024-12-30T07:20:51.566Z,173554325156601
"Uncalled bet of 23 returned to ""BP @ 3nEm3CsHfN""",2024-12-30T07:20:51.566Z,173554325156600
"""Taiyo @ KrYzwr7CwQ"" folds",2024-12-30T07:20:50.709Z,173554325070900
"""reilly @ FkycgsPCCs"" folds",2024-12-30T07:20:49.095Z,173554324909500
"""BP @ 3nEm3CsHfN"" raises to 33",2024-12-30T07:20:39.177Z,173554323917700
"""Taiyo @ KrYzwr7CwQ"" raises to 10",2024-12-30T07:20:36.275Z,173554323627500
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-12-30T07:20:33.283Z,173554323328306
"""BP @ 3nEm3CsHfN"" posts a small blind of 1",2024-12-30T07:20:33.283Z,173554323328305
"Player stacks: #2 ""BP @ 3nEm3CsHfN"" (1217) | #5 ""reilly @ FkycgsPCCs"" (1050) | #6 ""Taiyo @ KrYzwr7CwQ"" (1071)",2024-12-30T07:20:33.283Z,173554323328301
"-- starting hand #278 (id: pvkujjlwkuz8)  (Pot Limit Omaha Hi) (dealer: ""Taiyo @ KrYzwr7CwQ"") --",2024-12-30T07:20:33.283Z,173554323328300
"-- ending hand #277 --",2024-12-30T07:20:30.214Z,173554323021402
"""Taiyo @ KrYzwr7CwQ"" collected 60 from pot with Two Pair (combination: Q♣, Q♠, 9♠, 9♦, 3♠)",2024-12-30T07:20:30.214Z,173554323021401
"""Taiyo @ KrYzwr7CwQ"" shows a 9♠, 6♥, 7♣, 9♦.",2024-12-30T07:20:30.214Z,173554323021400
"""reilly @ FkycgsPCCs"" checks",2024-12-30T07:20:29.368Z,173554322936800
"""Taiyo @ KrYzwr7CwQ"" checks",2024-12-30T07:20:16.028Z,173554321602800
"River: 2♦, 3♠, 3♦, Q♣ [Q♠]",2024-12-30T07:20:06.772Z,173554320677200
"""reilly @ FkycgsPCCs"" checks",2024-12-30T07:20:05.935Z,173554320593500
"""Taiyo @ KrYzwr7CwQ"" checks",2024-12-30T07:19:53.613Z,173554319361300
"Turn: 2♦, 3♠, 3♦ [Q♣]",2024-12-30T07:19:52.099Z,173554319209900
"""BP @ 3nEm3CsHfN"" folds",2024-12-30T07:19:51.292Z,173554319129200
"""Taiyo @ KrYzwr7CwQ"" calls 15",2024-12-30T07:19:50.347Z,173554319034700
"""reilly @ FkycgsPCCs"" bets 15",2024-12-30T07:19:46.570Z,173554318657000
"""BP @ 3nEm3CsHfN"" checks",2024-12-30T07:19:34.869Z,173554317486900
"""Taiyo @ KrYzwr7CwQ"" checks",2024-12-30T07:19:28.815Z,173554316881500
"Flop:  [2♦, 3♠, 3♦]",2024-12-30T07:19:26.920Z,173554316692000
"""BP @ 3nEm3CsHfN"" calls 10",2024-12-30T07:19:26.082Z,173554316608200
"""Taiyo @ KrYzwr7CwQ"" calls 10",2024-12-30T07:19:23.911Z,173554316391100
"""reilly @ FkycgsPCCs"" raises to 10",2024-12-30T07:19:22.521Z,173554316252100
"""BP @ 3nEm3CsHfN"" posts a big blind of 3",2024-12-30T07:19:19.890Z,173554315989006
"""Taiyo @ KrYzwr7CwQ"" posts a small blind of 1",2024-12-30T07:19:19.890Z,173554315989005
"Player stacks: #2 ""BP @ 3nEm3CsHfN"" (1227) | #5 ""reilly @ FkycgsPCCs"" (1075) | #6 ""Taiyo @ KrYzwr7CwQ"" (1036)",2024-12-30T07:19:19.890Z,173554315989001
"-- starting hand #277 (id: mym0hbsawzjs)  (Pot Limit Omaha Hi) (dealer: ""reilly @ FkycgsPCCs"") --",2024-12-30T07:19:19.890Z,173554315989000
"-- ending hand #276 --",2024-12-30T07:19:16.942Z,173554315694202
"""Taiyo @ KrYzwr7CwQ"" collected 18 from pot",2024-12-30T07:19:16.942Z,173554315694201
"Uncalled bet of 12 returned to ""Taiyo @ KrYzwr7CwQ""",2024-12-30T07:19:16.942Z,173554315694200
"""reilly @ FkycgsPCCs"" folds",2024-12-30T07:19:16.128Z,173554315612800
"""Taiyo @ KrYzwr7CwQ"" bets 12",2024-12-30T07:19:04.429Z,173554314442900
"""reilly @ FkycgsPCCs"" checks",2024-12-30T07:19:00.124Z,173554314012400
"Flop:  [4♦, 6♥, 3♣]",2024-12-30T07:18:57.262Z,173554313726200
"""Taiyo @ KrYzwr7CwQ"" calls 9",2024-12-30T07:18:56.427Z,173554313642700
"""reilly @ FkycgsPCCs"" raises to 9",2024-12-30T07:18:54.072Z,173554313407200
"""BP @ 3nEm3CsHfN"" folds",2024-12-30T07:18:51.721Z,173554313172100
"""Taiyo @ KrYzwr7CwQ"" posts a big blind of 3",2024-12-30T07:18:50.319Z,173554313031906
"""reilly @ FkycgsPCCs"" posts a small blind of 1",2024-12-30T07:18:50.319Z,173554313031905
"Player stacks: #2 ""BP @ 3nEm3CsHfN"" (1227) | #5 ""reilly @ FkycgsPCCs"" (1084) | #6 ""Taiyo @ KrYzwr7CwQ"" (1027)",2024-12-30T07:18:50.319Z,173554313031901
"-- starting hand #276 (id: wrhhp0fm7qe4)  (Pot Limit Omaha Hi) (dealer: ""BP @ 3nEm3CsHfN"") --",2024-12-30T07:18:50.319Z,173554313031900
"-- ending hand #275 --",2024-12-30T07:18:47.361Z,173554312736102
"""Taiyo @ KrYzwr7CwQ"" collected 30 from pot",2024-12-30T07:18:47.361Z,173554312736101
"Uncalled bet of 20 returned to ""Taiyo @ KrYzwr7CwQ""",2024-12-30T07:18:47.361Z,173554312736100
"""reilly @ FkycgsPCCs"" folds",2024-12-30T07:18:46.540Z,173554312654000
"""BP @ 3nEm3CsHfN"" folds",2024-12-30T07:18:45.677Z,173554312567700
"""Taiyo @ KrYzwr7CwQ"" bets 20",2024-12-30T07:18:41.511Z,173554312151100
"""reilly @ FkycgsPCCs"" checks",2024-12-30T07:18:27.483Z,173554310748300
"""BP @ 3nEm3CsHfN"" checks",2024-12-30T07:18:21.657Z,173554310165700
"Turn: 9♥, 2♠, 8♥ [5♣]",2024-12-30T07:18:20.619Z,173554310061900
"""Taiyo @ KrYzwr7CwQ"" checks",2024-12-30T07:18:19.769Z,173554309976900
"""reilly @ FkycgsPCCs"" checks",2024-12-30T07:18:16.917Z,173554309691700
"""BP @ 3nEm3CsHfN"" checks",2024-12-30T07:18:15.229Z,173554309522900
"Flop:  [9♥, 2♠, 8♥]",2024-12-30T07:18:13.557Z,173554309355700
"""reilly @ FkycgsPCCs"" calls 10",2024-12-30T07:18:12.699Z,173554309269900
"""BP @ 3nEm3CsHfN"" calls 10",2024-12-30T07:18:03.034Z,173554308303400
"""Taiyo @ KrYzwr7CwQ"" raises to 10",2024-12-30T07:17:59.608Z,173554307960800
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-12-30T07:17:56.629Z,173554307662906
"""BP @ 3nEm3CsHfN"" posts a small blind of 1",2024-12-30T07:17:56.629Z,173554307662905
"Player stacks: #2 ""BP @ 3nEm3CsHfN"" (1237) | #5 ""reilly @ FkycgsPCCs"" (1094) | #6 ""Taiyo @ KrYzwr7CwQ"" (1007)",2024-12-30T07:17:56.629Z,173554307662901
"-- starting hand #275 (id: 0r2weyuaf3rs)  (Pot Limit Omaha Hi) (dealer: ""Taiyo @ KrYzwr7CwQ"") --",2024-12-30T07:17:56.629Z,173554307662900
"-- ending hand #274 --",2024-12-30T07:17:53.705Z,173554307370502
"""reilly @ FkycgsPCCs"" collected 75 from pot",2024-12-30T07:17:53.705Z,173554307370501
