entry,at,order
"The player ""Yosef @ noQMfe4xTG"" passed the room ownership to ""Zach Z @ XUscTQb3Mj"".",2024-12-27T10:31:37.187Z,173529549718700
"The player ""Yosef @ noQMfe4xTG"" quits the game with a stack of 1343.",2024-12-27T10:26:34.957Z,173529519495700
"The player ""Sai @ 0Y4I9d7s02"" quits the game with a stack of 1601.",2024-12-27T10:25:50.336Z,173529515033601
"The player ""Yosef @ noQMfe4xTG"" stand up with the stack of 1343.",2024-12-27T10:25:50.336Z,173529515033600
"-- ending hand #619 --",2024-12-27T10:25:47.332Z,173529514733203
"""𝖠𝗅𝗐𝗂𝗇 @ k0nv5Q3DCM"" shows a 4♠, A♣.",2024-12-27T10:25:47.332Z,173529514733202
"""Yosef @ noQMfe4xTG"" collected 132 from pot with Two Pair, Q's & 6's (combination: Q♠, Q♦, 6♠, 6♥, 8♦)",2024-12-27T10:25:47.332Z,173529514733201
"""Yosef @ noQMfe4xTG"" shows a 6♠, 6♥.",2024-12-27T10:25:47.332Z,173529514733200
"""Yosef @ noQMfe4xTG"" calls 38",2024-12-27T10:25:46.503Z,173529514650300
"""𝖠𝗅𝗐𝗂𝗇 @ k0nv5Q3DCM"" bets 38",2024-12-27T10:25:37.635Z,173529513763500
"River: Q♠, 8♦, Q♦, 3♠ [3♣]",2024-12-27T10:25:31.751Z,173529513175100
"""Yosef @ noQMfe4xTG"" checks",2024-12-27T10:25:30.938Z,173529513093800
"The player ""Sai @ 0Y4I9d7s02"" passed the room ownership to ""Yosef @ noQMfe4xTG"".",2024-12-27T10:25:25.162Z,173529512516200
"""𝖠𝗅𝗐𝗂𝗇 @ k0nv5Q3DCM"" checks",2024-12-27T10:25:24.593Z,173529512459300
"Turn: Q♠, 8♦, Q♦ [3♠]",2024-12-27T10:25:20.829Z,173529512082900
"""Yosef @ noQMfe4xTG"" calls 16",2024-12-27T10:25:19.929Z,173529511992900
"""𝖠𝗅𝗐𝗂𝗇 @ k0nv5Q3DCM"" bets 16",2024-12-27T10:25:16.204Z,173529511620400
"Flop:  [Q♠, 8♦, Q♦]",2024-12-27T10:25:11.610Z,173529511161000
"""Yosef @ noQMfe4xTG"" calls 12",2024-12-27T10:25:10.720Z,173529511072000
"""𝖠𝗅𝗐𝗂𝗇 @ k0nv5Q3DCM"" raises to 12",2024-12-27T10:25:07.644Z,173529510764400
"""Sai @ 0Y4I9d7s02"" folds",2024-12-27T10:25:00.129Z,173529510012900
