entry,at,order
"The player ""Taiyo @ oRLZGd29jc"" quits the game with a stack of 258.",2024-12-24T07:32:16.127Z,173502553612700
"The player ""Ben2 @ Zg64eX1ZF-"" quits the game with a stack of 319.",2024-12-24T07:32:12.010Z,173502553201000
"The player ""Ben2 @ Zg64eX1ZF-"" stand up with the stack of 319.",2024-12-24T07:31:59.404Z,173502551940400
"-- ending hand #641 --",2024-12-24T07:31:56.493Z,173502551649302
"""Ben2 @ Zg64eX1ZF-"" collected 6 from pot",2024-12-24T07:31:56.493Z,173502551649301
"Uncalled bet of 6 returned to ""Ben2 @ Zg64eX1ZF-""",2024-12-24T07:31:56.493Z,173502551649300
"""Taiyo @ oRLZGd29jc"" folds",2024-12-24T07:31:55.683Z,173502551568300
"""Ben2 @ Zg64eX1ZF-"" raises to 9",2024-12-24T07:31:54.794Z,173502551479400
"""Taiyo @ oRLZGd29jc"" posts a big blind of 3",2024-12-24T07:31:51.700Z,173502551170005
"""Ben2 @ Zg64eX1ZF-"" posts a small blind of 1",2024-12-24T07:31:51.700Z,173502551170004
"Player stacks: #5 ""Ben2 @ Zg64eX1ZF-"" (316) | #7 ""Taiyo @ oRLZGd29jc"" (261)",2024-12-24T07:31:51.700Z,173502551170001
"-- starting hand #641 (id: 4hgfpiqondlc)  (Pot Limit Omaha Hi) (dealer: ""Ben2 @ Zg64eX1ZF-"") --",2024-12-24T07:31:51.700Z,173502551170000
"-- ending hand #640 --",2024-12-24T07:31:48.686Z,173502550868603
"""Ben2 @ Zg64eX1ZF-"" shows a Q♥, 6♦, J♣, 3♣.",2024-12-24T07:31:48.686Z,173502550868602
"""Taiyo @ oRLZGd29jc"" collected 42 from pot with Two Pair (combination: A♥, A♦, 9♥, 9♣, K♥)",2024-12-24T07:31:48.686Z,173502550868601
"""Taiyo @ oRLZGd29jc"" shows a 3♦, A♥, 10♥, 9♥.",2024-12-24T07:31:48.686Z,173502550868600
"""Taiyo @ oRLZGd29jc"" checks",2024-12-24T07:31:47.884Z,173502550788400
"""Ben2 @ Zg64eX1ZF-"" checks",2024-12-24T07:31:42.777Z,173502550277700
"River: J♦, 3♥, A♦, K♥ [9♣]",2024-12-24T07:31:39.989Z,173502549998900
"""Ben2 @ Zg64eX1ZF-"" calls 12",2024-12-24T07:31:39.138Z,173502549913800
"""Taiyo @ oRLZGd29jc"" bets 12",2024-12-24T07:31:30.812Z,173502549081200
"""Ben2 @ Zg64eX1ZF-"" checks",2024-12-24T07:31:27.459Z,173502548745900
"Turn: J♦, 3♥, A♦ [K♥]",2024-12-24T07:31:21.785Z,173502548178500
"""Taiyo @ oRLZGd29jc"" checks",2024-12-24T07:31:20.948Z,173502548094800
"""Ben2 @ Zg64eX1ZF-"" checks",2024-12-24T07:31:19.320Z,173502547932000
"Flop:  [J♦, 3♥, A♦]",2024-12-24T07:31:15.967Z,173502547596700
