entry,at,order
"The player ""reilly @ FkycgsPCCs"" passed the room ownership to ""scott s @ FhatGh_xn0"".",2024-05-06T07:17:44.232Z,171497986423200
"The player ""reilly @ FkycgsPCCs"" quits the game with a stack of 871.",2024-05-06T07:17:39.073Z,171497985907300
"The player ""BP @ 3nEm3CsHfN"" quits the game with a stack of 432.",2024-05-06T07:17:35.591Z,171497985559100
"The player ""reilly @ FkycgsPCCs"" stand up with the stack of 871.",2024-05-06T07:17:32.152Z,171497985215200
"-- ending hand #767 --",2024-05-06T07:17:29.248Z,171497984924802
"""BP @ 3nEm3CsHfN"" collected 32 from pot",2024-05-06T07:17:29.248Z,171497984924801
"Uncalled bet of 25 returned to ""BP @ 3nEm3CsHfN""",2024-05-06T07:17:29.248Z,171497984924800
"""reilly @ FkycgsPCCs"" folds",2024-05-06T07:17:28.341Z,171497984834100
"""BP @ 3nEm3CsHfN"" bets 25",2024-05-06T07:17:10.566Z,171497983056600
"River: 9♠, 8♦, 5♦, 9♦ [J♥]",2024-05-06T07:17:07.659Z,171497982765900
"""reilly @ FkycgsPCCs"" checks",2024-05-06T07:17:06.843Z,171497982684300
"""BP @ 3nEm3CsHfN"" checks",2024-05-06T07:16:59.406Z,171497981940600
"Turn: 9♠, 8♦, 5♦ [9♦]",2024-05-06T07:16:58.309Z,171497981830900
"""BP @ 3nEm3CsHfN"" calls 9",2024-05-06T07:16:57.490Z,171497981749000
"""reilly @ FkycgsPCCs"" bets 9",2024-05-06T07:16:55.809Z,171497981580900
"""BP @ 3nEm3CsHfN"" checks",2024-05-06T07:16:52.831Z,171497981283100
"Flop:  [9♠, 8♦, 5♦]",2024-05-06T07:16:51.758Z,171497981175800
"""BP @ 3nEm3CsHfN"" calls 7",2024-05-06T07:16:50.928Z,171497981092800
"""reilly @ FkycgsPCCs"" raises to 7",2024-05-06T07:16:49.471Z,171497980947100
"""BP @ 3nEm3CsHfN"" posts a big blind of 3",2024-05-06T07:16:46.610Z,171497980661005
"""reilly @ FkycgsPCCs"" posts a small blind of 1",2024-05-06T07:16:46.610Z,171497980661004
"Player stacks: #2 ""BP @ 3nEm3CsHfN"" (416) | #10 ""reilly @ FkycgsPCCs"" (887)",2024-05-06T07:16:46.610Z,171497980661001
"-- starting hand #767 (id: budkurmrersp)  (No Limit Texas Hold'em) (dealer: ""reilly @ FkycgsPCCs"") --",2024-05-06T07:16:46.610Z,171497980661000
"-- ending hand #766 --",2024-05-06T07:16:43.695Z,171497980369502
"""BP @ 3nEm3CsHfN"" collected 6 from pot",2024-05-06T07:16:43.695Z,171497980369501
"Uncalled bet of 5 returned to ""BP @ 3nEm3CsHfN""",2024-05-06T07:16:43.695Z,171497980369500
"""reilly @ FkycgsPCCs"" folds",2024-05-06T07:16:42.807Z,171497980280700
"""BP @ 3nEm3CsHfN"" raises to 8",2024-05-06T07:16:41.305Z,171497980130500
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-05-06T07:16:39.745Z,171497979974505
"""BP @ 3nEm3CsHfN"" posts a small blind of 1",2024-05-06T07:16:39.745Z,171497979974504
"Player stacks: #2 ""BP @ 3nEm3CsHfN"" (413) | #10 ""reilly @ FkycgsPCCs"" (890)",2024-05-06T07:16:39.745Z,171497979974501
"-- starting hand #766 (id: aesf7pauyswp)  (No Limit Texas Hold'em) (dealer: ""BP @ 3nEm3CsHfN"") --",2024-05-06T07:16:39.745Z,171497979974500
"-- ending hand #765 --",2024-05-06T07:16:36.804Z,171497979680402
"""reilly @ FkycgsPCCs"" collected 14 from pot",2024-05-06T07:16:36.804Z,171497979680401
"Uncalled bet of 9 returned to ""reilly @ FkycgsPCCs""",2024-05-06T07:16:36.804Z,171497979680400
"""BP @ 3nEm3CsHfN"" folds",2024-05-06T07:16:35.961Z,171497979596100
"""reilly @ FkycgsPCCs"" bets 9",2024-05-06T07:16:34.770Z,171497979477000
"""BP @ 3nEm3CsHfN"" checks",2024-05-06T07:16:29.786Z,171497978978600
"Flop:  [7♥, 10♣, J♥]",2024-05-06T07:16:28.663Z,171497978866300
"""BP @ 3nEm3CsHfN"" calls 7",2024-05-06T07:16:27.805Z,171497978780500
"""reilly @ FkycgsPCCs"" raises to 7",2024-05-06T07:16:26.634Z,171497978663400
"""BP @ 3nEm3CsHfN"" posts a big blind of 3",2024-05-06T07:16:23.194Z,171497978319405
"""reilly @ FkycgsPCCs"" posts a small blind of 1",2024-05-06T07:16:23.194Z,171497978319404
"Player stacks: #2 ""BP @ 3nEm3CsHfN"" (420) | #10 ""reilly @ FkycgsPCCs"" (883)",2024-05-06T07:16:23.194Z,171497978319401
"-- starting hand #765 (id: znqhqyz5ijgs)  (No Limit Texas Hold'em) (dealer: ""reilly @ FkycgsPCCs"") --",2024-05-06T07:16:23.194Z,171497978319400
"-- ending hand #764 --",2024-05-06T07:16:20.262Z,171497978026202
"""BP @ 3nEm3CsHfN"" collected 6 from pot",2024-05-06T07:16:20.262Z,171497978026201
"Uncalled bet of 5 returned to ""BP @ 3nEm3CsHfN""",2024-05-06T07:16:20.262Z,171497978026200
"""reilly @ FkycgsPCCs"" folds",2024-05-06T07:16:19.424Z,171497977942400
"""BP @ 3nEm3CsHfN"" raises to 8",2024-05-06T07:16:09.165Z,171497976916500
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-05-06T07:16:07.953Z,171497976795305
"""BP @ 3nEm3CsHfN"" posts a small blind of 1",2024-05-06T07:16:07.953Z,171497976795304
