entry,at,order
"The player ""AHH @ KKDJ1brgcv"" stand up with the stack of 302.30.",2024-12-31T08:44:30.870Z,173563467087000
"The player ""HY @ RzZqRjTje6"" stand up with the stack of 913.49.",2024-12-31T08:44:25.301Z,173563466530100
"-- ending hand #536 --",2024-12-31T08:44:22.331Z,173563466233102
"""AHH @ KKDJ1brgcv"" collected 2.00 from pot",2024-12-31T08:44:22.331Z,173563466233101
"Uncalled bet of 4.00 returned to ""AHH @ KKDJ1brgcv""",2024-12-31T08:44:22.331Z,173563466233100
"""HY @ RzZqRjTje6"" folds",2024-12-31T08:44:21.501Z,173563466150100
"""AHH @ KKDJ1brgcv"" raises to 5.00",2024-12-31T08:44:18.113Z,173563465811300
"""HY @ RzZqRjTje6"" posts a big blind of 1.00",2024-12-31T08:44:11.515Z,173563465151507
"""AHH @ KKDJ1brgcv"" posts a small blind of 0.50",2024-12-31T08:44:11.515Z,173563465151506
"Your hand is 10♦, J♥",2024-12-31T08:44:11.515Z,173563465151505
"Player stacks: #1 ""HY @ RzZqRjTje6"" (914.49) | #2 ""AHH @ KKDJ1brgcv"" (301.30)",2024-12-31T08:44:11.515Z,173563465151503
"-- starting hand #536 (id: uur6yzw6xnck)  (No Limit Texas Hold'em) (dealer: ""AHH @ KKDJ1brgcv"") --",2024-12-31T08:44:11.515Z,173563465151502
"The player ""Ahmed @ 7a1arINwD3"" quits the game with a stack of 509.74.",2024-12-31T08:44:11.515Z,173563465151501
"The player ""YN @ efwgqIsBSH"" stand up with the stack of 942.02.",2024-12-31T08:44:11.515Z,173563465151500
"-- ending hand #535 --",2024-12-31T08:44:05.565Z,173563464556502
"""HY @ RzZqRjTje6"" collected 28.50 from pot",2024-12-31T08:44:05.565Z,173563464556501
"Uncalled bet of 12.25 returned to ""HY @ RzZqRjTje6""",2024-12-31T08:44:05.565Z,173563464556500
"""YN @ efwgqIsBSH"" folds",2024-12-31T08:44:04.721Z,173563464472100
"""HY @ RzZqRjTje6"" bets 12.25",2024-12-31T08:44:00.410Z,173563464041000
"""YN @ efwgqIsBSH"" checks",2024-12-31T08:43:55.515Z,173563463551500
"Flop:  [K♣, 10♥, J♣]",2024-12-31T08:43:53.557Z,173563463355700
"""YN @ efwgqIsBSH"" calls 13.50",2024-12-31T08:43:52.747Z,173563463274700
"""Ahmed @ 7a1arINwD3"" folds",2024-12-31T08:43:45.183Z,173563462518300
"""AHH @ KKDJ1brgcv"" folds",2024-12-31T08:43:16.554Z,173563459655400
"""HY @ RzZqRjTje6"" raises to 13.50",2024-12-31T08:43:15.369Z,173563459536900
"""YN @ efwgqIsBSH"" raises to 4.00",2024-12-31T08:43:11.295Z,173563459129500
"""Ahmed @ 7a1arINwD3"" posts a big blind of 1.00",2024-12-31T08:43:04.772Z,173563458477207
"""AHH @ KKDJ1brgcv"" posts a small blind of 0.50",2024-12-31T08:43:04.772Z,173563458477206
"Your hand is 3♦, 5♣",2024-12-31T08:43:04.772Z,173563458477203
"Player stacks: #1 ""HY @ RzZqRjTje6"" (899.49) | #2 ""AHH @ KKDJ1brgcv"" (301.80) | #9 ""Ahmed @ 7a1arINwD3"" (510.74) | #10 ""YN @ efwgqIsBSH"" (955.52)",2024-12-31T08:43:04.772Z,173563458477201
"-- starting hand #535 (id: ygfftbpfgzjf)  (No Limit Texas Hold'em) (dealer: ""HY @ RzZqRjTje6"") --",2024-12-31T08:43:04.772Z,173563458477200
"-- ending hand #534 --",2024-12-31T08:42:58.855Z,173563457885502
"""Ahmed @ 7a1arINwD3"" collected 2.50 from pot",2024-12-31T08:42:58.855Z,173563457885501
"Uncalled bet of 1.00 returned to ""Ahmed @ 7a1arINwD3""",2024-12-31T08:42:58.855Z,173563457885500
"""AHH @ KKDJ1brgcv"" folds",2024-12-31T08:42:58.005Z,173563457800500
"""HY @ RzZqRjTje6"" folds",2024-12-31T08:42:51.852Z,173563457185200
"""YN @ efwgqIsBSH"" folds",2024-12-31T08:42:50.763Z,173563457076300
"""Ahmed @ 7a1arINwD3"" posts a straddle of 2.00",2024-12-31T08:42:46.746Z,173563456674608
"""AHH @ KKDJ1brgcv"" posts a big blind of 1.00",2024-12-31T08:42:46.746Z,173563456674607
"""HY @ RzZqRjTje6"" posts a small blind of 0.50",2024-12-31T08:42:46.746Z,173563456674606
"Your hand is 2♦, 4♠",2024-12-31T08:42:46.746Z,173563456674603
"Player stacks: #1 ""HY @ RzZqRjTje6"" (899.99) | #2 ""AHH @ KKDJ1brgcv"" (302.80) | #9 ""Ahmed @ 7a1arINwD3"" (509.24) | #10 ""YN @ efwgqIsBSH"" (955.52)",2024-12-31T08:42:46.746Z,173563456674601
"-- starting hand #534 (id: zbzakb8xcapu)  (No Limit Texas Hold'em) (dealer: ""YN @ efwgqIsBSH"") --",2024-12-31T08:42:46.746Z,173563456674600
"-- ending hand #533 --",2024-12-31T08:42:43.682Z,173563456368202
"""HY @ RzZqRjTje6"" collected 9.50 from pot with Pair, 4's (combination: 4♥, 4♠, A♥, 8♣, 7♥)",2024-12-31T08:42:43.682Z,173563456368201
"""HY @ RzZqRjTje6"" shows a A♥, 8♣.",2024-12-31T08:42:43.682Z,173563456368200
"""Ahmed @ 7a1arINwD3"" checks",2024-12-31T08:42:42.855Z,173563456285500
"""HY @ RzZqRjTje6"" checks",2024-12-31T08:42:39.141Z,173563455914100
"River: 4♥, 7♥, 3♥, 2♣ [4♠]",2024-12-31T08:42:37.146Z,173563455714600
"""Ahmed @ 7a1arINwD3"" checks",2024-12-31T08:42:36.307Z,173563455630700
"""HY @ RzZqRjTje6"" checks",2024-12-31T08:42:29.346Z,173563454934600
"Turn: 4♥, 7♥, 3♥ [2♣]",2024-12-31T08:42:27.428Z,173563454742800
"""Ahmed @ 7a1arINwD3"" checks",2024-12-31T08:42:26.610Z,173563454661000
"""HY @ RzZqRjTje6"" checks",2024-12-31T08:42:21.054Z,173563454105400
"Flop:  [4♥, 7♥, 3♥]",2024-12-31T08:42:15.208Z,173563453520800
"""Ahmed @ 7a1arINwD3"" calls 4.50",2024-12-31T08:42:14.385Z,173563453438500
"""HY @ RzZqRjTje6"" raises to 4.50",2024-12-31T08:42:01.822Z,173563452182200
"""YN @ efwgqIsBSH"" folds",2024-12-31T08:41:54.739Z,173563451473900
"""Ahmed @ 7a1arINwD3"" calls 1.00",2024-12-31T08:41:50.188Z,173563451018800
"""AHH @ KKDJ1brgcv"" folds",2024-12-31T08:41:41.916Z,173563450191600
"""HY @ RzZqRjTje6"" posts a big blind of 1.00",2024-12-31T08:41:40.331Z,173563450033107
"""YN @ efwgqIsBSH"" posts a small blind of 0.50",2024-12-31T08:41:40.331Z,173563450033106
"Your hand is 3♠, 10♠",2024-12-31T08:41:40.331Z,173563450033103
"Player stacks: #1 ""HY @ RzZqRjTje6"" (894.99) | #2 ""AHH @ KKDJ1brgcv"" (302.80) | #9 ""Ahmed @ 7a1arINwD3"" (513.74) | #10 ""YN @ efwgqIsBSH"" (956.02)",2024-12-31T08:41:40.331Z,173563450033101
"-- starting hand #533 (id: 5toe4vamhh4r)  (No Limit Texas Hold'em) (dealer: ""Ahmed @ 7a1arINwD3"") --",2024-12-31T08:41:40.331Z,173563450033100
"-- ending hand #532 --",2024-12-31T08:41:34.404Z,173563449440402
"""YN @ efwgqIsBSH"" collected 194.75 from pot",2024-12-31T08:41:34.404Z,173563449440401
"Uncalled bet of 194.75 returned to ""YN @ efwgqIsBSH""",2024-12-31T08:41:34.404Z,173563449440400
"""Ahmed @ 7a1arINwD3"" folds",2024-12-31T08:41:33.533Z,173563449353300
"""AHH @ KKDJ1brgcv"" folds",2024-12-31T08:41:32.336Z,173563449233600
"""YN @ efwgqIsBSH"" bets 194.75",2024-12-31T08:41:18.277Z,173563447827700
"""Ahmed @ 7a1arINwD3"" checks",2024-12-31T08:41:02.524Z,173563446252400
"Turn: 5♠, 3♠, 6♥ [K♦]",2024-12-31T08:41:00.461Z,173563446046100
"""Ahmed @ 7a1arINwD3"" calls 40.00",2024-12-31T08:40:59.652Z,173563445965200
"""AHH @ KKDJ1brgcv"" calls 40.00",2024-12-31T08:40:58.070Z,173563445807000
"""YN @ efwgqIsBSH"" bets 40.00",2024-12-31T08:40:55.097Z,173563445509700
"""Ahmed @ 7a1arINwD3"" checks",2024-12-31T08:40:46.444Z,173563444644400
"Flop:  [5♠, 3♠, 6♥]",2024-12-31T08:40:41.309Z,173563444130900
"""Ahmed @ 7a1arINwD3"" calls 24.25",2024-12-31T08:40:40.444Z,173563444044400
"""AHH @ KKDJ1brgcv"" calls 24.25",2024-12-31T08:40:28.734Z,173563442873400
"""HY @ RzZqRjTje6"" folds",2024-12-31T08:40:23.570Z,173563442357000
"""YN @ efwgqIsBSH"" raises to 24.25",2024-12-31T08:40:22.593Z,173563442259300
"""Ahmed @ 7a1arINwD3"" calls 7.00",2024-12-31T08:40:08.464Z,173563440846400
"""AHH @ KKDJ1brgcv"" raises to 7.00",2024-12-31T08:40:05.731Z,173563440573100
"""HY @ RzZqRjTje6"" posts a straddle of 2.00",2024-12-31T08:40:00.290Z,173563440029008
"""YN @ efwgqIsBSH"" posts a big blind of 1.00",2024-12-31T08:40:00.290Z,173563440029007
"""Ahmed @ 7a1arINwD3"" posts a small blind of 0.50",2024-12-31T08:40:00.290Z,173563440029006
"Your hand is 2♠, A♠",2024-12-31T08:40:00.290Z,173563440029003
"Player stacks: #1 ""HY @ RzZqRjTje6"" (896.99) | #2 ""AHH @ KKDJ1brgcv"" (367.05) | #9 ""Ahmed @ 7a1arINwD3"" (577.99) | #10 ""YN @ efwgqIsBSH"" (825.52)",2024-12-31T08:40:00.290Z,173563440029001
"-- starting hand #532 (id: bz7mp3j8txlo)  (No Limit Texas Hold'em) (dealer: ""AHH @ KKDJ1brgcv"") --",2024-12-31T08:40:00.290Z,173563440029000
"-- ending hand #531 --",2024-12-31T08:39:57.238Z,173563439723803
"""AHH @ KKDJ1brgcv"" shows a 3♦, A♠.",2024-12-31T08:39:57.238Z,173563439723802
"""Ahmed @ 7a1arINwD3"" collected 60.00 from pot with Two Pair, K's & 6's (combination: K♦, K♣, 6♠, 6♦, 10♦)",2024-12-31T08:39:57.238Z,173563439723801
"""Ahmed @ 7a1arINwD3"" shows a 10♦, K♦.",2024-12-31T08:39:57.238Z,173563439723800
"""Ahmed @ 7a1arINwD3"" checks",2024-12-31T08:39:56.404Z,173563439640400
"""AHH @ KKDJ1brgcv"" checks",2024-12-31T08:39:54.047Z,173563439404700
"River: 6♠, 6♦, 8♠, 5♥ [K♣]",2024-12-31T08:39:51.031Z,173563439103100
"""Ahmed @ 7a1arINwD3"" checks",2024-12-31T08:39:50.208Z,173563439020800
"""AHH @ KKDJ1brgcv"" checks",2024-12-31T08:39:47.915Z,173563438791500
"Turn: 6♠, 6♦, 8♠ [5♥]",2024-12-31T08:39:46.224Z,173563438622400
"""AHH @ KKDJ1brgcv"" calls 15.00",2024-12-31T08:39:45.407Z,173563438540700
"""Ahmed @ 7a1arINwD3"" bets 15.00",2024-12-31T08:39:40.144Z,173563438014400
"""AHH @ KKDJ1brgcv"" checks",2024-12-31T08:39:30.603Z,173563437060300
"Flop:  [6♠, 6♦, 8♠]",2024-12-31T08:39:28.455Z,173563436845500
"""AHH @ KKDJ1brgcv"" calls 15.00",2024-12-31T08:39:27.570Z,173563436757000
"""Ahmed @ 7a1arINwD3"" raises to 15.00",2024-12-31T08:39:22.386Z,173563436238600
"""AHH @ KKDJ1brgcv"" raises to 5.00",2024-12-31T08:39:17.756Z,173563435775600
"""HY @ RzZqRjTje6"" folds",2024-12-31T08:39:14.446Z,173563435444600
"""YN @ efwgqIsBSH"" folds",2024-12-31T08:39:13.385Z,173563435338500
"""Ahmed @ 7a1arINwD3"" posts a big blind of 1.00",2024-12-31T08:39:09.334Z,173563434933407
"""AHH @ KKDJ1brgcv"" posts a small blind of 0.50",2024-12-31T08:39:09.334Z,173563434933406
"Your hand is 3♦, A♠",2024-12-31T08:39:09.334Z,173563434933403
"Player stacks: #1 ""HY @ RzZqRjTje6"" (896.99) | #2 ""AHH @ KKDJ1brgcv"" (397.05) | #9 ""Ahmed @ 7a1arINwD3"" (547.99) | #10 ""YN @ efwgqIsBSH"" (825.52)",2024-12-31T08:39:09.334Z,173563434933401
"-- starting hand #531 (id: 7l4xydiy9j3x)  (No Limit Texas Hold'em) (dealer: ""HY @ RzZqRjTje6"") --",2024-12-31T08:39:09.334Z,173563434933400
"-- ending hand #530 --",2024-12-31T08:39:06.330Z,173563434633002
"""HY @ RzZqRjTje6"" collected 184.00 from pot with Two Pair, A's & Q's (combination: A♠, A♥, Q♦, Q♠, K♥)",2024-12-31T08:39:06.330Z,173563434633001
"""HY @ RzZqRjTje6"" shows a A♠, Q♦.",2024-12-31T08:39:06.330Z,173563434633000
"""YN @ efwgqIsBSH"" checks",2024-12-31T08:39:05.498Z,173563434549800
"""HY @ RzZqRjTje6"" checks",2024-12-31T08:38:45.157Z,173563432515700
"River: 2♣, A♥, 8♥, Q♠ [K♥]",2024-12-31T08:38:42.723Z,173563432272300
"""HY @ RzZqRjTje6"" calls 46.00",2024-12-31T08:38:41.897Z,173563432189700
"""YN @ efwgqIsBSH"" bets 46.00",2024-12-31T08:38:28.649Z,173563430864900
"""HY @ RzZqRjTje6"" checks",2024-12-31T08:38:16.323Z,173563429632300
"Turn: 2♣, A♥, 8♥ [Q♠]",2024-12-31T08:38:12.360Z,173563429236000
"""YN @ efwgqIsBSH"" calls 20.50",2024-12-31T08:38:11.544Z,173563429154400
"""HY @ RzZqRjTje6"" bets 20.50",2024-12-31T08:38:04.967Z,173563428496700
"Flop:  [2♣, A♥, 8♥]",2024-12-31T08:37:59.765Z,173563427976500
"""YN @ efwgqIsBSH"" calls 24.00",2024-12-31T08:37:58.959Z,173563427895900
"""Ahmed @ 7a1arINwD3"" folds",2024-12-31T08:37:54.464Z,173563427446400
"""AHH @ KKDJ1brgcv"" folds",2024-12-31T08:37:53.249Z,173563427324900
"""HY @ RzZqRjTje6"" raises to 24.00",2024-12-31T08:37:43.087Z,173563426308700
"""YN @ efwgqIsBSH"" raises to 6.00",2024-12-31T08:37:37.374Z,173563425737400
"""Ahmed @ 7a1arINwD3"" posts a straddle of 2.00",2024-12-31T08:37:31.335Z,173563425133508
"""AHH @ KKDJ1brgcv"" posts a big blind of 1.00",2024-12-31T08:37:31.335Z,173563425133507
"""HY @ RzZqRjTje6"" posts a small blind of 0.50",2024-12-31T08:37:31.335Z,173563425133506
"Your hand is 10♠, 4♠",2024-12-31T08:37:31.335Z,173563425133503
"Player stacks: #1 ""HY @ RzZqRjTje6"" (803.49) | #2 ""AHH @ KKDJ1brgcv"" (398.05) | #9 ""Ahmed @ 7a1arINwD3"" (549.99) | #10 ""YN @ efwgqIsBSH"" (916.02)",2024-12-31T08:37:31.335Z,173563425133501
"-- starting hand #530 (id: kcnwadc8onty)  (No Limit Texas Hold'em) (dealer: ""YN @ efwgqIsBSH"") --",2024-12-31T08:37:31.335Z,173563425133500
"-- ending hand #529 --",2024-12-31T08:37:25.357Z,173563424535702
"""YN @ efwgqIsBSH"" collected 50.00 from pot",2024-12-31T08:37:25.357Z,173563424535701
"Uncalled bet of 32.50 returned to ""YN @ efwgqIsBSH""",2024-12-31T08:37:25.357Z,173563424535700
"""Ahmed @ 7a1arINwD3"" folds",2024-12-31T08:37:24.525Z,173563424452500
"""YN @ efwgqIsBSH"" raises to 45.00",2024-12-31T08:37:22.822Z,173563424282200
