entry,at,order
"The player ""reilly @ FkycgsPCCs"" stand up with the stack of 839.",2024-03-22T00:36:46.063Z,171106780606300
"The player ""Justin L @ iAQ8-a-ouy"" stand up with the stack of 1420.",2024-03-22T00:36:28.215Z,171106778821500
"-- ending hand #263 --",2024-03-22T00:36:25.276Z,171106778527602
"""reilly @ FkycgsPCCs"" collected 2 from pot",2024-03-22T00:36:25.276Z,171106778527601
"Uncalled bet of 2 returned to ""reilly @ FkycgsPCCs""",2024-03-22T00:36:25.276Z,171106778527600
"""Justin L @ iAQ8-a-ouy"" folds",2024-03-22T00:36:24.425Z,171106778442500
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-03-22T00:36:16.335Z,171106777633505
"""Justin L @ iAQ8-a-ouy"" posts a small blind of 1",2024-03-22T00:36:16.335Z,171106777633504
"Player stacks: #2 ""Justin L @ iAQ8-a-ouy"" (1421) | #8 ""reilly @ FkycgsPCCs"" (838)",2024-03-22T00:36:16.335Z,171106777633501
"-- starting hand #263 (id: g3d7rklthksm)  (No Limit Texas Hold'em) (dealer: ""Justin L @ iAQ8-a-ouy"") --",2024-03-22T00:36:16.335Z,171106777633500
"-- ending hand #262 --",2024-03-22T00:36:13.414Z,171106777341402
"""reilly @ FkycgsPCCs"" collected 6 from pot",2024-03-22T00:36:13.414Z,171106777341401
"Uncalled bet of 4 returned to ""reilly @ FkycgsPCCs""",2024-03-22T00:36:13.414Z,171106777341400
"""Justin L @ iAQ8-a-ouy"" folds",2024-03-22T00:36:12.593Z,171106777259300
"""reilly @ FkycgsPCCs"" raises to 7",2024-03-22T00:36:08.713Z,171106776871300
"""Justin L @ iAQ8-a-ouy"" posts a big blind of 3",2024-03-22T00:36:04.944Z,171106776494405
"""reilly @ FkycgsPCCs"" posts a small blind of 1",2024-03-22T00:36:04.944Z,171106776494404
"Player stacks: #2 ""Justin L @ iAQ8-a-ouy"" (1424) | #8 ""reilly @ FkycgsPCCs"" (835)",2024-03-22T00:36:04.944Z,171106776494401
"-- starting hand #262 (id: xwsk6yxupzz6)  (No Limit Texas Hold'em) (dealer: ""reilly @ FkycgsPCCs"") --",2024-03-22T00:36:04.944Z,171106776494400
"-- ending hand #261 --",2024-03-22T00:36:01.991Z,171106776199102
"""Justin L @ iAQ8-a-ouy"" collected 6 from pot",2024-03-22T00:36:01.991Z,171106776199101
"Uncalled bet of 6 returned to ""Justin L @ iAQ8-a-ouy""",2024-03-22T00:36:01.991Z,171106776199100
