entry,at,order
"The player ""Mike C @ 7uy4019y8p"" stand up with the stack of 429.",2024-03-09T10:46:41.357Z,170998120135700
"-- ending hand #583 --",2024-03-09T10:46:38.354Z,170998119835402
"""Alwin @ D4LDhczIoW"" collected 2 from pot",2024-03-09T10:46:38.354Z,170998119835401
"Uncalled bet of 2 returned to ""Alwin @ D4LDhczIoW""",2024-03-09T10:46:38.354Z,170998119835400
"""Mike C @ 7uy4019y8p"" folds",2024-03-09T10:46:37.548Z,170998119754800
"""Alwin @ D4LDhczIoW"" posts a big blind of 3",2024-03-09T10:46:29.037Z,170998118903705
"""Mike C @ 7uy4019y8p"" posts a small blind of 1",2024-03-09T10:46:29.037Z,170998118903704
"Your hand is 10♥, 9♠",2024-03-09T10:46:29.037Z,170998118903702
"Player stacks: #1 ""Alwin @ D4LDhczIoW"" (828) | #7 ""Mike C @ 7uy4019y8p"" (430)",2024-03-09T10:46:29.037Z,170998118903701
"-- starting hand #583 (id: p4c14y1oroid)  (No Limit Texas Hold'em) (dealer: ""Mike C @ 7uy4019y8p"") --",2024-03-09T10:46:29.037Z,170998118903700
"-- ending hand #582 --",2024-03-09T10:46:26.131Z,170998118613102
"""Alwin @ D4LDhczIoW"" collected 232 from pot",2024-03-09T10:46:26.131Z,170998118613101
"Uncalled bet of 430 returned to ""Alwin @ D4LDhczIoW""",2024-03-09T10:46:26.131Z,170998118613100
"""Mike C @ 7uy4019y8p"" folds",2024-03-09T10:46:25.233Z,170998118523300
"""Alwin @ D4LDhczIoW"" bets 430",2024-03-09T10:46:20.983Z,170998118098300
"""Mike C @ 7uy4019y8p"" checks",2024-03-09T10:46:06.199Z,170998116619900
"River: Q♥, Q♦, 4♥, K♠ [A♥]",2024-03-09T10:45:52.704Z,170998115270400
"""Alwin @ D4LDhczIoW"" calls 64",2024-03-09T10:45:51.898Z,170998115189800
"""Mike C @ 7uy4019y8p"" bets 64",2024-03-09T10:45:46.785Z,170998114678500
"Turn: Q♥, Q♦, 4♥ [K♠]",2024-03-09T10:45:17.654Z,170998111765400
"""Alwin @ D4LDhczIoW"" calls 26",2024-03-09T10:45:16.745Z,170998111674500
"""Mike C @ 7uy4019y8p"" bets 26",2024-03-09T10:45:12.362Z,170998111236200
"Flop:  [Q♥, Q♦, 4♥]",2024-03-09T10:45:04.534Z,170998110453400
"""Alwin @ D4LDhczIoW"" calls 26",2024-03-09T10:45:03.708Z,170998110370800
"""Mike C @ 7uy4019y8p"" raises to 26",2024-03-09T10:44:59.706Z,170998109970600
"""Alwin @ D4LDhczIoW"" raises to 8",2024-03-09T10:44:53.585Z,170998109358500
"""Mike C @ 7uy4019y8p"" posts a big blind of 3",2024-03-09T10:44:48.716Z,170998108871605
"""Alwin @ D4LDhczIoW"" posts a small blind of 1",2024-03-09T10:44:48.716Z,170998108871604
"Your hand is 10♣, J♥",2024-03-09T10:44:48.716Z,170998108871602
"Player stacks: #1 ""Alwin @ D4LDhczIoW"" (712) | #7 ""Mike C @ 7uy4019y8p"" (546)",2024-03-09T10:44:48.716Z,170998108871601
"-- starting hand #582 (id: 7vhetdjbfcef)  (No Limit Texas Hold'em) (dealer: ""Alwin @ D4LDhczIoW"") --",2024-03-09T10:44:48.716Z,170998108871600
"-- ending hand #581 --",2024-03-09T10:44:45.813Z,170998108581302
"""Alwin @ D4LDhczIoW"" collected 2 from pot",2024-03-09T10:44:45.813Z,170998108581301
"Uncalled bet of 2 returned to ""Alwin @ D4LDhczIoW""",2024-03-09T10:44:45.813Z,170998108581300
"""Mike C @ 7uy4019y8p"" folds",2024-03-09T10:44:44.994Z,170998108499400
"""Alwin @ D4LDhczIoW"" posts a big blind of 3",2024-03-09T10:44:39.984Z,170998107998405
"""Mike C @ 7uy4019y8p"" posts a small blind of 1",2024-03-09T10:44:39.984Z,170998107998404
"Your hand is 5♣, A♣",2024-03-09T10:44:39.984Z,170998107998402
"Player stacks: #1 ""Alwin @ D4LDhczIoW"" (711) | #7 ""Mike C @ 7uy4019y8p"" (547)",2024-03-09T10:44:39.984Z,170998107998401
"-- starting hand #581 (id: ptod2vogetf8)  (No Limit Texas Hold'em) (dealer: ""Mike C @ 7uy4019y8p"") --",2024-03-09T10:44:39.984Z,170998107998400
"-- ending hand #580 --",2024-03-09T10:44:37.010Z,170998107701002
"""Mike C @ 7uy4019y8p"" collected 2 from pot",2024-03-09T10:44:37.010Z,170998107701001
"Uncalled bet of 2 returned to ""Mike C @ 7uy4019y8p""",2024-03-09T10:44:37.010Z,170998107701000
"""Alwin @ D4LDhczIoW"" folds",2024-03-09T10:44:36.195Z,170998107619500
"""Mike C @ 7uy4019y8p"" posts a big blind of 3",2024-03-09T10:44:29.003Z,170998106900305
"""Alwin @ D4LDhczIoW"" posts a small blind of 1",2024-03-09T10:44:29.003Z,170998106900304
"Your hand is Q♦, 6♣",2024-03-09T10:44:29.003Z,170998106900302
"Player stacks: #1 ""Alwin @ D4LDhczIoW"" (712) | #7 ""Mike C @ 7uy4019y8p"" (546)",2024-03-09T10:44:29.003Z,170998106900301
"-- starting hand #580 (id: o12yyeeelqu7)  (No Limit Texas Hold'em) (dealer: ""Alwin @ D4LDhczIoW"") --",2024-03-09T10:44:29.003Z,170998106900300
"-- ending hand #579 --",2024-03-09T10:44:26.090Z,170998106609002
"""Mike C @ 7uy4019y8p"" collected 6 from pot",2024-03-09T10:44:26.090Z,170998106609001
"Uncalled bet of 6 returned to ""Mike C @ 7uy4019y8p""",2024-03-09T10:44:26.090Z,170998106609000
"""Alwin @ D4LDhczIoW"" folds",2024-03-09T10:44:25.205Z,170998106520500
"""Mike C @ 7uy4019y8p"" raises to 9",2024-03-09T10:44:21.228Z,170998106122800
"""Alwin @ D4LDhczIoW"" posts a big blind of 3",2024-03-09T10:44:18.795Z,170998105879505
"""Mike C @ 7uy4019y8p"" posts a small blind of 1",2024-03-09T10:44:18.795Z,170998105879504
"Your hand is 5♦, Q♠",2024-03-09T10:44:18.795Z,170998105879502
"Player stacks: #1 ""Alwin @ D4LDhczIoW"" (715) | #7 ""Mike C @ 7uy4019y8p"" (543)",2024-03-09T10:44:18.795Z,170998105879501
"-- starting hand #579 (id: u2odizsjzcid)  (No Limit Texas Hold'em) (dealer: ""Mike C @ 7uy4019y8p"") --",2024-03-09T10:44:18.795Z,170998105879500
"-- ending hand #578 --",2024-03-09T10:44:15.879Z,170998105587902
"""Alwin @ D4LDhczIoW"" collected 6 from pot",2024-03-09T10:44:15.879Z,170998105587901
"Uncalled bet of 5 returned to ""Alwin @ D4LDhczIoW""",2024-03-09T10:44:15.879Z,170998105587900
"""Mike C @ 7uy4019y8p"" folds",2024-03-09T10:44:15.064Z,170998105506400
"""Alwin @ D4LDhczIoW"" raises to 8",2024-03-09T10:44:12.639Z,170998105263900
"""Mike C @ 7uy4019y8p"" posts a big blind of 3",2024-03-09T10:44:09.272Z,170998104927205
"""Alwin @ D4LDhczIoW"" posts a small blind of 1",2024-03-09T10:44:09.272Z,170998104927204
"Your hand is 9♠, A♦",2024-03-09T10:44:09.272Z,170998104927202
"Player stacks: #1 ""Alwin @ D4LDhczIoW"" (712) | #7 ""Mike C @ 7uy4019y8p"" (546)",2024-03-09T10:44:09.272Z,170998104927201
"-- starting hand #578 (id: qp7qx97fehru)  (No Limit Texas Hold'em) (dealer: ""Alwin @ D4LDhczIoW"") --",2024-03-09T10:44:09.272Z,170998104927200
"-- ending hand #577 --",2024-03-09T10:44:06.351Z,170998104635102
"""Alwin @ D4LDhczIoW"" collected 2 from pot",2024-03-09T10:44:06.351Z,170998104635101
"Uncalled bet of 2 returned to ""Alwin @ D4LDhczIoW""",2024-03-09T10:44:06.351Z,170998104635100
"""Mike C @ 7uy4019y8p"" folds",2024-03-09T10:44:05.525Z,170998104552500
"""Alwin @ D4LDhczIoW"" posts a big blind of 3",2024-03-09T10:44:04.095Z,170998104409505
"""Mike C @ 7uy4019y8p"" posts a small blind of 1",2024-03-09T10:44:04.095Z,170998104409504
"Your hand is A♦, 4♥",2024-03-09T10:44:04.095Z,170998104409502
"Player stacks: #1 ""Alwin @ D4LDhczIoW"" (711) | #7 ""Mike C @ 7uy4019y8p"" (547)",2024-03-09T10:44:04.095Z,170998104409501
"-- starting hand #577 (id: 0acr8kadrwkt)  (No Limit Texas Hold'em) (dealer: ""Mike C @ 7uy4019y8p"") --",2024-03-09T10:44:04.095Z,170998104409500
"-- ending hand #576 --",2024-03-09T10:44:01.189Z,170998104118902
"""Alwin @ D4LDhczIoW"" collected 6 from pot",2024-03-09T10:44:01.189Z,170998104118901
"Uncalled bet of 5 returned to ""Alwin @ D4LDhczIoW""",2024-03-09T10:44:01.189Z,170998104118900
"""Mike C @ 7uy4019y8p"" folds",2024-03-09T10:44:00.361Z,170998104036100
"""Alwin @ D4LDhczIoW"" raises to 8",2024-03-09T10:43:57.802Z,170998103780200
"""Mike C @ 7uy4019y8p"" posts a big blind of 3",2024-03-09T10:43:54.988Z,170998103498805
"""Alwin @ D4LDhczIoW"" posts a small blind of 1",2024-03-09T10:43:54.988Z,170998103498804
"Your hand is 9♥, A♥",2024-03-09T10:43:54.988Z,170998103498802
"Player stacks: #1 ""Alwin @ D4LDhczIoW"" (708) | #7 ""Mike C @ 7uy4019y8p"" (550)",2024-03-09T10:43:54.988Z,170998103498801
"-- starting hand #576 (id: kblfv3qxishb)  (No Limit Texas Hold'em) (dealer: ""Alwin @ D4LDhczIoW"") --",2024-03-09T10:43:54.988Z,170998103498800
"-- ending hand #575 --",2024-03-09T10:43:52.085Z,170998103208502
"""Alwin @ D4LDhczIoW"" collected 2 from pot",2024-03-09T10:43:52.085Z,170998103208501
"Uncalled bet of 2 returned to ""Alwin @ D4LDhczIoW""",2024-03-09T10:43:52.085Z,170998103208500
"""Mike C @ 7uy4019y8p"" folds",2024-03-09T10:43:51.268Z,170998103126800
"""Alwin @ D4LDhczIoW"" posts a big blind of 3",2024-03-09T10:43:49.882Z,170998102988205
"""Mike C @ 7uy4019y8p"" posts a small blind of 1",2024-03-09T10:43:49.882Z,170998102988204
"Your hand is 8♥, 5♠",2024-03-09T10:43:49.882Z,170998102988202
"Player stacks: #1 ""Alwin @ D4LDhczIoW"" (707) | #7 ""Mike C @ 7uy4019y8p"" (551)",2024-03-09T10:43:49.882Z,170998102988201
"-- starting hand #575 (id: sakt4aqmvs7g)  (No Limit Texas Hold'em) (dealer: ""Mike C @ 7uy4019y8p"") --",2024-03-09T10:43:49.882Z,170998102988200
"-- ending hand #574 --",2024-03-09T10:43:46.979Z,170998102697902
"""Mike C @ 7uy4019y8p"" collected 2 from pot",2024-03-09T10:43:46.979Z,170998102697901
"Uncalled bet of 2 returned to ""Mike C @ 7uy4019y8p""",2024-03-09T10:43:46.979Z,170998102697900
"""Alwin @ D4LDhczIoW"" folds",2024-03-09T10:43:46.133Z,170998102613300
"""Mike C @ 7uy4019y8p"" posts a big blind of 3",2024-03-09T10:43:44.176Z,170998102417605
"""Alwin @ D4LDhczIoW"" posts a small blind of 1",2024-03-09T10:43:44.176Z,170998102417604
"Your hand is 6♠, Q♥",2024-03-09T10:43:44.176Z,170998102417602
"Player stacks: #1 ""Alwin @ D4LDhczIoW"" (708) | #7 ""Mike C @ 7uy4019y8p"" (550)",2024-03-09T10:43:44.176Z,170998102417601
"-- starting hand #574 (id: dxx1iqhubgeo)  (No Limit Texas Hold'em) (dealer: ""Alwin @ D4LDhczIoW"") --",2024-03-09T10:43:44.176Z,170998102417600
"-- ending hand #573 --",2024-03-09T10:43:41.272Z,170998102127202
"""Alwin @ D4LDhczIoW"" collected 18 from pot",2024-03-09T10:43:41.272Z,170998102127201
