entry,at,order
"The player ""Justin el @ iAQ8-a-ouy"" stand up with the stack of 683.",2024-04-01T02:56:52.506Z,171194021250600
"The player ""Justin el @ iAQ8-a-ouy"" sit back with the stack of 683.",2024-04-01T02:56:49.164Z,171194020916400
"The player ""BP @ 3nEm3CsHfN"" stand up with the stack of 177.",2024-04-01T02:44:50.433Z,171193949043300
"The player ""Yosef @ RC6Ah7EXu_"" stand up with the stack of 689.",2024-04-01T02:44:47.713Z,171193948771300
"-- ending hand #328 --",2024-04-01T02:44:41.709Z,171193948170903
"""Yosef @ RC6Ah7EXu_"" shows a 9♠, K♣.",2024-04-01T02:44:41.709Z,171193948170902
"""BP @ 3nEm3CsHfN"" collected 18 from pot with Two Pair, 6's & 4's (combination: 6♠, 6♣, 4♠, 4♥, Q♣)",2024-04-01T02:44:41.709Z,171193948170901
"""BP @ 3nEm3CsHfN"" shows a 4♠, 4♥.",2024-04-01T02:44:41.709Z,171193948170900
"""Yosef @ RC6Ah7EXu_"" checks",2024-04-01T02:44:40.904Z,171193948090400
"""BP @ 3nEm3CsHfN"" checks",2024-04-01T02:44:38.168Z,171193947816800
"River: 6♠, 3♦, 6♣, Q♣ [2♣]",2024-04-01T02:44:36.774Z,171193947677400
"""Yosef @ RC6Ah7EXu_"" checks",2024-04-01T02:44:35.935Z,171193947593500
"""BP @ 3nEm3CsHfN"" checks",2024-04-01T02:44:31.317Z,171193947131700
"Turn: 6♠, 3♦, 6♣ [Q♣]",2024-04-01T02:44:29.075Z,171193946907500
"""Yosef @ RC6Ah7EXu_"" checks",2024-04-01T02:44:28.260Z,171193946826000
"""BP @ 3nEm3CsHfN"" checks",2024-04-01T02:44:21.267Z,171193946126700
"Flop:  [6♠, 3♦, 6♣]",2024-04-01T02:44:20.089Z,171193946008900
"""BP @ 3nEm3CsHfN"" calls 9",2024-04-01T02:44:19.267Z,171193945926700
"""Yosef @ RC6Ah7EXu_"" raises to 9",2024-04-01T02:44:16.108Z,171193945610800
"""BP @ 3nEm3CsHfN"" posts a big blind of 3",2024-04-01T02:44:09.513Z,171193944951306
"""Yosef @ RC6Ah7EXu_"" posts a small blind of 1",2024-04-01T02:44:09.513Z,171193944951305
"Player stacks: #1 ""BP @ 3nEm3CsHfN"" (168) | #2 ""Yosef @ RC6Ah7EXu_"" (698)",2024-04-01T02:44:09.513Z,171193944951302
"-- starting hand #328 (id: ho56lbafahej)  (No Limit Texas Hold'em) (dealer: ""Yosef @ RC6Ah7EXu_"") --",2024-04-01T02:44:09.513Z,171193944951301
