entry,at,order
"-- ending hand #519 --",2024-05-03T05:36:41.951Z,171471460195102
"""Sen @ 1_LfOUDns1"" collected 121 from pot with Two Pair, Q's & 8's on the second run  (combination: Q♣, Q♥, 8♦, 8♠, A♥)",2024-05-03T05:36:41.951Z,171471460195101
"""Sen @ 1_LfOUDns1"" collected 121 from pot with Two Pair, Q's & 8's (combination: Q♣, Q♥, 8♦, 8♠, 5♠)",2024-05-03T05:36:41.951Z,171471460195100
"River (second run): Q♥, 3♣, 8♠, 6♦ [A♥]",2024-05-03T05:36:37.940Z,171471459794000
"Turn (second run): Q♥, 3♣, 8♠ [6♦]",2024-05-03T05:36:33.901Z,171471459390100
"River: Q♥, 3♣, 8♠, 5♠ [4♦]",2024-05-03T05:36:29.896Z,171471458989600
"Turn: Q♥, 3♣, 8♠ [5♠]",2024-05-03T05:36:25.891Z,171471458589100
"""BP @ 3nEm3CsHfN"" shows a Q♠, 10♥.",2024-05-03T05:36:21.879Z,171471458187902
"""Sen @ 1_LfOUDns1"" shows a Q♣, 8♦.",2024-05-03T05:36:21.879Z,171471458187901
"Uncalled bet of 202 returned to ""Sen @ 1_LfOUDns1""",2024-05-03T05:36:21.879Z,171471458187900
"All players in hand choose to run it twice.",2024-05-03T05:36:21.034Z,171471458103401
"""Sen @ 1_LfOUDns1"" chooses to  run it twice.",2024-05-03T05:36:21.034Z,171471458103400
"""BP @ 3nEm3CsHfN"" chooses to  run it twice.",2024-05-03T05:36:21.026Z,171471458102600
"Remaining players decide whether to run it twice.",2024-05-03T05:36:19.309Z,171471457930901
"""Ben @ 65yhD7IrfK"" folds",2024-05-03T05:36:19.309Z,171471457930900
"""Ted2 @ xuQl1xe3Ru"" folds",2024-05-03T05:36:18.465Z,171471457846500
"""Sen @ 1_LfOUDns1"" raises to 293 and go all in",2024-05-03T05:36:15.928Z,171471457592800
"""BP @ 3nEm3CsHfN"" bets 91 and go all in",2024-05-03T05:36:12.121Z,171471457212100
"""Ben @ 65yhD7IrfK"" checks",2024-05-03T05:36:06.780Z,171471456678000
"""Ted2 @ xuQl1xe3Ru"" checks",2024-05-03T05:36:04.116Z,171471456411600
"Flop:  [Q♥, 3♣, 8♠]",2024-05-03T05:36:00.159Z,171471456015900
"""Ben @ 65yhD7IrfK"" calls 15",2024-05-03T05:35:59.356Z,171471455935600
"""Ted2 @ xuQl1xe3Ru"" calls 15",2024-05-03T05:35:58.488Z,171471455848800
"""Sen @ 1_LfOUDns1"" calls 15",2024-05-03T05:35:56.683Z,171471455668300
"""BP @ 3nEm3CsHfN"" raises to 15",2024-05-03T05:35:55.306Z,171471455530600
"""Ben @ 65yhD7IrfK"" posts a big blind of 3",2024-05-03T05:35:52.283Z,171471455228307
"""Ted2 @ xuQl1xe3Ru"" posts a small blind of 1",2024-05-03T05:35:52.283Z,171471455228306
"Player stacks: #3 ""Sen @ 1_LfOUDns1"" (308) | #4 ""Ted2 @ xuQl1xe3Ru"" (1617) | #6 ""Ben @ 65yhD7IrfK"" (1002) | #7 ""BP @ 3nEm3CsHfN"" (106)",2024-05-03T05:35:52.283Z,171471455228301
"-- starting hand #519 (id: lgfdmqqagmj9)  (No Limit Texas Hold'em) (dealer: ""Sen @ 1_LfOUDns1"") --",2024-05-03T05:35:52.283Z,171471455228300
"-- ending hand #518 --",2024-05-03T05:35:46.244Z,171471454624402
"""Sen @ 1_LfOUDns1"" collected 73 from pot with Two Pair, K's & 10's (combination: K♠, K♥, 10♣, 10♦, Q♣)",2024-05-03T05:35:46.244Z,171471454624401
"""Sen @ 1_LfOUDns1"" shows a Q♣, K♠.",2024-05-03T05:35:46.244Z,171471454624400
"""Ben @ 65yhD7IrfK"" calls 18",2024-05-03T05:35:45.419Z,171471454541900
"""Sen @ 1_LfOUDns1"" bets 18",2024-05-03T05:35:24.821Z,171471452482100
