entry,at,order
"River: Q♠, A♦, 6♥, 6♠ [5♣]",2024-02-08T08:35:50.150Z,170738135015000
"""scott s @ FhatGh_xn0"" checks",2024-02-08T08:35:49.343Z,170738134934300
"""Sen @ 1_LfOUDns1"" checks",2024-02-08T08:35:46.055Z,170738134605500
"Turn: Q♠, A♦, 6♥ [6♠]",2024-02-08T08:35:45.018Z,170738134501800
"""scott s @ FhatGh_xn0"" checks",2024-02-08T08:35:44.148Z,170738134414800
"""Sen @ 1_LfOUDns1"" checks",2024-02-08T08:35:42.356Z,170738134235600
"Flop:  [Q♠, A♦, 6♥]",2024-02-08T08:35:40.943Z,170738134094300
"""Sen @ 1_LfOUDns1"" checks",2024-02-08T08:35:40.093Z,170738134009300
"""scott s @ FhatGh_xn0"" calls 3",2024-02-08T08:35:38.775Z,170738133877500
"""Sen @ 1_LfOUDns1"" posts a big blind of 3",2024-02-08T08:35:37.542Z,170738133754205
"""scott s @ FhatGh_xn0"" posts a small blind of 1",2024-02-08T08:35:37.542Z,170738133754204
"Player stacks: #3 ""scott s @ FhatGh_xn0"" (1334) | #7 ""Sen @ 1_LfOUDns1"" (961)",2024-02-08T08:35:37.542Z,170738133754201
"-- starting hand #1516 (id: dvv2zzcwlmdm)  (No Limit Texas Hold'em) (dealer: ""scott s @ FhatGh_xn0"") --",2024-02-08T08:35:37.542Z,170738133754200
"-- ending hand #1515 --",2024-02-08T08:35:34.633Z,170738133463302
"""scott s @ FhatGh_xn0"" collected 18 from pot",2024-02-08T08:35:34.633Z,170738133463301
"Uncalled bet of 11 returned to ""scott s @ FhatGh_xn0""",2024-02-08T08:35:34.633Z,170738133463300
"""Sen @ 1_LfOUDns1"" folds",2024-02-08T08:35:33.827Z,170738133382700
"""scott s @ FhatGh_xn0"" bets 11",2024-02-08T08:35:32.448Z,170738133244800
"Turn: 4♥, K♣, K♦ [Q♣]",2024-02-08T08:35:24.184Z,170738132418400
"""Sen @ 1_LfOUDns1"" checks",2024-02-08T08:35:23.347Z,170738132334700
"""scott s @ FhatGh_xn0"" checks",2024-02-08T08:35:20.233Z,170738132023300
"Flop:  [4♥, K♣, K♦]",2024-02-08T08:35:16.977Z,170738131697700
"""scott s @ FhatGh_xn0"" calls 9",2024-02-08T08:35:16.139Z,170738131613900
"""Sen @ 1_LfOUDns1"" raises to 9",2024-02-08T08:35:15.293Z,170738131529300
"""scott s @ FhatGh_xn0"" posts a big blind of 3",2024-02-08T08:35:13.642Z,170738131364205
"""Sen @ 1_LfOUDns1"" posts a small blind of 1",2024-02-08T08:35:13.642Z,170738131364204
"Player stacks: #3 ""scott s @ FhatGh_xn0"" (1325) | #7 ""Sen @ 1_LfOUDns1"" (970)",2024-02-08T08:35:13.642Z,170738131364201
"-- starting hand #1515 (id: vwfra1g1ouks)  (No Limit Texas Hold'em) (dealer: ""Sen @ 1_LfOUDns1"") --",2024-02-08T08:35:13.642Z,170738131364200
"-- ending hand #1514 --",2024-02-08T08:35:10.718Z,170738131071802
"""scott s @ FhatGh_xn0"" collected 30 from pot",2024-02-08T08:35:10.718Z,170738131071801
"Uncalled bet of 20 returned to ""scott s @ FhatGh_xn0""",2024-02-08T08:35:10.718Z,170738131071800
"""Sen @ 1_LfOUDns1"" folds",2024-02-08T08:35:09.857Z,170738130985700
"""scott s @ FhatGh_xn0"" bets 20",2024-02-08T08:35:07.813Z,170738130781300
"""Sen @ 1_LfOUDns1"" checks",2024-02-08T08:34:59.482Z,170738129948200
"River: Q♣, A♣, 10♠, A♦ [2♠]",2024-02-08T08:34:58.909Z,170738129890900
"""Sen @ 1_LfOUDns1"" calls 12",2024-02-08T08:34:58.078Z,170738129807800
"""scott s @ FhatGh_xn0"" raises to 12",2024-02-08T08:34:56.775Z,170738129677500
"""Sen @ 1_LfOUDns1"" bets 3",2024-02-08T08:34:51.521Z,170738129152100
"Turn: Q♣, A♣, 10♠ [A♦]",2024-02-08T08:34:50.750Z,170738129075000
"""scott s @ FhatGh_xn0"" checks",2024-02-08T08:34:49.931Z,170738128993100
"""Sen @ 1_LfOUDns1"" checks",2024-02-08T08:34:47.187Z,170738128718700
"Flop:  [Q♣, A♣, 10♠]",2024-02-08T08:34:45.945Z,170738128594500
"""Sen @ 1_LfOUDns1"" checks",2024-02-08T08:34:45.100Z,170738128510000
"""scott s @ FhatGh_xn0"" calls 3",2024-02-08T08:34:43.919Z,170738128391900
"""Sen @ 1_LfOUDns1"" posts a big blind of 3",2024-02-08T08:34:42.746Z,170738128274605
"""scott s @ FhatGh_xn0"" posts a small blind of 1",2024-02-08T08:34:42.746Z,170738128274604
"Player stacks: #3 ""scott s @ FhatGh_xn0"" (1310) | #7 ""Sen @ 1_LfOUDns1"" (985)",2024-02-08T08:34:42.746Z,170738128274601
"-- starting hand #1514 (id: xdouqhwq1dbq)  (No Limit Texas Hold'em) (dealer: ""scott s @ FhatGh_xn0"") --",2024-02-08T08:34:42.746Z,170738128274600
"-- ending hand #1513 --",2024-02-08T08:34:39.772Z,170738127977202
"""scott s @ FhatGh_xn0"" collected 18 from pot",2024-02-08T08:34:39.772Z,170738127977201
"Uncalled bet of 12 returned to ""scott s @ FhatGh_xn0""",2024-02-08T08:34:39.772Z,170738127977200
"""Sen @ 1_LfOUDns1"" folds",2024-02-08T08:34:38.963Z,170738127896300
"""scott s @ FhatGh_xn0"" raises to 21",2024-02-08T08:34:37.599Z,170738127759900
"""Sen @ 1_LfOUDns1"" raises to 9",2024-02-08T08:34:29.378Z,170738126937800
