entry,at,order
"The player ""SamD @ Dm4TwhYnFw"" quits the game with a stack of 128.60.",2024-12-23T04:02:55.030Z,173492657503000
"The player ""arjun @ VnSHAF0DEU"" quits the game with a stack of 96.50.",2024-12-23T03:42:58.555Z,173492537855501
"The player ""arjun @ VnSHAF0DEU"" stand up with the stack of 96.50.",2024-12-23T03:42:58.555Z,173492537855500
"-- ending hand #150 --",2024-12-23T03:42:55.538Z,173492537553802
"""arjun @ VnSHAF0DEU"" collected 1.00 from pot with Two Pair, Q's & 9's (combination: Q♥, Q♦, 9♦, 9♥, 7♠)",2024-12-23T03:42:55.538Z,173492537553801
"""arjun @ VnSHAF0DEU"" shows a 9♦, 5♥.",2024-12-23T03:42:55.538Z,173492537553800
"""arjun @ VnSHAF0DEU"" checks",2024-12-23T03:42:54.668Z,173492537466800
"""HY @ RzZqRjTje6"" checks",2024-12-23T03:42:53.779Z,173492537377900
"River: Q♥, 7♠, 9♥, Q♦ [3♠]",2024-12-23T03:42:23.753Z,173492534375300
"""arjun @ VnSHAF0DEU"" checks",2024-12-23T03:42:22.909Z,173492534290900
"""HY @ RzZqRjTje6"" checks",2024-12-23T03:42:22.085Z,173492534208500
"Turn: Q♥, 7♠, 9♥ [Q♦]",2024-12-23T03:41:52.073Z,173492531207300
"""arjun @ VnSHAF0DEU"" checks",2024-12-23T03:41:51.197Z,173492531119700
"""HY @ RzZqRjTje6"" checks",2024-12-23T03:41:50.366Z,173492531036600
"Flop:  [Q♥, 7♠, 9♥]",2024-12-23T03:41:20.363Z,173492528036300
"""HY @ RzZqRjTje6"" checks",2024-12-23T03:41:19.527Z,173492527952700
"""arjun @ VnSHAF0DEU"" checks",2024-12-23T03:40:38.616Z,173492523861600
"""arjun @ VnSHAF0DEU"" posts a missed big blind of 0.50",2024-12-23T03:40:32.496Z,173492523249609
"""HY @ RzZqRjTje6"" posts a big blind of 0.50",2024-12-23T03:40:32.496Z,173492523249608
"""arjun @ VnSHAF0DEU"" posts a small blind of 0.25",2024-12-23T03:40:32.496Z,173492523249607
"Player stacks: #1 ""HY @ RzZqRjTje6"" (123.92) | #6 ""arjun @ VnSHAF0DEU"" (96.00)",2024-12-23T03:40:32.496Z,173492523249604
"-- starting hand #150 (id: 2sinxmsmgjfy)  (No Limit Texas Hold'em) (dealer: ""arjun @ VnSHAF0DEU"") --",2024-12-23T03:40:32.496Z,173492523249603
"The player ""arjun @ VnSHAF0DEU"" joined the game with a stack of 96.00.",2024-12-23T03:40:32.496Z,173492523249602
"The player ""Tuan @ j2bxrB-s2T"" stand up with the stack of 125.22.",2024-12-23T03:40:32.496Z,173492523249601
"The player ""AHH @ KKDJ1brgcv"" stand up with the stack of 429.30.",2024-12-23T03:40:32.496Z,173492523249600
"-- ending hand #149 --",2024-12-23T03:40:29.569Z,173492522956902
"""AHH @ KKDJ1brgcv"" collected 1.25 from pot",2024-12-23T03:40:29.569Z,173492522956901
"Uncalled bet of 1.50 returned to ""AHH @ KKDJ1brgcv""",2024-12-23T03:40:29.569Z,173492522956900
"""HY @ RzZqRjTje6"" folds",2024-12-23T03:40:28.687Z,173492522868700
"The player ""arjun @ VnSHAF0DEU"" sit back with the stack of 96.00.",2024-12-23T03:39:48.632Z,173492518863200
"""Tuan @ j2bxrB-s2T"" folds",2024-12-23T03:39:47.814Z,173492518781400
"""AHH @ KKDJ1brgcv"" raises to 2.00",2024-12-23T03:39:40.389Z,173492518038900
"""HY @ RzZqRjTje6"" posts a big blind of 0.50",2024-12-23T03:39:33.110Z,173492517311008
"""Tuan @ j2bxrB-s2T"" posts a small blind of 0.25",2024-12-23T03:39:33.110Z,173492517311007
"Your hand is A♣, 5♥",2024-12-23T03:39:33.110Z,173492517311005
