entry,at,order
"The player ""saswoot @ sF0-cGGFKy"" passed the room ownership to ""Crazy Mike @ hAyTuFFhje"".",2024-12-21T05:15:11.993Z,173475811199300
"The player ""bigslickenergy @ Jh1XF6aI_W"" quits the game with a stack of 121.93.",2024-12-21T05:03:05.917Z,173475738591700
"The player ""HY @ RzZqRjTje6"" quits the game with a stack of 517.91.",2024-12-21T05:03:03.671Z,173475738367103
"The player ""Raz @ BXlW8S6lPK"" quits the game with a stack of 146.52.",2024-12-21T05:03:03.671Z,173475738367102
"The player ""NJBoogieMan @ y7QyPff-Hk"" stand up with the stack of 246.47.",2024-12-21T05:03:03.671Z,173475738367101
"The player ""Raz @ BXlW8S6lPK"" stand up with the stack of 146.52.",2024-12-21T05:03:03.671Z,173475738367100
"The admin ""saswoot @ sF0-cGGFKy"" enqueued the game stop on next hand.",2024-12-21T05:03:00.634Z,173475738063400
"-- ending hand #177 --",2024-12-21T05:02:57.641Z,173475737764104
"""NJBoogieMan @ y7QyPff-Hk"" shows a 10♣, 3♠.",2024-12-21T05:02:57.641Z,173475737764103
"""bigslickenergy @ Jh1XF6aI_W"" shows a 2♣, 10♥.",2024-12-21T05:02:57.641Z,173475737764102
"""Crazy Mike @ hAyTuFFhje"" collected 1.70 from pot with K High (combination: K♠, Q♣, J♣, 8♦, 5♣)",2024-12-21T05:02:57.641Z,173475737764101
"""Crazy Mike @ hAyTuFFhje"" shows a 2♦, J♣.",2024-12-21T05:02:57.641Z,173475737764100
"""Crazy Mike @ hAyTuFFhje"" checks",2024-12-21T05:02:56.760Z,173475737676000
"""NJBoogieMan @ y7QyPff-Hk"" checks",2024-12-21T05:02:55.835Z,173475737583500
"""bigslickenergy @ Jh1XF6aI_W"" checks",2024-12-21T05:02:54.867Z,173475737486700
"River: 5♣, K♠, 8♦, Q♣ [4♣]",2024-12-21T05:02:48.428Z,173475736842800
"""Crazy Mike @ hAyTuFFhje"" checks",2024-12-21T05:02:47.557Z,173475736755700
"""NJBoogieMan @ y7QyPff-Hk"" checks",2024-12-21T05:02:46.706Z,173475736670600
"""bigslickenergy @ Jh1XF6aI_W"" checks",2024-12-21T05:02:44.293Z,173475736429300
"Turn: 5♣, K♠, 8♦ [Q♣]",2024-12-21T05:02:31.201Z,173475735120100
"""Crazy Mike @ hAyTuFFhje"" checks",2024-12-21T05:02:30.389Z,173475735038900
"""NJBoogieMan @ y7QyPff-Hk"" checks",2024-12-21T05:02:29.478Z,173475734947800
"""bigslickenergy @ Jh1XF6aI_W"" checks",2024-12-21T05:02:28.419Z,173475734841900
"Flop:  [5♣, K♠, 8♦]",2024-12-21T05:02:26.848Z,173475734684800
"""bigslickenergy @ Jh1XF6aI_W"" checks",2024-12-21T05:02:26.026Z,173475734602600
"""Raz @ BXlW8S6lPK"" folds",2024-12-21T05:02:12.174Z,173475733217400
"""Crazy Mike @ hAyTuFFhje"" calls 0.50",2024-12-21T05:02:11.362Z,173475733136200
"""NJBoogieMan @ y7QyPff-Hk"" calls 0.50",2024-12-21T05:02:09.285Z,173475732928500
"""bigslickenergy @ Jh1XF6aI_W"" posts a big blind of 0.50",2024-12-21T05:02:07.459Z,173475732745908
"""Raz @ BXlW8S6lPK"" posts a small blind of 0.20",2024-12-21T05:02:07.459Z,173475732745907
"Player stacks: #2 ""Raz @ BXlW8S6lPK"" (146.72) | #3 ""bigslickenergy @ Jh1XF6aI_W"" (122.43) | #6 ""NJBoogieMan @ y7QyPff-Hk"" (246.97) | #8 ""Crazy Mike @ hAyTuFFhje"" (582.37)",2024-12-21T05:02:07.459Z,173475732745902
"-- starting hand #177 (id: uvt9aizwexik)  (No Limit Texas Hold'em) (dead button) --",2024-12-21T05:02:07.459Z,173475732745901
"The player ""HY @ RzZqRjTje6"" stand up with the stack of 517.91.",2024-12-21T05:02:07.459Z,173475732745900
"""NJBoogieMan @ y7QyPff-Hk"" shows a J♣.",2024-12-21T05:02:02.218Z,173475732221800
"-- ending hand #176 --",2024-12-21T05:02:00.923Z,173475732092302
"""HY @ RzZqRjTje6"" collected 98.14 from pot with Two Pair, J's & 10's (combination: J♦, J♥, 10♠, 10♦, 8♣)",2024-12-21T05:02:00.923Z,173475732092301
"""HY @ RzZqRjTje6"" shows a 10♠, 10♦.",2024-12-21T05:02:00.923Z,173475732092300
"""Crazy Mike @ hAyTuFFhje"" checks",2024-12-21T05:02:00.074Z,173475732007400
"""HY @ RzZqRjTje6"" checks",2024-12-21T05:01:52.800Z,173475731280000
"River: 7♠, J♦, J♥, 7♦ [8♣]",2024-12-21T05:01:51.636Z,173475731163600
"""HY @ RzZqRjTje6"" calls 25.00",2024-12-21T05:01:50.757Z,173475731075700
