entry,at,order
"The player ""scott s @ vNAV_AAv9J"" passed the room ownership to ""Zach Z @ N9QyNYTHHP"".",2024-05-25T02:42:41.458Z,171660496145800
"The player ""reilly @ FkycgsPCCs"" quits the game with a stack of 1550.",2024-05-25T02:40:35.303Z,171660483530300
"The player ""scott s @ vNAV_AAv9J"" quits the game with a stack of 296.",2024-05-25T02:37:25.448Z,171660464544800
"-- ending hand #590 --",2024-05-25T02:37:22.519Z,171660464251902
"""reilly @ FkycgsPCCs"" collected 6 from pot",2024-05-25T02:37:22.519Z,171660464251901
"Uncalled bet of 4 returned to ""reilly @ FkycgsPCCs""",2024-05-25T02:37:22.519Z,171660464251900
"""scott s @ vNAV_AAv9J"" folds",2024-05-25T02:37:21.708Z,171660464170800
"""reilly @ FkycgsPCCs"" raises to 7",2024-05-25T02:37:10.570Z,171660463057000
"""scott s @ vNAV_AAv9J"" posts a big blind of 3",2024-05-25T02:37:04.540Z,171660462454005
"""reilly @ FkycgsPCCs"" posts a small blind of 1",2024-05-25T02:37:04.540Z,171660462454004
"Player stacks: #1 ""scott s @ vNAV_AAv9J"" (299) | #9 ""reilly @ FkycgsPCCs"" (1547)",2024-05-25T02:37:04.540Z,171660462454001
"-- starting hand #590 (id: alnhxftbdwmb)  (No Limit Texas Hold'em) (dealer: ""reilly @ FkycgsPCCs"") --",2024-05-25T02:37:04.540Z,171660462454000
"-- ending hand #589 --",2024-05-25T02:37:01.614Z,171660462161402
"""reilly @ FkycgsPCCs"" collected 2 from pot",2024-05-25T02:37:01.614Z,171660462161401
"Uncalled bet of 2 returned to ""reilly @ FkycgsPCCs""",2024-05-25T02:37:01.614Z,171660462161400
"""scott s @ vNAV_AAv9J"" folds",2024-05-25T02:37:00.778Z,171660462077800
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-05-25T02:36:57.610Z,171660461761005
"""scott s @ vNAV_AAv9J"" posts a small blind of 1",2024-05-25T02:36:57.610Z,171660461761004
"Player stacks: #1 ""scott s @ vNAV_AAv9J"" (300) | #9 ""reilly @ FkycgsPCCs"" (1546)",2024-05-25T02:36:57.610Z,171660461761001
"-- starting hand #589 (id: 5owtul6s2blr)  (No Limit Texas Hold'em) (dealer: ""scott s @ vNAV_AAv9J"") --",2024-05-25T02:36:57.610Z,171660461761000
"-- ending hand #588 --",2024-05-25T02:36:51.599Z,171660461159903
"""scott s @ vNAV_AAv9J"" shows a 7♣, 4♣.",2024-05-25T02:36:51.599Z,171660461159902
