entry,at,order
"The player ""reilly @ FkycgsPCCs"" stand up with the stack of 959.",2024-05-17T05:31:28.576Z,171592388857600
"The player ""scott s @ FhatGh_xn0"" quits the game with a stack of 1141.",2024-05-17T05:31:08.541Z,171592386854100
"-- ending hand #924 --",2024-05-17T05:31:05.533Z,171592386553302
"""reilly @ FkycgsPCCs"" collected 6 from pot",2024-05-17T05:31:05.533Z,171592386553301
"Uncalled bet of 3 returned to ""reilly @ FkycgsPCCs""",2024-05-17T05:31:05.533Z,171592386553300
"""scott s @ FhatGh_xn0"" folds",2024-05-17T05:31:04.617Z,171592386461700
"""reilly @ FkycgsPCCs"" bets 3",2024-05-17T05:31:03.785Z,171592386378500
"Turn: J♥, 9♣, 4♣ [10♠]",2024-05-17T05:30:58.814Z,171592385881400
"""scott s @ FhatGh_xn0"" checks",2024-05-17T05:30:58.003Z,171592385800300
"""reilly @ FkycgsPCCs"" checks",2024-05-17T05:30:47.387Z,171592384738700
"Flop:  [J♥, 9♣, 4♣]",2024-05-17T05:30:40.961Z,171592384096100
"""reilly @ FkycgsPCCs"" checks",2024-05-17T05:30:40.115Z,171592384011500
"""scott s @ FhatGh_xn0"" calls 3",2024-05-17T05:30:38.154Z,171592383815400
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-05-17T05:30:34.957Z,171592383495705
"""scott s @ FhatGh_xn0"" posts a small blind of 1",2024-05-17T05:30:34.957Z,171592383495704
"Player stacks: #1 ""reilly @ FkycgsPCCs"" (956) | #6 ""scott s @ FhatGh_xn0"" (1144)",2024-05-17T05:30:34.957Z,171592383495701
"-- starting hand #924 (id: p0bgklbilawf)  (No Limit Texas Hold'em) (dealer: ""scott s @ FhatGh_xn0"") --",2024-05-17T05:30:34.957Z,171592383495700
"-- ending hand #923 --",2024-05-17T05:30:32.035Z,171592383203502
"""scott s @ FhatGh_xn0"" collected 28 from pot",2024-05-17T05:30:32.035Z,171592383203501
"Uncalled bet of 14 returned to ""scott s @ FhatGh_xn0""",2024-05-17T05:30:32.035Z,171592383203500
"""reilly @ FkycgsPCCs"" folds",2024-05-17T05:30:31.210Z,171592383121000
"""scott s @ FhatGh_xn0"" bets 14",2024-05-17T05:30:18.011Z,171592381801100
"River: 4♠, 2♦, K♥, 4♣ [5♣]",2024-05-17T05:30:02.652Z,171592380265200
"""reilly @ FkycgsPCCs"" checks",2024-05-17T05:30:01.797Z,171592380179700
"""scott s @ FhatGh_xn0"" checks",2024-05-17T05:29:47.428Z,171592378742800
"Turn: 4♠, 2♦, K♥ [4♣]",2024-05-17T05:29:36.116Z,171592377611600
"""reilly @ FkycgsPCCs"" calls 8",2024-05-17T05:29:35.287Z,171592377528700
"""scott s @ FhatGh_xn0"" bets 8",2024-05-17T05:29:23.465Z,171592376346500
"Flop:  [4♠, 2♦, K♥]",2024-05-17T05:29:17.283Z,171592375728300
"""scott s @ FhatGh_xn0"" calls 6",2024-05-17T05:29:16.469Z,171592375646900
"""reilly @ FkycgsPCCs"" raises to 6",2024-05-17T05:29:13.610Z,171592375361000
"""scott s @ FhatGh_xn0"" posts a big blind of 3",2024-05-17T05:29:08.229Z,171592374822905
"""reilly @ FkycgsPCCs"" posts a small blind of 1",2024-05-17T05:29:08.229Z,171592374822904
"Player stacks: #1 ""reilly @ FkycgsPCCs"" (970) | #6 ""scott s @ FhatGh_xn0"" (1130)",2024-05-17T05:29:08.229Z,171592374822901
"-- starting hand #923 (id: uybtopnzglz8)  (No Limit Texas Hold'em) (dealer: ""reilly @ FkycgsPCCs"") --",2024-05-17T05:29:08.229Z,171592374822900
"-- ending hand #922 --",2024-05-17T05:29:05.315Z,171592374531502
"""reilly @ FkycgsPCCs"" collected 16 from pot",2024-05-17T05:29:05.315Z,171592374531501
"Uncalled bet of 11 returned to ""reilly @ FkycgsPCCs""",2024-05-17T05:29:05.315Z,171592374531500
"""scott s @ FhatGh_xn0"" folds",2024-05-17T05:29:04.496Z,171592374449600
"""reilly @ FkycgsPCCs"" bets 11",2024-05-17T05:29:03.269Z,171592374326900
"Flop:  [J♥, 9♥, K♥]",2024-05-17T05:28:55.180Z,171592373518000
"""reilly @ FkycgsPCCs"" calls 8",2024-05-17T05:28:54.369Z,171592373436900
"""scott s @ FhatGh_xn0"" raises to 8",2024-05-17T05:28:52.776Z,171592373277600
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-05-17T05:28:50.293Z,171592373029305
"""scott s @ FhatGh_xn0"" posts a small blind of 1",2024-05-17T05:28:50.293Z,171592373029304
"Player stacks: #1 ""reilly @ FkycgsPCCs"" (962) | #6 ""scott s @ FhatGh_xn0"" (1138)",2024-05-17T05:28:50.293Z,171592373029301
"-- starting hand #922 (id: q2z7k7lbpfw0)  (No Limit Texas Hold'em) (dealer: ""scott s @ FhatGh_xn0"") --",2024-05-17T05:28:50.293Z,171592373029300
"-- ending hand #921 --",2024-05-17T05:28:47.370Z,171592372737002
"""reilly @ FkycgsPCCs"" collected 12 from pot",2024-05-17T05:28:47.370Z,171592372737001
"Uncalled bet of 8 returned to ""reilly @ FkycgsPCCs""",2024-05-17T05:28:47.370Z,171592372737000
"""scott s @ FhatGh_xn0"" folds",2024-05-17T05:28:46.543Z,171592372654300
"""reilly @ FkycgsPCCs"" bets 8",2024-05-17T05:28:45.705Z,171592372570500
"""scott s @ FhatGh_xn0"" checks",2024-05-17T05:28:39.306Z,171592371930600
"River: 8♦, 2♠, J♥, 10♥ [K♣]",2024-05-17T05:28:38.400Z,171592371840000
"""reilly @ FkycgsPCCs"" checks",2024-05-17T05:28:37.549Z,171592371754900
"""scott s @ FhatGh_xn0"" checks",2024-05-17T05:28:30.918Z,171592371091800
"Turn: 8♦, 2♠, J♥ [10♥]",2024-05-17T05:28:26.708Z,171592370670800
"""reilly @ FkycgsPCCs"" checks",2024-05-17T05:28:25.874Z,171592370587400
"""scott s @ FhatGh_xn0"" checks",2024-05-17T05:28:19.136Z,171592369913600
"Flop:  [8♦, 2♠, J♥]",2024-05-17T05:28:16.250Z,171592369625000
"""scott s @ FhatGh_xn0"" calls 6",2024-05-17T05:28:15.402Z,171592369540200
"""reilly @ FkycgsPCCs"" raises to 6",2024-05-17T05:28:14.158Z,171592369415800
"""scott s @ FhatGh_xn0"" posts a big blind of 3",2024-05-17T05:28:06.241Z,171592368624105
"""reilly @ FkycgsPCCs"" posts a small blind of 1",2024-05-17T05:28:06.241Z,171592368624104
"Player stacks: #1 ""reilly @ FkycgsPCCs"" (956) | #6 ""scott s @ FhatGh_xn0"" (1144)",2024-05-17T05:28:06.241Z,171592368624101
"-- starting hand #921 (id: fz2f4yv7favb)  (No Limit Texas Hold'em) (dealer: ""reilly @ FkycgsPCCs"") --",2024-05-17T05:28:06.241Z,171592368624100
"-- ending hand #920 --",2024-05-17T05:28:03.321Z,171592368332102
"""reilly @ FkycgsPCCs"" collected 2 from pot",2024-05-17T05:28:03.321Z,171592368332101
"Uncalled bet of 2 returned to ""reilly @ FkycgsPCCs""",2024-05-17T05:28:03.321Z,171592368332100
"""scott s @ FhatGh_xn0"" folds",2024-05-17T05:28:02.483Z,171592368248300
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-05-17T05:28:01.692Z,171592368169205
"""scott s @ FhatGh_xn0"" posts a small blind of 1",2024-05-17T05:28:01.692Z,171592368169204
"Player stacks: #1 ""reilly @ FkycgsPCCs"" (955) | #6 ""scott s @ FhatGh_xn0"" (1145)",2024-05-17T05:28:01.692Z,171592368169201
"-- starting hand #920 (id: ppyus3kacfhs)  (No Limit Texas Hold'em) (dealer: ""scott s @ FhatGh_xn0"") --",2024-05-17T05:28:01.692Z,171592368169200
"-- ending hand #919 --",2024-05-17T05:27:58.742Z,171592367874202
"""scott s @ FhatGh_xn0"" collected 12 from pot",2024-05-17T05:27:58.742Z,171592367874201
"Uncalled bet of 13 returned to ""scott s @ FhatGh_xn0""",2024-05-17T05:27:58.742Z,171592367874200
"""reilly @ FkycgsPCCs"" folds",2024-05-17T05:27:57.939Z,171592367793900
