entry,at,order
"The player ""reilly @ FkycgsPCCs"" stand up with the stack of 657.",2024-04-29T04:00:29.273Z,171436322927300
"The player ""Mike C @ 7uy4019y8p"" stand up with the stack of 904.",2024-04-29T03:29:50.835Z,171436139083500
"-- ending hand #486 --",2024-04-29T03:29:47.903Z,171436138790302
"""reilly @ FkycgsPCCs"" collected 2 from pot",2024-04-29T03:29:47.903Z,171436138790301
"Uncalled bet of 2 returned to ""reilly @ FkycgsPCCs""",2024-04-29T03:29:47.903Z,171436138790300
"""Mike C @ 7uy4019y8p"" folds",2024-04-29T03:29:47.049Z,171436138704900
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-04-29T03:29:43.376Z,171436138337605
"""Mike C @ 7uy4019y8p"" posts a small blind of 1",2024-04-29T03:29:43.376Z,171436138337604
"Player stacks: #4 ""reilly @ FkycgsPCCs"" (656) | #5 ""Mike C @ 7uy4019y8p"" (905)",2024-04-29T03:29:43.376Z,171436138337601
"-- starting hand #486 (id: zlgsdi7zwb3x)  (No Limit Texas Hold'em) (dealer: ""Mike C @ 7uy4019y8p"") --",2024-04-29T03:29:43.376Z,171436138337600
"-- ending hand #485 --",2024-04-29T03:29:40.423Z,171436138042302
"""Mike C @ 7uy4019y8p"" collected 2 from pot",2024-04-29T03:29:40.423Z,171436138042301
"Uncalled bet of 2 returned to ""Mike C @ 7uy4019y8p""",2024-04-29T03:29:40.423Z,171436138042300
"""reilly @ FkycgsPCCs"" folds",2024-04-29T03:29:39.618Z,171436137961800
"""Mike C @ 7uy4019y8p"" posts a big blind of 3",2024-04-29T03:29:38.766Z,171436137876605
"""reilly @ FkycgsPCCs"" posts a small blind of 1",2024-04-29T03:29:38.766Z,171436137876604
"Player stacks: #4 ""reilly @ FkycgsPCCs"" (657) | #5 ""Mike C @ 7uy4019y8p"" (904)",2024-04-29T03:29:38.766Z,171436137876601
"-- starting hand #485 (id: w8i3mex9bmiq)  (No Limit Texas Hold'em) (dealer: ""reilly @ FkycgsPCCs"") --",2024-04-29T03:29:38.766Z,171436137876600
"-- ending hand #484 --",2024-04-29T03:29:35.788Z,171436137578802
"""Mike C @ 7uy4019y8p"" collected 6 from pot",2024-04-29T03:29:35.788Z,171436137578801
"Uncalled bet of 6 returned to ""Mike C @ 7uy4019y8p""",2024-04-29T03:29:35.788Z,171436137578800
"""reilly @ FkycgsPCCs"" folds",2024-04-29T03:29:34.971Z,171436137497100
"""Mike C @ 7uy4019y8p"" raises to 9",2024-04-29T03:29:33.938Z,171436137393800
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-04-29T03:29:31.069Z,171436137106905
"""Mike C @ 7uy4019y8p"" posts a small blind of 1",2024-04-29T03:29:31.069Z,171436137106904
"Player stacks: #4 ""reilly @ FkycgsPCCs"" (660) | #5 ""Mike C @ 7uy4019y8p"" (901)",2024-04-29T03:29:31.069Z,171436137106901
"-- starting hand #484 (id: rjdb5suhbaga)  (No Limit Texas Hold'em) (dealer: ""Mike C @ 7uy4019y8p"") --",2024-04-29T03:29:31.069Z,171436137106900
"-- ending hand #483 --",2024-04-29T03:29:28.150Z,171436136815002
"""Mike C @ 7uy4019y8p"" collected 2 from pot",2024-04-29T03:29:28.150Z,171436136815001
"Uncalled bet of 2 returned to ""Mike C @ 7uy4019y8p""",2024-04-29T03:29:28.150Z,171436136815000
"""reilly @ FkycgsPCCs"" folds",2024-04-29T03:29:27.333Z,171436136733300
"""Mike C @ 7uy4019y8p"" posts a big blind of 3",2024-04-29T03:29:25.945Z,171436136594505
"""reilly @ FkycgsPCCs"" posts a small blind of 1",2024-04-29T03:29:25.945Z,171436136594504
"Player stacks: #4 ""reilly @ FkycgsPCCs"" (661) | #5 ""Mike C @ 7uy4019y8p"" (900)",2024-04-29T03:29:25.945Z,171436136594501
"-- starting hand #483 (id: exdhhfsvfayo)  (No Limit Texas Hold'em) (dealer: ""reilly @ FkycgsPCCs"") --",2024-04-29T03:29:25.945Z,171436136594500
"-- ending hand #482 --",2024-04-29T03:29:22.865Z,171436136286502
"""reilly @ FkycgsPCCs"" collected 70 from pot with Pair, Q's (combination: Q♦, Q♣, 8♦, 7♥, 5♠)",2024-04-29T03:29:22.865Z,171436136286501
"""reilly @ FkycgsPCCs"" shows a 8♦, Q♦.",2024-04-29T03:29:22.865Z,171436136286500
"""Mike C @ 7uy4019y8p"" calls 13",2024-04-29T03:29:22.025Z,171436136202500
"""reilly @ FkycgsPCCs"" bets 13",2024-04-29T03:29:07.037Z,171436134703700
"River: 2♠, 4♣, Q♣, 7♥ [5♠]",2024-04-29T03:28:47.268Z,171436132726800
"""Mike C @ 7uy4019y8p"" calls 13",2024-04-29T03:28:46.460Z,171436132646000
"""reilly @ FkycgsPCCs"" bets 13",2024-04-29T03:28:24.746Z,171436130474600
"Turn: 2♠, 4♣, Q♣ [7♥]",2024-04-29T03:28:16.106Z,171436129610600
"""Mike C @ 7uy4019y8p"" checks",2024-04-29T03:28:15.278Z,171436129527800
"""reilly @ FkycgsPCCs"" checks",2024-04-29T03:28:12.319Z,171436129231900
"Flop:  [2♠, 4♣, Q♣]",2024-04-29T03:28:10.795Z,171436129079500
"""reilly @ FkycgsPCCs"" calls 9",2024-04-29T03:28:09.958Z,171436128995800
"""Mike C @ 7uy4019y8p"" raises to 9",2024-04-29T03:28:07.460Z,171436128746000
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-04-29T03:28:03.660Z,171436128366005
"""Mike C @ 7uy4019y8p"" posts a small blind of 1",2024-04-29T03:28:03.660Z,171436128366004
"Player stacks: #4 ""reilly @ FkycgsPCCs"" (626) | #5 ""Mike C @ 7uy4019y8p"" (935)",2024-04-29T03:28:03.660Z,171436128366001
"-- starting hand #482 (id: mycnqwq2qsec)  (No Limit Texas Hold'em) (dealer: ""Mike C @ 7uy4019y8p"") --",2024-04-29T03:28:03.660Z,171436128366000
"-- ending hand #481 --",2024-04-29T03:28:00.737Z,171436128073702
"""reilly @ FkycgsPCCs"" collected 32 from pot",2024-04-29T03:28:00.737Z,171436128073701
"Uncalled bet of 21 returned to ""reilly @ FkycgsPCCs""",2024-04-29T03:28:00.737Z,171436128073700
"""Mike C @ 7uy4019y8p"" folds",2024-04-29T03:27:59.845Z,171436127984500
"""reilly @ FkycgsPCCs"" bets 21",2024-04-29T03:27:41.372Z,171436126137200
"""Mike C @ 7uy4019y8p"" checks",2024-04-29T03:27:28.261Z,171436124826100
"Turn: K♣, 8♦, K♠ [7♥]",2024-04-29T03:27:26.407Z,171436124640700
"""Mike C @ 7uy4019y8p"" calls 9",2024-04-29T03:27:25.595Z,171436124559500
"""reilly @ FkycgsPCCs"" bets 9",2024-04-29T03:27:21.503Z,171436124150300
"""Mike C @ 7uy4019y8p"" checks",2024-04-29T03:27:17.030Z,171436123703000
"Flop:  [K♣, 8♦, K♠]",2024-04-29T03:27:14.692Z,171436123469200
"""Mike C @ 7uy4019y8p"" calls 7",2024-04-29T03:27:13.867Z,171436123386700
"""reilly @ FkycgsPCCs"" raises to 7",2024-04-29T03:27:12.356Z,171436123235600
"""Mike C @ 7uy4019y8p"" posts a big blind of 3",2024-04-29T03:27:10.037Z,171436123003705
"""reilly @ FkycgsPCCs"" posts a small blind of 1",2024-04-29T03:27:10.037Z,171436123003704
"Player stacks: #4 ""reilly @ FkycgsPCCs"" (610) | #5 ""Mike C @ 7uy4019y8p"" (951)",2024-04-29T03:27:10.037Z,171436123003701
"-- starting hand #481 (id: 1nljeppl1vva)  (No Limit Texas Hold'em) (dealer: ""reilly @ FkycgsPCCs"") --",2024-04-29T03:27:10.037Z,171436123003700
"-- ending hand #480 --",2024-04-29T03:27:07.031Z,171436122703102
"""Mike C @ 7uy4019y8p"" collected 44 from pot with Pair, J's (combination: J♣, J♥, A♦, K♥, 8♠)",2024-04-29T03:27:07.031Z,171436122703101
"""Mike C @ 7uy4019y8p"" shows a J♣, K♥.",2024-04-29T03:27:07.031Z,171436122703100
"""reilly @ FkycgsPCCs"" calls 13",2024-04-29T03:27:06.205Z,171436122620500
"""Mike C @ 7uy4019y8p"" bets 13",2024-04-29T03:27:05.179Z,171436122517900
"""reilly @ FkycgsPCCs"" checks",2024-04-29T03:27:01.676Z,171436122167600
"River: 3♦, A♦, J♥, 8♠ [6♥]",2024-04-29T03:26:57.673Z,171436121767300
"""Mike C @ 7uy4019y8p"" checks",2024-04-29T03:26:56.822Z,171436121682200
"""reilly @ FkycgsPCCs"" checks",2024-04-29T03:26:54.768Z,171436121476800
"Turn: 3♦, A♦, J♥ [8♠]",2024-04-29T03:26:50.865Z,171436121086500
"""Mike C @ 7uy4019y8p"" checks",2024-04-29T03:26:50.016Z,171436121001600
"""reilly @ FkycgsPCCs"" checks",2024-04-29T03:26:45.668Z,171436120566800
"Flop:  [3♦, A♦, J♥]",2024-04-29T03:26:44.151Z,171436120415100
"""reilly @ FkycgsPCCs"" calls 9",2024-04-29T03:26:43.316Z,171436120331600
"""Mike C @ 7uy4019y8p"" raises to 9",2024-04-29T03:26:38.587Z,171436119858700
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-04-29T03:26:36.057Z,171436119605705
"""Mike C @ 7uy4019y8p"" posts a small blind of 1",2024-04-29T03:26:36.057Z,171436119605704
"Player stacks: #4 ""reilly @ FkycgsPCCs"" (632) | #5 ""Mike C @ 7uy4019y8p"" (929)",2024-04-29T03:26:36.057Z,171436119605701
"-- starting hand #480 (id: faugs3x8ssuc)  (No Limit Texas Hold'em) (dealer: ""Mike C @ 7uy4019y8p"") --",2024-04-29T03:26:36.057Z,171436119605700
"-- ending hand #479 --",2024-04-29T03:26:33.127Z,171436119312702
"""reilly @ FkycgsPCCs"" collected 14 from pot",2024-04-29T03:26:33.127Z,171436119312701
"Uncalled bet of 9 returned to ""reilly @ FkycgsPCCs""",2024-04-29T03:26:33.127Z,171436119312700
"""Mike C @ 7uy4019y8p"" folds",2024-04-29T03:26:32.262Z,171436119226200
"""reilly @ FkycgsPCCs"" bets 9",2024-04-29T03:26:30.966Z,171436119096600
"""Mike C @ 7uy4019y8p"" checks",2024-04-29T03:26:23.845Z,171436118384500
"Flop:  [7♥, Q♠, 9♥]",2024-04-29T03:26:22.011Z,171436118201100
