entry,at,order
"The player ""BP @ 3nEm3CsHfN"" passed the room ownership to ""reilly @ FkycgsPCCs"".",2024-04-06T07:35:57.341Z,171238895734100
"The player ""BP @ 3nEm3CsHfN"" quits the game with a stack of 300.",2024-04-06T07:29:57.286Z,171238859728600
"The player ""Justin L @ yqQyICVyTe"" quits the game with a stack of 0.",2024-04-06T07:28:49.057Z,171238852905700
"-- ending hand #388 --",2024-04-06T07:28:43.051Z,171238852305101
"""BP @ 3nEm3CsHfN"" collected 292 from pot with Two Pair, Q's & 8's (combination: Q♥, Q♠, 8♠, 8♥, 10♠)",2024-04-06T07:28:43.051Z,171238852305100
"River: 10♠, 3♣, 2♠, 8♠ [8♥]",2024-04-06T07:28:38.987Z,171238851898700
"Turn: 10♠, 3♣, 2♠ [8♠]",2024-04-06T07:28:34.981Z,171238851498100
"Flop:  [10♠, 3♣, 2♠]",2024-04-06T07:28:30.979Z,171238851097900
"""Justin L @ yqQyICVyTe"" shows a 9♣, 9♠.",2024-04-06T07:28:26.976Z,171238850697601
"""BP @ 3nEm3CsHfN"" shows a Q♥, Q♠.",2024-04-06T07:28:26.976Z,171238850697600
"Some players choose to not run it twice.",2024-04-06T07:28:26.150Z,171238850615001
"""Justin L @ yqQyICVyTe"" chooses to not run it twice.",2024-04-06T07:28:26.150Z,171238850615000
"""BP @ 3nEm3CsHfN"" chooses to  run it twice.",2024-04-06T07:28:25.512Z,171238850551200
"Remaining players decide whether to run it twice.",2024-04-06T07:28:24.493Z,171238850449301
"""BP @ 3nEm3CsHfN"" calls 146",2024-04-06T07:28:24.493Z,171238850449300
"""Justin L @ yqQyICVyTe"" raises to 146 and go all in",2024-04-06T07:28:18.109Z,171238849810900
"""BP @ 3nEm3CsHfN"" raises to 70",2024-04-06T07:28:11.565Z,171238849156500
"""Justin L @ yqQyICVyTe"" raises to 24",2024-04-06T07:28:04.575Z,171238848457500
"""BP @ 3nEm3CsHfN"" raises to 8",2024-04-06T07:27:57.215Z,171238847721500
"""Justin L @ yqQyICVyTe"" posts a big blind of 3",2024-04-06T07:27:55.396Z,171238847539605
"""BP @ 3nEm3CsHfN"" posts a small blind of 1",2024-04-06T07:27:55.396Z,171238847539604
"Player stacks: #1 ""BP @ 3nEm3CsHfN"" (154) | #2 ""Justin L @ yqQyICVyTe"" (146)",2024-04-06T07:27:55.396Z,171238847539601
"-- starting hand #388 (id: bqz58agaeesh)  (No Limit Texas Hold'em) (dealer: ""BP @ 3nEm3CsHfN"") --",2024-04-06T07:27:55.396Z,171238847539600
"-- ending hand #387 --",2024-04-06T07:27:52.485Z,171238847248502
"""BP @ 3nEm3CsHfN"" collected 2 from pot",2024-04-06T07:27:52.485Z,171238847248501
"Uncalled bet of 2 returned to ""BP @ 3nEm3CsHfN""",2024-04-06T07:27:52.485Z,171238847248500
"""Justin L @ yqQyICVyTe"" folds",2024-04-06T07:27:51.661Z,171238847166100
"""BP @ 3nEm3CsHfN"" posts a big blind of 3",2024-04-06T07:27:42.571Z,171238846257105
"""Justin L @ yqQyICVyTe"" posts a small blind of 1",2024-04-06T07:27:42.571Z,171238846257104
"Player stacks: #1 ""BP @ 3nEm3CsHfN"" (153) | #2 ""Justin L @ yqQyICVyTe"" (147)",2024-04-06T07:27:42.571Z,171238846257101
"-- starting hand #387 (id: gr7pdcqszark)  (No Limit Texas Hold'em) (dealer: ""Justin L @ yqQyICVyTe"") --",2024-04-06T07:27:42.571Z,171238846257100
"-- ending hand #386 --",2024-04-06T07:27:39.658Z,171238845965802
"""Justin L @ yqQyICVyTe"" collected 2 from pot",2024-04-06T07:27:39.658Z,171238845965801
"Uncalled bet of 2 returned to ""Justin L @ yqQyICVyTe""",2024-04-06T07:27:39.658Z,171238845965800
"""BP @ 3nEm3CsHfN"" folds",2024-04-06T07:27:38.845Z,171238845884500
"""Justin L @ yqQyICVyTe"" posts a big blind of 3",2024-04-06T07:27:37.855Z,171238845785505
"""BP @ 3nEm3CsHfN"" posts a small blind of 1",2024-04-06T07:27:37.855Z,171238845785504
"Player stacks: #1 ""BP @ 3nEm3CsHfN"" (154) | #2 ""Justin L @ yqQyICVyTe"" (146)",2024-04-06T07:27:37.855Z,171238845785501
"-- starting hand #386 (id: ewiatvkvovwr)  (No Limit Texas Hold'em) (dealer: ""BP @ 3nEm3CsHfN"") --",2024-04-06T07:27:37.855Z,171238845785500
"-- ending hand #385 --",2024-04-06T07:27:34.889Z,171238845488902
"""Justin L @ yqQyICVyTe"" collected 18 from pot",2024-04-06T07:27:34.889Z,171238845488901
"Uncalled bet of 9 returned to ""Justin L @ yqQyICVyTe""",2024-04-06T07:27:34.889Z,171238845488900
"""BP @ 3nEm3CsHfN"" folds",2024-04-06T07:27:34.065Z,171238845406500
"""Justin L @ yqQyICVyTe"" bets 9",2024-04-06T07:27:32.205Z,171238845220500
"""BP @ 3nEm3CsHfN"" checks",2024-04-06T07:27:28.851Z,171238844885100
"Flop:  [9♠, 4♦, 9♣]",2024-04-06T07:27:27.704Z,171238844770400
"""BP @ 3nEm3CsHfN"" calls 9",2024-04-06T07:27:26.865Z,171238844686500
"""Justin L @ yqQyICVyTe"" raises to 9",2024-04-06T07:27:25.028Z,171238844502800
"""BP @ 3nEm3CsHfN"" posts a big blind of 3",2024-04-06T07:27:21.443Z,171238844144305
"""Justin L @ yqQyICVyTe"" posts a small blind of 1",2024-04-06T07:27:21.443Z,171238844144304
"Player stacks: #1 ""BP @ 3nEm3CsHfN"" (163) | #2 ""Justin L @ yqQyICVyTe"" (137)",2024-04-06T07:27:21.443Z,171238844144301
"-- starting hand #385 (id: yhbcemcslcjb)  (No Limit Texas Hold'em) (dealer: ""Justin L @ yqQyICVyTe"") --",2024-04-06T07:27:21.443Z,171238844144300
"-- ending hand #384 --",2024-04-06T07:27:18.441Z,171238843844102
"""BP @ 3nEm3CsHfN"" collected 6 from pot",2024-04-06T07:27:18.441Z,171238843844101
"Uncalled bet of 5 returned to ""BP @ 3nEm3CsHfN""",2024-04-06T07:27:18.441Z,171238843844100
"""Justin L @ yqQyICVyTe"" folds",2024-04-06T07:27:17.618Z,171238843761800
"""BP @ 3nEm3CsHfN"" raises to 8",2024-04-06T07:27:16.419Z,171238843641900
"""Justin L @ yqQyICVyTe"" posts a big blind of 3",2024-04-06T07:27:12.700Z,171238843270005
"""BP @ 3nEm3CsHfN"" posts a small blind of 1",2024-04-06T07:27:12.700Z,171238843270004
"Player stacks: #1 ""BP @ 3nEm3CsHfN"" (160) | #2 ""Justin L @ yqQyICVyTe"" (140)",2024-04-06T07:27:12.700Z,171238843270001
"-- starting hand #384 (id: uueaiwjmpezy)  (No Limit Texas Hold'em) (dealer: ""BP @ 3nEm3CsHfN"") --",2024-04-06T07:27:12.700Z,171238843270000
"-- ending hand #383 --",2024-04-06T07:27:09.778Z,171238842977802
"""BP @ 3nEm3CsHfN"" collected 18 from pot",2024-04-06T07:27:09.778Z,171238842977801
"Uncalled bet of 10 returned to ""BP @ 3nEm3CsHfN""",2024-04-06T07:27:09.778Z,171238842977800
"""Justin L @ yqQyICVyTe"" folds",2024-04-06T07:27:08.955Z,171238842895500
"""BP @ 3nEm3CsHfN"" bets 10",2024-04-06T07:27:07.351Z,171238842735100
"Turn: 4♥, 7♦, 4♦ [K♣]",2024-04-06T07:27:04.884Z,171238842488400
"""Justin L @ yqQyICVyTe"" checks",2024-04-06T07:27:04.055Z,171238842405500
"""BP @ 3nEm3CsHfN"" checks",2024-04-06T07:27:02.045Z,171238842204500
"Flop:  [4♥, 7♦, 4♦]",2024-04-06T07:27:00.881Z,171238842088100
"""BP @ 3nEm3CsHfN"" calls 9",2024-04-06T07:27:00.057Z,171238842005700
