entry,at,order
"The player ""reilly @ FkycgsPCCs"" passed the room ownership to ""Danny C @ R8jkHadH5e"".",2024-05-24T05:33:37.927Z,171652881792700
"The player ""reilly @ FkycgsPCCs"" quits the game with a stack of 1123.",2024-05-24T05:33:32.966Z,171652881296600
"The player ""BP @ 3nEm3CsHfN"" quits the game with a stack of 500.",2024-05-24T05:29:09.044Z,171652854904400
"The player ""Danny C @ R8jkHadH5e"" stand up with the stack of 1078.",2024-05-24T05:29:08.967Z,171652854896700
"-- ending hand #438 --",2024-05-24T05:29:06.044Z,171652854604402
"""reilly @ FkycgsPCCs"" collected 2 from pot",2024-05-24T05:29:06.044Z,171652854604401
"Uncalled bet of 2 returned to ""reilly @ FkycgsPCCs""",2024-05-24T05:29:06.044Z,171652854604400
"""Danny C @ R8jkHadH5e"" folds",2024-05-24T05:29:05.192Z,171652854519200
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-05-24T05:29:02.237Z,171652854223706
"""Danny C @ R8jkHadH5e"" posts a small blind of 1",2024-05-24T05:29:02.237Z,171652854223705
"Player stacks: #6 ""Danny C @ R8jkHadH5e"" (1079) | #7 ""reilly @ FkycgsPCCs"" (1122)",2024-05-24T05:29:02.237Z,171652854223702
"-- starting hand #438 (id: f9r8alggk5dn)  (No Limit Texas Hold'em) (dealer: ""Danny C @ R8jkHadH5e"") --",2024-05-24T05:29:02.237Z,171652854223701
"The player ""BP @ 3nEm3CsHfN"" stand up with the stack of 500.",2024-05-24T05:29:02.237Z,171652854223700
"-- ending hand #437 --",2024-05-24T05:28:59.271Z,171652853927102
"""reilly @ FkycgsPCCs"" collected 17 from pot",2024-05-24T05:28:59.271Z,171652853927101
"Uncalled bet of 5 returned to ""reilly @ FkycgsPCCs""",2024-05-24T05:28:59.271Z,171652853927100
"""BP @ 3nEm3CsHfN"" folds",2024-05-24T05:28:58.437Z,171652853843700
"""reilly @ FkycgsPCCs"" bets 5",2024-05-24T05:28:57.251Z,171652853725100
"River: 4♠, Q♣, 2♥, 7♠ [K♦]",2024-05-24T05:28:50.523Z,171652853052300
"""BP @ 3nEm3CsHfN"" checks",2024-05-24T05:28:49.683Z,171652852968300
"""reilly @ FkycgsPCCs"" checks",2024-05-24T05:28:48.306Z,171652852830600
"Turn: 4♠, Q♣, 2♥ [7♠]",2024-05-24T05:28:45.114Z,171652852511400
"""BP @ 3nEm3CsHfN"" checks",2024-05-24T05:28:44.266Z,171652852426600
"""reilly @ FkycgsPCCs"" checks",2024-05-24T05:28:42.979Z,171652852297900
"Flop:  [4♠, Q♣, 2♥]",2024-05-24T05:28:41.418Z,171652852141800
"""reilly @ FkycgsPCCs"" calls 8",2024-05-24T05:28:40.525Z,171652852052500
"""Danny C @ R8jkHadH5e"" folds",2024-05-24T05:28:38.272Z,171652851827200
"""BP @ 3nEm3CsHfN"" raises to 8",2024-05-24T05:28:37.356Z,171652851735600
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-05-24T05:28:36.014Z,171652851601406
