entry,at,order
"The player ""Zach Z @ nhBbQkOw4b"" stand up with the stack of 133.",2024-03-30T04:38:05.667Z,171177348566700
"The player ""scott s @ vNAV_AAv9J"" quits the game with a stack of 947.",2024-03-30T04:37:44.118Z,171177346411800
"-- ending hand #813 --",2024-03-30T04:37:41.158Z,171177346115802
"""Zach Z @ nhBbQkOw4b"" collected 14 from pot",2024-03-30T04:37:41.158Z,171177346115801
"Uncalled bet of 5 returned to ""Zach Z @ nhBbQkOw4b""",2024-03-30T04:37:41.158Z,171177346115800
"""scott s @ vNAV_AAv9J"" folds",2024-03-30T04:37:40.320Z,171177346032000
"""Zach Z @ nhBbQkOw4b"" bets 5",2024-03-30T04:37:39.513Z,171177345951300
"""scott s @ vNAV_AAv9J"" checks",2024-03-30T04:37:32.225Z,171177345222501
"Turn: 5♥, J♦, 3♥ [K♣]",2024-03-30T04:37:32.225Z,171177345222500
"""Zach Z @ nhBbQkOw4b"" checks",2024-03-30T04:37:31.365Z,171177345136500
"""scott s @ vNAV_AAv9J"" checks",2024-03-30T04:37:30.089Z,171177345008900
"Flop:  [5♥, J♦, 3♥]",2024-03-30T04:37:19.716Z,171177343971600
"""scott s @ vNAV_AAv9J"" calls 7",2024-03-30T04:37:18.893Z,171177343889300
"""Zach Z @ nhBbQkOw4b"" raises to 7",2024-03-30T04:37:16.346Z,171177343634600
"""scott s @ vNAV_AAv9J"" posts a big blind of 3",2024-03-30T04:37:14.879Z,171177343487905
"""Zach Z @ nhBbQkOw4b"" posts a small blind of 1",2024-03-30T04:37:14.879Z,171177343487904
"Player stacks: #1 ""scott s @ vNAV_AAv9J"" (954) | #7 ""Zach Z @ nhBbQkOw4b"" (126)",2024-03-30T04:37:14.879Z,171177343487901
"-- starting hand #813 (id: 81u165dxs7zb)  (No Limit Texas Hold'em) (dealer: ""Zach Z @ nhBbQkOw4b"") --",2024-03-30T04:37:14.879Z,171177343487900
"-- ending hand #812 --",2024-03-30T04:37:11.878Z,171177343187802
"""Zach Z @ nhBbQkOw4b"" collected 2 from pot",2024-03-30T04:37:11.878Z,171177343187801
"Uncalled bet of 2 returned to ""Zach Z @ nhBbQkOw4b""",2024-03-30T04:37:11.878Z,171177343187800
"""scott s @ vNAV_AAv9J"" folds",2024-03-30T04:37:10.981Z,171177343098100
"""Zach Z @ nhBbQkOw4b"" posts a big blind of 3",2024-03-30T04:37:10.078Z,171177343007805
"""scott s @ vNAV_AAv9J"" posts a small blind of 1",2024-03-30T04:37:10.078Z,171177343007804
"Player stacks: #1 ""scott s @ vNAV_AAv9J"" (955) | #7 ""Zach Z @ nhBbQkOw4b"" (125)",2024-03-30T04:37:10.078Z,171177343007801
"-- starting hand #812 (id: hfo7nzevzsfd)  (No Limit Texas Hold'em) (dealer: ""scott s @ vNAV_AAv9J"") --",2024-03-30T04:37:10.078Z,171177343007800
"-- ending hand #811 --",2024-03-30T04:37:07.114Z,171177342711402
"""Zach Z @ nhBbQkOw4b"" collected 24 from pot",2024-03-30T04:37:07.114Z,171177342711401
"Uncalled bet of 12 returned to ""Zach Z @ nhBbQkOw4b""",2024-03-30T04:37:07.114Z,171177342711400
"""scott s @ vNAV_AAv9J"" folds",2024-03-30T04:37:06.299Z,171177342629900
"""Zach Z @ nhBbQkOw4b"" raises to 17",2024-03-30T04:37:04.704Z,171177342470400
"""scott s @ vNAV_AAv9J"" bets 5",2024-03-30T04:37:01.138Z,171177342113800
"Flop:  [3♣, 5♠, J♣]",2024-03-30T04:36:52.449Z,171177341244900
"""scott s @ vNAV_AAv9J"" calls 7",2024-03-30T04:36:51.610Z,171177341161000
"""Zach Z @ nhBbQkOw4b"" raises to 7",2024-03-30T04:36:49.785Z,171177340978500
"""scott s @ vNAV_AAv9J"" posts a big blind of 3",2024-03-30T04:36:47.635Z,171177340763505
"""Zach Z @ nhBbQkOw4b"" posts a small blind of 1",2024-03-30T04:36:47.635Z,171177340763504
"Player stacks: #1 ""scott s @ vNAV_AAv9J"" (967) | #7 ""Zach Z @ nhBbQkOw4b"" (113)",2024-03-30T04:36:47.635Z,171177340763501
"-- starting hand #811 (id: zr8ql130j6rd)  (No Limit Texas Hold'em) (dealer: ""Zach Z @ nhBbQkOw4b"") --",2024-03-30T04:36:47.635Z,171177340763500
"-- ending hand #810 --",2024-03-30T04:36:44.679Z,171177340467902
"""Zach Z @ nhBbQkOw4b"" collected 6 from pot",2024-03-30T04:36:44.679Z,171177340467901
"Uncalled bet of 12 returned to ""Zach Z @ nhBbQkOw4b""",2024-03-30T04:36:44.679Z,171177340467900
"""scott s @ vNAV_AAv9J"" folds",2024-03-30T04:36:43.859Z,171177340385900
"""Zach Z @ nhBbQkOw4b"" raises to 15",2024-03-30T04:36:41.438Z,171177340143800
"""scott s @ vNAV_AAv9J"" calls 3",2024-03-30T04:36:38.001Z,171177339800100
"""Zach Z @ nhBbQkOw4b"" posts a big blind of 3",2024-03-30T04:36:35.225Z,171177339522505
"""scott s @ vNAV_AAv9J"" posts a small blind of 1",2024-03-30T04:36:35.225Z,171177339522504
"Player stacks: #1 ""scott s @ vNAV_AAv9J"" (970) | #7 ""Zach Z @ nhBbQkOw4b"" (110)",2024-03-30T04:36:35.225Z,171177339522501
"-- starting hand #810 (id: slmkjupvvl31)  (No Limit Texas Hold'em) (dealer: ""scott s @ vNAV_AAv9J"") --",2024-03-30T04:36:35.225Z,171177339522500
"-- ending hand #809 --",2024-03-30T04:36:32.228Z,171177339222802
"""scott s @ vNAV_AAv9J"" collected 2 from pot",2024-03-30T04:36:32.228Z,171177339222801
"Uncalled bet of 2 returned to ""scott s @ vNAV_AAv9J""",2024-03-30T04:36:32.228Z,171177339222800
"""Zach Z @ nhBbQkOw4b"" folds",2024-03-30T04:36:31.426Z,171177339142600
"""scott s @ vNAV_AAv9J"" posts a big blind of 3",2024-03-30T04:36:29.453Z,171177338945306
"""Zach Z @ nhBbQkOw4b"" posts a small blind of 1",2024-03-30T04:36:29.453Z,171177338945305
"Player stacks: #1 ""scott s @ vNAV_AAv9J"" (969) | #7 ""Zach Z @ nhBbQkOw4b"" (111)",2024-03-30T04:36:29.453Z,171177338945302
"-- starting hand #809 (id: a7lyoloh3clw)  (No Limit Texas Hold'em) (dealer: ""Zach Z @ nhBbQkOw4b"") --",2024-03-30T04:36:29.453Z,171177338945301
"The player ""Taiyo @ KrYzwr7CwQ"" quits the game with a stack of 925.",2024-03-30T04:36:29.453Z,171177338945300
"-- ending hand #808 --",2024-03-30T04:36:26.428Z,171177338642801
"""Zach Z @ nhBbQkOw4b"" collected 111 from pot with Two Pair, A's & K's (combination: A♠, A♥, K♠, K♦, 10♠)",2024-03-30T04:36:26.428Z,171177338642800
"River: A♥, 4♣, 10♠, K♠ [K♦]",2024-03-30T04:36:22.414Z,171177338241400
"Turn: A♥, 4♣, 10♠ [K♠]",2024-03-30T04:36:18.408Z,171177337840800
"Flop:  [A♥, 4♣, 10♠]",2024-03-30T04:36:14.401Z,171177337440100
"""Zach Z @ nhBbQkOw4b"" shows a 5♠, A♠.",2024-03-30T04:36:10.400Z,171177337040001
"""Taiyo @ KrYzwr7CwQ"" shows a 2♥, 2♣.",2024-03-30T04:36:10.400Z,171177337040000
"Some players choose to not run it twice.",2024-03-30T04:36:09.578Z,171177336957801
"""Taiyo @ KrYzwr7CwQ"" chooses to not run it twice.",2024-03-30T04:36:09.578Z,171177336957800
"Remaining players decide whether to run it twice.",2024-03-30T04:36:08.438Z,171177336843801
"""Taiyo @ KrYzwr7CwQ"" calls 54",2024-03-30T04:36:08.438Z,171177336843800
"""scott s @ vNAV_AAv9J"" folds",2024-03-30T04:36:05.729Z,171177336572900
"""Zach Z @ nhBbQkOw4b"" raises to 54 and go all in",2024-03-30T04:35:34.778Z,171177333477800
"""Taiyo @ KrYzwr7CwQ"" raises to 9",2024-03-30T04:35:32.256Z,171177333225600
"""scott s @ vNAV_AAv9J"" posts a big blind of 3",2024-03-30T04:35:25.543Z,171177332554306
"""Zach Z @ nhBbQkOw4b"" posts a small blind of 1",2024-03-30T04:35:25.543Z,171177332554305
"Player stacks: #1 ""scott s @ vNAV_AAv9J"" (972) | #2 ""Taiyo @ KrYzwr7CwQ"" (979) | #7 ""Zach Z @ nhBbQkOw4b"" (54)",2024-03-30T04:35:25.543Z,171177332554301
"-- starting hand #808 (id: wkmdmovlbgwc)  (No Limit Texas Hold'em) (dealer: ""Taiyo @ KrYzwr7CwQ"") --",2024-03-30T04:35:25.543Z,171177332554300
"-- ending hand #807 --",2024-03-30T04:35:22.627Z,171177332262702
"""Zach Z @ nhBbQkOw4b"" collected 18 from pot",2024-03-30T04:35:22.627Z,171177332262701
"Uncalled bet of 12 returned to ""Zach Z @ nhBbQkOw4b""",2024-03-30T04:35:22.627Z,171177332262700
"""Taiyo @ KrYzwr7CwQ"" folds",2024-03-30T04:35:21.768Z,171177332176800
"""Zach Z @ nhBbQkOw4b"" bets 12",2024-03-30T04:35:19.245Z,171177331924500
"""Taiyo @ KrYzwr7CwQ"" checks",2024-03-30T04:35:14.005Z,171177331400500
"Flop:  [5♥, Q♠, 2♣]",2024-03-30T04:35:10.212Z,171177331021200
"""Zach Z @ nhBbQkOw4b"" calls 9",2024-03-30T04:35:09.377Z,171177330937700
"""Taiyo @ KrYzwr7CwQ"" raises to 9",2024-03-30T04:35:05.832Z,171177330583200
"""scott s @ vNAV_AAv9J"" folds",2024-03-30T04:35:00.322Z,171177330032200
"""Zach Z @ nhBbQkOw4b"" posts a big blind of 3",2024-03-30T04:34:57.393Z,171177329739306
"""Taiyo @ KrYzwr7CwQ"" posts a small blind of 1",2024-03-30T04:34:57.393Z,171177329739305
