entry,at,order
"The player ""reilly @ FkycgsPCCs"" stand up with the stack of 1276.",2024-05-19T03:00:06.912Z,171608760691200
"The player ""Danny C @ D_17A7QEgm"" stand up with the stack of 247.",2024-05-19T02:55:34.811Z,171608733481100
"-- ending hand #618 --",2024-05-19T02:55:31.853Z,171608733185302
"""reilly @ FkycgsPCCs"" collected 2 from pot",2024-05-19T02:55:31.853Z,171608733185301
"Uncalled bet of 2 returned to ""reilly @ FkycgsPCCs""",2024-05-19T02:55:31.853Z,171608733185300
"""Danny C @ D_17A7QEgm"" folds",2024-05-19T02:55:31.026Z,171608733102600
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-05-19T02:55:04.005Z,171608730400505
"""Danny C @ D_17A7QEgm"" posts a small blind of 1",2024-05-19T02:55:04.005Z,171608730400504
"Player stacks: #4 ""reilly @ FkycgsPCCs"" (1275) | #6 ""Danny C @ D_17A7QEgm"" (248)",2024-05-19T02:55:04.005Z,171608730400501
"-- starting hand #618 (id: lytpvw7kghmq)  (No Limit Texas Hold'em) (dealer: ""Danny C @ D_17A7QEgm"") --",2024-05-19T02:55:04.005Z,171608730400500
"-- ending hand #617 --",2024-05-19T02:54:57.961Z,171608729796102
"""reilly @ FkycgsPCCs"" collected 74 from pot with Three of a Kind, 10's (combination: 10♥, 10♣, 10♦, K♠, J♥)",2024-05-19T02:54:57.961Z,171608729796101
"""reilly @ FkycgsPCCs"" shows a 10♥, K♠.",2024-05-19T02:54:57.961Z,171608729796100
"""reilly @ FkycgsPCCs"" checks",2024-05-19T02:54:57.139Z,171608729713900
"""Danny C @ D_17A7QEgm"" checks",2024-05-19T02:54:41.035Z,171608728103500
"River: 10♣, 7♣, J♥, 10♦ [9♠]",2024-05-19T02:54:39.925Z,171608727992500
"""Danny C @ D_17A7QEgm"" calls 21",2024-05-19T02:54:39.104Z,171608727910400
"The player ""Danny C @ D_17A7QEgm"" passed the room ownership to ""reilly @ FkycgsPCCs"".",2024-05-19T02:54:36.835Z,171608727683500
"""reilly @ FkycgsPCCs"" bets 21",2024-05-19T02:54:35.358Z,171608727535800
"""Danny C @ D_17A7QEgm"" checks",2024-05-19T02:54:24.741Z,171608726474100
"Turn: 10♣, 7♣, J♥ [10♦]",2024-05-19T02:54:23.783Z,171608726378300
"""Danny C @ D_17A7QEgm"" calls 9",2024-05-19T02:54:22.940Z,171608726294000
"""reilly @ FkycgsPCCs"" bets 9",2024-05-19T02:54:21.573Z,171608726157300
"""Danny C @ D_17A7QEgm"" checks",2024-05-19T02:54:13.797Z,171608725379700
"Flop:  [10♣, 7♣, J♥]",2024-05-19T02:54:12.365Z,171608725236500
"""Danny C @ D_17A7QEgm"" calls 7",2024-05-19T02:54:11.551Z,171608725155100
"""reilly @ FkycgsPCCs"" raises to 7",2024-05-19T02:54:07.795Z,171608724779500
"""Danny C @ D_17A7QEgm"" posts a big blind of 3",2024-05-19T02:54:06.360Z,171608724636005
"""reilly @ FkycgsPCCs"" posts a small blind of 1",2024-05-19T02:54:06.360Z,171608724636004
"Player stacks: #4 ""reilly @ FkycgsPCCs"" (1238) | #6 ""Danny C @ D_17A7QEgm"" (285)",2024-05-19T02:54:06.360Z,171608724636001
"-- starting hand #617 (id: fdhm3rkkxh25)  (No Limit Texas Hold'em) (dealer: ""reilly @ FkycgsPCCs"") --",2024-05-19T02:54:06.360Z,171608724636000
"-- ending hand #616 --",2024-05-19T02:54:00.353Z,171608724035303
"""Danny C @ D_17A7QEgm"" shows a K♠, 8♠.",2024-05-19T02:54:00.353Z,171608724035302
"""reilly @ FkycgsPCCs"" collected 18 from pot with Pair, 9's (combination: 9♠, 9♦, K♣, Q♠, J♠)",2024-05-19T02:54:00.353Z,171608724035301
"""reilly @ FkycgsPCCs"" shows a J♠, K♣.",2024-05-19T02:54:00.353Z,171608724035300
"""Danny C @ D_17A7QEgm"" checks",2024-05-19T02:53:59.549Z,171608723954900
"""reilly @ FkycgsPCCs"" checks",2024-05-19T02:53:58.097Z,171608723809700
"River: 9♠, 4♦, 9♦, 6♦ [Q♠]",2024-05-19T02:53:29.184Z,171608720918400
"""Danny C @ D_17A7QEgm"" checks",2024-05-19T02:53:28.357Z,171608720835700
"""reilly @ FkycgsPCCs"" checks",2024-05-19T02:53:27.054Z,171608720705400
"Turn: 9♠, 4♦, 9♦ [6♦]",2024-05-19T02:53:18.037Z,171608719803700
"""Danny C @ D_17A7QEgm"" checks",2024-05-19T02:53:17.178Z,171608719717800
"""reilly @ FkycgsPCCs"" checks",2024-05-19T02:53:15.509Z,171608719550900
"Flop:  [9♠, 4♦, 9♦]",2024-05-19T02:53:14.569Z,171608719456900
"""reilly @ FkycgsPCCs"" calls 9",2024-05-19T02:53:13.751Z,171608719375100
"""Danny C @ D_17A7QEgm"" raises to 9",2024-05-19T02:53:12.465Z,171608719246500
