entry,at,order
"The player ""Taiyo @ oRLZGd29jc"" passed the room ownership to ""Danny C @ R8jkHadH5e"".",2024-10-14T05:06:15.150Z,172888237515000
"The player ""Taiyo @ oRLZGd29jc"" quits the game with a stack of 651.",2024-10-14T04:57:42.915Z,172888186291500
"The player ""Sai @ 0Y4I9d7s02"" stand up with the stack of 205.",2024-10-14T04:57:36.829Z,172888185682900
"-- ending hand #288 --",2024-10-14T04:57:33.921Z,172888185392102
"""Taiyo @ oRLZGd29jc"" collected 12 from pot",2024-10-14T04:57:33.921Z,172888185392101
"Uncalled bet of 8 returned to ""Taiyo @ oRLZGd29jc""",2024-10-14T04:57:33.921Z,172888185392100
"""Sai @ 0Y4I9d7s02"" folds",2024-10-14T04:57:33.051Z,172888185305100
"""Taiyo @ oRLZGd29jc"" bets 8",2024-10-14T04:57:30.076Z,172888185007600
"River: A♦, J♦, Q♠, 9♦ [7♠]",2024-10-14T04:57:27.581Z,172888184758100
"""Sai @ 0Y4I9d7s02"" checks",2024-10-14T04:57:26.728Z,172888184672800
"""Taiyo @ oRLZGd29jc"" checks",2024-10-14T04:57:25.116Z,172888184511600
"Turn: A♦, J♦, Q♠ [9♦]",2024-10-14T04:57:23.375Z,172888184337500
"""Sai @ 0Y4I9d7s02"" checks",2024-10-14T04:57:22.558Z,172888184255800
"""Taiyo @ oRLZGd29jc"" checks",2024-10-14T04:57:20.313Z,172888184031300
"Flop:  [A♦, J♦, Q♠]",2024-10-14T04:57:18.479Z,172888183847900
"""Taiyo @ oRLZGd29jc"" calls 6",2024-10-14T04:57:17.615Z,172888183761500
"""Sai @ 0Y4I9d7s02"" raises to 6",2024-10-14T04:57:15.785Z,172888183578500
"""Taiyo @ oRLZGd29jc"" posts a big blind of 2",2024-10-14T04:57:12.759Z,172888183275905
"""Sai @ 0Y4I9d7s02"" posts a small blind of 1",2024-10-14T04:57:12.759Z,172888183275904
"Player stacks: #3 ""Sai @ 0Y4I9d7s02"" (211) | #7 ""Taiyo @ oRLZGd29jc"" (645)",2024-10-14T04:57:12.759Z,172888183275901
"-- starting hand #288 (id: xotvhx1lnzsr)  (Pot Limit Omaha Hi) (dealer: ""Sai @ 0Y4I9d7s02"") --",2024-10-14T04:57:12.759Z,172888183275900
"-- ending hand #287 --",2024-10-14T04:57:06.753Z,172888182675303
"""Taiyo @ oRLZGd29jc"" shows a 10♣, 3♥, 7♠, 10♥.",2024-10-14T04:57:06.753Z,172888182675302
"""Sai @ 0Y4I9d7s02"" collected 36 from pot with Three of a Kind (combination: 5♦, 5♠, 5♣, K♦, Q♦)",2024-10-14T04:57:06.753Z,172888182675301
"""Sai @ 0Y4I9d7s02"" shows a 5♦, 2♣, 2♥, 5♠.",2024-10-14T04:57:06.753Z,172888182675300
"""Taiyo @ oRLZGd29jc"" checks",2024-10-14T04:57:05.908Z,172888182590800
"""Sai @ 0Y4I9d7s02"" checks",2024-10-14T04:57:04.687Z,172888182468700
"River: 3♦, Q♦, K♦, 2♦ [5♣]",2024-10-14T04:57:01.752Z,172888182175200
"""Taiyo @ oRLZGd29jc"" checks",2024-10-14T04:57:00.879Z,172888182087900
"""Sai @ 0Y4I9d7s02"" checks",2024-10-14T04:56:58.770Z,172888181877000
"Turn: 3♦, Q♦, K♦ [2♦]",2024-10-14T04:56:56.984Z,172888181698400
"""Taiyo @ oRLZGd29jc"" checks",2024-10-14T04:56:56.175Z,172888181617500
"""Sai @ 0Y4I9d7s02"" checks",2024-10-14T04:56:55.284Z,172888181528400
"Flop:  [3♦, Q♦, K♦]",2024-10-14T04:56:50.958Z,172888181095800
"""Taiyo @ oRLZGd29jc"" calls 18",2024-10-14T04:56:50.147Z,172888181014700
"""Sai @ 0Y4I9d7s02"" raises to 18",2024-10-14T04:56:41.510Z,172888180151000
"""Taiyo @ oRLZGd29jc"" raises to 6",2024-10-14T04:56:34.635Z,172888179463500
"""Sai @ 0Y4I9d7s02"" posts a big blind of 2",2024-10-14T04:56:32.061Z,172888179206105
"""Taiyo @ oRLZGd29jc"" posts a small blind of 1",2024-10-14T04:56:32.061Z,172888179206104
"Player stacks: #3 ""Sai @ 0Y4I9d7s02"" (193) | #7 ""Taiyo @ oRLZGd29jc"" (663)",2024-10-14T04:56:32.061Z,172888179206101
"-- starting hand #287 (id: kpy9pcdbqlcu)  (Pot Limit Omaha Hi) (dealer: ""Taiyo @ oRLZGd29jc"") --",2024-10-14T04:56:32.061Z,172888179206100
"-- ending hand #286 --",2024-10-14T04:56:29.116Z,172888178911602
"""Taiyo @ oRLZGd29jc"" collected 12 from pot",2024-10-14T04:56:29.116Z,172888178911601
"Uncalled bet of 8 returned to ""Taiyo @ oRLZGd29jc""",2024-10-14T04:56:29.116Z,172888178911600
"""Sai @ 0Y4I9d7s02"" folds",2024-10-14T04:56:28.280Z,172888178828000
"""Taiyo @ oRLZGd29jc"" bets 8",2024-10-14T04:56:23.072Z,172888178307200
"Turn: 4♣, 9♥, 6♦ [7♥]",2024-10-14T04:56:18.387Z,172888177838700
"""Sai @ 0Y4I9d7s02"" checks",2024-10-14T04:56:17.544Z,172888177754400
"""Taiyo @ oRLZGd29jc"" checks",2024-10-14T04:56:14.956Z,172888177495600
"Flop:  [4♣, 9♥, 6♦]",2024-10-14T04:56:13.258Z,172888177325800
