entry,at,order
"The player ""SamD @ Dm4TwhYnFw"" quits the game with a stack of 373.02.",2024-12-23T06:03:56.161Z,173493383616101
"The player ""SamD @ Dm4TwhYnFw"" stand up with the stack of 373.02.",2024-12-23T06:03:56.161Z,173493383616100
"-- ending hand #104 --",2024-12-23T06:03:53.150Z,173493383315003
"""IsaacM @ cI8nSl62Oq"" shows a A♣, J♥.",2024-12-23T06:03:53.150Z,173493383315002
"""YN @ noQMfe4xTG"" collected 24.20 from pot with Pair, 2's (combination: 2♠, 2♦, A♠, K♠, 10♠)",2024-12-23T06:03:53.150Z,173493383315001
"""YN @ noQMfe4xTG"" shows a 2♠, A♠.",2024-12-23T06:03:53.150Z,173493383315000
"""YN @ noQMfe4xTG"" checks",2024-12-23T06:03:52.262Z,173493383226200
"""IsaacM @ cI8nSl62Oq"" checks",2024-12-23T06:03:48.953Z,173493382895300
"River: 8♥, 3♦, 2♦, 10♠ [K♠]",2024-12-23T06:03:40.331Z,173493382033100
"""IsaacM @ cI8nSl62Oq"" calls 6.05",2024-12-23T06:03:39.485Z,173493381948500
"""YN @ noQMfe4xTG"" bets 6.05",2024-12-23T06:03:36.497Z,173493381649700
"""IsaacM @ cI8nSl62Oq"" checks",2024-12-23T06:03:31.045Z,173493381104500
"Turn: 8♥, 3♦, 2♦ [10♠]",2024-12-23T06:03:23.975Z,173493380397500
"""YN @ noQMfe4xTG"" checks",2024-12-23T06:03:23.150Z,173493380315000
"""IsaacM @ cI8nSl62Oq"" checks",2024-12-23T06:03:20.071Z,173493380007100
"Flop:  [8♥, 3♦, 2♦]",2024-12-23T06:03:16.073Z,173493379607300
"""IsaacM @ cI8nSl62Oq"" calls 5.70",2024-12-23T06:03:15.172Z,173493379517200
"""AHH @ KKDJ1brgcv"" folds",2024-12-23T06:03:11.382Z,173493379138200
"""Tuan @ j2bxrB-s2T"" folds",2024-12-23T06:03:08.532Z,173493378853200
"""SamD @ Dm4TwhYnFw"" folds",2024-12-23T06:03:04.945Z,173493378494500
"""KZ @ yeYvOn5MIr"" folds",2024-12-23T06:03:04.136Z,173493378413600
"""YN @ noQMfe4xTG"" raises to 5.70",2024-12-23T06:03:03.177Z,173493378317700
"""bigslickenergy @ Jh1XF6aI_W"" folds",2024-12-23T06:02:56.453Z,173493377645300
"""IsaacM @ cI8nSl62Oq"" raises to 2.00",2024-12-23T06:02:51.991Z,173493377199100
"The admin ""bigslickenergy @ Jh1XF6aI_W"" enqueued the game stop on next hand.",2024-12-23T06:02:39.203Z,173493375920300
"""AHH @ KKDJ1brgcv"" posts a big blind of 0.50",2024-12-23T06:02:33.894Z,173493375389411
"""Tuan @ j2bxrB-s2T"" posts a small blind of 0.20",2024-12-23T06:02:33.894Z,173493375389410
"Your hand is K♦, 3♠",2024-12-23T06:02:33.894Z,173493375389406
"Player stacks: #1 ""KZ @ yeYvOn5MIr"" (298.10) | #2 ""SamD @ Dm4TwhYnFw"" (373.02) | #4 ""Tuan @ j2bxrB-s2T"" (184.55) | #5 ""AHH @ KKDJ1brgcv"" (230.64) | #7 ""IsaacM @ cI8nSl62Oq"" (100.69) | #9 ""bigslickenergy @ Jh1XF6aI_W"" (504.57) | #10 ""YN @ noQMfe4xTG"" (232.54)",2024-12-23T06:02:33.894Z,173493375389402
"-- starting hand #104 (id: gkl7rfmmat2z)  (No Limit Texas Hold'em) (dead button) --",2024-12-23T06:02:33.894Z,173493375389401
"The player ""HY @ RzZqRjTje6"" quits the game with a stack of 0.00.",2024-12-23T06:02:33.894Z,173493375389400
"-- ending hand #103 --",2024-12-23T06:02:30.839Z,173493375083903
"""HY @ RzZqRjTje6"" shows a 10♦, A♥.",2024-12-23T06:02:30.839Z,173493375083902
"""KZ @ yeYvOn5MIr"" collected 263.16 from pot with Two Pair, Q's & 4's (combination: Q♦, Q♠, 4♦, 4♣, J♥)",2024-12-23T06:02:30.839Z,173493375083901
"""KZ @ yeYvOn5MIr"" shows a Q♦, Q♠.",2024-12-23T06:02:30.839Z,173493375083900
"""KZ @ yeYvOn5MIr"" calls 67.10",2024-12-23T06:02:29.985Z,173493374998500
"""HY @ RzZqRjTje6"" bets 67.10 and go all in",2024-12-23T06:02:28.971Z,173493374897100
"River: J♥, 4♦, 2♥, 10♣ [4♣]",2024-12-23T06:02:25.285Z,173493374528500
"""KZ @ yeYvOn5MIr"" calls 32.24",2024-12-23T06:02:24.465Z,173493374446500
"""HY @ RzZqRjTje6"" bets 32.24",2024-12-23T06:02:21.061Z,173493374106100
"Turn: J♥, 4♦, 2♥ [10♣]",2024-12-23T06:02:10.943Z,173493373094300
"""KZ @ yeYvOn5MIr"" calls 14.12",2024-12-23T06:02:10.106Z,173493373010600
"""HY @ RzZqRjTje6"" bets 14.12",2024-12-23T06:02:06.071Z,173493372607100
"Flop:  [J♥, 4♦, 2♥]",2024-12-23T06:01:58.736Z,173493371873600
"""KZ @ yeYvOn5MIr"" calls 16.87",2024-12-23T06:01:57.916Z,173493371791600
"""AHH @ KKDJ1brgcv"" folds",2024-12-23T06:01:55.143Z,173493371514300
"""Tuan @ j2bxrB-s2T"" folds",2024-12-23T06:01:52.962Z,173493371296200
"""HY @ RzZqRjTje6"" raises to 16.87",2024-12-23T06:01:51.438Z,173493371143800
"""SamD @ Dm4TwhYnFw"" folds",2024-12-23T06:01:41.127Z,173493370112700
"""KZ @ yeYvOn5MIr"" raises to 6.00",2024-12-23T06:01:40.203Z,173493370020300
"""YN @ noQMfe4xTG"" folds",2024-12-23T06:01:35.381Z,173493369538100
"""bigslickenergy @ Jh1XF6aI_W"" folds",2024-12-23T06:01:34.485Z,173493369448500
"""IsaacM @ cI8nSl62Oq"" folds",2024-12-23T06:01:33.593Z,173493369359300
"""AHH @ KKDJ1brgcv"" raises to 2.00",2024-12-23T06:01:24.239Z,173493368423900
"""Tuan @ j2bxrB-s2T"" posts a big blind of 0.50",2024-12-23T06:01:18.634Z,173493367863411
"""HY @ RzZqRjTje6"" posts a small blind of 0.20",2024-12-23T06:01:18.634Z,173493367863410
"Your hand is Q♥, K♠",2024-12-23T06:01:18.634Z,173493367863406
"Player stacks: #1 ""KZ @ yeYvOn5MIr"" (165.27) | #2 ""SamD @ Dm4TwhYnFw"" (373.02) | #3 ""HY @ RzZqRjTje6"" (130.33) | #4 ""Tuan @ j2bxrB-s2T"" (185.05) | #5 ""AHH @ KKDJ1brgcv"" (232.64) | #7 ""IsaacM @ cI8nSl62Oq"" (100.69) | #9 ""bigslickenergy @ Jh1XF6aI_W"" (504.57) | #10 ""YN @ noQMfe4xTG"" (232.54)",2024-12-23T06:01:18.634Z,173493367863401
"-- starting hand #103 (id: gjeew4oonir3)  (No Limit Texas Hold'em) (dealer: ""SamD @ Dm4TwhYnFw"") --",2024-12-23T06:01:18.634Z,173493367863400
"-- ending hand #102 --",2024-12-23T06:01:15.674Z,173493367567402
"""IsaacM @ cI8nSl62Oq"" collected 50.00 from pot",2024-12-23T06:01:15.674Z,173493367567401
"Uncalled bet of 50.00 returned to ""IsaacM @ cI8nSl62Oq""",2024-12-23T06:01:15.674Z,173493367567400
"""SamD @ Dm4TwhYnFw"" folds",2024-12-23T06:01:14.852Z,173493367485200
"""KZ @ yeYvOn5MIr"" folds",2024-12-23T06:01:13.878Z,173493367387800
"""IsaacM @ cI8nSl62Oq"" bets 50.00",2024-12-23T06:01:10.881Z,173493367088100
"""SamD @ Dm4TwhYnFw"" checks",2024-12-23T06:01:01.619Z,173493366161900
"River: 3♣, 9♣, 5♣, 2♦ [Q♥]",2024-12-23T06:00:59.390Z,173493365939000
"""SamD @ Dm4TwhYnFw"" calls 12.50",2024-12-23T06:00:58.537Z,173493365853700
"""KZ @ yeYvOn5MIr"" calls 12.50",2024-12-23T06:00:48.061Z,173493364806100
"""YN @ noQMfe4xTG"" folds",2024-12-23T06:00:38.082Z,173493363808200
"""IsaacM @ cI8nSl62Oq"" raises to 12.50",2024-12-23T06:00:36.130Z,173493363613000
"""SamD @ Dm4TwhYnFw"" calls 6.25",2024-12-23T06:00:21.250Z,173493362125000
"""KZ @ yeYvOn5MIr"" bets 6.25",2024-12-23T06:00:17.725Z,173493361772500
"""YN @ noQMfe4xTG"" checks",2024-12-23T06:00:13.533Z,173493361353300
"""IsaacM @ cI8nSl62Oq"" checks",2024-12-23T06:00:10.930Z,173493361093000
"""SamD @ Dm4TwhYnFw"" checks",2024-12-23T06:00:06.354Z,173493360635400
"Turn: 3♣, 9♣, 5♣ [2♦]",2024-12-23T06:00:03.429Z,173493360342900
"""KZ @ yeYvOn5MIr"" checks",2024-12-23T06:00:02.545Z,173493360254500
"""YN @ noQMfe4xTG"" checks",2024-12-23T06:00:01.443Z,173493360144300
"""IsaacM @ cI8nSl62Oq"" checks",2024-12-23T05:59:57.090Z,173493359709000
"""SamD @ Dm4TwhYnFw"" checks",2024-12-23T05:59:49.582Z,173493358958200
"Flop:  [3♣, 9♣, 5♣]",2024-12-23T05:59:45.963Z,173493358596300
"""HY @ RzZqRjTje6"" folds",2024-12-23T05:59:45.111Z,173493358511100
"""SamD @ Dm4TwhYnFw"" calls 3.00",2024-12-23T05:59:43.063Z,173493358306300
"""KZ @ yeYvOn5MIr"" calls 3.00",2024-12-23T05:59:40.713Z,173493358071300
"""YN @ noQMfe4xTG"" calls 3.00",2024-12-23T05:59:39.164Z,173493357916400
"""bigslickenergy @ Jh1XF6aI_W"" folds",2024-12-23T05:59:30.894Z,173493357089400
"""IsaacM @ cI8nSl62Oq"" raises to 3.00",2024-12-23T05:59:29.281Z,173493356928100
"""AHH @ KKDJ1brgcv"" folds",2024-12-23T05:59:18.923Z,173493355892300
"""Tuan @ j2bxrB-s2T"" folds",2024-12-23T05:59:14.574Z,173493355457400
"""HY @ RzZqRjTje6"" posts a big blind of 0.50",2024-12-23T05:59:10.514Z,173493355051411
"""SamD @ Dm4TwhYnFw"" posts a small blind of 0.20",2024-12-23T05:59:10.514Z,173493355051410
"Your hand is 2♣, J♦",2024-12-23T05:59:10.514Z,173493355051406
"Player stacks: #1 ""KZ @ yeYvOn5MIr"" (180.77) | #2 ""SamD @ Dm4TwhYnFw"" (388.52) | #3 ""HY @ RzZqRjTje6"" (130.83) | #4 ""Tuan @ j2bxrB-s2T"" (185.05) | #5 ""AHH @ KKDJ1brgcv"" (232.64) | #7 ""IsaacM @ cI8nSl62Oq"" (66.19) | #9 ""bigslickenergy @ Jh1XF6aI_W"" (504.57) | #10 ""YN @ noQMfe4xTG"" (235.54)",2024-12-23T05:59:10.514Z,173493355051401
"-- starting hand #102 (id: dju3m8kvny21)  (No Limit Texas Hold'em) (dealer: ""KZ @ yeYvOn5MIr"") --",2024-12-23T05:59:10.514Z,173493355051400
"-- ending hand #101 --",2024-12-23T05:59:07.507Z,173493354750703
"""IsaacM @ cI8nSl62Oq"" shows a 7♣, 8♣.",2024-12-23T05:59:07.507Z,173493354750702
"""bigslickenergy @ Jh1XF6aI_W"" collected 26.40 from pot with Two Pair, A's & 6's (combination: A♠, A♦, 6♥, 6♦, K♠)",2024-12-23T05:59:07.507Z,173493354750701
"""bigslickenergy @ Jh1XF6aI_W"" shows a A♠, K♠.",2024-12-23T05:59:07.507Z,173493354750700
"""bigslickenergy @ Jh1XF6aI_W"" checks",2024-12-23T05:59:06.694Z,173493354669400
"""IsaacM @ cI8nSl62Oq"" checks",2024-12-23T05:58:58.673Z,173493353867300
"River: 5♠, A♦, 6♥, J♦ [6♦]",2024-12-23T05:58:32.894Z,173493351289400
"""bigslickenergy @ Jh1XF6aI_W"" checks",2024-12-23T05:58:32.064Z,173493351206400
"""IsaacM @ cI8nSl62Oq"" checks",2024-12-23T05:58:29.774Z,173493350977400
"Turn: 5♠, A♦, 6♥ [J♦]",2024-12-23T05:58:25.554Z,173493350555400
"""IsaacM @ cI8nSl62Oq"" calls 6.60",2024-12-23T05:58:24.707Z,173493350470700
"""bigslickenergy @ Jh1XF6aI_W"" bets 6.60",2024-12-23T05:58:17.882Z,173493349788200
"""IsaacM @ cI8nSl62Oq"" checks",2024-12-23T05:58:14.571Z,173493349457100
"Flop:  [5♠, A♦, 6♥]",2024-12-23T05:58:10.246Z,173493349024600
"""IsaacM @ cI8nSl62Oq"" calls 5.40",2024-12-23T05:58:09.410Z,173493348941000
"""HY @ RzZqRjTje6"" folds",2024-12-23T05:58:06.865Z,173493348686500
"""SamD @ Dm4TwhYnFw"" folds",2024-12-23T05:57:57.149Z,173493347714900
"""KZ @ yeYvOn5MIr"" folds",2024-12-23T05:57:56.279Z,173493347627900
"""YN @ noQMfe4xTG"" folds",2024-12-23T05:57:55.288Z,173493347528800
"""bigslickenergy @ Jh1XF6aI_W"" raises to 5.40",2024-12-23T05:57:54.125Z,173493347412500
"""IsaacM @ cI8nSl62Oq"" calls 1.70",2024-12-23T05:57:49.750Z,173493346975000
"""AHH @ KKDJ1brgcv"" folds",2024-12-23T05:57:47.880Z,173493346788000
"""Tuan @ j2bxrB-s2T"" folds",2024-12-23T05:57:33.186Z,173493345318600
"""HY @ RzZqRjTje6"" raises to 1.70",2024-12-23T05:57:29.065Z,173493344906500
"""SamD @ Dm4TwhYnFw"" posts a big blind of 0.50",2024-12-23T05:57:13.807Z,173493343380711
"""KZ @ yeYvOn5MIr"" posts a small blind of 0.20",2024-12-23T05:57:13.807Z,173493343380710
"Your hand is 4♣, 7♦",2024-12-23T05:57:13.807Z,173493343380706
"Player stacks: #1 ""KZ @ yeYvOn5MIr"" (180.97) | #2 ""SamD @ Dm4TwhYnFw"" (389.02) | #3 ""HY @ RzZqRjTje6"" (132.53) | #4 ""Tuan @ j2bxrB-s2T"" (185.05) | #5 ""AHH @ KKDJ1brgcv"" (232.64) | #7 ""IsaacM @ cI8nSl62Oq"" (78.19) | #9 ""bigslickenergy @ Jh1XF6aI_W"" (490.17) | #10 ""YN @ noQMfe4xTG"" (235.54)",2024-12-23T05:57:13.807Z,173493343380701
"-- starting hand #101 (id: b2rxcsmvl9hl)  (No Limit Texas Hold'em) (dealer: ""YN @ noQMfe4xTG"") --",2024-12-23T05:57:13.807Z,173493343380700
"-- ending hand #100 --",2024-12-23T05:57:07.888Z,173493342788802
"""KZ @ yeYvOn5MIr"" collected 19.20 from pot",2024-12-23T05:57:07.888Z,173493342788801
"Uncalled bet of 9.60 returned to ""KZ @ yeYvOn5MIr""",2024-12-23T05:57:07.888Z,173493342788800
"""bigslickenergy @ Jh1XF6aI_W"" folds",2024-12-23T05:57:07.067Z,173493342706700
"""IsaacM @ cI8nSl62Oq"" folds",2024-12-23T05:57:05.813Z,173493342581300
"""Tuan @ j2bxrB-s2T"" folds",2024-12-23T05:57:00.346Z,173493342034600
"""SamD @ Dm4TwhYnFw"" folds",2024-12-23T05:56:54.056Z,173493341405600
"""KZ @ yeYvOn5MIr"" bets 9.60",2024-12-23T05:56:47.838Z,173493340783800
"Flop:  [4♠, 8♣, K♥]",2024-12-23T05:56:35.399Z,173493339539900
"""bigslickenergy @ Jh1XF6aI_W"" calls 3.70",2024-12-23T05:56:34.558Z,173493339455800
"""IsaacM @ cI8nSl62Oq"" calls 3.70",2024-12-23T05:56:29.240Z,173493338924000
"""AHH @ KKDJ1brgcv"" folds",2024-12-23T05:56:25.054Z,173493338505400
"""Tuan @ j2bxrB-s2T"" calls 3.70",2024-12-23T05:56:19.944Z,173493337994400
"""SamD @ Dm4TwhYnFw"" calls 3.70",2024-12-23T05:56:16.942Z,173493337694200
"""KZ @ yeYvOn5MIr"" raises to 3.70",2024-12-23T05:56:03.911Z,173493336391100
"""YN @ noQMfe4xTG"" folds",2024-12-23T05:55:57.110Z,173493335711000
"""bigslickenergy @ Jh1XF6aI_W"" calls 0.50",2024-12-23T05:55:38.991Z,173493333899100
"""IsaacM @ cI8nSl62Oq"" calls 0.50",2024-12-23T05:55:35.551Z,173493333555100
"""AHH @ KKDJ1brgcv"" calls 0.50",2024-12-23T05:55:32.111Z,173493333211100
"""Tuan @ j2bxrB-s2T"" calls 0.50",2024-12-23T05:55:28.727Z,173493332872700
"""HY @ RzZqRjTje6"" folds",2024-12-23T05:55:24.672Z,173493332467200
"""SamD @ Dm4TwhYnFw"" calls 0.50",2024-12-23T05:55:13.862Z,173493331386200
"""KZ @ yeYvOn5MIr"" posts a big blind of 0.50",2024-12-23T05:55:09.738Z,173493330973811
"""YN @ noQMfe4xTG"" posts a small blind of 0.20",2024-12-23T05:55:09.738Z,173493330973810
"Your hand is 9♠, 2♠, Q♠, 3♥",2024-12-23T05:55:09.738Z,173493330973806
"Player stacks: #1 ""KZ @ yeYvOn5MIr"" (165.47) | #2 ""SamD @ Dm4TwhYnFw"" (392.72) | #3 ""HY @ RzZqRjTje6"" (132.53) | #4 ""Tuan @ j2bxrB-s2T"" (188.75) | #5 ""AHH @ KKDJ1brgcv"" (233.14) | #7 ""IsaacM @ cI8nSl62Oq"" (81.89) | #9 ""bigslickenergy @ Jh1XF6aI_W"" (493.87) | #10 ""YN @ noQMfe4xTG"" (235.74)",2024-12-23T05:55:09.738Z,173493330973801
"-- starting hand #100 (id: obh5aqpb3duf)  (Pot Limit Omaha Hi) (dealer: ""bigslickenergy @ Jh1XF6aI_W"") --",2024-12-23T05:55:09.738Z,173493330973800
"-- ending hand #99 --",2024-12-23T05:55:06.648Z,173493330664802
"""YN @ noQMfe4xTG"" collected 123.20 from pot with Flush (combination: Q♦, J♦, 8♦, 6♦, 4♦)",2024-12-23T05:55:06.648Z,173493330664801
"""YN @ noQMfe4xTG"" shows a K♠, 4♦, J♦, K♣.",2024-12-23T05:55:06.648Z,173493330664800
"""KZ @ yeYvOn5MIr"" checks",2024-12-23T05:55:05.835Z,173493330583500
"""YN @ noQMfe4xTG"" checks",2024-12-23T05:55:04.519Z,173493330451900
"River: 8♦, Q♣, 6♠, 6♦ [Q♦]",2024-12-23T05:54:52.488Z,173493329248800
"""KZ @ yeYvOn5MIr"" checks",2024-12-23T05:54:51.665Z,173493329166500
"""YN @ noQMfe4xTG"" checks",2024-12-23T05:54:47.367Z,173493328736700
"Turn: 8♦, Q♣, 6♠ [6♦]",2024-12-23T05:54:45.465Z,173493328546500
"""YN @ noQMfe4xTG"" calls 25.00",2024-12-23T05:54:44.565Z,173493328456500
"""KZ @ yeYvOn5MIr"" bets 25.00",2024-12-23T05:54:35.577Z,173493327557700
"""YN @ noQMfe4xTG"" checks",2024-12-23T05:54:29.071Z,173493326907100
"Flop:  [8♦, Q♣, 6♠]",2024-12-23T05:54:26.834Z,173493326683400
"""YN @ noQMfe4xTG"" calls 31.90",2024-12-23T05:54:25.970Z,173493326597000
"""HY @ RzZqRjTje6"" folds",2024-12-23T05:54:07.398Z,173493324739800
"""SamD @ Dm4TwhYnFw"" folds",2024-12-23T05:54:02.118Z,173493324211800
"""KZ @ yeYvOn5MIr"" raises to 31.90",2024-12-23T05:54:01.128Z,173493324112800
"""YN @ noQMfe4xTG"" calls 7.50",2024-12-23T05:53:57.930Z,173493323793000
"""bigslickenergy @ Jh1XF6aI_W"" folds",2024-12-23T05:53:47.755Z,173493322775500
"""IsaacM @ cI8nSl62Oq"" folds",2024-12-23T05:53:45.458Z,173493322545800
"""AHH @ KKDJ1brgcv"" folds",2024-12-23T05:53:44.283Z,173493322428300
"""Tuan @ j2bxrB-s2T"" folds",2024-12-23T05:53:40.325Z,173493322032500
"""HY @ RzZqRjTje6"" raises to 7.50",2024-12-23T05:53:32.628Z,173493321262800
"""SamD @ Dm4TwhYnFw"" calls 1.70",2024-12-23T05:53:24.916Z,173493320491600
"""KZ @ yeYvOn5MIr"" raises to 1.70",2024-12-23T05:53:18.904Z,173493319890400
"""YN @ noQMfe4xTG"" posts a big blind of 0.50",2024-12-23T05:53:11.100Z,173493319110011
"""bigslickenergy @ Jh1XF6aI_W"" posts a small blind of 0.20",2024-12-23T05:53:11.100Z,173493319110010
"Your hand is 4♠, 5♣, 7♥, 9♣",2024-12-23T05:53:11.100Z,173493319110006
