entry,at,order
"The player ""reilly @ FkycgsPCCs"" sit back with the stack of 882.",2024-06-08T04:11:41.772Z,171781990177200
"The player ""reilly @ FkycgsPCCs"" stand up with the stack of 882.",2024-06-08T04:11:07.609Z,171781986760900
"The player ""Taiyo @ oRLZGd29jc"" quits the game with a stack of 579.",2024-06-08T04:10:47.271Z,171781984727100
"-- ending hand #486 --",2024-06-08T04:10:41.264Z,171781984126402
"""Taiyo @ oRLZGd29jc"" collected 44 from pot with Pair, 7's (combination: 7♥, 7♣, J♣, 10♥, 5♦)",2024-06-08T04:10:41.264Z,171781984126401
"""Taiyo @ oRLZGd29jc"" shows a 7♥, 4♥.",2024-06-08T04:10:41.264Z,171781984126400
"""Taiyo @ oRLZGd29jc"" checks",2024-06-08T04:10:40.449Z,171781984044900
"""reilly @ FkycgsPCCs"" checks",2024-06-08T04:10:37.366Z,171781983736600
"River: J♣, 2♠, 5♦, 7♣ [10♥]",2024-06-08T04:10:29.859Z,171781982985900
"""Taiyo @ oRLZGd29jc"" calls 13",2024-06-08T04:10:29.017Z,171781982901700
"""reilly @ FkycgsPCCs"" bets 13",2024-06-08T04:10:26.618Z,171781982661800
"Turn: J♣, 2♠, 5♦ [7♣]",2024-06-08T04:10:18.676Z,171781981867600
"""Taiyo @ oRLZGd29jc"" checks",2024-06-08T04:10:17.849Z,171781981784900
"""reilly @ FkycgsPCCs"" checks",2024-06-08T04:10:16.172Z,171781981617200
"Flop:  [J♣, 2♠, 5♦]",2024-06-08T04:10:14.638Z,171781981463800
"""reilly @ FkycgsPCCs"" calls 9",2024-06-08T04:10:13.824Z,171781981382400
"""Taiyo @ oRLZGd29jc"" raises to 9",2024-06-08T04:10:07.483Z,171781980748300
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-06-08T04:10:03.775Z,171781980377505
"""Taiyo @ oRLZGd29jc"" posts a small blind of 1",2024-06-08T04:10:03.775Z,171781980377504
"Player stacks: #2 ""Taiyo @ oRLZGd29jc"" (557) | #8 ""reilly @ FkycgsPCCs"" (904)",2024-06-08T04:10:03.775Z,171781980377501
"-- starting hand #486 (id: jawvu2yuogoj)  (No Limit Texas Hold'em) (dealer: ""Taiyo @ oRLZGd29jc"") --",2024-06-08T04:10:03.775Z,171781980377500
"-- ending hand #485 --",2024-06-08T04:10:00.832Z,171781980083202
"""reilly @ FkycgsPCCs"" collected 14 from pot",2024-06-08T04:10:00.832Z,171781980083201
"Uncalled bet of 9 returned to ""reilly @ FkycgsPCCs""",2024-06-08T04:10:00.832Z,171781980083200
"""Taiyo @ oRLZGd29jc"" folds",2024-06-08T04:09:59.998Z,171781979999800
"""reilly @ FkycgsPCCs"" bets 9",2024-06-08T04:09:59.146Z,171781979914600
"""Taiyo @ oRLZGd29jc"" checks",2024-06-08T04:09:50.292Z,171781979029200
"Flop:  [5♠, 2♦, A♦]",2024-06-08T04:09:48.704Z,171781978870400
"""Taiyo @ oRLZGd29jc"" calls 7",2024-06-08T04:09:47.882Z,171781978788200
"""reilly @ FkycgsPCCs"" raises to 7",2024-06-08T04:09:42.158Z,171781978215800
"""Taiyo @ oRLZGd29jc"" posts a big blind of 3",2024-06-08T04:09:40.207Z,171781978020705
"""reilly @ FkycgsPCCs"" posts a small blind of 1",2024-06-08T04:09:40.207Z,171781978020704
"Player stacks: #2 ""Taiyo @ oRLZGd29jc"" (564) | #8 ""reilly @ FkycgsPCCs"" (897)",2024-06-08T04:09:40.207Z,171781978020701
"-- starting hand #485 (id: qgwwwp0cwra6)  (No Limit Texas Hold'em) (dealer: ""reilly @ FkycgsPCCs"") --",2024-06-08T04:09:40.207Z,171781978020700
"-- ending hand #484 --",2024-06-08T04:09:37.297Z,171781977729702
"""reilly @ FkycgsPCCs"" collected 2 from pot",2024-06-08T04:09:37.297Z,171781977729701
"Uncalled bet of 2 returned to ""reilly @ FkycgsPCCs""",2024-06-08T04:09:37.297Z,171781977729700
"""Taiyo @ oRLZGd29jc"" folds",2024-06-08T04:09:36.449Z,171781977644900
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-06-08T04:09:35.203Z,171781977520305
"""Taiyo @ oRLZGd29jc"" posts a small blind of 1",2024-06-08T04:09:35.203Z,171781977520304
"Player stacks: #2 ""Taiyo @ oRLZGd29jc"" (565) | #8 ""reilly @ FkycgsPCCs"" (896)",2024-06-08T04:09:35.203Z,171781977520301
"-- starting hand #484 (id: w8d5uwbwd9lx)  (No Limit Texas Hold'em) (dealer: ""Taiyo @ oRLZGd29jc"") --",2024-06-08T04:09:35.203Z,171781977520300
"-- ending hand #483 --",2024-06-08T04:09:32.277Z,171781977227702
"""Taiyo @ oRLZGd29jc"" collected 32 from pot",2024-06-08T04:09:32.277Z,171781977227701
"Uncalled bet of 20 returned to ""Taiyo @ oRLZGd29jc""",2024-06-08T04:09:32.277Z,171781977227700
"""reilly @ FkycgsPCCs"" folds",2024-06-08T04:09:31.464Z,171781977146400
"""Taiyo @ oRLZGd29jc"" bets 20",2024-06-08T04:09:26.617Z,171781976661700
"River: J♠, 10♠, 9♠, 6♥ [4♣]",2024-06-08T04:09:20.164Z,171781976016400
"""reilly @ FkycgsPCCs"" checks",2024-06-08T04:09:19.352Z,171781975935200
"""Taiyo @ oRLZGd29jc"" checks",2024-06-08T04:09:05.619Z,171781974561900
"Turn: J♠, 10♠, 9♠ [6♥]",2024-06-08T04:09:04.315Z,171781974431500
"""Taiyo @ oRLZGd29jc"" calls 9",2024-06-08T04:09:03.458Z,171781974345800
"""reilly @ FkycgsPCCs"" bets 9",2024-06-08T04:08:57.146Z,171781973714600
"""Taiyo @ oRLZGd29jc"" checks",2024-06-08T04:08:51.100Z,171781973110000
"Flop:  [J♠, 10♠, 9♠]",2024-06-08T04:08:49.336Z,171781972933600
"""Taiyo @ oRLZGd29jc"" calls 7",2024-06-08T04:08:48.513Z,171781972851300
"""reilly @ FkycgsPCCs"" raises to 7",2024-06-08T04:08:46.528Z,171781972652800
"""Taiyo @ oRLZGd29jc"" posts a big blind of 3",2024-06-08T04:08:45.331Z,171781972533105
"""reilly @ FkycgsPCCs"" posts a small blind of 1",2024-06-08T04:08:45.331Z,171781972533104
"Player stacks: #2 ""Taiyo @ oRLZGd29jc"" (549) | #8 ""reilly @ FkycgsPCCs"" (912)",2024-06-08T04:08:45.331Z,171781972533101
"-- starting hand #483 (id: ve2jhf6c4y6l)  (No Limit Texas Hold'em) (dealer: ""reilly @ FkycgsPCCs"") --",2024-06-08T04:08:45.331Z,171781972533100
"-- ending hand #482 --",2024-06-08T04:08:42.394Z,171781972239402
"""reilly @ FkycgsPCCs"" collected 2 from pot",2024-06-08T04:08:42.394Z,171781972239401
"Uncalled bet of 2 returned to ""reilly @ FkycgsPCCs""",2024-06-08T04:08:42.394Z,171781972239400
"""Taiyo @ oRLZGd29jc"" folds",2024-06-08T04:08:41.587Z,171781972158700
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-06-08T04:08:39.083Z,171781971908305
"""Taiyo @ oRLZGd29jc"" posts a small blind of 1",2024-06-08T04:08:39.083Z,171781971908304
"Player stacks: #2 ""Taiyo @ oRLZGd29jc"" (550) | #8 ""reilly @ FkycgsPCCs"" (911)",2024-06-08T04:08:39.083Z,171781971908301
