entry,at,order
"The player ""reilly @ FkycgsPCCs"" stand up with the stack of 1024.",2024-12-29T02:05:10.375Z,173543791037500
"The player ""BP @ u8ZkobHQbm"" quits the game with a stack of 308.",2024-12-29T02:04:35.456Z,173543787545600
"The player ""BP @ u8ZkobHQbm"" stand up with the stack of 308.",2024-12-29T02:04:30.883Z,173543787088300
"-- ending hand #553 --",2024-12-29T02:04:27.935Z,173543786793502
"""reilly @ FkycgsPCCs"" collected 2 from pot",2024-12-29T02:04:27.935Z,173543786793501
"Uncalled bet of 2 returned to ""reilly @ FkycgsPCCs""",2024-12-29T02:04:27.935Z,173543786793500
"""BP @ u8ZkobHQbm"" folds",2024-12-29T02:04:27.120Z,173543786712000
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-12-29T02:04:25.873Z,173543786587305
"""BP @ u8ZkobHQbm"" posts a small blind of 1",2024-12-29T02:04:25.873Z,173543786587304
"Player stacks: #1 ""BP @ u8ZkobHQbm"" (309) | #4 ""reilly @ FkycgsPCCs"" (1023)",2024-12-29T02:04:25.873Z,173543786587301
"-- starting hand #553 (id: ouux5detz97j)  (Pot Limit Omaha Hi) (dealer: ""BP @ u8ZkobHQbm"") --",2024-12-29T02:04:25.873Z,173543786587300
"-- ending hand #552 --",2024-12-29T02:04:22.869Z,173543786286902
"""reilly @ FkycgsPCCs"" collected 30 from pot",2024-12-29T02:04:22.869Z,173543786286901
"Uncalled bet of 20 returned to ""reilly @ FkycgsPCCs""",2024-12-29T02:04:22.869Z,173543786286900
"""BP @ u8ZkobHQbm"" folds",2024-12-29T02:04:21.967Z,173543786196700
"""reilly @ FkycgsPCCs"" bets 20",2024-12-29T02:04:20.601Z,173543786060100
"""BP @ u8ZkobHQbm"" checks",2024-12-29T02:04:05.777Z,173543784577700
"River: 2♣, 5♠, 2♦, 3♠ [4♦]",2024-12-29T02:04:02.840Z,173543784284000
"""reilly @ FkycgsPCCs"" checks",2024-12-29T02:04:01.967Z,173543784196700
"""BP @ u8ZkobHQbm"" checks",2024-12-29T02:03:51.205Z,173543783120500
"Turn: 2♣, 5♠, 2♦ [3♠]",2024-12-29T02:03:50.191Z,173543783019100
"""BP @ u8ZkobHQbm"" calls 6",2024-12-29T02:03:49.310Z,173543782931000
"""reilly @ FkycgsPCCs"" bets 6",2024-12-29T02:03:47.879Z,173543782787900
"""BP @ u8ZkobHQbm"" checks",2024-12-29T02:03:44.181Z,173543782418100
"Flop:  [2♣, 5♠, 2♦]",2024-12-29T02:03:43.185Z,173543782318500
"""BP @ u8ZkobHQbm"" calls 9",2024-12-29T02:03:42.378Z,173543782237800
"""reilly @ FkycgsPCCs"" raises to 9",2024-12-29T02:03:41.225Z,173543782122500
"""BP @ u8ZkobHQbm"" posts a big blind of 3",2024-12-29T02:03:38.581Z,173543781858105
"""reilly @ FkycgsPCCs"" posts a small blind of 1",2024-12-29T02:03:38.581Z,173543781858104
"Player stacks: #1 ""BP @ u8ZkobHQbm"" (324) | #4 ""reilly @ FkycgsPCCs"" (1008)",2024-12-29T02:03:38.581Z,173543781858101
"-- starting hand #552 (id: 41agrvo4jehu)  (Pot Limit Omaha Hi) (dealer: ""reilly @ FkycgsPCCs"") --",2024-12-29T02:03:38.581Z,173543781858100
"-- ending hand #551 --",2024-12-29T02:03:35.574Z,173543781557402
"""BP @ u8ZkobHQbm"" collected 18 from pot",2024-12-29T02:03:35.574Z,173543781557401
"Uncalled bet of 13 returned to ""BP @ u8ZkobHQbm""",2024-12-29T02:03:35.574Z,173543781557400
"""reilly @ FkycgsPCCs"" folds",2024-12-29T02:03:34.680Z,173543781468000
"""BP @ u8ZkobHQbm"" bets 13",2024-12-29T02:03:33.297Z,173543781329700
"""reilly @ FkycgsPCCs"" checks",2024-12-29T02:03:31.297Z,173543781129700
"Turn: 5♠, J♦, A♣ [8♠]",2024-12-29T02:03:24.854Z,173543780485400
"""BP @ u8ZkobHQbm"" checks",2024-12-29T02:03:24.049Z,173543780404900
