entry,at,order
"The player ""Arvind @ SUGU8h0mjs"" changed the ID from eP5JvHDh7G to SUGU8h0mjs because authenticated login.",2025-01-05T19:25:48.525Z,173610514852500
"The player ""Justin L @ yqQyICVyTe"" requested a seat.",2025-01-04T22:14:48.332Z,173602888833200
"The player ""Zach Z @ aKihSVwwAD"" requested a seat.",2025-01-04T20:14:26.652Z,173602166665200
"The player ""Zach Z @ kTpujMbr50"" requested a seat.",2025-01-04T20:07:12.153Z,173602123215300
"The player ""Arvind @ eP5JvHDh7G"" passed the room ownership to ""Mike C @ 7uy4019y8p"".",2025-01-04T19:36:52.176Z,173601941217600
"The player ""Arvind @ eP5JvHDh7G"" stand up with the stack of 612.",2025-01-04T19:36:38.139Z,173601939813900
"-- ending hand #125 --",2025-01-04T19:36:35.196Z,173601939519602
"""Mike C @ 7uy4019y8p"" collected 2 from pot",2025-01-04T19:36:35.196Z,173601939519601
"Uncalled bet of 2 returned to ""Mike C @ 7uy4019y8p""",2025-01-04T19:36:35.196Z,173601939519600
"""Arvind @ eP5JvHDh7G"" folds",2025-01-04T19:36:34.391Z,173601939439100
"""Mike C @ 7uy4019y8p"" posts a big blind of 3",2025-01-04T19:36:34.058Z,173601939405805
"""Arvind @ eP5JvHDh7G"" posts a small blind of 1",2025-01-04T19:36:34.058Z,173601939405804
"Player stacks: #2 ""Arvind @ eP5JvHDh7G"" (613) | #5 ""Mike C @ 7uy4019y8p"" (314)",2025-01-04T19:36:34.058Z,173601939405801
"-- starting hand #125 (id: anvawwuo41uz)  (No Limit Texas Hold'em) (dealer: ""Arvind @ eP5JvHDh7G"") --",2025-01-04T19:36:34.058Z,173601939405800
"-- ending hand #124 --",2025-01-04T19:36:31.135Z,173601939113502
"""Mike C @ 7uy4019y8p"" collected 6 from pot",2025-01-04T19:36:31.135Z,173601939113501
"Uncalled bet of 6 returned to ""Mike C @ 7uy4019y8p""",2025-01-04T19:36:31.135Z,173601939113500
"""Arvind @ eP5JvHDh7G"" folds",2025-01-04T19:36:30.319Z,173601939031900
"""Mike C @ 7uy4019y8p"" raises to 9",2025-01-04T19:36:25.145Z,173601938514500
"""Arvind @ eP5JvHDh7G"" posts a big blind of 3",2025-01-04T19:36:20.881Z,173601938088106
"""Mike C @ 7uy4019y8p"" posts a small blind of 1",2025-01-04T19:36:20.881Z,173601938088105
"Player stacks: #2 ""Arvind @ eP5JvHDh7G"" (616) | #5 ""Mike C @ 7uy4019y8p"" (311)",2025-01-04T19:36:20.881Z,173601938088102
"-- starting hand #124 (id: f32wdfxdgzz2)  (No Limit Texas Hold'em) (dealer: ""Mike C @ 7uy4019y8p"") --",2025-01-04T19:36:20.881Z,173601938088101
"The player ""Sai @ 0Y4I9d7s02"" stand up with the stack of 620.",2025-01-04T19:36:20.881Z,173601938088100
"-- ending hand #123 --",2025-01-04T19:36:17.965Z,173601937796502
"""Arvind @ eP5JvHDh7G"" collected 7 from pot",2025-01-04T19:36:17.965Z,173601937796501
"Uncalled bet of 6 returned to ""Arvind @ eP5JvHDh7G""",2025-01-04T19:36:17.965Z,173601937796500
"""Sai @ 0Y4I9d7s02"" folds",2025-01-04T19:36:17.161Z,173601937716100
"""Mike C @ 7uy4019y8p"" folds",2025-01-04T19:36:16.310Z,173601937631000
"""Arvind @ eP5JvHDh7G"" raises to 9",2025-01-04T19:36:15.340Z,173601937534000
"""Sai @ 0Y4I9d7s02"" posts a big blind of 3",2025-01-04T19:36:11.434Z,173601937143406
"""Mike C @ 7uy4019y8p"" posts a small blind of 1",2025-01-04T19:36:11.434Z,173601937143405
"Player stacks: #2 ""Arvind @ eP5JvHDh7G"" (612) | #5 ""Mike C @ 7uy4019y8p"" (312) | #8 ""Sai @ 0Y4I9d7s02"" (623)",2025-01-04T19:36:11.434Z,173601937143401
"-- starting hand #123 (id: ayvxlxavlkeh)  (No Limit Texas Hold'em) (dealer: ""Arvind @ eP5JvHDh7G"") --",2025-01-04T19:36:11.434Z,173601937143400
"-- ending hand #122 --",2025-01-04T19:36:05.416Z,173601936541602
"""Mike C @ 7uy4019y8p"" collected 51 from pot with Pair, 6's (combination: 6♣, 6♠, A♠, Q♥, 9♥)",2025-01-04T19:36:05.416Z,173601936541601
"""Mike C @ 7uy4019y8p"" shows a A♠, 9♥.",2025-01-04T19:36:05.416Z,173601936541600
"""Sai @ 0Y4I9d7s02"" checks",2025-01-04T19:36:04.571Z,173601936457100
"""Mike C @ 7uy4019y8p"" checks",2025-01-04T19:36:01.324Z,173601936132400
"River: 3♦, 6♣, Q♥, 6♠ [5♠]",2025-01-04T19:35:58.458Z,173601935845800
"""Mike C @ 7uy4019y8p"" calls 15",2025-01-04T19:35:57.610Z,173601935761000
"""Sai @ 0Y4I9d7s02"" bets 15",2025-01-04T19:35:47.012Z,173601934701200
"""Mike C @ 7uy4019y8p"" checks",2025-01-04T19:35:33.771Z,173601933377100
"Turn: 3♦, 6♣, Q♥ [6♠]",2025-01-04T19:35:27.963Z,173601932796300
"""Sai @ 0Y4I9d7s02"" checks",2025-01-04T19:35:27.157Z,173601932715700
"""Mike C @ 7uy4019y8p"" checks",2025-01-04T19:35:16.307Z,173601931630700
"Flop:  [3♦, 6♣, Q♥]",2025-01-04T19:35:14.731Z,173601931473100
"""Mike C @ 7uy4019y8p"" calls 10",2025-01-04T19:35:13.874Z,173601931387400
"""Arvind @ eP5JvHDh7G"" folds",2025-01-04T19:35:11.888Z,173601931188800
"""Sai @ 0Y4I9d7s02"" raises to 10",2025-01-04T19:35:10.753Z,173601931075300
"""Mike C @ 7uy4019y8p"" posts a big blind of 3",2025-01-04T19:34:53.227Z,173601929322706
"""Arvind @ eP5JvHDh7G"" posts a small blind of 1",2025-01-04T19:34:53.227Z,173601929322705
"Player stacks: #2 ""Arvind @ eP5JvHDh7G"" (613) | #5 ""Mike C @ 7uy4019y8p"" (286) | #8 ""Sai @ 0Y4I9d7s02"" (648)",2025-01-04T19:34:53.227Z,173601929322701
"-- starting hand #122 (id: jejbgio9b5ca)  (No Limit Texas Hold'em) (dealer: ""Sai @ 0Y4I9d7s02"") --",2025-01-04T19:34:53.227Z,173601929322700
"-- ending hand #121 --",2025-01-04T19:34:50.291Z,173601929029102
"""Sai @ 0Y4I9d7s02"" collected 6 from pot",2025-01-04T19:34:50.291Z,173601929029101
"Uncalled bet of 6 returned to ""Sai @ 0Y4I9d7s02""",2025-01-04T19:34:50.291Z,173601929029100
"""Arvind @ eP5JvHDh7G"" folds",2025-01-04T19:34:49.453Z,173601928945300
"""Sai @ 0Y4I9d7s02"" raises to 9",2025-01-04T19:34:46.689Z,173601928668900
"""Mike C @ 7uy4019y8p"" folds",2025-01-04T19:34:43.901Z,173601928390100
"""Arvind @ eP5JvHDh7G"" posts a big blind of 3",2025-01-04T19:34:42.414Z,173601928241406
"""Sai @ 0Y4I9d7s02"" posts a small blind of 1",2025-01-04T19:34:42.414Z,173601928241405
"Player stacks: #2 ""Arvind @ eP5JvHDh7G"" (616) | #5 ""Mike C @ 7uy4019y8p"" (286) | #8 ""Sai @ 0Y4I9d7s02"" (645)",2025-01-04T19:34:42.414Z,173601928241401
"-- starting hand #121 (id: qzmskvzpew1h)  (No Limit Texas Hold'em) (dealer: ""Mike C @ 7uy4019y8p"") --",2025-01-04T19:34:42.414Z,173601928241400
"-- ending hand #120 --",2025-01-04T19:34:39.472Z,173601927947202
"""Mike C @ 7uy4019y8p"" collected 24 from pot",2025-01-04T19:34:39.472Z,173601927947201
"Uncalled bet of 12 returned to ""Mike C @ 7uy4019y8p""",2025-01-04T19:34:39.472Z,173601927947200
"""Sai @ 0Y4I9d7s02"" folds",2025-01-04T19:34:38.618Z,173601927861800
"""Mike C @ 7uy4019y8p"" bets 12",2025-01-04T19:34:20.049Z,173601926004900
"Flop:  [6♦, 6♣, 10♥]",2025-01-04T19:34:14.817Z,173601925481700
"""Sai @ 0Y4I9d7s02"" calls 12",2025-01-04T19:34:13.982Z,173601925398200
"""Mike C @ 7uy4019y8p"" raises to 12",2025-01-04T19:34:08.903Z,173601924890300
"""Arvind @ eP5JvHDh7G"" folds",2025-01-04T19:34:05.388Z,173601924538800
