entry,at,order
"The player ""Sai @ 0Y4I9d7s02"" stand up with the stack of 797.",2025-01-05T10:02:27.898Z,173607134789800
"-- ending hand #603 --",2025-01-05T10:02:24.957Z,173607134495702
"""A H H @ k0nv5Q3DCM"" collected 112 from pot",2025-01-05T10:02:24.957Z,173607134495701
"Uncalled bet of 112 returned to ""A H H @ k0nv5Q3DCM""",2025-01-05T10:02:24.957Z,173607134495700
"""Sai @ 0Y4I9d7s02"" folds",2025-01-05T10:02:24.149Z,173607134414900
"""A H H @ k0nv5Q3DCM"" bets 112",2025-01-05T10:02:11.929Z,173607133192900
"River: 9♥, 2♠, 4♣, 8♠ [K♠]",2025-01-05T10:01:55.908Z,173607131590800
"""Sai @ 0Y4I9d7s02"" checks",2025-01-05T10:01:55.081Z,173607131508100
"""A H H @ k0nv5Q3DCM"" checks",2025-01-05T10:01:45.309Z,173607130530900
"Turn: 9♥, 2♠, 4♣ [8♠]",2025-01-05T10:01:43.301Z,173607130330100
"""A H H @ k0nv5Q3DCM"" calls 44",2025-01-05T10:01:42.469Z,173607130246900
"""Sai @ 0Y4I9d7s02"" raises to 44",2025-01-05T10:01:38.226Z,173607129822600
"""A H H @ k0nv5Q3DCM"" bets 16",2025-01-05T10:01:34.685Z,173607129468500
"Flop:  [9♥, 2♠, 4♣]",2025-01-05T10:01:29.771Z,173607128977100
"""Sai @ 0Y4I9d7s02"" calls 12",2025-01-05T10:01:28.962Z,173607128896200
"""A H H @ k0nv5Q3DCM"" raises to 12",2025-01-05T10:01:27.263Z,173607128726300
"""Sai @ 0Y4I9d7s02"" calls 3",2025-01-05T10:01:23.229Z,173607128322900
"""A H H @ k0nv5Q3DCM"" posts a big blind of 3",2025-01-05T10:01:21.361Z,173607128136105
"""Sai @ 0Y4I9d7s02"" posts a small blind of 1",2025-01-05T10:01:21.361Z,173607128136104
"Player stacks: #2 ""A H H @ k0nv5Q3DCM"" (2498) | #10 ""Sai @ 0Y4I9d7s02"" (853)",2025-01-05T10:01:21.361Z,173607128136101
"-- starting hand #603 (id: fqfhqh9zqrgg)  (No Limit Texas Hold'em) (dealer: ""Sai @ 0Y4I9d7s02"") --",2025-01-05T10:01:21.361Z,173607128136100
"-- ending hand #602 --",2025-01-05T10:01:18.415Z,173607127841502
"""Sai @ 0Y4I9d7s02"" collected 18 from pot",2025-01-05T10:01:18.415Z,173607127841501
"Uncalled bet of 18 returned to ""Sai @ 0Y4I9d7s02""",2025-01-05T10:01:18.415Z,173607127841500
"""A H H @ k0nv5Q3DCM"" folds",2025-01-05T10:01:17.556Z,173607127755600
"""Sai @ 0Y4I9d7s02"" bets 18",2025-01-05T10:01:10.866Z,173607127086600
"Turn: 6♠, 5♣, 4♥ [A♣]",2025-01-05T10:01:08.408Z,173607126840800
"""A H H @ k0nv5Q3DCM"" checks",2025-01-05T10:01:07.577Z,173607126757700
"""Sai @ 0Y4I9d7s02"" checks",2025-01-05T10:00:57.217Z,173607125721700
"Flop:  [6♠, 5♣, 4♥]",2025-01-05T10:00:55.445Z,173607125544500
"""Sai @ 0Y4I9d7s02"" calls 9",2025-01-05T10:00:54.612Z,173607125461200
"""A H H @ k0nv5Q3DCM"" raises to 9",2025-01-05T10:00:52.619Z,173607125261900
"""Sai @ 0Y4I9d7s02"" posts a big blind of 3",2025-01-05T10:00:48.732Z,173607124873205
"""A H H @ k0nv5Q3DCM"" posts a small blind of 1",2025-01-05T10:00:48.732Z,173607124873204
"Player stacks: #2 ""A H H @ k0nv5Q3DCM"" (2507) | #10 ""Sai @ 0Y4I9d7s02"" (844)",2025-01-05T10:00:48.732Z,173607124873201
"-- starting hand #602 (id: aqbvswhpvlha)  (No Limit Texas Hold'em) (dealer: ""A H H @ k0nv5Q3DCM"") --",2025-01-05T10:00:48.732Z,173607124873200
"-- ending hand #601 --",2025-01-05T10:00:42.719Z,173607124271903
"""Sai @ 0Y4I9d7s02"" shows a 3♦, A♥.",2025-01-05T10:00:42.719Z,173607124271902
"""A H H @ k0nv5Q3DCM"" collected 44 from pot with Pair, 7's (combination: 7♥, 7♦, K♥, J♣, 8♣)",2025-01-05T10:00:42.719Z,173607124271901
"""A H H @ k0nv5Q3DCM"" shows a 7♥, J♣.",2025-01-05T10:00:42.719Z,173607124271900
"""Sai @ 0Y4I9d7s02"" checks",2025-01-05T10:00:41.897Z,173607124189700
"""A H H @ k0nv5Q3DCM"" checks",2025-01-05T10:00:40.889Z,173607124088900
"River: 5♦, K♥, 3♥, 7♦ [8♣]",2025-01-05T10:00:37.981Z,173607123798100
"""Sai @ 0Y4I9d7s02"" checks",2025-01-05T10:00:37.175Z,173607123717500
"""A H H @ k0nv5Q3DCM"" checks",2025-01-05T10:00:35.019Z,173607123501900
"Turn: 5♦, K♥, 3♥ [7♦]",2025-01-05T10:00:33.504Z,173607123350400
"""A H H @ k0nv5Q3DCM"" calls 13",2025-01-05T10:00:32.640Z,173607123264000
"""Sai @ 0Y4I9d7s02"" bets 13",2025-01-05T10:00:26.006Z,173607122600600
"""A H H @ k0nv5Q3DCM"" checks",2025-01-05T10:00:23.529Z,173607122352900
"Flop:  [5♦, K♥, 3♥]",2025-01-05T10:00:21.970Z,173607122197000
"""A H H @ k0nv5Q3DCM"" calls 9",2025-01-05T10:00:21.151Z,173607122115100
"""Sai @ 0Y4I9d7s02"" raises to 9",2025-01-05T10:00:18.552Z,173607121855200
"""A H H @ k0nv5Q3DCM"" posts a big blind of 3",2025-01-05T10:00:16.417Z,173607121641705
"""Sai @ 0Y4I9d7s02"" posts a small blind of 1",2025-01-05T10:00:16.417Z,173607121641704
"Player stacks: #2 ""A H H @ k0nv5Q3DCM"" (2485) | #10 ""Sai @ 0Y4I9d7s02"" (866)",2025-01-05T10:00:16.417Z,173607121641701
"-- starting hand #601 (id: piewkj3unwhm)  (No Limit Texas Hold'em) (dealer: ""Sai @ 0Y4I9d7s02"") --",2025-01-05T10:00:16.417Z,173607121641700
"-- ending hand #600 --",2025-01-05T10:00:13.495Z,173607121349502
"""A H H @ k0nv5Q3DCM"" collected 6 from pot",2025-01-05T10:00:13.495Z,173607121349501
"Uncalled bet of 6 returned to ""A H H @ k0nv5Q3DCM""",2025-01-05T10:00:13.495Z,173607121349500
"""Sai @ 0Y4I9d7s02"" folds",2025-01-05T10:00:12.676Z,173607121267600
"""A H H @ k0nv5Q3DCM"" raises to 9",2025-01-05T10:00:10.972Z,173607121097200
"""Sai @ 0Y4I9d7s02"" posts a big blind of 3",2025-01-05T10:00:06.077Z,173607120607705
"""A H H @ k0nv5Q3DCM"" posts a small blind of 1",2025-01-05T10:00:06.077Z,173607120607704
"Player stacks: #2 ""A H H @ k0nv5Q3DCM"" (2482) | #10 ""Sai @ 0Y4I9d7s02"" (869)",2025-01-05T10:00:06.077Z,173607120607701
"-- starting hand #600 (id: uob084kxp4nf)  (No Limit Texas Hold'em) (dealer: ""A H H @ k0nv5Q3DCM"") --",2025-01-05T10:00:06.077Z,173607120607700
"-- ending hand #599 --",2025-01-05T10:00:03.164Z,173607120316402
"""Sai @ 0Y4I9d7s02"" collected 6 from pot",2025-01-05T10:00:03.164Z,173607120316401
"Uncalled bet of 6 returned to ""Sai @ 0Y4I9d7s02""",2025-01-05T10:00:03.164Z,173607120316400
"""A H H @ k0nv5Q3DCM"" folds",2025-01-05T10:00:02.359Z,173607120235900
"""Sai @ 0Y4I9d7s02"" raises to 9",2025-01-05T09:59:57.783Z,173607119778300
"""A H H @ k0nv5Q3DCM"" posts a big blind of 3",2025-01-05T09:59:55.458Z,173607119545805
"""Sai @ 0Y4I9d7s02"" posts a small blind of 1",2025-01-05T09:59:55.458Z,173607119545804
"Player stacks: #2 ""A H H @ k0nv5Q3DCM"" (2485) | #10 ""Sai @ 0Y4I9d7s02"" (866)",2025-01-05T09:59:55.458Z,173607119545801
"-- starting hand #599 (id: 7wxojcdmeimj)  (No Limit Texas Hold'em) (dealer: ""Sai @ 0Y4I9d7s02"") --",2025-01-05T09:59:55.458Z,173607119545800
"-- ending hand #598 --",2025-01-05T09:59:52.504Z,173607119250402
"""A H H @ k0nv5Q3DCM"" collected 18 from pot",2025-01-05T09:59:52.504Z,173607119250401
"Uncalled bet of 12 returned to ""A H H @ k0nv5Q3DCM""",2025-01-05T09:59:52.504Z,173607119250400
"""Sai @ 0Y4I9d7s02"" folds",2025-01-05T09:59:51.675Z,173607119167500
"""A H H @ k0nv5Q3DCM"" bets 12",2025-01-05T09:59:47.549Z,173607118754900
"""Sai @ 0Y4I9d7s02"" checks",2025-01-05T09:59:37.072Z,173607117707200
"Flop:  [8♥, J♦, J♥]",2025-01-05T09:59:35.918Z,173607117591800
"""Sai @ 0Y4I9d7s02"" calls 9",2025-01-05T09:59:35.089Z,173607117508900
"""A H H @ k0nv5Q3DCM"" raises to 9",2025-01-05T09:59:33.677Z,173607117367700
"""Sai @ 0Y4I9d7s02"" posts a big blind of 3",2025-01-05T09:59:27.621Z,173607116762105
"""A H H @ k0nv5Q3DCM"" posts a small blind of 1",2025-01-05T09:59:27.621Z,173607116762104
"Player stacks: #2 ""A H H @ k0nv5Q3DCM"" (2476) | #10 ""Sai @ 0Y4I9d7s02"" (875)",2025-01-05T09:59:27.621Z,173607116762101
"-- starting hand #598 (id: iehvkiaq0ixv)  (No Limit Texas Hold'em) (dealer: ""A H H @ k0nv5Q3DCM"") --",2025-01-05T09:59:27.621Z,173607116762100
"-- ending hand #597 --",2025-01-05T09:59:24.711Z,173607116471102
"""Sai @ 0Y4I9d7s02"" collected 6 from pot",2025-01-05T09:59:24.711Z,173607116471101
"Uncalled bet of 6 returned to ""Sai @ 0Y4I9d7s02""",2025-01-05T09:59:24.711Z,173607116471100
"""A H H @ k0nv5Q3DCM"" folds",2025-01-05T09:59:23.905Z,173607116390500
"""Sai @ 0Y4I9d7s02"" raises to 9",2025-01-05T09:59:18.307Z,173607115830700
"""A H H @ k0nv5Q3DCM"" posts a big blind of 3",2025-01-05T09:59:16.104Z,173607115610405
"""Sai @ 0Y4I9d7s02"" posts a small blind of 1",2025-01-05T09:59:16.104Z,173607115610404
"Player stacks: #2 ""A H H @ k0nv5Q3DCM"" (2479) | #10 ""Sai @ 0Y4I9d7s02"" (872)",2025-01-05T09:59:16.104Z,173607115610401
"-- starting hand #597 (id: uajx7v96m4ab)  (No Limit Texas Hold'em) (dealer: ""Sai @ 0Y4I9d7s02"") --",2025-01-05T09:59:16.104Z,173607115610400
"-- ending hand #596 --",2025-01-05T09:59:13.196Z,173607115319602
"""Sai @ 0Y4I9d7s02"" collected 2 from pot",2025-01-05T09:59:13.196Z,173607115319601
"Uncalled bet of 2 returned to ""Sai @ 0Y4I9d7s02""",2025-01-05T09:59:13.196Z,173607115319600
"""A H H @ k0nv5Q3DCM"" folds",2025-01-05T09:59:12.305Z,173607115230500
"""Sai @ 0Y4I9d7s02"" posts a big blind of 3",2025-01-05T09:59:10.446Z,173607115044605
"""A H H @ k0nv5Q3DCM"" posts a small blind of 1",2025-01-05T09:59:10.446Z,173607115044604
"Player stacks: #2 ""A H H @ k0nv5Q3DCM"" (2480) | #10 ""Sai @ 0Y4I9d7s02"" (871)",2025-01-05T09:59:10.446Z,173607115044601
"-- starting hand #596 (id: c3nzytmwygpi)  (No Limit Texas Hold'em) (dealer: ""A H H @ k0nv5Q3DCM"") --",2025-01-05T09:59:10.446Z,173607115044600
"-- ending hand #595 --",2025-01-05T09:59:07.498Z,173607114749802
"""A H H @ k0nv5Q3DCM"" collected 56 from pot",2025-01-05T09:59:07.498Z,173607114749801
"Uncalled bet of 38 returned to ""A H H @ k0nv5Q3DCM""",2025-01-05T09:59:07.498Z,173607114749800
"""Sai @ 0Y4I9d7s02"" folds",2025-01-05T09:59:06.675Z,173607114667500
"""A H H @ k0nv5Q3DCM"" bets 38",2025-01-05T09:59:05.191Z,173607114519100
"Turn: J♥, 7♠, 3♥ [Q♠]",2025-01-05T09:58:59.437Z,173607113943700
"""Sai @ 0Y4I9d7s02"" calls 16",2025-01-05T09:58:58.561Z,173607113856100
"""A H H @ k0nv5Q3DCM"" bets 16",2025-01-05T09:58:56.854Z,173607113685400
"Flop:  [J♥, 7♠, 3♥]",2025-01-05T09:58:51.431Z,173607113143100
"""Sai @ 0Y4I9d7s02"" calls 12",2025-01-05T09:58:50.619Z,173607113061900
"""A H H @ k0nv5Q3DCM"" raises to 12",2025-01-05T09:58:49.160Z,173607112916000
"""Sai @ 0Y4I9d7s02"" calls 3",2025-01-05T09:58:44.789Z,173607112478900
"""A H H @ k0nv5Q3DCM"" posts a big blind of 3",2025-01-05T09:58:32.802Z,173607111280205
"""Sai @ 0Y4I9d7s02"" posts a small blind of 1",2025-01-05T09:58:32.802Z,173607111280204
"Player stacks: #2 ""A H H @ k0nv5Q3DCM"" (2452) | #10 ""Sai @ 0Y4I9d7s02"" (899)",2025-01-05T09:58:32.802Z,173607111280201
"-- starting hand #595 (id: k4w1japfb5nb)  (No Limit Texas Hold'em) (dealer: ""Sai @ 0Y4I9d7s02"") --",2025-01-05T09:58:32.802Z,173607111280200
"-- ending hand #594 --",2025-01-05T09:58:29.800Z,173607110980002
"""Sai @ 0Y4I9d7s02"" collected 2 from pot",2025-01-05T09:58:29.800Z,173607110980001
"Uncalled bet of 2 returned to ""Sai @ 0Y4I9d7s02""",2025-01-05T09:58:29.800Z,173607110980000
"""A H H @ k0nv5Q3DCM"" folds",2025-01-05T09:58:28.951Z,173607110895100
"""Sai @ 0Y4I9d7s02"" posts a big blind of 3",2025-01-05T09:58:23.982Z,173607110398205
"""A H H @ k0nv5Q3DCM"" posts a small blind of 1",2025-01-05T09:58:23.982Z,173607110398204
"Player stacks: #2 ""A H H @ k0nv5Q3DCM"" (2453) | #10 ""Sai @ 0Y4I9d7s02"" (898)",2025-01-05T09:58:23.982Z,173607110398201
"-- starting hand #594 (id: vcjvf7iegimu)  (No Limit Texas Hold'em) (dealer: ""A H H @ k0nv5Q3DCM"") --",2025-01-05T09:58:23.982Z,173607110398200
"-- ending hand #593 --",2025-01-05T09:58:17.957Z,173607109795702
"""Sai @ 0Y4I9d7s02"" collected 18 from pot with Two Pair, Q's & 2's (combination: Q♠, Q♣, 2♥, 2♣, A♦)",2025-01-05T09:58:17.957Z,173607109795701
"""Sai @ 0Y4I9d7s02"" shows a Q♠, 2♥.",2025-01-05T09:58:17.957Z,173607109795700
"""A H H @ k0nv5Q3DCM"" calls 6",2025-01-05T09:58:17.074Z,173607109707400
"""Sai @ 0Y4I9d7s02"" bets 6",2025-01-05T09:58:14.380Z,173607109438000
"""A H H @ k0nv5Q3DCM"" checks",2025-01-05T09:58:11.859Z,173607109185900
"River: A♦, 10♦, 5♦, 2♣ [Q♣]",2025-01-05T09:58:05.571Z,173607108557100
"""Sai @ 0Y4I9d7s02"" checks",2025-01-05T09:58:04.728Z,173607108472800
"""A H H @ k0nv5Q3DCM"" checks",2025-01-05T09:58:03.719Z,173607108371900
"Turn: A♦, 10♦, 5♦ [2♣]",2025-01-05T09:57:59.564Z,173607107956400
"""Sai @ 0Y4I9d7s02"" checks",2025-01-05T09:57:58.732Z,173607107873200
"""A H H @ k0nv5Q3DCM"" checks",2025-01-05T09:57:57.260Z,173607107726000
"Flop:  [A♦, 10♦, 5♦]",2025-01-05T09:57:54.354Z,173607107435400
"""A H H @ k0nv5Q3DCM"" checks",2025-01-05T09:57:53.513Z,173607107351300
"""Sai @ 0Y4I9d7s02"" calls 3",2025-01-05T09:57:49.653Z,173607106965300
"""A H H @ k0nv5Q3DCM"" posts a big blind of 3",2025-01-05T09:57:42.337Z,173607106233705
"""Sai @ 0Y4I9d7s02"" posts a small blind of 1",2025-01-05T09:57:42.337Z,173607106233704
"Player stacks: #2 ""A H H @ k0nv5Q3DCM"" (2462) | #10 ""Sai @ 0Y4I9d7s02"" (889)",2025-01-05T09:57:42.337Z,173607106233701
"-- starting hand #593 (id: pviy6kl8yul5)  (No Limit Texas Hold'em) (dealer: ""Sai @ 0Y4I9d7s02"") --",2025-01-05T09:57:42.337Z,173607106233700
"-- ending hand #592 --",2025-01-05T09:57:36.292Z,173607105629202
"""A H H @ k0nv5Q3DCM"" collected 42 from pot with Pair, 8's (combination: 8♦, 8♣, Q♥, 10♠, 7♠)",2025-01-05T09:57:36.292Z,173607105629201
"""A H H @ k0nv5Q3DCM"" shows a Q♥, 8♦.",2025-01-05T09:57:36.292Z,173607105629200
"""A H H @ k0nv5Q3DCM"" checks",2025-01-05T09:57:35.419Z,173607105541900
