entry,at,order
"""Ted @ hnPb_XhoHB"" posts a big blind of 3",2023-11-27T07:39:57.650Z,170107079765009
"""Sen @ 1JuJdS7zxm"" posts a small blind of 1",2023-11-27T07:39:57.650Z,170107079765008
"Player stacks: #1 ""BP @ 3nEm3CsHfN"" (192) | #2 ""dwei2 @ 0VRx-vplT5"" (2352) | #3 ""Justin L @ iAQ8-a-ouy"" (574) | #8 ""Sen @ 1JuJdS7zxm"" (1492) | #9 ""Ted @ hnPb_XhoHB"" (1138) | #10 ""Alwin @ XsAH5wvz4G"" (1160)",2023-11-27T07:39:57.650Z,170107079765001
"-- starting hand #334 (id: fq5zxisbqwvv)  (No Limit Texas Hold'em) (dealer: ""Justin L @ iAQ8-a-ouy"") --",2023-11-27T07:39:57.650Z,170107079765000
"-- ending hand #333 --",2023-11-27T07:39:51.643Z,170107079164302
"""Justin L @ iAQ8-a-ouy"" collected 21 from pot with Pair, 10's (combination: 10♣, 10♥, A♣, Q♦, J♠)",2023-11-27T07:39:51.643Z,170107079164301
"""Justin L @ iAQ8-a-ouy"" shows a Q♦, 10♣.",2023-11-27T07:39:51.643Z,170107079164300
"""dwei2 @ 0VRx-vplT5"" checks",2023-11-27T07:39:50.804Z,170107079080400
"""Justin L @ iAQ8-a-ouy"" checks",2023-11-27T07:39:49.930Z,170107078993000
"River: 10♥, 5♦, 9♣, A♣ [J♠]",2023-11-27T07:39:42.633Z,170107078263300
"""dwei2 @ 0VRx-vplT5"" checks",2023-11-27T07:39:41.780Z,170107078178000
"""Justin L @ iAQ8-a-ouy"" checks",2023-11-27T07:39:39.600Z,170107077960000
"Turn: 10♥, 5♦, 9♣ [A♣]",2023-11-27T07:39:36.362Z,170107077636200
"""dwei2 @ 0VRx-vplT5"" checks",2023-11-27T07:39:35.537Z,170107077553700
"""Justin L @ iAQ8-a-ouy"" checks",2023-11-27T07:39:33.520Z,170107077352000
"Flop:  [10♥, 5♦, 9♣]",2023-11-27T07:39:31.089Z,170107077108900
"""Sen @ 1JuJdS7zxm"" folds",2023-11-27T07:39:30.248Z,170107077024800
"""Justin L @ iAQ8-a-ouy"" calls 9",2023-11-27T07:39:28.566Z,170107076856600
"""dwei2 @ 0VRx-vplT5"" raises to 9",2023-11-27T07:39:25.072Z,170107076507200
"""BP @ 3nEm3CsHfN"" folds",2023-11-27T07:39:22.355Z,170107076235500
"""Alwin @ XsAH5wvz4G"" folds",2023-11-27T07:39:21.266Z,170107076126600
"""Ted @ hnPb_XhoHB"" folds",2023-11-27T07:39:20.332Z,170107076033200
"""Sen @ 1JuJdS7zxm"" posts a big blind of 3",2023-11-27T07:39:17.415Z,170107075741510
"""Justin L @ iAQ8-a-ouy"" posts a small blind of 1",2023-11-27T07:39:17.415Z,170107075741509
"Player stacks: #1 ""BP @ 3nEm3CsHfN"" (192) | #2 ""dwei2 @ 0VRx-vplT5"" (2361) | #3 ""Justin L @ iAQ8-a-ouy"" (562) | #8 ""Sen @ 1JuJdS7zxm"" (1495) | #9 ""Ted @ hnPb_XhoHB"" (1138) | #10 ""Alwin @ XsAH5wvz4G"" (1160)",2023-11-27T07:39:17.415Z,170107075741502
"-- starting hand #333 (id: 2r5zpuzmml50)  (No Limit Texas Hold'em) (dealer: ""dwei2 @ 0VRx-vplT5"") --",2023-11-27T07:39:17.415Z,170107075741501
"The player ""Yosef @ RC6Ah7EXu_"" stand up with the stack of 2532.",2023-11-27T07:39:17.415Z,170107075741500
"-- ending hand #332 --",2023-11-27T07:39:11.409Z,170107075140903
"""Alwin @ XsAH5wvz4G"" shows a Q♦, K♦.",2023-11-27T07:39:11.409Z,170107075140902
"""BP @ 3nEm3CsHfN"" collected 52 from pot with Pair, J's (combination: J♣, J♦, A♥, 10♠, 8♣)",2023-11-27T07:39:11.409Z,170107075140901
"""BP @ 3nEm3CsHfN"" shows a J♣, 10♠.",2023-11-27T07:39:11.409Z,170107075140900
"""BP @ 3nEm3CsHfN"" checks",2023-11-27T07:39:10.570Z,170107075057000
"""Alwin @ XsAH5wvz4G"" checks",2023-11-27T07:38:58.415Z,170107073841500
"River: 7♣, 8♣, A♥, J♦ [6♠]",2023-11-27T07:38:49.843Z,170107072984300
"""BP @ 3nEm3CsHfN"" calls 15",2023-11-27T07:38:49.010Z,170107072901000
"""Alwin @ XsAH5wvz4G"" bets 15",2023-11-27T07:38:45.318Z,170107072531800
"Turn: 7♣, 8♣, A♥ [J♦]",2023-11-27T07:38:37.304Z,170107071730400
"""BP @ 3nEm3CsHfN"" checks",2023-11-27T07:38:36.489Z,170107071648900
"""Alwin @ XsAH5wvz4G"" checks",2023-11-27T07:38:34.194Z,170107071419400
"Flop:  [7♣, 8♣, A♥]",2023-11-27T07:38:31.560Z,170107071156000
"""Justin L @ iAQ8-a-ouy"" folds",2023-11-27T07:38:30.739Z,170107071073900
"""dwei2 @ 0VRx-vplT5"" folds",2023-11-27T07:38:29.790Z,170107070979000
"""BP @ 3nEm3CsHfN"" calls 9",2023-11-27T07:38:28.933Z,170107070893300
"""Alwin @ XsAH5wvz4G"" raises to 9",2023-11-27T07:38:25.691Z,170107070569100
"""Ted @ hnPb_XhoHB"" folds",2023-11-27T07:38:13.253Z,170107069325300
"""Sen @ 1JuJdS7zxm"" folds",2023-11-27T07:38:11.923Z,170107069192300
"""Yosef @ RC6Ah7EXu_"" folds",2023-11-27T07:38:11.003Z,170107069100300
"""Justin L @ iAQ8-a-ouy"" posts a big blind of 3",2023-11-27T07:38:08.728Z,170107068872810
"""dwei2 @ 0VRx-vplT5"" posts a small blind of 1",2023-11-27T07:38:08.728Z,170107068872809
"Player stacks: #1 ""BP @ 3nEm3CsHfN"" (164) | #2 ""dwei2 @ 0VRx-vplT5"" (2362) | #3 ""Justin L @ iAQ8-a-ouy"" (565) | #6 ""Yosef @ RC6Ah7EXu_"" (2532) | #8 ""Sen @ 1JuJdS7zxm"" (1495) | #9 ""Ted @ hnPb_XhoHB"" (1138) | #10 ""Alwin @ XsAH5wvz4G"" (1184)",2023-11-27T07:38:08.728Z,170107068872801
"-- starting hand #332 (id: aohq1g4opt8j)  (No Limit Texas Hold'em) (dealer: ""BP @ 3nEm3CsHfN"") --",2023-11-27T07:38:08.728Z,170107068872800
"-- ending hand #331 --",2023-11-27T07:38:05.799Z,170107068579902
"""dwei2 @ 0VRx-vplT5"" collected 2 from pot",2023-11-27T07:38:05.799Z,170107068579901
"Uncalled bet of 2 returned to ""dwei2 @ 0VRx-vplT5""",2023-11-27T07:38:05.799Z,170107068579900
"""BP @ 3nEm3CsHfN"" folds",2023-11-27T07:38:04.947Z,170107068494700
"""Alwin @ XsAH5wvz4G"" folds",2023-11-27T07:38:04.113Z,170107068411300
"""Ted @ hnPb_XhoHB"" folds",2023-11-27T07:37:55.627Z,170107067562700
"""Sen @ 1JuJdS7zxm"" folds",2023-11-27T07:37:54.751Z,170107067475100
"""Yosef @ RC6Ah7EXu_"" folds",2023-11-27T07:37:50.206Z,170107067020600
"""Justin L @ iAQ8-a-ouy"" folds",2023-11-27T07:37:47.390Z,170107066739000
"""dwei2 @ 0VRx-vplT5"" posts a big blind of 3",2023-11-27T07:37:42.576Z,170107066257610
"""BP @ 3nEm3CsHfN"" posts a small blind of 1",2023-11-27T07:37:42.576Z,170107066257609
"Player stacks: #1 ""BP @ 3nEm3CsHfN"" (165) | #2 ""dwei2 @ 0VRx-vplT5"" (2361) | #3 ""Justin L @ iAQ8-a-ouy"" (565) | #6 ""Yosef @ RC6Ah7EXu_"" (2532) | #8 ""Sen @ 1JuJdS7zxm"" (1495) | #9 ""Ted @ hnPb_XhoHB"" (1138) | #10 ""Alwin @ XsAH5wvz4G"" (1184)",2023-11-27T07:37:42.576Z,170107066257601
"-- starting hand #331 (id: csrl7e6kvovy)  (No Limit Texas Hold'em) (dealer: ""Alwin @ XsAH5wvz4G"") --",2023-11-27T07:37:42.576Z,170107066257600
"-- ending hand #330 --",2023-11-27T07:37:39.663Z,170107065966302
"""BP @ 3nEm3CsHfN"" collected 7 from pot",2023-11-27T07:37:39.663Z,170107065966301
"Uncalled bet of 5 returned to ""BP @ 3nEm3CsHfN""",2023-11-27T07:37:39.663Z,170107065966300
"""Justin L @ iAQ8-a-ouy"" folds",2023-11-27T07:37:38.821Z,170107065882100
"""BP @ 3nEm3CsHfN"" raises to 8",2023-11-27T07:37:37.759Z,170107065775900
"""Alwin @ XsAH5wvz4G"" folds",2023-11-27T07:37:33.753Z,170107065375300
"""Ted @ hnPb_XhoHB"" folds",2023-11-27T07:37:32.780Z,170107065278000
"""Sen @ 1JuJdS7zxm"" folds",2023-11-27T07:37:30.262Z,170107065026200
"""Yosef @ RC6Ah7EXu_"" folds",2023-11-27T07:37:29.374Z,170107064937400
"""Justin L @ iAQ8-a-ouy"" calls 3",2023-11-27T07:37:28.482Z,170107064848200
"""dwei2 @ 0VRx-vplT5"" folds",2023-11-27T07:37:04.834Z,170107062483400
"""BP @ 3nEm3CsHfN"" posts a big blind of 3",2023-11-27T07:37:03.185Z,170107062318510
"""Alwin @ XsAH5wvz4G"" posts a small blind of 1",2023-11-27T07:37:03.185Z,170107062318509
"Player stacks: #1 ""BP @ 3nEm3CsHfN"" (161) | #2 ""dwei2 @ 0VRx-vplT5"" (2361) | #3 ""Justin L @ iAQ8-a-ouy"" (568) | #6 ""Yosef @ RC6Ah7EXu_"" (2532) | #8 ""Sen @ 1JuJdS7zxm"" (1495) | #9 ""Ted @ hnPb_XhoHB"" (1138) | #10 ""Alwin @ XsAH5wvz4G"" (1185)",2023-11-27T07:37:03.185Z,170107062318501
"-- starting hand #330 (id: bcacc6in0hx1)  (No Limit Texas Hold'em) (dealer: ""Ted @ hnPb_XhoHB"") --",2023-11-27T07:37:03.185Z,170107062318500
"-- ending hand #329 --",2023-11-27T07:37:00.218Z,170107062021802
"""Ted @ hnPb_XhoHB"" collected 6 from pot",2023-11-27T07:37:00.218Z,170107062021801
"Uncalled bet of 9 returned to ""Ted @ hnPb_XhoHB""",2023-11-27T07:37:00.218Z,170107062021800
"""Alwin @ XsAH5wvz4G"" folds",2023-11-27T07:36:59.411Z,170107061941100
"""Ted @ hnPb_XhoHB"" raises to 12",2023-11-27T07:36:57.399Z,170107061739900
"""Sen @ 1JuJdS7zxm"" folds",2023-11-27T07:36:52.264Z,170107061226400
"""Yosef @ RC6Ah7EXu_"" folds",2023-11-27T07:36:51.392Z,170107061139200
"""Justin L @ iAQ8-a-ouy"" folds",2023-11-27T07:36:50.433Z,170107061043300
"""dwei2 @ 0VRx-vplT5"" folds",2023-11-27T07:36:24.892Z,170107058489200
"""BP @ 3nEm3CsHfN"" folds",2023-11-27T07:36:23.957Z,170107058395700
"""Alwin @ XsAH5wvz4G"" posts a big blind of 3",2023-11-27T07:36:23.154Z,170107058315410
"""Ted @ hnPb_XhoHB"" posts a small blind of 1",2023-11-27T07:36:23.154Z,170107058315409
"Player stacks: #1 ""BP @ 3nEm3CsHfN"" (161) | #2 ""dwei2 @ 0VRx-vplT5"" (2361) | #3 ""Justin L @ iAQ8-a-ouy"" (568) | #6 ""Yosef @ RC6Ah7EXu_"" (2532) | #8 ""Sen @ 1JuJdS7zxm"" (1495) | #9 ""Ted @ hnPb_XhoHB"" (1135) | #10 ""Alwin @ XsAH5wvz4G"" (1188)",2023-11-27T07:36:23.154Z,170107058315401
"-- starting hand #329 (id: lcej5cbcgnu2)  (No Limit Texas Hold'em) (dealer: ""Sen @ 1JuJdS7zxm"") --",2023-11-27T07:36:23.154Z,170107058315400
"-- ending hand #328 --",2023-11-27T07:36:20.249Z,170107058024902
"""dwei2 @ 0VRx-vplT5"" collected 7 from pot",2023-11-27T07:36:20.249Z,170107058024901
