entry,at,order
"The player ""reilly @ FkycgsPCCs"" stand up with the stack of 818.",2024-12-27T01:16:43.045Z,173526220304500
"-- ending hand #108 --",2024-12-27T01:16:40.039Z,173526220003902
"""Ben @ Zg64eX1ZF-"" collected 42 from pot with Two Pair (combination: J♣, J♥, 8♥, 8♦, 9♦)",2024-12-27T01:16:40.039Z,173526220003901
"""Ben @ Zg64eX1ZF-"" shows a J♣, 3♦, 6♣, J♥.",2024-12-27T01:16:40.039Z,173526220003900
"""reilly @ FkycgsPCCs"" checks",2024-12-27T01:16:39.223Z,173526219922300
"""Ben @ Zg64eX1ZF-"" checks",2024-12-27T01:16:34.487Z,173526219448700
"River: 9♦, 8♥, 2♣, 8♦ [6♥]",2024-12-27T01:16:18.574Z,173526217857400
"""reilly @ FkycgsPCCs"" checks",2024-12-27T01:16:17.753Z,173526217775300
"""Ben @ Zg64eX1ZF-"" checks",2024-12-27T01:16:07.112Z,173526216711200
"Turn: 9♦, 8♥, 2♣ [8♦]",2024-12-27T01:16:05.107Z,173526216510700
"""Ben @ Zg64eX1ZF-"" calls 12",2024-12-27T01:16:04.283Z,173526216428300
"""reilly @ FkycgsPCCs"" bets 12",2024-12-27T01:15:50.919Z,173526215091900
"""Ben @ Zg64eX1ZF-"" checks",2024-12-27T01:15:39.041Z,173526213904100
"Flop:  [9♦, 8♥, 2♣]",2024-12-27T01:15:36.867Z,173526213686700
"""Ben @ Zg64eX1ZF-"" calls 9",2024-12-27T01:15:35.982Z,173526213598200
"""reilly @ FkycgsPCCs"" raises to 9",2024-12-27T01:15:32.507Z,173526213250700
"""Ben @ Zg64eX1ZF-"" posts a big blind of 3",2024-12-27T01:15:28.941Z,173526212894105
"""reilly @ FkycgsPCCs"" posts a small blind of 1",2024-12-27T01:15:28.941Z,173526212894104
"Player stacks: #1 ""reilly @ FkycgsPCCs"" (839) | #9 ""Ben @ Zg64eX1ZF-"" (661)",2024-12-27T01:15:28.941Z,173526212894101
"-- starting hand #108 (id: yfxbi5dixbmw)  (Pot Limit Omaha Hi) (dealer: ""reilly @ FkycgsPCCs"") --",2024-12-27T01:15:28.941Z,173526212894100
"-- ending hand #107 --",2024-12-27T01:15:26.031Z,173526212603102
"""Ben @ Zg64eX1ZF-"" collected 6 from pot",2024-12-27T01:15:26.031Z,173526212603101
"Uncalled bet of 6 returned to ""Ben @ Zg64eX1ZF-""",2024-12-27T01:15:26.031Z,173526212603100
"""reilly @ FkycgsPCCs"" folds",2024-12-27T01:15:25.139Z,173526212513900
"""Ben @ Zg64eX1ZF-"" raises to 9",2024-12-27T01:15:15.724Z,173526211572400
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-12-27T01:15:12.522Z,173526211252205
"""Ben @ Zg64eX1ZF-"" posts a small blind of 1",2024-12-27T01:15:12.522Z,173526211252204
"Player stacks: #1 ""reilly @ FkycgsPCCs"" (842) | #9 ""Ben @ Zg64eX1ZF-"" (658)",2024-12-27T01:15:12.522Z,173526211252201
"-- starting hand #107 (id: s3p4bgatjhl2)  (Pot Limit Omaha Hi) (dealer: ""Ben @ Zg64eX1ZF-"") --",2024-12-27T01:15:12.522Z,173526211252200
"-- ending hand #106 --",2024-12-27T01:15:09.612Z,173526210961202
