entry,at,order
"The player ""HY @ RzZqRjTje6"" passed the room ownership to ""AHH @ KKDJ1brgcv"".",2024-12-24T12:27:55.448Z,173504327544800
"The player ""HY @ RzZqRjTje6"" quits the game with a stack of 415.66.",2024-12-24T12:12:49.631Z,173504236963100
"The player ""PaulB @ DemOWvLIyz"" quits the game with a stack of 549.05.",2024-12-24T11:23:16.383Z,173503939638302
"The player ""PaulB @ DemOWvLIyz"" stand up with the stack of 549.05.",2024-12-24T11:23:16.383Z,173503939638301
"The player ""AHH @ KKDJ1brgcv"" stand up with the stack of 588.08.",2024-12-24T11:23:16.383Z,173503939638300
"-- ending hand #595 --",2024-12-24T11:23:10.461Z,173503939046102
"""AHH @ KKDJ1brgcv"" collected 2.25 from pot",2024-12-24T11:23:10.461Z,173503939046101
"Uncalled bet of 3.50 returned to ""AHH @ KKDJ1brgcv""",2024-12-24T11:23:10.461Z,173503939046100
"""HY @ RzZqRjTje6"" folds",2024-12-24T11:23:09.627Z,173503938962700
"""AHH @ KKDJ1brgcv"" raises to 4.50",2024-12-24T11:22:48.769Z,173503936876900
"""PaulB @ DemOWvLIyz"" folds",2024-12-24T11:22:29.920Z,173503934992000
"""HY @ RzZqRjTje6"" posts a straddle of 1.00",2024-12-24T11:22:28.520Z,173503934852007
"""AHH @ KKDJ1brgcv"" posts a big blind of 0.50",2024-12-24T11:22:28.520Z,173503934852006
"""PaulB @ DemOWvLIyz"" posts a small blind of 0.25",2024-12-24T11:22:28.520Z,173503934852005
"Your hand is 5♣, K♠",2024-12-24T11:22:28.520Z,173503934852004
"Player stacks: #1 ""HY @ RzZqRjTje6"" (416.66) | #8 ""PaulB @ DemOWvLIyz"" (549.30) | #10 ""AHH @ KKDJ1brgcv"" (586.83)",2024-12-24T11:22:28.520Z,173503934852001
"-- starting hand #595 (id: ucbya1hfdirz)  (No Limit Texas Hold'em) (dealer: ""HY @ RzZqRjTje6"") --",2024-12-24T11:22:28.520Z,173503934852000
"-- ending hand #594 --",2024-12-24T11:22:25.464Z,173503934546402
"""PaulB @ DemOWvLIyz"" collected 83.25 from pot with Flush, Qd High (combination: Q♦, 9♦, 7♦, 5♦, 3♦)",2024-12-24T11:22:25.464Z,173503934546401
"""PaulB @ DemOWvLIyz"" shows a 9♦, Q♦.",2024-12-24T11:22:25.464Z,173503934546400
"""AHH @ KKDJ1brgcv"" calls 31.50",2024-12-24T11:22:24.657Z,173503934465700
"""PaulB @ DemOWvLIyz"" bets 31.50",2024-12-24T11:22:22.791Z,173503934279100
"River: 5♦, 3♦, 7♦, 6♣ [A♥]",2024-12-24T11:22:19.054Z,173503933905400
"""AHH @ KKDJ1brgcv"" checks",2024-12-24T11:22:18.222Z,173503933822200
"""PaulB @ DemOWvLIyz"" checks",2024-12-24T11:22:02.331Z,173503932233100
"Turn: 5♦, 3♦, 7♦ [6♣]",2024-12-24T11:22:00.163Z,173503932016300
"""AHH @ KKDJ1brgcv"" checks",2024-12-24T11:21:59.356Z,173503931935600
"""PaulB @ DemOWvLIyz"" checks",2024-12-24T11:21:46.455Z,173503930645500
"Flop:  [5♦, 3♦, 7♦]",2024-12-24T11:21:45.101Z,173503930510100
"""PaulB @ DemOWvLIyz"" calls 10.00",2024-12-24T11:21:44.268Z,173503930426800
"""AHH @ KKDJ1brgcv"" raises to 10.00",2024-12-24T11:21:39.587Z,173503929958700
"""PaulB @ DemOWvLIyz"" raises to 3.00",2024-12-24T11:21:30.664Z,173503929066400
"""HY @ RzZqRjTje6"" folds",2024-12-24T11:21:23.909Z,173503928390900
"""AHH @ KKDJ1brgcv"" posts a straddle of 1.00",2024-12-24T11:21:03.866Z,173503926386607
"""PaulB @ DemOWvLIyz"" posts a big blind of 0.50",2024-12-24T11:21:03.866Z,173503926386606
"""HY @ RzZqRjTje6"" posts a small blind of 0.25",2024-12-24T11:21:03.866Z,173503926386605
"Your hand is A♠, 10♠",2024-12-24T11:21:03.866Z,173503926386604
"Player stacks: #1 ""HY @ RzZqRjTje6"" (416.91) | #8 ""PaulB @ DemOWvLIyz"" (507.55) | #10 ""AHH @ KKDJ1brgcv"" (628.33)",2024-12-24T11:21:03.866Z,173503926386601
"-- starting hand #594 (id: 09pzcjsbtrve)  (No Limit Texas Hold'em) (dealer: ""AHH @ KKDJ1brgcv"") --",2024-12-24T11:21:03.866Z,173503926386600
"-- ending hand #593 --",2024-12-24T11:21:00.850Z,173503926085002
"""AHH @ KKDJ1brgcv"" collected 85.50 from pot with Full House, Q's over J's (combination: Q♣, Q♥, Q♦, J♣, J♠)",2024-12-24T11:21:00.850Z,173503926085001
"""AHH @ KKDJ1brgcv"" shows a Q♣, K♥.",2024-12-24T11:21:00.850Z,173503926085000
"""PaulB @ DemOWvLIyz"" calls 28.50",2024-12-24T11:20:59.986Z,173503925998600
"""AHH @ KKDJ1brgcv"" bets 28.50",2024-12-24T11:20:40.202Z,173503924020200
"River: J♣, 2♥, Q♥, J♠ [Q♦]",2024-12-24T11:20:34.593Z,173503923459300
"""PaulB @ DemOWvLIyz"" checks",2024-12-24T11:20:33.790Z,173503923379000
"""AHH @ KKDJ1brgcv"" checks",2024-12-24T11:20:30.540Z,173503923054000
"Turn: J♣, 2♥, Q♥ [J♠]",2024-12-24T11:20:26.949Z,173503922694900
"""PaulB @ DemOWvLIyz"" calls 9.50",2024-12-24T11:20:26.118Z,173503922611800
"""AHH @ KKDJ1brgcv"" bets 9.50",2024-12-24T11:20:23.427Z,173503922342700
"Flop:  [J♣, 2♥, Q♥]",2024-12-24T11:20:18.547Z,173503921854700
"""PaulB @ DemOWvLIyz"" calls 4.50",2024-12-24T11:20:17.725Z,173503921772500
"""HY @ RzZqRjTje6"" folds",2024-12-24T11:20:15.246Z,173503921524600
"""AHH @ KKDJ1brgcv"" raises to 4.50",2024-12-24T11:19:54.399Z,173503919439900
"""PaulB @ DemOWvLIyz"" posts a straddle of 1.00",2024-12-24T11:19:45.010Z,173503918501007
"""HY @ RzZqRjTje6"" posts a big blind of 0.50",2024-12-24T11:19:45.010Z,173503918501006
"""AHH @ KKDJ1brgcv"" posts a small blind of 0.25",2024-12-24T11:19:45.010Z,173503918501005
"Your hand is Q♣, K♥",2024-12-24T11:19:45.010Z,173503918501004
"Player stacks: #1 ""HY @ RzZqRjTje6"" (417.41) | #8 ""PaulB @ DemOWvLIyz"" (550.05) | #10 ""AHH @ KKDJ1brgcv"" (585.33)",2024-12-24T11:19:45.010Z,173503918501001
"-- starting hand #593 (id: nxldxdimyrc8)  (No Limit Texas Hold'em) (dealer: ""PaulB @ DemOWvLIyz"") --",2024-12-24T11:19:45.010Z,173503918501000
"-- ending hand #592 --",2024-12-24T11:19:39.093Z,173503917909302
"""AHH @ KKDJ1brgcv"" collected 2.25 from pot",2024-12-24T11:19:39.093Z,173503917909301
"Uncalled bet of 3.50 returned to ""AHH @ KKDJ1brgcv""",2024-12-24T11:19:39.093Z,173503917909300
"""HY @ RzZqRjTje6"" folds",2024-12-24T11:19:38.255Z,173503917825500
"""AHH @ KKDJ1brgcv"" raises to 4.50",2024-12-24T11:19:17.391Z,173503915739100
"""PaulB @ DemOWvLIyz"" folds",2024-12-24T11:19:01.316Z,173503914131600
"""HY @ RzZqRjTje6"" posts a straddle of 1.00",2024-12-24T11:18:57.143Z,173503913714307
"""AHH @ KKDJ1brgcv"" posts a big blind of 0.50",2024-12-24T11:18:57.143Z,173503913714306
"""PaulB @ DemOWvLIyz"" posts a small blind of 0.25",2024-12-24T11:18:57.143Z,173503913714305
"Your hand is 10♥, 7♣",2024-12-24T11:18:57.143Z,173503913714304
"Player stacks: #1 ""HY @ RzZqRjTje6"" (418.41) | #8 ""PaulB @ DemOWvLIyz"" (550.30) | #10 ""AHH @ KKDJ1brgcv"" (584.08)",2024-12-24T11:18:57.143Z,173503913714301
"-- starting hand #592 (id: qgxnqyoewhr9)  (No Limit Texas Hold'em) (dealer: ""HY @ RzZqRjTje6"") --",2024-12-24T11:18:57.143Z,173503913714300
"-- ending hand #591 --",2024-12-24T11:18:54.137Z,173503913413702
"""AHH @ KKDJ1brgcv"" collected 1.25 from pot",2024-12-24T11:18:54.137Z,173503913413701
"Uncalled bet of 0.50 returned to ""AHH @ KKDJ1brgcv""",2024-12-24T11:18:54.137Z,173503913413700
"""PaulB @ DemOWvLIyz"" folds",2024-12-24T11:18:53.326Z,173503913332600
"""HY @ RzZqRjTje6"" folds",2024-12-24T11:18:50.334Z,173503913033400
"""AHH @ KKDJ1brgcv"" posts a straddle of 1.00",2024-12-24T11:18:30.307Z,173503911030707
"""PaulB @ DemOWvLIyz"" posts a big blind of 0.50",2024-12-24T11:18:30.307Z,173503911030706
"""HY @ RzZqRjTje6"" posts a small blind of 0.25",2024-12-24T11:18:30.307Z,173503911030705
"Your hand is 9♦, J♠",2024-12-24T11:18:30.307Z,173503911030704
"Player stacks: #1 ""HY @ RzZqRjTje6"" (418.66) | #8 ""PaulB @ DemOWvLIyz"" (550.80) | #10 ""AHH @ KKDJ1brgcv"" (583.33)",2024-12-24T11:18:30.307Z,173503911030701
"-- starting hand #591 (id: y9dwzhtzs52s)  (No Limit Texas Hold'em) (dealer: ""AHH @ KKDJ1brgcv"") --",2024-12-24T11:18:30.307Z,173503911030700
"-- ending hand #590 --",2024-12-24T11:18:27.293Z,173503910729302
"""AHH @ KKDJ1brgcv"" collected 9.50 from pot with A High (combination: A♥, K♥, 10♦, 8♣, 7♠)",2024-12-24T11:18:27.293Z,173503910729301
"""AHH @ KKDJ1brgcv"" shows a 8♣, A♥.",2024-12-24T11:18:27.293Z,173503910729300
"""PaulB @ DemOWvLIyz"" checks",2024-12-24T11:18:26.486Z,173503910648600
"""AHH @ KKDJ1brgcv"" checks",2024-12-24T11:18:24.134Z,173503910413400
"River: K♥, 10♦, 3♣, 2♠ [7♠]",2024-12-24T11:18:15.880Z,173503909588000
"""PaulB @ DemOWvLIyz"" checks",2024-12-24T11:18:15.061Z,173503909506100
"""AHH @ KKDJ1brgcv"" checks",2024-12-24T11:18:13.788Z,173503909378800
"Turn: K♥, 10♦, 3♣ [2♠]",2024-12-24T11:18:09.063Z,173503908906300
"""PaulB @ DemOWvLIyz"" checks",2024-12-24T11:18:08.194Z,173503908819400
"""AHH @ KKDJ1brgcv"" checks",2024-12-24T11:18:06.357Z,173503908635700
"Flop:  [K♥, 10♦, 3♣]",2024-12-24T11:17:58.652Z,173503907865200
"""PaulB @ DemOWvLIyz"" calls 4.50",2024-12-24T11:17:57.808Z,173503907780800
"""HY @ RzZqRjTje6"" folds",2024-12-24T11:17:54.036Z,173503907403600
"""AHH @ KKDJ1brgcv"" raises to 4.50",2024-12-24T11:17:33.161Z,173503905316100
"""PaulB @ DemOWvLIyz"" posts a straddle of 1.00",2024-12-24T11:17:15.395Z,173503903539507
"""HY @ RzZqRjTje6"" posts a big blind of 0.50",2024-12-24T11:17:15.395Z,173503903539506
"""AHH @ KKDJ1brgcv"" posts a small blind of 0.25",2024-12-24T11:17:15.395Z,173503903539505
"Your hand is 8♣, A♥",2024-12-24T11:17:15.395Z,173503903539504
"Player stacks: #1 ""HY @ RzZqRjTje6"" (419.16) | #8 ""PaulB @ DemOWvLIyz"" (555.30) | #10 ""AHH @ KKDJ1brgcv"" (578.33)",2024-12-24T11:17:15.395Z,173503903539501
"-- starting hand #590 (id: fir2gn6wzd6g)  (No Limit Texas Hold'em) (dealer: ""PaulB @ DemOWvLIyz"") --",2024-12-24T11:17:15.395Z,173503903539500
"Undealt cards: 10♥, 4♠, 2♣ [8♦, J♣]",2024-12-24T11:17:14.110Z,173503903411000
"-- ending hand #589 --",2024-12-24T11:17:09.454Z,173503902945402
"""PaulB @ DemOWvLIyz"" collected 7.00 from pot",2024-12-24T11:17:09.454Z,173503902945401
"Uncalled bet of 1.50 returned to ""PaulB @ DemOWvLIyz""",2024-12-24T11:17:09.454Z,173503902945400
"""AHH @ KKDJ1brgcv"" folds",2024-12-24T11:17:08.648Z,173503902864800
"""PaulB @ DemOWvLIyz"" bets 1.50",2024-12-24T11:17:03.891Z,173503902389100
"Flop:  [10♥, 4♠, 2♣]",2024-12-24T11:16:59.406Z,173503901940600
"""HY @ RzZqRjTje6"" folds",2024-12-24T11:16:58.569Z,173503901856900
"""AHH @ KKDJ1brgcv"" calls 3.00",2024-12-24T11:16:37.645Z,173503899764500
"""PaulB @ DemOWvLIyz"" raises to 3.00",2024-12-24T11:16:34.937Z,173503899493700
"""HY @ RzZqRjTje6"" posts a straddle of 1.00",2024-12-24T11:16:09.888Z,173503896988807
"""AHH @ KKDJ1brgcv"" posts a big blind of 0.50",2024-12-24T11:16:09.888Z,173503896988806
"""PaulB @ DemOWvLIyz"" posts a small blind of 0.25",2024-12-24T11:16:09.888Z,173503896988805
"Your hand is 7♣, 6♠",2024-12-24T11:16:09.888Z,173503896988804
"Player stacks: #1 ""HY @ RzZqRjTje6"" (420.16) | #8 ""PaulB @ DemOWvLIyz"" (551.30) | #10 ""AHH @ KKDJ1brgcv"" (581.33)",2024-12-24T11:16:09.888Z,173503896988801
"-- starting hand #589 (id: ijb2wssamwt7)  (No Limit Texas Hold'em) (dealer: ""HY @ RzZqRjTje6"") --",2024-12-24T11:16:09.888Z,173503896988800
"-- ending hand #588 --",2024-12-24T11:16:06.957Z,173503896695702
"""PaulB @ DemOWvLIyz"" collected 26.25 from pot",2024-12-24T11:16:06.957Z,173503896695701
"Uncalled bet of 23.25 returned to ""PaulB @ DemOWvLIyz""",2024-12-24T11:16:06.957Z,173503896695700
"""AHH @ KKDJ1brgcv"" folds",2024-12-24T11:16:06.146Z,173503896614600
"""PaulB @ DemOWvLIyz"" bets 23.25",2024-12-24T11:16:00.498Z,173503896049800
"River: 5♣, Q♣, 8♣, K♠ [6♣]",2024-12-24T11:15:51.345Z,173503895134500
"""AHH @ KKDJ1brgcv"" calls 7.00",2024-12-24T11:15:50.524Z,173503895052400
"""PaulB @ DemOWvLIyz"" bets 7.00",2024-12-24T11:15:43.301Z,173503894330100
"Turn: 5♣, Q♣, 8♣ [K♠]",2024-12-24T11:15:36.111Z,173503893611100
"""AHH @ KKDJ1brgcv"" calls 3.50",2024-12-24T11:15:35.304Z,173503893530400
"""PaulB @ DemOWvLIyz"" bets 3.50",2024-12-24T11:15:29.725Z,173503892972500
"Flop:  [5♣, Q♣, 8♣]",2024-12-24T11:15:24.296Z,173503892429600
"""AHH @ KKDJ1brgcv"" calls 2.50",2024-12-24T11:15:23.474Z,173503892347400
"""PaulB @ DemOWvLIyz"" raises to 2.50",2024-12-24T11:15:19.458Z,173503891945800
"""HY @ RzZqRjTje6"" folds",2024-12-24T11:15:14.592Z,173503891459200
"""AHH @ KKDJ1brgcv"" posts a straddle of 1.00",2024-12-24T11:14:54.546Z,173503889454607
"""PaulB @ DemOWvLIyz"" posts a big blind of 0.50",2024-12-24T11:14:54.546Z,173503889454606
"""HY @ RzZqRjTje6"" posts a small blind of 0.25",2024-12-24T11:14:54.546Z,173503889454605
"Your hand is 6♥, 9♥",2024-12-24T11:14:54.546Z,173503889454604
"Player stacks: #1 ""HY @ RzZqRjTje6"" (420.41) | #8 ""PaulB @ DemOWvLIyz"" (538.05) | #10 ""AHH @ KKDJ1brgcv"" (594.33)",2024-12-24T11:14:54.546Z,173503889454601
"-- starting hand #588 (id: i4vrizriegsh)  (No Limit Texas Hold'em) (dealer: ""AHH @ KKDJ1brgcv"") --",2024-12-24T11:14:54.546Z,173503889454600
"-- ending hand #587 --",2024-12-24T11:14:48.599Z,173503888859902
"""AHH @ KKDJ1brgcv"" collected 9.50 from pot",2024-12-24T11:14:48.599Z,173503888859901
"Uncalled bet of 9.50 returned to ""AHH @ KKDJ1brgcv""",2024-12-24T11:14:48.599Z,173503888859900
"""PaulB @ DemOWvLIyz"" folds",2024-12-24T11:14:47.748Z,173503888774800
"""AHH @ KKDJ1brgcv"" bets 9.50",2024-12-24T11:14:45.645Z,173503888564500
"Flop:  [3♥, 10♦, 4♣]",2024-12-24T11:14:24.794Z,173503886479400
"""PaulB @ DemOWvLIyz"" calls 4.50",2024-12-24T11:14:23.953Z,173503886395300
"""HY @ RzZqRjTje6"" folds",2024-12-24T11:14:21.502Z,173503886150200
"""AHH @ KKDJ1brgcv"" raises to 4.50",2024-12-24T11:14:00.646Z,173503884064600
"""PaulB @ DemOWvLIyz"" posts a straddle of 1.00",2024-12-24T11:13:49.180Z,173503882918007
"""HY @ RzZqRjTje6"" posts a big blind of 0.50",2024-12-24T11:13:49.180Z,173503882918006
"""AHH @ KKDJ1brgcv"" posts a small blind of 0.25",2024-12-24T11:13:49.180Z,173503882918005
"Your hand is 8♦, 9♦",2024-12-24T11:13:49.180Z,173503882918004
"Player stacks: #1 ""HY @ RzZqRjTje6"" (420.91) | #8 ""PaulB @ DemOWvLIyz"" (542.55) | #10 ""AHH @ KKDJ1brgcv"" (589.33)",2024-12-24T11:13:49.180Z,173503882918001
"-- starting hand #587 (id: ock9zhspkfgr)  (No Limit Texas Hold'em) (dealer: ""PaulB @ DemOWvLIyz"") --",2024-12-24T11:13:49.180Z,173503882918000
"-- ending hand #586 --",2024-12-24T11:13:43.259Z,173503882325902
"""PaulB @ DemOWvLIyz"" collected 2.50 from pot",2024-12-24T11:13:43.259Z,173503882325901
"Uncalled bet of 1.50 returned to ""PaulB @ DemOWvLIyz""",2024-12-24T11:13:43.259Z,173503882325900
"""HY @ RzZqRjTje6"" folds",2024-12-24T11:13:42.453Z,173503882245300
"""AHH @ KKDJ1brgcv"" folds",2024-12-24T11:13:21.631Z,173503880163100
"""PaulB @ DemOWvLIyz"" raises to 2.50",2024-12-24T11:13:03.774Z,173503878377400
"""HY @ RzZqRjTje6"" posts a straddle of 1.00",2024-12-24T11:12:58.918Z,173503877891807
"""AHH @ KKDJ1brgcv"" posts a big blind of 0.50",2024-12-24T11:12:58.918Z,173503877891806
"""PaulB @ DemOWvLIyz"" posts a small blind of 0.25",2024-12-24T11:12:58.918Z,173503877891805
"Your hand is 3♥, 4♦",2024-12-24T11:12:58.918Z,173503877891804
"Player stacks: #1 ""HY @ RzZqRjTje6"" (421.91) | #8 ""PaulB @ DemOWvLIyz"" (541.05) | #10 ""AHH @ KKDJ1brgcv"" (589.83)",2024-12-24T11:12:58.918Z,173503877891801
"-- starting hand #586 (id: 3raabvmtnoka)  (No Limit Texas Hold'em) (dealer: ""HY @ RzZqRjTje6"") --",2024-12-24T11:12:58.918Z,173503877891800
"-- ending hand #585 --",2024-12-24T11:12:52.974Z,173503877297402
"""AHH @ KKDJ1brgcv"" collected 1.25 from pot",2024-12-24T11:12:52.974Z,173503877297401
"Uncalled bet of 0.50 returned to ""AHH @ KKDJ1brgcv""",2024-12-24T11:12:52.974Z,173503877297400
"""PaulB @ DemOWvLIyz"" folds",2024-12-24T11:12:52.163Z,173503877216300
"""HY @ RzZqRjTje6"" folds",2024-12-24T11:12:49.169Z,173503876916900
"""AHH @ KKDJ1brgcv"" posts a straddle of 1.00",2024-12-24T11:12:29.141Z,173503874914107
"""PaulB @ DemOWvLIyz"" posts a big blind of 0.50",2024-12-24T11:12:29.141Z,173503874914106
"""HY @ RzZqRjTje6"" posts a small blind of 0.25",2024-12-24T11:12:29.141Z,173503874914105
"Your hand is 4♥, J♥",2024-12-24T11:12:29.141Z,173503874914104
"Player stacks: #1 ""HY @ RzZqRjTje6"" (422.16) | #8 ""PaulB @ DemOWvLIyz"" (541.55) | #10 ""AHH @ KKDJ1brgcv"" (589.08)",2024-12-24T11:12:29.141Z,173503874914101
"-- starting hand #585 (id: vq9srwksrika)  (No Limit Texas Hold'em) (dealer: ""AHH @ KKDJ1brgcv"") --",2024-12-24T11:12:29.141Z,173503874914100
"-- ending hand #584 --",2024-12-24T11:12:26.239Z,173503874623902
"""AHH @ KKDJ1brgcv"" collected 70.50 from pot",2024-12-24T11:12:26.239Z,173503874623901
"Uncalled bet of 70.50 returned to ""AHH @ KKDJ1brgcv""",2024-12-24T11:12:26.239Z,173503874623900
"""PaulB @ DemOWvLIyz"" folds",2024-12-24T11:12:25.409Z,173503874540900
"""AHH @ KKDJ1brgcv"" bets 70.50",2024-12-24T11:12:21.254Z,173503874125400
"River: 7♠, 4♦, 10♦, 10♥ [10♠]",2024-12-24T11:11:57.727Z,173503871772700
"""PaulB @ DemOWvLIyz"" calls 21.00",2024-12-24T11:11:56.903Z,173503871690300
"""AHH @ KKDJ1brgcv"" bets 21.00",2024-12-24T11:11:40.943Z,173503870094300
"Turn: 7♠, 4♦, 10♦ [10♥]",2024-12-24T11:11:33.168Z,173503869316800
"""PaulB @ DemOWvLIyz"" calls 9.50",2024-12-24T11:11:32.342Z,173503869234200
"""AHH @ KKDJ1brgcv"" bets 9.50",2024-12-24T11:11:29.391Z,173503868939100
"Flop:  [7♠, 4♦, 10♦]",2024-12-24T11:11:18.423Z,173503867842300
"""PaulB @ DemOWvLIyz"" calls 4.50",2024-12-24T11:11:17.548Z,173503867754800
"""HY @ RzZqRjTje6"" folds",2024-12-24T11:11:15.225Z,173503867522500
"""AHH @ KKDJ1brgcv"" raises to 4.50",2024-12-24T11:10:54.346Z,173503865434600
"""PaulB @ DemOWvLIyz"" posts a straddle of 1.00",2024-12-24T11:10:49.571Z,173503864957107
"""HY @ RzZqRjTje6"" posts a big blind of 0.50",2024-12-24T11:10:49.571Z,173503864957106
"""AHH @ KKDJ1brgcv"" posts a small blind of 0.25",2024-12-24T11:10:49.571Z,173503864957105
"Your hand is K♥, Q♠",2024-12-24T11:10:49.571Z,173503864957104
"Player stacks: #1 ""HY @ RzZqRjTje6"" (422.66) | #8 ""PaulB @ DemOWvLIyz"" (576.55) | #10 ""AHH @ KKDJ1brgcv"" (553.58)",2024-12-24T11:10:49.571Z,173503864957101
"-- starting hand #584 (id: vdqnzn9rxnls)  (No Limit Texas Hold'em) (dealer: ""PaulB @ DemOWvLIyz"") --",2024-12-24T11:10:49.571Z,173503864957100
"-- ending hand #583 --",2024-12-24T11:10:43.634Z,173503864363402
"""AHH @ KKDJ1brgcv"" collected 2.25 from pot",2024-12-24T11:10:43.634Z,173503864363401
"Uncalled bet of 3.50 returned to ""AHH @ KKDJ1brgcv""",2024-12-24T11:10:43.634Z,173503864363400
"""HY @ RzZqRjTje6"" folds",2024-12-24T11:10:42.826Z,173503864282600
"""AHH @ KKDJ1brgcv"" raises to 4.50",2024-12-24T11:10:21.947Z,173503862194700
"""PaulB @ DemOWvLIyz"" folds",2024-12-24T11:10:16.778Z,173503861677800
"""HY @ RzZqRjTje6"" posts a straddle of 1.00",2024-12-24T11:10:11.396Z,173503861139607
"""AHH @ KKDJ1brgcv"" posts a big blind of 0.50",2024-12-24T11:10:11.396Z,173503861139606
"""PaulB @ DemOWvLIyz"" posts a small blind of 0.25",2024-12-24T11:10:11.396Z,173503861139605
"Your hand is 9♠, 9♣",2024-12-24T11:10:11.396Z,173503861139604
"Player stacks: #1 ""HY @ RzZqRjTje6"" (423.66) | #8 ""PaulB @ DemOWvLIyz"" (576.80) | #10 ""AHH @ KKDJ1brgcv"" (552.33)",2024-12-24T11:10:11.396Z,173503861139601
"-- starting hand #583 (id: oirjbig3zryx)  (No Limit Texas Hold'em) (dealer: ""HY @ RzZqRjTje6"") --",2024-12-24T11:10:11.396Z,173503861139600
"-- ending hand #582 --",2024-12-24T11:10:05.479Z,173503860547902
"""PaulB @ DemOWvLIyz"" collected 5.25 from pot",2024-12-24T11:10:05.479Z,173503860547901
"Uncalled bet of 2.00 returned to ""PaulB @ DemOWvLIyz""",2024-12-24T11:10:05.479Z,173503860547900
"""AHH @ KKDJ1brgcv"" folds",2024-12-24T11:10:04.624Z,173503860462400
"""PaulB @ DemOWvLIyz"" bets 2.00",2024-12-24T11:10:00.086Z,173503860008600
"Turn: 2♥, 6♠, J♣ [5♣]",2024-12-24T11:09:48.579Z,173503858857900
"""AHH @ KKDJ1brgcv"" checks",2024-12-24T11:09:47.772Z,173503858777200
"""PaulB @ DemOWvLIyz"" checks",2024-12-24T11:09:42.210Z,173503858221000
"Flop:  [2♥, 6♠, J♣]",2024-12-24T11:09:39.173Z,173503857917300
"""AHH @ KKDJ1brgcv"" calls 2.50",2024-12-24T11:09:38.351Z,173503857835100
"""PaulB @ DemOWvLIyz"" raises to 2.50",2024-12-24T11:09:34.160Z,173503857416000
"""HY @ RzZqRjTje6"" folds",2024-12-24T11:09:29.035Z,173503856903500
"The player ""Yosef @ noQMfe4xTG"" canceled the seat request.",2024-12-24T11:09:16.022Z,173503855602200
"""AHH @ KKDJ1brgcv"" posts a straddle of 1.00",2024-12-24T11:09:08.995Z,173503854899507
"""PaulB @ DemOWvLIyz"" posts a big blind of 0.50",2024-12-24T11:09:08.995Z,173503854899506
"""HY @ RzZqRjTje6"" posts a small blind of 0.25",2024-12-24T11:09:08.995Z,173503854899505
"Your hand is 8♠, K♦",2024-12-24T11:09:08.995Z,173503854899504
"Player stacks: #1 ""HY @ RzZqRjTje6"" (423.91) | #8 ""PaulB @ DemOWvLIyz"" (574.05) | #10 ""AHH @ KKDJ1brgcv"" (554.83)",2024-12-24T11:09:08.995Z,173503854899501
"-- starting hand #582 (id: rxfwbldzjr85)  (No Limit Texas Hold'em) (dealer: ""AHH @ KKDJ1brgcv"") --",2024-12-24T11:09:08.995Z,173503854899500
"-- ending hand #581 --",2024-12-24T11:09:05.990Z,173503854599003
"""AHH @ KKDJ1brgcv"" shows a 4♣, 4♥.",2024-12-24T11:09:05.990Z,173503854599002
"""PaulB @ DemOWvLIyz"" collected 63.50 from pot with Pair, 7's (combination: 7♣, 7♠, K♠, 10♦, 6♦)",2024-12-24T11:09:05.990Z,173503854599001
"""PaulB @ DemOWvLIyz"" shows a 7♣, 7♠.",2024-12-24T11:09:05.990Z,173503854599000
