entry,at,order
"The player ""BP @ 3nEm3CsHfN"" quits the game with a stack of 367.",2024-04-02T09:26:54.193Z,171205001419300
"The player ""BP @ 3nEm3CsHfN"" stand up with the stack of 367.",2024-04-02T09:26:52.342Z,171205001234200
"The player ""Taiyo @ oRLZGd29jc"" quits the game with a stack of 1228.",2024-04-02T09:26:50.656Z,171205001065600
"-- ending hand #517 --",2024-04-02T09:26:47.735Z,171205000773502
"""BP @ 3nEm3CsHfN"" collected 2 from pot",2024-04-02T09:26:47.735Z,171205000773501
"Uncalled bet of 2 returned to ""BP @ 3nEm3CsHfN""",2024-04-02T09:26:47.735Z,171205000773500
"""Taiyo @ oRLZGd29jc"" folds",2024-04-02T09:26:46.901Z,171205000690100
"""BP @ 3nEm3CsHfN"" posts a big blind of 3",2024-04-02T09:26:45.250Z,171205000525006
"""Taiyo @ oRLZGd29jc"" posts a small blind of 1",2024-04-02T09:26:45.250Z,171205000525005
"Player stacks: #5 ""BP @ 3nEm3CsHfN"" (366) | #7 ""Taiyo @ oRLZGd29jc"" (1229)",2024-04-02T09:26:45.250Z,171205000525002
"-- starting hand #517 (id: q7b5wjb4vzxg)  (No Limit Texas Hold'em) (dealer: ""Taiyo @ oRLZGd29jc"") --",2024-04-02T09:26:45.250Z,171205000525001
"The player ""Yosef @ RC6Ah7EXu_"" quits the game with a stack of 863.",2024-04-02T09:26:45.250Z,171205000525000
"-- ending hand #516 --",2024-04-02T09:26:42.312Z,171205000231202
"""Taiyo @ oRLZGd29jc"" collected 2 from pot",2024-04-02T09:26:42.312Z,171205000231201
"Uncalled bet of 2 returned to ""Taiyo @ oRLZGd29jc""",2024-04-02T09:26:42.312Z,171205000231200
"""BP @ 3nEm3CsHfN"" folds",2024-04-02T09:26:41.463Z,171205000146300
"""Taiyo @ oRLZGd29jc"" posts a big blind of 3",2024-04-02T09:26:39.911Z,171204999991106
"""BP @ 3nEm3CsHfN"" posts a small blind of 1",2024-04-02T09:26:39.911Z,171204999991105
"Player stacks: #5 ""BP @ 3nEm3CsHfN"" (367) | #7 ""Taiyo @ oRLZGd29jc"" (1228)",2024-04-02T09:26:39.911Z,171204999991102
"-- starting hand #516 (id: sftvlb1hocdh)  (No Limit Texas Hold'em) (dealer: ""BP @ 3nEm3CsHfN"") --",2024-04-02T09:26:39.911Z,171204999991101
"The player ""Sen @ 1_LfOUDns1"" stand up with the stack of 1224.",2024-04-02T09:26:39.911Z,171204999991100
"-- ending hand #515 --",2024-04-02T09:26:36.954Z,171204999695402
"""Taiyo @ oRLZGd29jc"" collected 2 from pot",2024-04-02T09:26:36.954Z,171204999695401
"Uncalled bet of 2 returned to ""Taiyo @ oRLZGd29jc""",2024-04-02T09:26:36.954Z,171204999695400
"""BP @ 3nEm3CsHfN"" folds",2024-04-02T09:26:36.146Z,171204999614600
"""Sen @ 1_LfOUDns1"" folds",2024-04-02T09:26:34.842Z,171204999484200
"""Taiyo @ oRLZGd29jc"" posts a big blind of 3",2024-04-02T09:26:33.240Z,171204999324006
"""BP @ 3nEm3CsHfN"" posts a small blind of 1",2024-04-02T09:26:33.240Z,171204999324005
"Player stacks: #3 ""Sen @ 1_LfOUDns1"" (1224) | #5 ""BP @ 3nEm3CsHfN"" (368) | #7 ""Taiyo @ oRLZGd29jc"" (1227)",2024-04-02T09:26:33.240Z,171204999324001
"-- starting hand #515 (id: kavi5mrrvjpl)  (No Limit Texas Hold'em) (dealer: ""Sen @ 1_LfOUDns1"") --",2024-04-02T09:26:33.240Z,171204999324000
"-- ending hand #514 --",2024-04-02T09:26:30.297Z,171204999029702
"""Taiyo @ oRLZGd29jc"" collected 7 from pot",2024-04-02T09:26:30.297Z,171204999029701
"Uncalled bet of 6 returned to ""Taiyo @ oRLZGd29jc""",2024-04-02T09:26:30.297Z,171204999029700
"""BP @ 3nEm3CsHfN"" folds",2024-04-02T09:26:29.448Z,171204998944800
