entry,at,order
"The player ""reilly @ FkycgsPCCs"" passed the room ownership to ""Danny C @ R8jkHadH5e"".",2024-03-26T06:51:59.523Z,171143591952300
"The player ""reilly @ FkycgsPCCs"" quits the game with a stack of 648.",2024-03-26T06:39:59.326Z,171143519932600
"The player ""Sai @ 0Y4I9d7s02"" quits the game with a stack of 1007.",2024-03-26T06:32:59.198Z,171143477919800
"The player ""Sai @ 0Y4I9d7s02"" stand up with the stack of 1007.",2024-03-26T06:32:49.581Z,171143476958100
"-- ending hand #653 --",2024-03-26T06:32:46.520Z,171143476652002
"""Sai @ 0Y4I9d7s02"" collected 108 from pot with Two Pair, 6's & 5's (combination: 6♣, 6♠, 5♥, 5♦, Q♦)",2024-03-26T06:32:46.520Z,171143476652001
"""Sai @ 0Y4I9d7s02"" shows a 6♣, 6♠.",2024-03-26T06:32:46.520Z,171143476652000
"""Sai @ 0Y4I9d7s02"" checks",2024-03-26T06:32:45.679Z,171143476567900
"""reilly @ FkycgsPCCs"" checks",2024-03-26T06:32:41.579Z,171143476157900
"River: 5♥, 5♦, Q♦, 3♠ [4♣]",2024-03-26T06:32:23.144Z,171143474314400
"""Sai @ 0Y4I9d7s02"" checks",2024-03-26T06:32:22.306Z,171143474230600
"""reilly @ FkycgsPCCs"" checks",2024-03-26T06:32:20.607Z,171143474060700
"Turn: 5♥, 5♦, Q♦ [3♠]",2024-03-26T06:32:17.831Z,171143473783100
"""Sai @ 0Y4I9d7s02"" calls 18",2024-03-26T06:32:17.026Z,171143473702600
"""reilly @ FkycgsPCCs"" bets 18",2024-03-26T06:32:15.375Z,171143473537500
"Flop:  [5♥, 5♦, Q♦]",2024-03-26T06:32:11.099Z,171143473109900
"""Sai @ 0Y4I9d7s02"" calls 36",2024-03-26T06:32:10.275Z,171143473027500
"""reilly @ FkycgsPCCs"" raises to 36",2024-03-26T06:32:08.192Z,171143472819200
"""Sai @ 0Y4I9d7s02"" raises to 9",2024-03-26T06:32:04.853Z,171143472485300
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-03-26T06:32:02.695Z,171143472269505
"""Sai @ 0Y4I9d7s02"" posts a small blind of 1",2024-03-26T06:32:02.695Z,171143472269504
"Player stacks: #8 ""Sai @ 0Y4I9d7s02"" (953) | #10 ""reilly @ FkycgsPCCs"" (702)",2024-03-26T06:32:02.695Z,171143472269501
"-- starting hand #653 (id: fsjadkwvbnnj)  (No Limit Texas Hold'em) (dealer: ""Sai @ 0Y4I9d7s02"") --",2024-03-26T06:32:02.695Z,171143472269500
"-- ending hand #652 --",2024-03-26T06:31:59.789Z,171143471978902
"""reilly @ FkycgsPCCs"" collected 64 from pot",2024-03-26T06:31:59.789Z,171143471978901
"Uncalled bet of 28 returned to ""reilly @ FkycgsPCCs""",2024-03-26T06:31:59.789Z,171143471978900
"""Sai @ 0Y4I9d7s02"" folds",2024-03-26T06:31:58.960Z,171143471896000
"""reilly @ FkycgsPCCs"" raises to 44",2024-03-26T06:31:48.139Z,171143470813900
"""Sai @ 0Y4I9d7s02"" bets 16",2024-03-26T06:31:38.914Z,171143469891400
"River: Q♠, 9♥, J♦, A♠ [K♣]",2024-03-26T06:31:32.642Z,171143469264200
"""reilly @ FkycgsPCCs"" checks",2024-03-26T06:31:31.812Z,171143469181200
"""Sai @ 0Y4I9d7s02"" checks",2024-03-26T06:31:24.421Z,171143468442100
"Turn: Q♠, 9♥, J♦ [A♠]",2024-03-26T06:31:23.256Z,171143468325600
"""Sai @ 0Y4I9d7s02"" calls 9",2024-03-26T06:31:22.420Z,171143468242000
"""reilly @ FkycgsPCCs"" bets 9",2024-03-26T06:31:20.218Z,171143468021800
"""Sai @ 0Y4I9d7s02"" checks",2024-03-26T06:31:17.868Z,171143467786800
"Flop:  [Q♠, 9♥, J♦]",2024-03-26T06:31:16.564Z,171143467656400
"""Sai @ 0Y4I9d7s02"" calls 7",2024-03-26T06:31:15.736Z,171143467573600
"""reilly @ FkycgsPCCs"" raises to 7",2024-03-26T06:31:13.854Z,171143467385400
"""Sai @ 0Y4I9d7s02"" posts a big blind of 3",2024-03-26T06:31:11.588Z,171143467158805
"""reilly @ FkycgsPCCs"" posts a small blind of 1",2024-03-26T06:31:11.588Z,171143467158804
"Player stacks: #8 ""Sai @ 0Y4I9d7s02"" (985) | #10 ""reilly @ FkycgsPCCs"" (670)",2024-03-26T06:31:11.588Z,171143467158801
"-- starting hand #652 (id: lbc03s3rzzhb)  (No Limit Texas Hold'em) (dealer: ""reilly @ FkycgsPCCs"") --",2024-03-26T06:31:11.588Z,171143467158800
"-- ending hand #651 --",2024-03-26T06:31:08.677Z,171143466867702
"""reilly @ FkycgsPCCs"" collected 2 from pot",2024-03-26T06:31:08.677Z,171143466867701
"Uncalled bet of 2 returned to ""reilly @ FkycgsPCCs""",2024-03-26T06:31:08.677Z,171143466867700
"""Sai @ 0Y4I9d7s02"" folds",2024-03-26T06:31:07.869Z,171143466786900
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-03-26T06:31:06.749Z,171143466674905
"""Sai @ 0Y4I9d7s02"" posts a small blind of 1",2024-03-26T06:31:06.749Z,171143466674904
"Player stacks: #8 ""Sai @ 0Y4I9d7s02"" (986) | #10 ""reilly @ FkycgsPCCs"" (669)",2024-03-26T06:31:06.749Z,171143466674901
"-- starting hand #651 (id: 7fwuv46xy7di)  (No Limit Texas Hold'em) (dealer: ""Sai @ 0Y4I9d7s02"") --",2024-03-26T06:31:06.749Z,171143466674900
"-- ending hand #650 --",2024-03-26T06:31:03.835Z,171143466383502
"""Sai @ 0Y4I9d7s02"" collected 2 from pot",2024-03-26T06:31:03.835Z,171143466383501
"Uncalled bet of 2 returned to ""Sai @ 0Y4I9d7s02""",2024-03-26T06:31:03.835Z,171143466383500
"""reilly @ FkycgsPCCs"" folds",2024-03-26T06:31:02.989Z,171143466298900
"""Sai @ 0Y4I9d7s02"" posts a big blind of 3",2024-03-26T06:31:01.868Z,171143466186805
"""reilly @ FkycgsPCCs"" posts a small blind of 1",2024-03-26T06:31:01.868Z,171143466186804
"Player stacks: #8 ""Sai @ 0Y4I9d7s02"" (985) | #10 ""reilly @ FkycgsPCCs"" (670)",2024-03-26T06:31:01.868Z,171143466186801
"-- starting hand #650 (id: ttik9tlq98ys)  (No Limit Texas Hold'em) (dealer: ""reilly @ FkycgsPCCs"") --",2024-03-26T06:31:01.868Z,171143466186800
"-- ending hand #649 --",2024-03-26T06:30:58.942Z,171143465894202
"""Sai @ 0Y4I9d7s02"" collected 18 from pot",2024-03-26T06:30:58.942Z,171143465894201
"Uncalled bet of 13 returned to ""Sai @ 0Y4I9d7s02""",2024-03-26T06:30:58.942Z,171143465894200
"""reilly @ FkycgsPCCs"" folds",2024-03-26T06:30:58.068Z,171143465806800
"""Sai @ 0Y4I9d7s02"" bets 13",2024-03-26T06:30:56.426Z,171143465642600
"""reilly @ FkycgsPCCs"" checks",2024-03-26T06:30:53.889Z,171143465388900
"Flop:  [J♣, 4♣, 2♣]",2024-03-26T06:30:53.024Z,171143465302400
"""reilly @ FkycgsPCCs"" calls 9",2024-03-26T06:30:52.186Z,171143465218600
"""Sai @ 0Y4I9d7s02"" raises to 9",2024-03-26T06:30:50.834Z,171143465083400
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-03-26T06:30:48.327Z,171143464832705
"""Sai @ 0Y4I9d7s02"" posts a small blind of 1",2024-03-26T06:30:48.327Z,171143464832704
"Player stacks: #8 ""Sai @ 0Y4I9d7s02"" (976) | #10 ""reilly @ FkycgsPCCs"" (679)",2024-03-26T06:30:48.327Z,171143464832701
"-- starting hand #649 (id: cnrw06yfcmly)  (No Limit Texas Hold'em) (dealer: ""Sai @ 0Y4I9d7s02"") --",2024-03-26T06:30:48.327Z,171143464832700
"-- ending hand #648 --",2024-03-26T06:30:45.251Z,171143464525102
"""reilly @ FkycgsPCCs"" collected 14 from pot with Pair, 3's (combination: 3♠, 3♣, A♦, J♠, 8♠)",2024-03-26T06:30:45.251Z,171143464525101
"""reilly @ FkycgsPCCs"" shows a 7♥, A♦.",2024-03-26T06:30:45.251Z,171143464525100
"""reilly @ FkycgsPCCs"" checks",2024-03-26T06:30:44.427Z,171143464442700
"""Sai @ 0Y4I9d7s02"" checks",2024-03-26T06:30:43.549Z,171143464354900
"River: 3♠, 8♠, 2♣, 3♣ [J♠]",2024-03-26T06:30:41.938Z,171143464193800
"""reilly @ FkycgsPCCs"" checks",2024-03-26T06:30:41.130Z,171143464113000
"""Sai @ 0Y4I9d7s02"" checks",2024-03-26T06:30:39.653Z,171143463965300
"Turn: 3♠, 8♠, 2♣ [3♣]",2024-03-26T06:30:38.334Z,171143463833400
"""reilly @ FkycgsPCCs"" checks",2024-03-26T06:30:37.526Z,171143463752600
"""Sai @ 0Y4I9d7s02"" checks",2024-03-26T06:30:33.817Z,171143463381700
"Flop:  [3♠, 8♠, 2♣]",2024-03-26T06:30:32.590Z,171143463259000
"""Sai @ 0Y4I9d7s02"" calls 7",2024-03-26T06:30:31.749Z,171143463174900
"""reilly @ FkycgsPCCs"" raises to 7",2024-03-26T06:30:30.230Z,171143463023000
"""Sai @ 0Y4I9d7s02"" posts a big blind of 3",2024-03-26T06:30:29.383Z,171143462938305
