entry,at,order
"The player ""Alwin @ D4LDhczIoW"" stand up with the stack of 1055.",2024-05-09T08:23:49.098Z,171524302909800
"-- ending hand #739 --",2024-05-09T08:23:46.159Z,171524302615902
"""scott s @ FhatGh_xn0"" collected 6 from pot",2024-05-09T08:23:46.159Z,171524302615901
"Uncalled bet of 4 returned to ""scott s @ FhatGh_xn0""",2024-05-09T08:23:46.159Z,171524302615900
"""Alwin @ D4LDhczIoW"" folds",2024-05-09T08:23:45.347Z,171524302534700
"""scott s @ FhatGh_xn0"" bets 4",2024-05-09T08:23:34.044Z,171524301404400
"""Alwin @ D4LDhczIoW"" checks",2024-05-09T08:23:29.994Z,171524300999400
"Flop:  [K♦, Q♣, 6♦]",2024-05-09T08:23:25.659Z,171524300565900
"""Alwin @ D4LDhczIoW"" checks",2024-05-09T08:23:24.820Z,171524300482000
"""scott s @ FhatGh_xn0"" calls 3",2024-05-09T08:23:21.532Z,171524300153200
"""Alwin @ D4LDhczIoW"" posts a big blind of 3",2024-05-09T08:23:17.954Z,171524299795405
"""scott s @ FhatGh_xn0"" posts a small blind of 1",2024-05-09T08:23:17.954Z,171524299795404
"Your hand is 9♣, 5♥",2024-05-09T08:23:17.954Z,171524299795403
"Player stacks: #1 ""scott s @ FhatGh_xn0"" (617) | #2 ""Alwin @ D4LDhczIoW"" (1058)",2024-05-09T08:23:17.954Z,171524299795401
"-- starting hand #739 (id: pwhaptk0iez4)  (No Limit Texas Hold'em) (dealer: ""scott s @ FhatGh_xn0"") --",2024-05-09T08:23:17.954Z,171524299795400
"-- ending hand #738 --",2024-05-09T08:23:15.045Z,171524299504502
"""scott s @ FhatGh_xn0"" collected 2 from pot",2024-05-09T08:23:15.045Z,171524299504501
"Uncalled bet of 2 returned to ""scott s @ FhatGh_xn0""",2024-05-09T08:23:15.045Z,171524299504500
"""Alwin @ D4LDhczIoW"" folds",2024-05-09T08:23:14.160Z,171524299416000
"""scott s @ FhatGh_xn0"" posts a big blind of 3",2024-05-09T08:23:07.508Z,171524298750805
"""Alwin @ D4LDhczIoW"" posts a small blind of 1",2024-05-09T08:23:07.508Z,171524298750804
"Your hand is 3♦, 8♣",2024-05-09T08:23:07.508Z,171524298750803
"Player stacks: #1 ""scott s @ FhatGh_xn0"" (616) | #2 ""Alwin @ D4LDhczIoW"" (1059)",2024-05-09T08:23:07.508Z,171524298750801
"-- starting hand #738 (id: zuj95svjqfcx)  (No Limit Texas Hold'em) (dealer: ""Alwin @ D4LDhczIoW"") --",2024-05-09T08:23:07.508Z,171524298750800
"-- ending hand #737 --",2024-05-09T08:23:04.536Z,171524298453602
"""Alwin @ D4LDhczIoW"" collected 2 from pot",2024-05-09T08:23:04.536Z,171524298453601
"Uncalled bet of 2 returned to ""Alwin @ D4LDhczIoW""",2024-05-09T08:23:04.536Z,171524298453600
"""scott s @ FhatGh_xn0"" folds",2024-05-09T08:23:03.691Z,171524298369100
"""Alwin @ D4LDhczIoW"" posts a big blind of 3",2024-05-09T08:23:01.398Z,171524298139805
"""scott s @ FhatGh_xn0"" posts a small blind of 1",2024-05-09T08:23:01.398Z,171524298139804
"Your hand is 9♦, 10♦",2024-05-09T08:23:01.398Z,171524298139803
"Player stacks: #1 ""scott s @ FhatGh_xn0"" (617) | #2 ""Alwin @ D4LDhczIoW"" (1058)",2024-05-09T08:23:01.398Z,171524298139801
"-- starting hand #737 (id: 4rba1oe5a5da)  (No Limit Texas Hold'em) (dealer: ""scott s @ FhatGh_xn0"") --",2024-05-09T08:23:01.398Z,171524298139800
"-- ending hand #736 --",2024-05-09T08:22:58.484Z,171524297848402
"""Alwin @ D4LDhczIoW"" collected 6 from pot",2024-05-09T08:22:58.484Z,171524297848401
"Uncalled bet of 5 returned to ""Alwin @ D4LDhczIoW""",2024-05-09T08:22:58.484Z,171524297848400
"""scott s @ FhatGh_xn0"" folds",2024-05-09T08:22:57.600Z,171524297760000
"""Alwin @ D4LDhczIoW"" raises to 8",2024-05-09T08:22:55.519Z,171524297551900
"""scott s @ FhatGh_xn0"" posts a big blind of 3",2024-05-09T08:22:50.715Z,171524297071505
"""Alwin @ D4LDhczIoW"" posts a small blind of 1",2024-05-09T08:22:50.715Z,171524297071504
"Your hand is K♦, 3♦",2024-05-09T08:22:50.715Z,171524297071503
"Player stacks: #1 ""scott s @ FhatGh_xn0"" (620) | #2 ""Alwin @ D4LDhczIoW"" (1055)",2024-05-09T08:22:50.715Z,171524297071501
"-- starting hand #736 (id: escvrccdk3by)  (No Limit Texas Hold'em) (dealer: ""Alwin @ D4LDhczIoW"") --",2024-05-09T08:22:50.715Z,171524297071500
"-- ending hand #735 --",2024-05-09T08:22:47.786Z,171524296778602
