entry,at,order
"The player ""Chris Martin @ KxKv6TRngH"" quits the game with a stack of 367.59.",2024-12-20T05:54:29.211Z,173467406921100
"The player ""SamD @ Dm4TwhYnFw"" quits the game with a stack of 1098.45.",2024-12-20T05:53:13.236Z,173467399323600
"The player ""Chris Martin @ KxKv6TRngH"" stand up with the stack of 367.59.",2024-12-20T05:53:12.901Z,173467399290100
"-- ending hand #264 --",2024-12-20T05:53:09.989Z,173467398998902
"""Chris Martin @ KxKv6TRngH"" collected 0.40 from pot",2024-12-20T05:53:09.989Z,173467398998901
"Uncalled bet of 0.30 returned to ""Chris Martin @ KxKv6TRngH""",2024-12-20T05:53:09.989Z,173467398998900
"""SamD @ Dm4TwhYnFw"" folds",2024-12-20T05:53:09.098Z,173467398909800
"""Chris Martin @ KxKv6TRngH"" posts a big blind of 0.50",2024-12-20T05:53:05.842Z,173467398584205
"""SamD @ Dm4TwhYnFw"" posts a small blind of 0.20",2024-12-20T05:53:05.842Z,173467398584204
"Player stacks: #5 ""Chris Martin @ KxKv6TRngH"" (367.39) | #7 ""SamD @ Dm4TwhYnFw"" (1098.65)",2024-12-20T05:53:05.842Z,173467398584201
"-- starting hand #264 (id: sryxnj2tosvy)  (No Limit Texas Hold'em) (dealer: ""SamD @ Dm4TwhYnFw"") --",2024-12-20T05:53:05.842Z,173467398584200
"-- ending hand #263 --",2024-12-20T05:53:02.887Z,173467398288702
"""SamD @ Dm4TwhYnFw"" collected 0.40 from pot",2024-12-20T05:53:02.887Z,173467398288701
"Uncalled bet of 0.30 returned to ""SamD @ Dm4TwhYnFw""",2024-12-20T05:53:02.887Z,173467398288700
"""Chris Martin @ KxKv6TRngH"" folds",2024-12-20T05:53:02.064Z,173467398206400
"""SamD @ Dm4TwhYnFw"" posts a big blind of 0.50",2024-12-20T05:52:32.045Z,173467395204507
"""Chris Martin @ KxKv6TRngH"" posts a small blind of 0.20",2024-12-20T05:52:32.045Z,173467395204506
"Player stacks: #5 ""Chris Martin @ KxKv6TRngH"" (367.59) | #7 ""SamD @ Dm4TwhYnFw"" (1098.45)",2024-12-20T05:52:32.045Z,173467395204503
"-- starting hand #263 (id: m4nyok3nl4sr)  (No Limit Texas Hold'em) (dealer: ""Chris Martin @ KxKv6TRngH"") --",2024-12-20T05:52:32.045Z,173467395204502
"The player ""Raz @ BXlW8S6lPK"" quits the game with a stack of 100.13.",2024-12-20T05:52:32.045Z,173467395204501
"The player ""Crazy Mike @ WoOX8qwr89"" quits the game with a stack of 0.00.",2024-12-20T05:52:32.045Z,173467395204500
"-- ending hand #262 --",2024-12-20T05:52:26.021Z,173467394602103
"""Crazy Mike @ WoOX8qwr89"" shows a 10♥, 2♥.",2024-12-20T05:52:26.021Z,173467394602102
"""Chris Martin @ KxKv6TRngH"" collected 213.92 from pot with Full House, J's over 10's (combination: J♦, J♠, J♥, 10♣, 10♦)",2024-12-20T05:52:26.021Z,173467394602101
"""Chris Martin @ KxKv6TRngH"" shows a J♦, J♠.",2024-12-20T05:52:26.021Z,173467394602100
"""Chris Martin @ KxKv6TRngH"" calls 87.46",2024-12-20T05:52:25.182Z,173467394518200
"""Crazy Mike @ WoOX8qwr89"" bets 87.46 and go all in",2024-12-20T05:52:23.732Z,173467394373200
"River: 10♣, J♥, K♥, 10♦ [5♠]",2024-12-20T05:52:18.271Z,173467393827100
"""Chris Martin @ KxKv6TRngH"" calls 10.00",2024-12-20T05:52:17.452Z,173467393745200
"""Crazy Mike @ WoOX8qwr89"" bets 10.00",2024-12-20T05:52:10.106Z,173467393010600
"Turn: 10♣, J♥, K♥ [10♦]",2024-12-20T05:52:02.355Z,173467392235500
"""Chris Martin @ KxKv6TRngH"" calls 5.00",2024-12-20T05:52:01.548Z,173467392154800
"""Raz @ BXlW8S6lPK"" folds",2024-12-20T05:51:58.939Z,173467391893900
"""Crazy Mike @ WoOX8qwr89"" bets 5.00",2024-12-20T05:51:57.887Z,173467391788700
"Flop:  [10♣, J♥, K♥]",2024-12-20T05:51:52.435Z,173467391243500
"""Raz @ BXlW8S6lPK"" calls 3.00",2024-12-20T05:51:51.623Z,173467391162300
"""Crazy Mike @ WoOX8qwr89"" calls 3.00",2024-12-20T05:51:50.126Z,173467391012600
"""SamD @ Dm4TwhYnFw"" folds",2024-12-20T05:51:49.230Z,173467390923000
"""Chris Martin @ KxKv6TRngH"" raises to 3.00",2024-12-20T05:51:43.524Z,173467390352400
"""Raz @ BXlW8S6lPK"" posts a big blind of 0.50",2024-12-20T05:51:39.754Z,173467389975407
"""Crazy Mike @ WoOX8qwr89"" posts a small blind of 0.20",2024-12-20T05:51:39.754Z,173467389975406
"Player stacks: #1 ""Raz @ BXlW8S6lPK"" (103.13) | #5 ""Chris Martin @ KxKv6TRngH"" (259.13) | #7 ""SamD @ Dm4TwhYnFw"" (1098.45) | #10 ""Crazy Mike @ WoOX8qwr89"" (105.46)",2024-12-20T05:51:39.754Z,173467389975401
"-- starting hand #262 (id: ghz8vudgout2)  (No Limit Texas Hold'em) (dealer: ""SamD @ Dm4TwhYnFw"") --",2024-12-20T05:51:39.754Z,173467389975400
"-- ending hand #261 --",2024-12-20T05:51:36.848Z,173467389684802
"""Chris Martin @ KxKv6TRngH"" collected 9.20 from pot",2024-12-20T05:51:36.848Z,173467389684801
"Uncalled bet of 9.20 returned to ""Chris Martin @ KxKv6TRngH""",2024-12-20T05:51:36.848Z,173467389684800
"""Raz @ BXlW8S6lPK"" folds",2024-12-20T05:51:36.038Z,173467389603800
"""Crazy Mike @ WoOX8qwr89"" folds",2024-12-20T05:51:34.771Z,173467389477100
"""Chris Martin @ KxKv6TRngH"" bets 9.20",2024-12-20T05:51:33.197Z,173467389319700
"""Raz @ BXlW8S6lPK"" checks",2024-12-20T05:51:28.560Z,173467388856000
"""Crazy Mike @ WoOX8qwr89"" checks",2024-12-20T05:51:25.829Z,173467388582900
"Flop:  [A♥, Q♥, 5♥]",2024-12-20T05:51:22.467Z,173467388246700
"""Raz @ BXlW8S6lPK"" calls 3.00",2024-12-20T05:51:21.615Z,173467388161500
"""Crazy Mike @ WoOX8qwr89"" calls 3.00",2024-12-20T05:51:20.222Z,173467388022200
"""SamD @ Dm4TwhYnFw"" folds",2024-12-20T05:51:19.308Z,173467387930800
"""Chris Martin @ KxKv6TRngH"" raises to 3.00",2024-12-20T05:51:18.447Z,173467387844700
"""Raz @ BXlW8S6lPK"" calls 0.50",2024-12-20T05:51:14.453Z,173467387445300
"""Crazy Mike @ WoOX8qwr89"" posts a big blind of 0.50",2024-12-20T05:51:10.480Z,173467387048007
"""SamD @ Dm4TwhYnFw"" posts a small blind of 0.20",2024-12-20T05:51:10.480Z,173467387048006
"Player stacks: #1 ""Raz @ BXlW8S6lPK"" (106.13) | #5 ""Chris Martin @ KxKv6TRngH"" (252.93) | #7 ""SamD @ Dm4TwhYnFw"" (1098.65) | #10 ""Crazy Mike @ WoOX8qwr89"" (108.46)",2024-12-20T05:51:10.480Z,173467387048001
"-- starting hand #261 (id: fr08zmr3kbtm)  (No Limit Texas Hold'em) (dealer: ""Chris Martin @ KxKv6TRngH"") --",2024-12-20T05:51:10.480Z,173467387048000
"""Chris Martin @ KxKv6TRngH"" shows a A♦, Q♣.",2024-12-20T05:51:09.148Z,173467386914800
"""SamD @ Dm4TwhYnFw"" shows a Q♠, 9♠.",2024-12-20T05:51:06.900Z,173467386690000
"-- ending hand #260 --",2024-12-20T05:51:06.164Z,173467386616402
"""SamD @ Dm4TwhYnFw"" collected 38.00 from pot",2024-12-20T05:51:06.164Z,173467386616401
"Uncalled bet of 14.00 returned to ""SamD @ Dm4TwhYnFw""",2024-12-20T05:51:06.164Z,173467386616400
"""Chris Martin @ KxKv6TRngH"" folds",2024-12-20T05:51:05.332Z,173467386533200
"""Raz @ BXlW8S6lPK"" folds",2024-12-20T05:50:40.837Z,173467384083700
"""Crazy Mike @ WoOX8qwr89"" folds",2024-12-20T05:50:37.905Z,173467383790500
"""SamD @ Dm4TwhYnFw"" bets 14.00",2024-12-20T05:50:36.558Z,173467383655800
"""Chris Martin @ KxKv6TRngH"" checks",2024-12-20T05:50:32.371Z,173467383237100
"Flop:  [9♦, 10♠, 3♠]",2024-12-20T05:50:30.024Z,173467383002400
"""Raz @ BXlW8S6lPK"" calls 9.50",2024-12-20T05:50:29.203Z,173467382920300
"""Crazy Mike @ WoOX8qwr89"" calls 9.50",2024-12-20T05:50:27.586Z,173467382758600
"""SamD @ Dm4TwhYnFw"" calls 9.50",2024-12-20T05:50:26.716Z,173467382671600
"""Chris Martin @ KxKv6TRngH"" raises to 9.50",2024-12-20T05:50:22.408Z,173467382240800
"""Raz @ BXlW8S6lPK"" calls 3.00",2024-12-20T05:50:17.556Z,173467381755600
"""Crazy Mike @ WoOX8qwr89"" raises to 3.00",2024-12-20T05:50:15.895Z,173467381589500
"""SamD @ Dm4TwhYnFw"" posts a big blind of 0.50",2024-12-20T05:50:10.301Z,173467381030107
"""Chris Martin @ KxKv6TRngH"" posts a small blind of 0.20",2024-12-20T05:50:10.301Z,173467381030106
"Player stacks: #1 ""Raz @ BXlW8S6lPK"" (115.63) | #5 ""Chris Martin @ KxKv6TRngH"" (262.43) | #7 ""SamD @ Dm4TwhYnFw"" (1070.15) | #10 ""Crazy Mike @ WoOX8qwr89"" (117.96)",2024-12-20T05:50:10.301Z,173467381030101
"-- starting hand #260 (id: g6pzqcbkas4f)  (No Limit Texas Hold'em) (dealer: ""Raz @ BXlW8S6lPK"") --",2024-12-20T05:50:10.301Z,173467381030100
"-- ending hand #259 --",2024-12-20T05:50:07.384Z,173467380738402
"""Crazy Mike @ WoOX8qwr89"" collected 6.70 from pot",2024-12-20T05:50:07.384Z,173467380738401
"Uncalled bet of 111.26 returned to ""Crazy Mike @ WoOX8qwr89""",2024-12-20T05:50:07.384Z,173467380738400
"""SamD @ Dm4TwhYnFw"" folds",2024-12-20T05:50:06.535Z,173467380653500
"""Chris Martin @ KxKv6TRngH"" folds",2024-12-20T05:50:03.706Z,173467380370600
"""Raz @ BXlW8S6lPK"" folds",2024-12-20T05:50:02.083Z,173467380208300
"""Crazy Mike @ WoOX8qwr89"" raises to 114.26 and go all in",2024-12-20T05:50:01.169Z,173467380116900
"""SamD @ Dm4TwhYnFw"" raises to 3.00",2024-12-20T05:49:55.348Z,173467379534800
"""Chris Martin @ KxKv6TRngH"" posts a big blind of 0.50",2024-12-20T05:49:49.516Z,173467378951607
"""Raz @ BXlW8S6lPK"" posts a small blind of 0.20",2024-12-20T05:49:49.516Z,173467378951606
"Player stacks: #1 ""Raz @ BXlW8S6lPK"" (115.83) | #5 ""Chris Martin @ KxKv6TRngH"" (262.93) | #7 ""SamD @ Dm4TwhYnFw"" (1073.15) | #10 ""Crazy Mike @ WoOX8qwr89"" (114.26)",2024-12-20T05:49:49.516Z,173467378951601
"-- starting hand #259 (id: bgyvyst8qct9)  (No Limit Texas Hold'em) (dealer: ""Crazy Mike @ WoOX8qwr89"") --",2024-12-20T05:49:49.516Z,173467378951600
"-- ending hand #258 --",2024-12-20T05:49:43.447Z,173467378344703
"""Crazy Mike @ WoOX8qwr89"" shows a 10♣, 4♠.",2024-12-20T05:49:43.447Z,173467378344702
"""SamD @ Dm4TwhYnFw"" collected 9.00 from pot with A High (combination: A♥, K♠, Q♣, J♦, 8♠)",2024-12-20T05:49:43.447Z,173467378344701
"""SamD @ Dm4TwhYnFw"" shows a J♦, K♠.",2024-12-20T05:49:43.447Z,173467378344700
"""SamD @ Dm4TwhYnFw"" checks",2024-12-20T05:49:42.580Z,173467378258000
"""Raz @ BXlW8S6lPK"" checks",2024-12-20T05:49:41.598Z,173467378159800
"""Crazy Mike @ WoOX8qwr89"" checks",2024-12-20T05:49:39.738Z,173467377973800
"River: 6♥, A♥, 5♠, 8♠ [Q♣]",2024-12-20T05:49:38.367Z,173467377836700
"""SamD @ Dm4TwhYnFw"" checks",2024-12-20T05:49:37.535Z,173467377753500
"""Raz @ BXlW8S6lPK"" checks",2024-12-20T05:49:36.650Z,173467377665000
"""Crazy Mike @ WoOX8qwr89"" checks",2024-12-20T05:49:35.476Z,173467377547600
"Turn: 6♥, A♥, 5♠ [8♠]",2024-12-20T05:49:33.953Z,173467377395300
"""SamD @ Dm4TwhYnFw"" checks",2024-12-20T05:49:33.129Z,173467377312900
"""Raz @ BXlW8S6lPK"" checks",2024-12-20T05:49:32.261Z,173467377226100
"""Crazy Mike @ WoOX8qwr89"" checks",2024-12-20T05:49:30.772Z,173467377077200
"Flop:  [6♥, A♥, 5♠]",2024-12-20T05:49:27.443Z,173467376744300
"""Raz @ BXlW8S6lPK"" calls 3.00",2024-12-20T05:49:26.567Z,173467376656700
"""Crazy Mike @ WoOX8qwr89"" calls 3.00",2024-12-20T05:49:24.915Z,173467376491500
"""SamD @ Dm4TwhYnFw"" raises to 3.00",2024-12-20T05:49:23.408Z,173467376340800
"""Chris Martin @ KxKv6TRngH"" folds",2024-12-20T05:49:20.629Z,173467376062900
"""Raz @ BXlW8S6lPK"" posts a big blind of 0.50",2024-12-20T05:49:17.029Z,173467375702907
"""Crazy Mike @ WoOX8qwr89"" posts a small blind of 0.20",2024-12-20T05:49:17.029Z,173467375702906
"Player stacks: #1 ""Raz @ BXlW8S6lPK"" (118.83) | #5 ""Chris Martin @ KxKv6TRngH"" (262.93) | #7 ""SamD @ Dm4TwhYnFw"" (1067.15) | #10 ""Crazy Mike @ WoOX8qwr89"" (117.26)",2024-12-20T05:49:17.029Z,173467375702901
"-- starting hand #258 (id: 7atev6adyvjx)  (No Limit Texas Hold'em) (dealer: ""SamD @ Dm4TwhYnFw"") --",2024-12-20T05:49:17.029Z,173467375702900
"-- ending hand #257 --",2024-12-20T05:49:14.117Z,173467375411702
"""Chris Martin @ KxKv6TRngH"" collected 49.50 from pot",2024-12-20T05:49:14.117Z,173467375411701
"Uncalled bet of 117.26 returned to ""Chris Martin @ KxKv6TRngH""",2024-12-20T05:49:14.117Z,173467375411700
