entry,at,order
"The player ""reilly @ FkycgsPCCs"" stand up with the stack of 1626.",2024-06-16T07:20:01.295Z,171852240129500
"The player ""Taiyo @ oRLZGd29jc"" quits the game with a stack of 1474.",2024-06-16T07:18:05.178Z,171852228517800
"-- ending hand #961 --",2024-06-16T07:18:02.243Z,171852228224302
"""reilly @ FkycgsPCCs"" collected 2 from pot",2024-06-16T07:18:02.243Z,171852228224301
"Uncalled bet of 2 returned to ""reilly @ FkycgsPCCs""",2024-06-16T07:18:02.243Z,171852228224300
"""Taiyo @ oRLZGd29jc"" folds",2024-06-16T07:18:01.402Z,171852228140200
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-06-16T07:17:58.549Z,171852227854905
"""Taiyo @ oRLZGd29jc"" posts a small blind of 1",2024-06-16T07:17:58.549Z,171852227854904
"Player stacks: #2 ""reilly @ FkycgsPCCs"" (1625) | #6 ""Taiyo @ oRLZGd29jc"" (1475)",2024-06-16T07:17:58.549Z,171852227854901
"-- starting hand #961 (id: mpj1qualr91l)  (No Limit Texas Hold'em) (dealer: ""Taiyo @ oRLZGd29jc"") --",2024-06-16T07:17:58.549Z,171852227854900
"-- ending hand #960 --",2024-06-16T07:17:55.544Z,171852227554402
"""reilly @ FkycgsPCCs"" collected 6 from pot",2024-06-16T07:17:55.544Z,171852227554401
"Uncalled bet of 4 returned to ""reilly @ FkycgsPCCs""",2024-06-16T07:17:55.544Z,171852227554400
"""Taiyo @ oRLZGd29jc"" folds",2024-06-16T07:17:54.651Z,171852227465100
"""reilly @ FkycgsPCCs"" raises to 7",2024-06-16T07:17:53.810Z,171852227381000
"""Taiyo @ oRLZGd29jc"" posts a big blind of 3",2024-06-16T07:17:52.138Z,171852227213805
"""reilly @ FkycgsPCCs"" posts a small blind of 1",2024-06-16T07:17:52.138Z,171852227213804
"Player stacks: #2 ""reilly @ FkycgsPCCs"" (1622) | #6 ""Taiyo @ oRLZGd29jc"" (1478)",2024-06-16T07:17:52.138Z,171852227213801
"-- starting hand #960 (id: em4nmcymm2ou)  (No Limit Texas Hold'em) (dealer: ""reilly @ FkycgsPCCs"") --",2024-06-16T07:17:52.138Z,171852227213800
"-- ending hand #959 --",2024-06-16T07:17:49.140Z,171852226914002
"""Taiyo @ oRLZGd29jc"" collected 6 from pot",2024-06-16T07:17:49.140Z,171852226914001
"Uncalled bet of 6 returned to ""Taiyo @ oRLZGd29jc""",2024-06-16T07:17:49.140Z,171852226914000
"""reilly @ FkycgsPCCs"" folds",2024-06-16T07:17:48.315Z,171852226831500
"""Taiyo @ oRLZGd29jc"" raises to 9",2024-06-16T07:17:47.124Z,171852226712400
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-06-16T07:17:44.731Z,171852226473105
"""Taiyo @ oRLZGd29jc"" posts a small blind of 1",2024-06-16T07:17:44.731Z,171852226473104
"Player stacks: #2 ""reilly @ FkycgsPCCs"" (1625) | #6 ""Taiyo @ oRLZGd29jc"" (1475)",2024-06-16T07:17:44.731Z,171852226473101
"-- starting hand #959 (id: eghilrnfqixs)  (No Limit Texas Hold'em) (dealer: ""Taiyo @ oRLZGd29jc"") --",2024-06-16T07:17:44.731Z,171852226473100
"-- ending hand #958 --",2024-06-16T07:17:41.736Z,171852226173602
"""Taiyo @ oRLZGd29jc"" collected 2 from pot",2024-06-16T07:17:41.736Z,171852226173601
"Uncalled bet of 2 returned to ""Taiyo @ oRLZGd29jc""",2024-06-16T07:17:41.736Z,171852226173600
"""reilly @ FkycgsPCCs"" folds",2024-06-16T07:17:40.870Z,171852226087000
"""Taiyo @ oRLZGd29jc"" posts a big blind of 3",2024-06-16T07:17:39.721Z,171852225972105
