entry,at,order
"The player ""Zach Z @ VHwatE4yBu"" stand up with the stack of 1713.",2024-04-23T08:44:50.278Z,171386189027800
"The player ""BP @ 3nEm3CsHfN"" quits the game with a stack of 0.",2024-04-23T08:44:44.671Z,171386188467100
"-- ending hand #1170 --",2024-04-23T08:44:41.601Z,171386188160101
"""Zach Z @ VHwatE4yBu"" collected 86 from pot with Pair, 4's (combination: 4♣, 4♥, A♠, J♠, 10♣)",2024-04-23T08:44:41.601Z,171386188160100
"River: 8♣, 4♣, 4♥, 7♦ [J♠]",2024-04-23T08:44:37.569Z,171386187756900
"Turn: 8♣, 4♣, 4♥ [7♦]",2024-04-23T08:44:33.558Z,171386187355800
"Flop:  [8♣, 4♣, 4♥]",2024-04-23T08:44:29.513Z,171386186951300
"""Zach Z @ VHwatE4yBu"" shows a A♠, 10♣.",2024-04-23T08:44:25.460Z,171386186546001
"""BP @ 3nEm3CsHfN"" shows a Q♠, 9♣.",2024-04-23T08:44:25.460Z,171386186546000
"Some players choose to not run it twice.",2024-04-23T08:44:24.577Z,171386186457701
"""Zach Z @ VHwatE4yBu"" chooses to not run it twice.",2024-04-23T08:44:24.577Z,171386186457700
"Remaining players decide whether to run it twice.",2024-04-23T08:44:23.596Z,171386186359601
"""BP @ 3nEm3CsHfN"" calls 43 and go all in",2024-04-23T08:44:23.596Z,171386186359600
"""Zach Z @ VHwatE4yBu"" raises to 43",2024-04-23T08:44:22.092Z,171386186209200
"""BP @ 3nEm3CsHfN"" raises to 8",2024-04-23T08:44:19.461Z,171386185946100
"""Zach Z @ VHwatE4yBu"" posts a big blind of 3",2024-04-23T08:44:18.039Z,171386185803905
"""BP @ 3nEm3CsHfN"" posts a small blind of 1",2024-04-23T08:44:18.039Z,171386185803904
"Player stacks: #5 ""BP @ 3nEm3CsHfN"" (43) | #7 ""Zach Z @ VHwatE4yBu"" (1670)",2024-04-23T08:44:18.039Z,171386185803901
"-- starting hand #1170 (id: crimddkwsixw)  (No Limit Texas Hold'em) (dealer: ""BP @ 3nEm3CsHfN"") --",2024-04-23T08:44:18.039Z,171386185803900
"-- ending hand #1169 --",2024-04-23T08:44:15.102Z,171386185510202
"""Zach Z @ VHwatE4yBu"" collected 6 from pot",2024-04-23T08:44:15.102Z,171386185510201
"Uncalled bet of 43 returned to ""Zach Z @ VHwatE4yBu""",2024-04-23T08:44:15.102Z,171386185510200
"""BP @ 3nEm3CsHfN"" folds",2024-04-23T08:44:14.262Z,171386185426200
"""Zach Z @ VHwatE4yBu"" raises to 46",2024-04-23T08:44:13.258Z,171386185325800
"""BP @ 3nEm3CsHfN"" posts a big blind of 3",2024-04-23T08:44:10.640Z,171386185064005
"""Zach Z @ VHwatE4yBu"" posts a small blind of 1",2024-04-23T08:44:10.640Z,171386185064004
"Player stacks: #5 ""BP @ 3nEm3CsHfN"" (46) | #7 ""Zach Z @ VHwatE4yBu"" (1667)",2024-04-23T08:44:10.640Z,171386185064001
